"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE (₹ Crores)","52W H","52W L","30 D   %CHNG","365 D % CHNG 12-Aug-2024"
"NIFTY TOTAL MARKET","12,738.35","12,791.75","12,693.80","12,736.30","12,701.20","-","-35.10","-0.28","1,86,26,21,004","68,410.16","13,842.60","6,252.10","-3.13","-1.63"
"SONATSOFTW","331.00","381.00","329.15","329.75","372.00","-","42.25","12.81","4,09,92,949","1,502.06","697.20","286.40","-13.13","-38.15"
"STARCEMENT","263.00","294.50","262.37","263.69","288.10","-","24.41","9.26","1,22,46,568","350.61","294.50","171.55","37.51","35.70"
"ALKEM","4,864.50","5,207.50","4,822.00","4,844.50","5,165.00","-","320.50","6.62","9,51,630","488.08","6,439.90","4,491.65","7.12","-9.90"
"SHAILY","1,771.20","1,866.60","1,683.80","1,670.00","1,773.00","-","103.00","6.17","19,20,964","339.47","2,073.80","871.10","9.07","94.34"
"PNGJL","551.50","603.50","548.00","548.65","581.50","-","32.85","5.99","17,04,450","99.60","848.00","473.80","-1.17","-"
"SJVN","92.99","98.90","92.60","93.01","98.16","-","5.15","5.54","4,02,76,916","393.63","148.84","80.54","0.16","-30.28"
"GABRIEL","1,025.00","1,082.00","1,015.10","1,013.20","1,069.00","-","55.80","5.51","10,35,119","109.51","1,122.00","387.00","-1.62","111.53"
"HSCL","448.70","480.90","447.75","446.45","470.00","-","23.55","5.27","55,68,591","261.86","688.70","365.35","-5.99","-0.56"
"IXIGO","239.00","263.34","238.56","238.53","250.70","-","12.17","5.10","2,24,10,876","567.11","263.34","117.00","44.28","57.02"
"CARTRADE","2,214.80","2,350.00","2,206.60","2,213.00","2,325.00","-","112.00","5.06","5,41,775","124.66","2,350.00","817.50","23.01","157.06"
"PCBL","370.00","387.50","369.65","368.90","387.50","-","18.60","5.04","16,80,074","64.20","584.40","331.00","-8.82","-0.34"
"JSL","676.00","715.55","675.25","678.30","711.95","-","33.65","4.96","13,56,611","95.22","803.00","496.60","4.19","4.67"
"TI","513.00","513.00","481.25","472.30","495.00","-","22.70","4.81","84,21,182","420.18","524.00","199.53","45.92","104.92"
"DBREALTY","177.98","187.40","176.46","177.46","185.40","-","7.94","4.47","11,59,998","21.27","252.67","115.11","-23.08","-8.28"
"DATAMATICS","1,015.05","1,066.00","1,011.55","1,016.95","1,060.00","-","43.05","4.23","3,43,799","35.87","1,120.00","515.05","44.56","83.42"
"PTC","178.32","187.90","177.86","178.33","185.85","-","7.52","4.22","18,27,296","33.58","246.85","127.69","0.62","-10.02"
"SAMMAANCAP","115.51","125.46","115.51","114.97","119.70","-","4.73","4.11","2,48,53,085","302.04","179.30","97.61","-6.08","-25.46"
"FACT","916.40","959.85","914.75","914.75","951.90","-","37.15","4.06","6,34,028","59.67","1,112.00","565.00","3.47","-4.60"
"ICIL","232.95","243.65","226.85","232.70","241.95","-","9.25","3.98","3,86,274","9.24","438.90","213.55","-15.94","-35.90"
"JINDWORLD","35.77","38.40","35.51","35.78","37.20","-","1.42","3.97","41,37,013","15.56","94.24","33.89","-12.71","-89.49"
"AWFIS","619.65","624.00","566.30","558.55","579.40","-","20.85","3.73","47,03,497","282.93","946.00","545.50","-9.46","-16.45"
"AVANTIFEED","639.75","675.00","638.30","639.75","663.00","-","23.25","3.63","4,01,791","26.37","964.20","541.50","-10.82","-10.03"
"GREAVESCOT","206.70","219.69","206.37","206.68","214.10","-","7.42","3.59","51,12,610","109.77","319.50","154.50","6.21","25.97"
"PRICOLLTD","418.95","432.35","418.95","416.15","431.00","-","14.85","3.57","2,06,282","8.80","598.80","367.85","-6.29","-16.25"
"ACMESOLAR","275.90","287.00","272.85","275.65","285.30","-","9.65","3.50","14,77,339","41.60","303.94","167.75","-3.21","-"
"ACI","627.90","658.00","621.00","626.10","648.00","-","21.90","3.50","2,21,758","14.24","832.00","408.35","-3.19","-11.35"
"BIOCON","342.10","357.50","340.10","342.10","354.05","-","11.95","3.49","70,56,392","248.02","406.00","291.00","-5.16","5.05"
"CREDITACC","1,259.10","1,313.00","1,259.00","1,259.10","1,302.60","-","43.50","3.45","4,84,007","62.58","1,401.30","750.20","-0.35","4.57"
"RALLIS","359.90","374.00","357.55","360.00","372.40","-","12.40","3.44","7,07,663","25.98","385.90","196.00","7.92","5.12"
"MAHSEAMLES","655.60","698.00","655.60","653.95","676.00","-","22.05","3.37","5,91,628","40.30","814.30","566.50","-2.52","14.45"
"GRANULES","442.55","460.90","440.00","440.55","455.30","-","14.75","3.35","20,97,834","94.48","721.00","422.00","-2.96","-33.96"
"TITAGARH","776.00","818.00","776.00","776.15","801.45","-","25.30","3.26","92,74,181","743.17","1,509.80","654.55","-14.10","-44.81"
"BOROLTD","327.90","340.00","323.65","323.60","334.05","-","10.45","3.23","91,574","3.04","515.90","282.65","-0.89","-15.83"
"WOCKPHARMA","1,463.00","1,529.80","1,455.70","1,463.00","1,510.00","-","47.00","3.21","4,55,434","68.35","1,868.80","894.50","-13.74","-"
"TBOTEK","1,398.70","1,459.00","1,395.70","1,394.80","1,439.00","-","44.20","3.17","1,78,324","25.59","2,001.00","996.00","9.06","-15.03"
"IPCALAB","1,343.30","1,395.60","1,343.30","1,336.70","1,378.90","-","42.20","3.16","3,76,991","51.72","1,755.90","1,168.20","-5.03","-0.38"
"NLCINDIA","232.61","241.69","232.25","232.69","240.00","-","7.31","3.14","14,46,007","34.45","296.80","186.03","5.77","-10.35"
"RATEGAIN","474.10","497.00","470.95","476.70","491.50","-","14.80","3.10","9,04,228","44.15","854.00","412.85","4.34","-35.61"
"INDIACEM","356.50","370.00","356.05","357.10","368.05","-","10.95","3.07","4,76,183","17.44","382.00","238.85","6.42","0.42"
"EASEMYTRIP","8.82","9.70","8.79","8.81","9.07","-","0.26","2.95","6,62,05,264","61.44","22.19","8.75","-12.50","-76.74"
"ASTERDM","587.95","605.75","584.00","587.85","605.20","-","17.35","2.95","8,55,266","51.07","675.00","381.05","-0.49","56.67"
"ALIVUS","927.90","974.00","925.80","927.40","954.70","-","27.30","2.94","1,46,406","13.77","1,335.10","850.00","-5.41","-"
"GHCL","548.00","567.00","545.65","547.90","564.00","-","16.10","2.94","1,27,257","7.13","779.00","511.05","-6.94","-10.34"
"EQUITASBNK","53.67","55.29","53.53","53.69","55.24","-","1.55","2.89","38,45,246","21.03","86.90","52.52","-13.88","-29.11"
"HCG","665.00","674.90","643.75","651.55","670.30","-","18.75","2.88","3,29,261","21.71","674.90","349.00","20.08","88.55"
"SUPRAJIT","427.60","444.10","427.60","427.60","439.90","-","12.30","2.88","67,782","2.98","639.60","350.00","-1.64","-15.58"
"KIRLPNU","1,272.30","1,319.90","1,266.60","1,271.60","1,308.00","-","36.40","2.86","57,256","7.41","1,817.00","953.00","-6.37","5.86"
"MCX","7,965.00","8,230.00","7,914.50","7,947.00","8,171.00","-","224.00","2.82","7,65,567","621.36","9,115.00","4,302.00","1.29","84.10"
"USHAMART","342.00","355.90","339.80","339.50","349.00","-","9.50","2.80","5,10,763","17.87","451.00","278.55","-5.47","4.23"
"CONCORDBIO","1,607.20","1,681.20","1,583.80","1,604.10","1,648.00","-","43.90","2.74","3,05,842","50.01","2,664.00","1,345.00","-8.60","9.12"
"METROPOLIS","2,060.90","2,106.40","2,050.10","2,043.40","2,099.00","-","55.60","2.72","92,084","19.18","2,318.30","1,315.00","11.01","2.66"
"ATGL","599.00","615.50","596.05","596.30","612.45","-","16.15","2.71","9,27,355","56.53","868.85","532.60","-5.10","-26.66"
"CHOICEIN","768.00","798.70","766.15","765.45","786.10","-","20.65","2.70","8,27,808","65.14","798.70","389.00","11.79","97.26"
"SUNFLAG","305.00","309.90","295.00","289.30","297.00","-","7.70","2.66","12,72,648","38.47","322.00","188.15","-1.89","28.98"
"APTUS","334.00","345.70","333.25","334.75","343.65","-","8.90","2.66","5,88,642","19.99","401.65","267.95","-0.96","12.58"
"TTML","57.71","59.99","57.50","57.70","59.22","-","1.52","2.63","6,03,252","3.55","104.00","50.10","-7.91","-"
"IMFA","732.45","757.00","727.15","732.45","751.30","-","18.85","2.57","60,552","4.52","998.80","549.80","0.03","8.98"
"GESHIP","949.95","977.50","946.85","946.85","970.95","-","24.10","2.55","2,80,009","27.05","1,420.00","797.50","-1.82","-27.65"
"PETRONET","273.35","281.80","272.25","273.10","279.85","-","6.75","2.47","17,58,970","49.05","384.20","269.60","-6.77","-25.19"
"MINDACORP","462.00","478.30","462.00","459.65","471.00","-","11.35","2.47","7,23,853","34.13","652.00","445.05","-6.36","-9.61"
"CHAMBLFERT","522.10","539.00","519.50","522.25","535.00","-","12.75","2.44","15,16,323","80.59","742.20","443.20","0.27","1.78"
"ANANDRATHI","2,698.90","2,783.80","2,678.70","2,693.60","2,759.00","-","65.40","2.43","3,77,517","103.91","2,783.80","1,594.00","24.59","-24.59"
"GRAPHITE","523.30","539.00","521.05","523.30","536.00","-","12.70","2.43","5,04,019","26.78","623.35","365.75","-4.50","-1.02"
"VTL","390.25","402.80","389.25","390.25","399.65","-","9.40","2.41","1,80,249","7.18","563.95","361.10","-19.68","-20.79"
"NH","1,774.30","1,832.50","1,773.80","1,765.60","1,808.00","-","42.40","2.40","3,16,793","57.16","2,370.20","1,171.00","-9.73","49.74"
"HYUNDAI","2,179.00","2,239.90","2,172.10","2,151.70","2,202.10","-","50.40","2.34","10,64,558","235.56","2,265.30","1,541.70","4.83","-"
"EPL","226.20","232.95","225.21","226.20","231.50","-","5.30","2.34","7,84,828","18.10","289.90","175.28","-2.06","2.79"
"THOMASCOOK","154.00","159.69","153.61","153.43","157.00","-","3.57","2.33","12,26,866","19.34","239.70","118.25","-3.18","-24.21"
"ELGIEQUIP","508.35","522.40","508.35","508.90","520.75","-","11.85","2.33","2,62,809","13.54","752.95","401.00","-5.90","-16.51"
"SUBROS","797.00","820.45","790.55","787.60","805.90","-","18.30","2.32","70,880","5.74","1,083.20","518.00","-12.75","13.83"
