ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","31,450.00","31,450.00","30,510.00","31,305.00","31,000.00","31,025.00","30,858.90","38,199.85","25,718.15","6,426","19,82,99,320.00","3,148"
"11-Aug-2025","EQ","31,855.00","31,855.00","31,150.00","31,615.00","31,185.00","31,305.00","31,451.76","38,199.85","25,718.15","3,440","10,81,94,040.00","2,064"
"08-Aug-2025","EQ","32,000.00","32,095.00","31,220.00","32,000.00","31,605.00","31,615.00","31,616.15","39,500.00","25,718.15","11,161","35,28,67,850.00","4,461"
"07-Aug-2025","EQ","30,555.00","32,195.00","30,015.00","30,885.00","32,000.00","32,000.00","31,276.51","39,500.00","25,718.15","23,886","74,70,70,690.00","9,474"
"06-Aug-2025","EQ","31,105.00","31,105.00","30,535.00","30,835.00","30,950.00","30,885.00","30,795.61","39,500.00","25,718.15","4,292","13,21,74,750.00","2,397"
"05-Aug-2025","EQ","30,590.00","30,995.00","30,250.00","30,560.00","30,800.00","30,835.00","30,581.95","39,500.00","25,718.15","5,770","17,64,57,860.00","2,541"
"04-Aug-2025","EQ","30,800.00","30,900.00","30,350.00","30,905.00","30,590.00","30,560.00","30,697.49","39,500.00","25,718.15","11,132","34,17,24,495.00","2,320"
"01-Aug-2025","EQ","30,985.00","31,900.00","30,520.00","30,755.00","30,800.00","30,905.00","31,413.36","40,642.95","25,718.15","20,155","63,31,36,360.00","6,297"
"31-Jul-2025","EQ","30,850.00","31,150.00","30,375.00","30,955.00","31,050.00","30,755.00","30,803.23","40,642.95","25,718.15","5,096","15,69,73,270.00","2,390"
"30-Jul-2025","EQ","31,000.00","31,495.00","30,825.00","30,915.00","30,850.00","30,955.00","31,243.47","40,642.95","25,718.15","13,836","43,22,84,620.00","2,092"
"29-Jul-2025","EQ","31,050.00","31,140.00","30,500.00","30,950.00","30,900.00","30,915.00","30,831.69","40,642.95","25,718.15","4,674","14,41,07,320.00","2,300"
"28-Jul-2025","EQ","31,230.00","31,800.00","30,705.00","31,230.00","30,870.00","30,950.00","31,325.48","40,642.95","25,718.15","6,406","20,06,71,035.00","2,949"
"25-Jul-2025","EQ","31,215.00","31,500.00","30,610.00","31,680.00","31,315.00","31,230.00","30,937.99","40,642.95","25,718.15","8,420","26,04,97,860.00","3,322"
"24-Jul-2025","EQ","31,670.00","32,090.00","31,310.00","31,525.00","31,620.00","31,680.00","31,755.29","40,642.95","25,718.15","14,336","45,52,43,890.00","5,702"
"23-Jul-2025","EQ","31,250.00","31,695.00","30,905.00","31,230.00","31,575.00","31,525.00","31,411.97","40,642.95","25,718.15","13,387","42,05,12,030.00","5,351"
"22-Jul-2025","EQ","30,215.00","31,950.00","30,215.00","30,210.00","31,200.00","31,230.00","31,194.72","40,642.95","25,718.15","22,307","69,58,60,545.00","8,123"
"21-Jul-2025","EQ","29,895.00","30,335.00","29,660.00","29,900.00","30,200.00","30,210.00","30,115.49","40,642.95","25,718.15","6,562","19,76,17,870.00","1,734"
"18-Jul-2025","EQ","30,100.00","30,135.00","29,715.00","30,000.00","29,885.00","29,900.00","29,955.59","40,642.95","25,718.15","3,384","10,13,69,700.00","1,564"
"17-Jul-2025","EQ","30,180.00","30,260.00","29,870.00","30,060.00","29,955.00","30,000.00","30,054.29","40,642.95","25,718.15","3,549","10,66,62,685.00","1,436"
"16-Jul-2025","EQ","29,850.00","30,200.00","28,925.00","29,760.00","30,000.00","30,060.00","29,786.92","40,642.95","25,718.15","7,832","23,32,91,130.00","3,374"
"15-Jul-2025","EQ","29,725.00","30,195.00","29,705.00","29,690.00","29,750.00","29,760.00","29,896.70","40,642.95","25,718.15","3,238","9,68,05,525.00","1,579"
"14-Jul-2025","EQ","29,615.00","29,850.00","29,310.00","29,700.00","29,700.00","29,690.00","29,608.54","40,642.95","25,718.15","2,818","8,34,36,865.00","1,745"
"11-Jul-2025","EQ","29,855.00","29,970.00","29,560.00","29,740.00","29,700.00","29,700.00","29,739.92","40,642.95","25,718.15","2,991","8,89,52,100.00","1,355"
"10-Jul-2025","EQ","29,550.00","29,850.00","29,425.00","29,495.00","29,700.00","29,740.00","29,699.88","40,642.95","25,718.15","4,017","11,93,04,410.00","1,730"
"09-Jul-2025","EQ","29,680.00","29,725.00","29,420.00","29,515.00","29,430.00","29,495.00","29,553.39","40,642.95","25,718.15","4,536","13,40,54,175.00","2,353"
"08-Jul-2025","EQ","29,270.00","29,740.00","29,235.00","29,255.00","29,520.00","29,515.00","29,506.10","40,642.95","25,718.15","6,575","19,40,02,585.00","3,109"
"07-Jul-2025","EQ","29,055.00","29,495.00","28,950.00","28,945.00","29,250.00","29,255.00","29,264.35","40,642.95","25,718.15","6,007","17,57,90,960.00","2,340"
"04-Jul-2025","EQ","28,800.00","29,445.00","28,720.00","28,720.00","28,900.00","28,945.00","29,110.18","40,856.50","25,718.15","8,344","24,28,95,350.00","4,169"
"03-Jul-2025","EQ","28,500.00","28,820.00","28,450.00","28,410.00","28,610.00","28,720.00","28,669.83","40,856.50","25,718.15","4,459","12,78,38,785.00","1,943"
"02-Jul-2025","EQ","28,690.00","28,800.00","28,380.00","28,690.00","28,400.00","28,410.00","28,442.17","40,856.50","25,718.15","3,740","10,63,73,700.00","1,737"
"01-Jul-2025","EQ","28,605.00","28,755.00","28,565.00","28,500.00","28,625.00","28,690.00","28,682.72","40,856.50","25,718.15","1,832","5,25,46,750.00","892"
"30-Jun-2025","EQ","28,705.00","29,000.00","28,420.00","28,650.00","28,500.00","28,500.00","28,562.76","40,856.50","25,718.15","4,282","12,23,05,735.00","1,785"
"27-Jun-2025","EQ","28,865.00","28,865.00","28,500.00","28,605.00","28,650.00","28,650.00","28,633.82","40,856.50","25,718.15","2,909","8,32,95,795.00","1,665"
"26-Jun-2025","EQ","28,695.00","28,740.00","28,540.00","28,500.00","28,540.00","28,605.00","28,620.21","40,856.50","25,718.15","1,983","5,67,53,880.00","1,074"
"25-Jun-2025","EQ","28,550.00","28,635.00","28,440.00","28,415.00","28,490.00","28,500.00","28,540.31","40,856.50","25,718.15","4,266","12,17,52,960.00","985"
"24-Jun-2025","EQ","28,505.00","28,640.00","28,275.00","28,390.00","28,360.00","28,415.00","28,446.75","40,856.50","25,718.15","2,042","5,80,88,265.00","1,073"
"23-Jun-2025","EQ","28,490.00","28,615.00","28,305.00","28,490.00","28,390.00","28,390.00","28,435.10","40,856.50","25,718.15","1,614","4,58,94,250.00","836"
"20-Jun-2025","EQ","28,805.00","28,925.00","28,455.00","28,875.00","28,500.00","28,490.00","28,543.02","40,856.50","25,718.15","4,717","13,46,37,420.00","2,865"
"19-Jun-2025","EQ","29,090.00","29,155.00","28,725.00","29,175.00","28,800.00","28,875.00","28,875.30","40,856.50","25,718.15","1,639","4,73,26,610.00","920"
"18-Jun-2025","EQ","28,970.00","29,300.00","28,855.00","28,970.00","28,950.00","29,175.00","29,081.28","40,856.50","25,718.15","1,676","4,87,40,230.00","923"
"17-Jun-2025","EQ","29,240.00","29,315.00","28,900.00","29,145.00","28,925.00","28,970.00","29,014.30","40,856.50","25,718.15","1,917","5,56,20,415.00","944"
"16-Jun-2025","EQ","29,400.00","29,400.00","28,900.00","29,145.00","29,100.00","29,145.00","29,086.86","40,856.50","25,718.15","1,475","4,29,03,115.00","787"
"13-Jun-2025","EQ","29,195.00","29,350.00","28,935.00","29,230.00","29,115.00","29,145.00","29,141.84","40,856.50","25,718.15","2,947","8,58,81,005.00","2,262"
