ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,740.00","1,747.00","1,672.10","1,727.50","1,680.00","1,682.90","1,716.20","2,234.00","1,622.05","5,09,387","87,42,11,501.90","13,350"
"12-Aug-2025","EQ","1,715.00","1,738.90","1,707.00","1,713.20","1,730.00","1,727.50","1,717.65","2,234.00","1,622.05","58,421","10,03,46,751.80","8,108"
"11-Aug-2025","EQ","1,728.00","1,749.80","1,706.50","1,711.70","1,714.00","1,713.20","1,725.59","2,234.00","1,622.05","70,122","12,10,01,814.70","10,684"
"08-Aug-2025","EQ","1,684.70","1,723.90","1,665.00","1,682.60","1,711.00","1,711.70","1,685.67","2,234.00","1,603.30","2,40,874","40,60,35,248.90","10,708"
"07-Aug-2025","EQ","1,685.00","1,698.20","1,665.10","1,704.70","1,684.00","1,682.60","1,683.20","2,234.00","1,603.30","69,870","11,76,05,279.50","12,533"
"06-Aug-2025","EQ","1,702.90","1,727.20","1,684.00","1,710.00","1,700.00","1,704.70","1,699.94","2,234.00","1,603.30","44,819","7,61,89,438.90","7,184"
"05-Aug-2025","EQ","1,729.90","1,729.90","1,696.60","1,708.10","1,707.00","1,710.00","1,707.45","2,234.00","1,603.30","63,648","10,86,75,529.80","12,672"
"04-Aug-2025","EQ","1,670.10","1,718.00","1,657.40","1,679.20","1,707.50","1,708.10","1,680.62","2,234.00","1,603.30","1,20,216","20,20,37,792.40","18,813"
"01-Aug-2025","EQ","1,709.90","1,722.60","1,665.10","1,724.40","1,683.00","1,679.20","1,691.02","2,234.00","1,603.30","2,18,100","36,88,10,434.30","30,095"
"31-Jul-2025","EQ","1,740.00","1,767.40","1,711.00","1,759.00","1,729.80","1,724.40","1,734.37","2,234.00","1,603.30","1,14,297","19,82,33,165.10","17,529"
"30-Jul-2025","EQ","1,758.90","1,787.90","1,753.00","1,758.70","1,758.00","1,759.00","1,764.33","2,234.00","1,603.30","90,572","15,97,98,560.00","13,527"
"29-Jul-2025","EQ","1,805.50","1,815.00","1,730.50","1,805.60","1,760.00","1,758.70","1,757.24","2,234.00","1,603.30","1,49,270","26,23,03,217.00","20,085"
"28-Jul-2025","EQ","1,839.90","1,856.70","1,800.10","1,843.60","1,807.00","1,805.60","1,827.87","2,234.00","1,603.30","47,669","8,71,32,499.70","8,436"
"25-Jul-2025","EQ","1,860.00","1,860.00","1,825.30","1,870.40","1,838.70","1,843.60","1,841.20","2,234.00","1,603.30","63,666","11,72,21,780.20","11,158"
"24-Jul-2025","EQ","1,902.00","1,913.10","1,862.00","1,901.10","1,870.40","1,870.40","1,879.42","2,234.00","1,603.30","69,586","13,07,81,414.20","9,221"
"23-Jul-2025","EQ","1,908.00","1,921.10","1,882.60","1,902.70","1,904.90","1,901.10","1,895.80","2,234.00","1,603.30","53,716","10,18,34,768.10","8,978"
