ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","271.50","273.05","267.25","271.20","267.95","268.05","269.70","284.00","149.01","16,33,317","44,05,12,676.30","22,428"
"11-Aug-2025","EQ","271.90","273.80","267.00","271.80","270.75","271.20","270.29","284.00","149.01","28,20,715","76,24,13,118.55","35,168"
"08-Aug-2025","EQ","278.45","280.15","270.30","278.15","271.10","271.80","274.79","284.00","149.01","24,95,038","68,56,11,005.45","29,436"
"07-Aug-2025","EQ","276.50","279.05","271.35","277.15","278.00","278.15","275.97","284.00","149.01","43,73,593","1,20,69,79,174.60","36,126"
"06-Aug-2025","EQ","282.00","283.40","276.45","282.00","277.25","277.15","280.10","284.00","149.01","57,16,110","1,60,10,67,442.40","49,012"
"05-Aug-2025","EQ","279.00","284.00","273.00","278.45","282.00","282.00","279.80","284.00","149.01","1,75,13,902","4,90,03,74,529.50","1,36,221"
"04-Aug-2025","EQ","251.50","280.95","251.50","251.45","279.80","278.45","271.71","282.65","149.01","3,18,81,799","8,66,26,80,681.75","1,33,490"
"01-Aug-2025","EQ","256.50","256.60","250.05","256.65","251.00","251.45","253.90","282.65","149.01","35,21,144","89,40,24,048.35","36,053"
"31-Jul-2025","EQ","246.80","260.20","243.00","248.80","256.50","256.65","255.53","282.65","149.01","86,49,553","2,21,02,20,011.90","61,019"
"30-Jul-2025","EQ","252.40","252.65","246.60","252.35","249.80","248.80","248.80","282.65","149.01","33,90,277","84,35,04,408.25","36,269"
"29-Jul-2025","EQ","252.10","253.70","250.10","253.75","252.40","252.35","252.09","282.65","149.01","37,27,261","93,96,04,742.80","47,587"
"28-Jul-2025","EQ","259.00","260.45","252.75","260.35","253.20","253.75","257.31","282.65","149.01","42,54,167","1,09,46,40,275.40","44,282"
"25-Jul-2025","EQ","266.80","266.80","256.50","270.95","260.10","260.35","259.74","282.65","149.01","89,27,460","2,31,88,14,954.60","56,407"
"24-Jul-2025","EQ","268.60","272.00","264.70","268.60","270.30","270.95","268.30","282.65","149.01","23,94,933","64,25,62,145.70","33,535"
"23-Jul-2025","EQ","269.00","269.85","264.60","268.55","268.65","268.60","267.94","282.65","149.01","19,64,251","52,62,99,050.65","26,061"
"22-Jul-2025","EQ","272.50","273.75","267.55","271.05","268.60","268.55","269.90","282.65","149.01","23,26,982","62,80,62,253.90","48,680"
"21-Jul-2025","EQ","263.90","272.40","262.95","264.35","272.30","271.05","269.14","282.65","149.01","37,54,771","1,01,05,77,174.60","32,685"
"18-Jul-2025","EQ","268.50","269.55","264.00","269.00","264.10","264.35","265.91","282.65","149.01","20,08,441","53,40,66,804.05","24,551"
"17-Jul-2025","EQ","270.20","272.10","267.50","270.20","267.50","269.00","270.06","282.65","149.01","16,81,550","45,41,24,435.95","25,569"
"16-Jul-2025","EQ","270.00","272.10","268.60","270.75","270.50","270.20","270.06","282.65","149.01","23,73,145","64,08,87,424.15","38,905"
"15-Jul-2025","EQ","271.00","272.85","268.40","271.50","271.00","270.75","270.48","282.65","149.01","21,60,136","58,42,76,911.10","34,206"
"14-Jul-2025","EQ","268.00","273.15","267.65","269.45","271.00","271.50","270.87","282.65","149.01","20,37,858","55,19,87,488.50","19,912"
"11-Jul-2025","EQ","270.00","271.65","267.15","272.00","269.00","269.45","269.39","282.65","149.01","18,51,370","49,87,46,150.55","24,403"
"10-Jul-2025","EQ","276.45","277.45","270.40","273.30","271.55","272.00","273.20","282.65","149.01","21,81,407","59,59,65,547.40","24,224"
"09-Jul-2025","EQ","276.00","277.10","272.15","277.40","275.00","273.30","274.37","282.65","149.01","21,83,213","59,90,05,553.35","26,211"
"08-Jul-2025","EQ","276.25","278.45","274.40","276.25","277.20","277.40","276.47","282.65","149.01","32,24,221","89,13,93,272.40","28,796"
"07-Jul-2025","EQ","275.05","277.70","271.35","275.05","275.70","276.25","275.70","282.65","149.01","37,99,460","1,04,75,22,820.50","29,594"
"04-Jul-2025","EQ","272.80","277.35","272.75","272.60","274.75","275.05","275.05","282.65","149.01","29,39,875","80,86,24,609.75","30,072"
"03-Jul-2025","EQ","273.45","275.45","271.60","273.70","273.00","272.60","273.38","282.65","149.01","26,92,058","73,59,63,081.65","29,540"
"02-Jul-2025","EQ","280.90","280.90","272.25","280.80","273.60","273.70","274.44","282.65","149.01","71,01,210","1,94,88,26,614.55","51,796"
"01-Jul-2025","EQ","278.50","282.65","276.40","276.60","281.95","280.80","280.16","282.65","149.01","69,39,075","1,94,40,41,850.30","74,326"
"30-Jun-2025","EQ","268.00","278.09","268.00","269.33","277.60","276.60","274.59","278.09","149.01","1,04,66,882","2,87,41,44,367.80","68,477"
"27-Jun-2025","EQ","276.80","277.98","268.63","276.80","269.20","269.33","271.21","278.05","149.01","54,91,582","1,48,93,82,471.90","57,900"
"26-Jun-2025","EQ","272.33","278.05","271.96","272.33","277.06","276.80","274.72","278.05","149.01","78,48,468","2,15,60,99,419.86","77,181"
"25-Jun-2025","EQ","272.75","273.05","267.20","271.19","272.49","272.33","270.37","274.30","149.01","81,92,361","2,21,49,83,605.26","58,333"
"24-Jun-2025","EQ","269.00","274.30","266.20","264.62","271.45","271.19","270.99","274.30","149.01","1,26,92,629","3,43,96,11,322.79","89,464"
"23-Jun-2025","EQ","258.80","266.73","258.12","260.28","264.10","264.62","263.95","266.73","149.01","90,09,789","2,37,81,75,208.37","67,203"
"20-Jun-2025","EQ","255.50","263.00","255.00","255.68","260.83","260.28","260.09","263.00","149.01","2,33,37,677","6,06,98,63,541.05","1,00,997"
"19-Jun-2025","EQ","255.00","258.65","252.78","256.23","255.50","255.68","256.11","259.42","149.01","1,07,84,231","2,76,18,99,658.30","66,012"
"18-Jun-2025","EQ","256.00","259.42","253.75","255.11","254.40","256.23","256.62","259.42","149.01","1,21,29,695","3,11,27,18,176.98","85,271"
"17-Jun-2025","EQ","248.75","255.75","247.02","248.75","255.00","255.11","252.89","255.75","149.01","1,30,86,871","3,30,94,86,160.08","75,123"
"16-Jun-2025","EQ","241.40","249.44","237.39","240.37","248.50","248.75","245.35","251.00","149.01","62,93,041","1,54,39,67,080.86","62,230"
"13-Jun-2025","EQ","236.00","241.67","236.00","242.97","240.60","240.37","239.71","251.00","149.01","66,19,068","1,58,66,27,210.21","1,10,905"
"12-Jun-2025","EQ","246.25","250.98","241.70","246.25","242.00","242.97","247.14","251.00","149.01","68,45,799","1,69,18,51,293.63","45,951"
"11-Jun-2025","EQ","246.00","251.00","244.52","242.66","246.22","246.25","247.26","251.00","149.01","2,10,36,525","5,20,15,56,317.61","1,16,297"
"10-Jun-2025","EQ","241.75","246.85","240.50","240.23","243.00","242.66","244.52","246.90","149.01","99,38,548","2,43,01,37,022.17","68,595"
