ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","494.45","496.95","487.75","493.80","495.15","494.10","492.22","539.80","279.00","1,23,318","6,06,99,049.80","5,323"
"12-Aug-2025","EQ","488.70","498.00","488.65","488.70","493.00","493.80","494.70","539.80","279.00","1,55,956","7,71,51,694.40","6,382"
"11-Aug-2025","EQ","495.00","501.80","485.70","496.40","491.85","488.70","490.05","539.80","279.00","2,33,361","11,43,58,507.20","8,100"
"08-Aug-2025","EQ","504.00","505.90","492.40","504.25","494.00","496.40","498.33","539.80","279.00","2,52,531","12,58,44,640.75","7,242"
"07-Aug-2025","EQ","495.00","511.00","486.35","496.80","504.00","504.25","495.41","539.80","279.00","4,36,514","21,62,51,458.85","11,001"
"06-Aug-2025","EQ","510.70","511.00","491.60","509.40","496.55","496.80","500.12","539.80","279.00","4,20,815","21,04,56,996.60","13,418"
"05-Aug-2025","EQ","534.80","539.80","506.70","528.90","510.90","509.40","525.64","539.80","279.00","9,13,167","48,00,00,524.90","31,986"
"04-Aug-2025","EQ","513.05","530.85","508.25","510.75","529.75","528.90","522.40","531.90","279.00","6,74,680","35,24,55,512.70","18,095"
"01-Aug-2025","EQ","516.00","531.90","504.00","515.05","512.00","510.75","517.04","531.90","279.00","6,48,280","33,51,84,255.70","16,073"
"31-Jul-2025","EQ","485.00","522.50","482.00","493.90","514.00","515.05","512.64","522.50","279.00","15,21,105","77,97,73,853.40","33,710"
"30-Jul-2025","EQ","500.00","512.00","490.00","487.70","492.70","493.90","500.87","512.00","279.00","22,21,521","1,11,26,97,374.10","55,667"
"29-Jul-2025","EQ","475.25","491.50","472.30","477.45","487.00","487.70","482.39","505.90","279.00","5,45,965","26,33,66,226.55","16,953"
"28-Jul-2025","EQ","460.80","482.45","457.65","459.75","476.00","477.45","474.52","505.90","279.00","5,46,431","25,92,90,863.85","17,098"
"25-Jul-2025","EQ","472.50","474.65","457.15","470.70","460.80","459.75","463.92","505.90","279.00","3,94,597","18,30,61,727.25","13,472"
"24-Jul-2025","EQ","476.00","478.85","468.60","473.70","472.90","470.70","472.67","505.90","279.00","1,60,999","7,60,99,033.70","6,409"
"23-Jul-2025","EQ","486.00","486.05","471.95","482.40","475.10","473.70","478.11","505.90","279.00","1,90,332","9,10,00,087.50","6,567"
"22-Jul-2025","EQ","472.95","485.00","470.75","471.50","484.00","482.40","479.39","505.90","279.00","4,71,083","22,58,33,069.50","12,077"
"21-Jul-2025","EQ","477.05","483.80","468.35","479.50","470.65","471.50","474.93","505.90","279.00","2,68,447","12,74,92,285.30","9,477"
"18-Jul-2025","EQ","497.35","497.35","474.00","496.95","478.00","479.50","481.71","505.90","279.00","5,14,553","24,78,65,482.65","20,678"
"17-Jul-2025","EQ","496.00","499.00","488.40","492.15","496.00","496.95","493.62","505.90","279.00","4,67,350","23,06,92,810.50","17,134"
"16-Jul-2025","EQ","491.45","499.40","486.95","491.45","493.50","492.15","492.16","505.90","279.00","6,93,867","34,14,93,993.40","21,986"
"15-Jul-2025","EQ","488.80","505.90","481.25","486.45","490.15","491.45","493.49","505.90","279.00","15,15,037","74,76,62,726.60","49,207"
"14-Jul-2025","EQ","451.00","491.95","445.05","447.25","486.00","486.45","469.87","491.95","279.00","19,55,511","91,88,28,490.75","47,155"
"11-Jul-2025","EQ","442.75","449.80","436.60","443.40","448.00","447.25","445.02","454.80","279.00","3,86,955","17,22,01,271.15","12,586"
"10-Jul-2025","EQ","440.65","447.80","438.90","440.65","443.40","443.40","443.03","454.80","279.00","3,01,034","13,33,66,128.20","10,434"
