ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","74.65","75.11","73.80","74.65","74.00","74.02","74.53","98.00","70.55","15,53,493","11,57,84,069.53","12,308"
"11-Aug-2025","EQ","74.20","75.05","73.50","74.19","74.40","74.65","74.56","98.00","70.55","23,57,557","17,57,77,545.32","11,779"
"08-Aug-2025","EQ","76.12","76.19","73.65","76.12","73.98","74.19","74.82","98.00","70.55","39,70,094","29,70,25,704.43","17,088"
"07-Aug-2025","EQ","76.01","76.35","75.00","76.46","76.30","76.12","75.79","98.00","70.55","47,74,666","36,18,74,461.27","21,466"
"06-Aug-2025","EQ","75.80","77.60","75.04","75.17","76.30","76.46","76.35","98.00","70.55","1,31,01,425","1,00,03,44,681.26","45,753"
"05-Aug-2025","EQ","75.90","76.14","74.93","75.85","75.30","75.17","75.57","98.00","70.55","41,76,892","31,56,29,258.32","22,222"
"04-Aug-2025","EQ","73.99","76.10","72.68","73.78","75.89","75.85","74.68","98.00","70.55","78,41,958","58,56,62,249.02","27,764"
"01-Aug-2025","EQ","72.87","74.44","72.72","72.87","73.19","73.78","73.72","98.00","70.55","53,98,627","39,79,83,170.14","17,984"
"31-Jul-2025","EQ","74.01","74.48","72.67","74.65","72.79","72.87","73.41","98.00","70.55","43,44,639","31,89,34,857.69","20,587"
"30-Jul-2025","EQ","75.35","75.65","74.47","75.27","74.54","74.65","74.94","98.00","70.55","18,71,156","14,02,19,442.53","12,498"
"29-Jul-2025","EQ","73.31","75.92","73.23","73.42","75.35","75.27","74.97","98.00","70.55","64,93,424","48,67,80,098.95","27,624"
"28-Jul-2025","EQ","73.40","74.70","73.10","73.77","73.25","73.42","73.68","98.00","70.55","54,77,908","40,35,95,191.75","20,171"
"25-Jul-2025","EQ","75.26","75.40","73.45","75.67","73.77","73.77","74.26","98.00","70.55","63,88,661","47,44,15,953.71","22,093"
"24-Jul-2025","EQ","75.73","76.05","74.94","75.73","75.26","75.67","75.59","98.00","70.55","41,67,330","31,50,24,202.76","20,577"
"23-Jul-2025","EQ","76.10","76.11","74.84","75.64","75.70","75.73","75.38","98.00","70.55","66,15,907","49,86,90,747.74","21,346"
"22-Jul-2025","EQ","75.10","76.19","74.80","75.10","75.65","75.64","75.61","98.00","70.55","64,35,808","48,65,94,617.99","16,918"
"21-Jul-2025","EQ","75.50","75.69","74.56","75.51","75.10","75.10","74.98","98.00","70.55","23,61,125","17,70,35,251.33","15,050"
"18-Jul-2025","EQ","75.72","75.99","74.42","75.72","75.11","75.51","75.23","98.00","70.55","84,02,077","63,20,81,054.61","29,271"
"17-Jul-2025","EQ","76.75","76.82","75.51","76.37","75.69","75.72","75.90","98.00","70.55","53,41,173","40,54,01,871.21","23,033"
"16-Jul-2025","EQ","77.42","78.30","76.25","77.22","76.31","76.37","76.94","98.00","70.55","58,58,340","45,07,33,883.68","26,981"
"15-Jul-2025","EQ","76.80","77.44","76.61","76.60","77.15","77.22","77.01","98.00","70.55","70,22,983","54,08,25,903.06","18,224"
"14-Jul-2025","EQ","76.85","77.39","76.06","76.85","76.81","76.60","76.76","98.00","70.55","47,10,275","36,15,50,014.17","20,543"
"11-Jul-2025","EQ","77.96","77.99","76.24","77.96","76.65","76.85","76.92","98.00","70.55","48,65,004","37,42,25,570.35","18,991"
"10-Jul-2025","EQ","79.00","79.10","77.40","78.85","77.80","77.96","78.09","98.00","70.55","47,11,936","36,79,40,770.82","20,176"
"09-Jul-2025","EQ","80.00","80.09","78.25","79.52","78.80","78.85","78.95","98.00","70.55","71,46,024","56,41,49,454.34","34,180"
"08-Jul-2025","EQ","78.22","79.67","77.50","78.10","79.50","79.52","78.85","98.00","70.55","1,27,80,624","1,00,77,62,524.82","47,446"
"07-Jul-2025","EQ","78.40","78.89","77.73","78.33","77.90","78.10","78.21","98.00","70.55","55,13,100","43,11,92,245.41","24,839"
"04-Jul-2025","EQ","76.70","79.10","76.09","76.56","78.01","78.33","78.09","98.00","70.55","1,68,38,260","1,31,48,86,340.03","61,310"
"03-Jul-2025","EQ","78.05","78.29","76.38","77.89","76.50","76.56","77.34","98.00","70.55","1,04,26,657","80,63,48,462.74","37,462"
"02-Jul-2025","EQ","74.51","78.30","74.04","74.51","77.75","77.89","76.01","98.00","70.55","3,22,68,804","2,45,27,07,254.14","85,908"
"01-Jul-2025","EQ","75.20","75.29","73.75","75.00","74.49","74.51","74.57","98.00","70.55","1,27,48,619","95,06,16,098.27","52,801"
"30-Jun-2025","EQ","74.65","75.99","74.35","74.70","75.02","75.00","75.17","98.00","70.55","95,07,230","71,46,21,130.43","29,542"
