ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","858.00","886.00","855.00","849.70","856.95","858.55","868.02","911.85","556.45","6,54,733","56,83,22,865.35","43,077"
"12-Aug-2025","EQ","855.50","859.25","845.65","848.15","852.00","849.70","851.34","911.85","556.45","2,18,153","18,57,21,621.80","13,478"
"11-Aug-2025","EQ","849.15","861.75","845.90","848.85","848.90","848.15","851.10","911.85","556.45","2,32,934","19,82,49,549.40","14,463"
"08-Aug-2025","EQ","855.05","863.50","845.00","855.05","850.00","848.85","851.80","911.85","556.45","2,06,595","17,59,77,257.95","14,604"
"07-Aug-2025","EQ","845.10","867.65","843.20","854.75","851.25","855.05","852.93","911.85","556.45","2,13,730","18,22,96,495.90","16,675"
"06-Aug-2025","EQ","858.50","867.05","838.95","860.30","852.80","854.75","855.57","911.85","556.45","2,74,569","23,49,12,303.70","25,718"
"05-Aug-2025","EQ","863.80","879.00","851.05","863.75","857.80","860.30","867.04","911.85","556.45","2,69,920","23,40,32,196.45","27,157"
"04-Aug-2025","EQ","829.00","870.90","827.05","834.60","860.00","863.75","860.85","911.85","556.45","5,05,183","43,48,84,392.90","26,643"
"01-Aug-2025","EQ","855.00","858.95","831.95","858.20","834.10","834.60","841.85","911.85","556.45","1,67,256","14,08,04,637.25","12,672"
"31-Jul-2025","EQ","867.40","882.95","850.00","880.15","854.95","858.20","866.04","911.85","556.45","2,29,589","19,88,33,861.30","19,428"
"30-Jul-2025","EQ","874.20","886.00","872.20","874.20","877.45","880.15","878.32","911.85","556.45","2,41,863","21,24,33,477.75","17,182"
"29-Jul-2025","EQ","870.20","881.60","855.20","870.20","871.70","874.20","872.50","911.85","556.45","4,48,093","39,09,60,186.05","40,174"
"28-Jul-2025","EQ","855.00","883.15","854.00","852.10","865.00","870.20","872.42","911.85","556.45","4,73,635","41,32,08,968.75","41,884"
"25-Jul-2025","EQ","880.00","880.00","849.05","875.55","855.00","852.10","860.21","911.85","556.45","3,13,110","26,93,40,636.75","30,838"
"24-Jul-2025","EQ","876.45","881.60","864.45","878.35","875.85","875.55","873.39","911.85","556.45","3,98,552","34,80,89,419.70","41,020"
"23-Jul-2025","EQ","881.85","889.20","869.05","897.40","878.05","878.35","875.99","911.85","556.45","3,95,557","34,65,04,004.75","35,203"
"22-Jul-2025","EQ","895.00","901.25","880.00","885.80","899.00","897.40","893.29","911.85","556.45","4,97,043","44,40,05,156.05","29,925"
"21-Jul-2025","EQ","866.00","892.00","860.20","864.35","888.00","885.80","879.90","911.85","556.45","5,11,034","44,96,58,825.95","26,203"
"18-Jul-2025","EQ","866.00","875.25","861.40","864.15","865.00","864.35","866.04","911.85","556.45","4,56,088","39,49,89,565.55","35,046"
"17-Jul-2025","EQ","871.95","882.00","858.00","872.35","860.00","864.15","867.76","911.85","556.45","3,82,665","33,20,62,763.30","21,124"
"16-Jul-2025","EQ","869.00","878.00","861.20","864.65","872.50","872.35","870.85","911.85","556.45","3,57,343","31,11,91,664.30","33,344"
"15-Jul-2025","EQ","855.50","868.00","852.50","850.05","865.50","864.65","859.95","911.85","556.45","4,57,974","39,38,35,886.60","36,965"
"14-Jul-2025","EQ","844.95","854.60","838.00","844.30","850.90","850.05","845.73","911.85","556.45","2,64,256","22,34,90,252.85","24,528"
"11-Jul-2025","EQ","853.95","872.05","840.00","850.30","843.00","844.30","856.86","911.85","556.45","6,98,871","59,88,34,162.45","46,930"
"10-Jul-2025","EQ","819.00","854.90","818.00","817.20","852.00","850.30","843.44","911.85","556.45","10,97,172","92,53,99,969.90","58,166"
"09-Jul-2025","EQ","815.00","821.50","805.15","812.95","818.00","817.20","813.67","911.85","556.45","1,93,789","15,76,79,618.55","12,940"
"08-Jul-2025","EQ","815.00","838.45","802.00","812.75","812.00","812.95","816.99","911.85","556.45","5,40,090","44,12,48,837.15","27,948"
"07-Jul-2025","EQ","804.30","816.50","797.15","803.70","809.65","812.75","810.17","911.85","556.45","2,31,401","18,74,75,217.75","17,000"
"04-Jul-2025","EQ","821.00","821.80","800.00","817.30","804.00","803.70","807.88","911.85","556.45","2,21,599","17,90,25,113.40","19,258"
"03-Jul-2025","EQ","796.05","820.90","789.00","793.15","816.90","817.30","809.51","911.85","556.45","4,82,885","39,08,99,374.55","20,905"
"02-Jul-2025","EQ","793.00","796.60","785.00","790.60","792.85","793.15","791.09","911.85","556.45","2,14,556","16,97,32,173.95","23,216"
"01-Jul-2025","EQ","801.40","807.45","779.75","799.85","795.00","790.60","788.86","911.85","556.45","3,32,836","26,25,59,795.00","28,265"
"30-Jun-2025","EQ","766.50","815.00","763.95","763.95","800.00","799.85","801.00","911.85","556.45","11,90,147","95,33,11,544.05","58,077"
"27-Jun-2025","EQ","782.30","785.05","760.15","777.10","768.00","763.95","770.96","911.85","556.45","3,92,305","30,24,49,735.90","30,606"
"26-Jun-2025","EQ","783.50","788.80","770.00","778.35","775.05","777.10","775.95","911.85","556.45","1,49,204","11,57,75,236.95","18,858"
"25-Jun-2025","EQ","770.45","781.90","765.00","766.70","780.35","778.35","771.64","911.85","556.45","3,91,577","30,21,55,961.90","13,886"
"24-Jun-2025","EQ","766.00","774.00","761.50","756.60","766.00","766.70","767.56","911.85","556.45","2,39,587","18,38,97,548.10","15,354"
"23-Jun-2025","EQ","752.20","758.60","745.90","755.95","756.05","756.60","754.00","911.85","556.45","83,712","6,31,18,719.30","7,610"
"20-Jun-2025","EQ","735.95","758.75","735.95","735.25","757.50","755.95","750.94","911.85","556.45","1,43,872","10,80,39,223.05","12,329"
"19-Jun-2025","EQ","749.80","757.95","731.00","749.80","731.00","735.25","743.47","911.85","556.45","2,85,449","21,22,23,591.25","15,657"
"18-Jun-2025","EQ","766.30","774.25","747.95","768.80","752.00","749.80","756.56","911.85","556.45","1,97,907","14,97,27,686.00","15,481"
"17-Jun-2025","EQ","775.00","776.00","764.20","769.80","769.00","768.80","769.32","911.85","556.45","1,66,360","12,79,84,308.85","13,776"
"16-Jun-2025","EQ","765.65","777.40","753.00","765.65","767.65","769.80","767.64","911.85","556.45","1,60,358","12,30,96,462.90","14,403"
"13-Jun-2025","EQ","778.90","780.00","762.90","785.40","766.00","765.65","769.54","911.85","556.45","2,11,612","16,28,43,603.70","17,459"
"12-Jun-2025","EQ","782.15","805.00","778.00","783.30","785.00","785.40","790.65","911.85","556.45","2,49,499","19,72,66,734.30","20,879"
"11-Jun-2025","EQ","808.00","808.00","778.15","800.95","782.00","783.30","793.04","911.85","556.45","4,33,458","34,37,49,827.20","36,727"
"10-Jun-2025","EQ","813.80","818.70","796.00","808.70","797.00","800.95","805.04","911.85","556.45","3,39,123","27,30,08,772.45","27,321"
"09-Jun-2025","EQ","792.00","822.00","783.25","778.70","814.00","808.70","807.47","911.85","556.45","5,84,495","47,19,59,425.35","33,974"
"06-Jun-2025","EQ","761.90","797.00","755.75","755.55","779.80","778.70","781.73","911.85","517.35","4,76,043","37,21,38,250.65","29,579"
"05-Jun-2025","EQ","765.00","765.00","751.00","761.65","754.70","755.55","757.79","911.85","517.35","3,35,002","25,38,59,663.45","14,911"
"04-Jun-2025","EQ","750.50","764.35","749.90","752.30","759.00","761.65","760.15","911.85","517.35","4,45,757","33,88,41,853.10","15,457"
"03-Jun-2025","EQ","757.10","763.50","745.50","749.60","749.90","752.30","758.27","911.85","517.35","5,05,907","38,36,14,743.45","15,638"
"02-Jun-2025","EQ","750.00","759.40","740.95","747.05","746.90","749.60","751.21","911.85","517.35","1,92,435","14,45,58,998.30","12,755"
"30-May-2025","EQ","729.20","759.80","723.55","724.50","742.20","747.05","747.56","911.85","513.30","5,34,903","39,98,72,813.00","23,458"
"29-May-2025","EQ","737.95","741.40","722.30","735.80","725.00","724.50","728.09","911.85","513.30","1,22,715","8,93,48,040.10","9,636"
"28-May-2025","EQ","727.80","738.00","723.60","723.10","734.00","735.80","734.32","911.85","513.30","1,39,911","10,27,39,510.65","7,696"
"27-May-2025","EQ","731.10","734.00","721.50","731.10","724.00","723.10","724.83","911.85","513.30","1,54,874","11,22,57,794.10","14,123"
"26-May-2025","EQ","729.20","734.90","724.00","721.75","731.05","731.10","730.73","911.85","513.30","3,02,981","22,13,97,096.90","19,692"
"23-May-2025","EQ","705.00","723.90","702.90","708.15","716.25","721.75","715.88","911.85","512.95","1,34,488","9,62,77,290.30","8,879"
"22-May-2025","EQ","714.80","721.95","703.90","710.20","709.90","708.15","708.55","911.85","512.95","3,92,276","27,79,47,010.05","14,734"
"21-May-2025","EQ","698.25","720.00","697.00","701.35","713.90","710.20","708.23","911.85","512.95","8,58,151","60,77,64,128.10","16,872"
"20-May-2025","EQ","732.00","732.00","698.40","724.85","703.50","701.35","711.61","911.85","512.95","1,75,668","12,50,06,474.25","17,046"
"19-May-2025","EQ","707.95","739.50","703.80","707.95","727.90","724.85","724.84","911.85","512.95","8,85,716","64,20,05,880.55","39,013"
"16-May-2025","EQ","680.00","711.70","678.90","679.55","711.00","707.95","693.64","911.85","512.95","10,96,577","76,06,24,273.75","29,252"
"15-May-2025","EQ","686.00","691.75","676.60","682.60","679.00","679.55","682.56","911.85","512.95","6,73,245","45,95,30,067.80","20,877"
"14-May-2025","EQ","677.90","696.10","670.00","673.65","684.00","682.60","681.64","911.85","512.95","4,19,057","28,56,44,865.30","22,474"
"13-May-2025","EQ","680.05","685.95","668.00","681.45","674.80","673.65","676.81","911.85","512.95","2,66,433","18,03,24,398.75","17,436"
"12-May-2025","EQ","652.80","687.50","652.80","643.75","679.00","681.45","677.08","911.85","512.95","4,73,151","32,03,60,773.65","19,846"
"09-May-2025","EQ","623.00","650.45","623.00","644.80","646.00","643.75","636.01","911.85","512.95","2,49,278","15,85,42,197.35","23,418"
"08-May-2025","EQ","648.80","660.60","639.60","647.70","641.85","644.80","651.34","911.85","512.95","2,41,426","15,72,49,897.95","21,093"
"07-May-2025","EQ","630.55","648.80","630.00","632.60","648.00","647.70","641.12","911.85","512.95","1,94,991","12,50,13,030.10","22,089"
"06-May-2025","EQ","660.50","666.90","630.00","661.15","631.50","632.60","641.77","911.85","512.95","3,85,873","24,76,42,904.65","23,266"
"05-May-2025","EQ","657.45","665.00","645.60","657.45","662.80","661.15","655.64","911.85","512.95","3,11,784","20,44,19,569.40","32,694"
"02-May-2025","EQ","654.05","673.00","636.90","661.50","655.90","657.45","654.61","911.85","512.95","6,05,972","39,66,72,924.95","48,737"
"30-Apr-2025","EQ","675.00","679.20","657.60","673.70","659.80","661.50","668.55","911.85","512.95","3,80,821","25,45,99,723.80","21,779"
"29-Apr-2025","EQ","648.75","686.00","648.75","642.25","673.05","673.70","670.48","911.85","512.95","13,36,746","89,62,61,828.90","69,956"
"28-Apr-2025","EQ","645.00","658.00","631.25","642.30","644.15","642.25","644.11","911.85","512.95","7,37,843","47,52,50,354.00","47,461"
"25-Apr-2025","EQ","660.00","662.95","634.10","654.15","640.00","642.30","643.36","911.85","503.95","2,81,572","18,11,50,779.25","34,704"
"24-Apr-2025","EQ","667.00","667.00","652.30","667.15","655.95","654.15","659.78","911.85","503.95","1,39,895","9,23,00,619.10","15,369"
"23-Apr-2025","EQ","668.80","676.00","657.00","665.95","665.00","667.15","666.71","911.85","503.95","2,82,674","18,84,61,675.20","20,905"
"22-Apr-2025","EQ","649.00","682.60","645.00","644.10","670.00","665.95","667.96","911.85","503.95","4,22,250","28,20,44,599.20","30,025"
"21-Apr-2025","EQ","634.55","661.75","593.85","626.05","650.40","644.10","637.87","911.85","503.95","8,46,279","53,98,13,492.35","56,324"
"17-Apr-2025","EQ","639.00","639.00","618.05","633.90","624.00","626.05","625.92","911.85","480.10","2,64,741","16,57,07,636.35","23,933"
"16-Apr-2025","EQ","631.95","638.80","623.05","629.05","634.80","633.90","632.60","911.85","480.10","1,67,694","10,60,83,331.25","17,902"
"15-Apr-2025","EQ","630.00","641.50","625.00","625.05","629.30","629.05","632.07","911.85","480.10","1,99,529","12,61,16,128.40","21,639"
"11-Apr-2025","EQ","634.95","643.55","615.35","619.90","624.80","625.05","626.16","911.85","471.25","6,16,815","38,62,24,268.95","26,874"
"09-Apr-2025","EQ","623.35","627.40","616.70","623.35","624.50","619.90","619.66","911.85","471.25","2,42,609","15,03,34,144.55","22,211"
"08-Apr-2025","EQ","634.25","644.95","620.10","633.80","625.00","623.35","628.12","911.85","471.25","2,45,581","15,42,54,688.95","29,095"
"07-Apr-2025","EQ","556.45","646.00","556.45","654.50","634.20","633.80","621.92","911.85","471.25","2,38,523","14,83,42,762.75","30,304"
"04-Apr-2025","EQ","662.00","662.00","649.95","663.20","655.35","654.50","653.60","911.85","455.00","2,83,426","18,52,46,746.50","20,186"
"03-Apr-2025","EQ","645.50","667.45","642.20","648.85","664.40","663.20","657.12","911.85","455.00","1,59,918","10,50,84,541.85","16,661"
"02-Apr-2025","EQ","642.00","650.45","630.60","641.40","643.00","648.85","641.66","911.85","455.00","1,03,458","6,63,84,904.10","14,013"
"01-Apr-2025","EQ","636.25","652.20","630.00","636.70","639.90","641.40","641.00","911.85","455.00","1,33,536","8,55,96,835.15","15,219"
"28-Mar-2025","EQ","650.00","654.55","634.35","643.65","636.05","636.70","643.77","911.85","450.25","1,58,171","10,18,25,810.90","17,468"
"27-Mar-2025","EQ","625.10","647.90","621.00","630.45","645.00","643.65","638.44","911.85","450.25","1,97,182","12,58,88,045.70","27,781"
