ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","991.80","1,004.40","935.50","1,008.60","944.00","943.40","953.99","1,600.00","917.45","14,66,117","1,39,86,67,929.80","84,551"
"11-Aug-2025","EQ","1,050.00","1,059.60","1,005.20","1,078.10","1,008.90","1,008.60","1,019.08","1,600.00","917.45","5,97,508","60,89,06,760.00","52,213"
"08-Aug-2025","EQ","1,111.00","1,115.00","1,072.40","1,104.90","1,075.00","1,078.10","1,089.58","1,600.00","917.45","1,19,283","12,99,67,985.50","15,429"
"07-Aug-2025","EQ","1,080.00","1,130.60","1,062.60","1,080.90","1,108.00","1,104.90","1,096.34","1,600.00","917.45","1,82,704","20,03,06,378.30","18,475"
"06-Aug-2025","EQ","1,095.80","1,100.00","1,075.00","1,093.60","1,084.00","1,080.90","1,082.95","1,600.00","917.45","90,813","9,83,45,687.20","10,209"
"05-Aug-2025","EQ","1,115.00","1,115.00","1,083.60","1,105.10","1,097.00","1,093.60","1,096.91","1,600.00","917.45","1,15,677","12,68,86,888.40","13,482"
"04-Aug-2025","EQ","1,115.00","1,123.20","1,097.00","1,115.00","1,107.00","1,105.10","1,106.13","1,600.00","917.45","89,821","9,93,53,318.70","12,349"
"01-Aug-2025","EQ","1,132.00","1,141.00","1,111.60","1,132.50","1,115.10","1,115.00","1,122.65","1,600.00","917.45","61,724","6,92,94,425.20","8,411"
"31-Jul-2025","EQ","1,129.10","1,140.00","1,107.90","1,137.30","1,131.60","1,132.50","1,125.35","1,600.00","917.45","90,902","10,22,96,972.70","9,285"
"30-Jul-2025","EQ","1,125.00","1,139.10","1,116.30","1,118.60","1,137.90","1,137.30","1,131.17","1,600.00","917.45","95,878","10,84,54,163.30","9,282"
"29-Jul-2025","EQ","1,095.00","1,125.90","1,077.70","1,092.70","1,124.90","1,118.60","1,104.47","1,600.00","917.45","1,12,164","12,38,81,562.00","12,182"
"28-Jul-2025","EQ","1,107.60","1,124.30","1,090.00","1,102.40","1,091.80","1,092.70","1,104.14","1,600.00","917.45","1,40,295","15,49,04,762.10","15,887"
"25-Jul-2025","EQ","1,130.00","1,131.00","1,097.70","1,128.90","1,105.00","1,102.40","1,107.40","1,600.00","917.45","1,70,202","18,84,81,166.50","19,307"
"24-Jul-2025","EQ","1,141.00","1,151.90","1,124.70","1,140.60","1,128.00","1,128.90","1,134.30","1,600.00","917.45","1,10,048","12,48,27,596.20","12,129"
"23-Jul-2025","EQ","1,156.60","1,156.60","1,133.90","1,144.60","1,144.90","1,140.60","1,140.16","1,600.00","917.45","1,53,723","17,52,69,093.80","13,503"
"22-Jul-2025","EQ","1,143.20","1,154.90","1,136.60","1,137.60","1,148.00","1,144.60","1,144.36","1,600.00","917.45","1,63,084","18,66,26,476.60","14,013"
