ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","289.00","294.00","280.05","285.90","282.55","282.10","287.40","303.94","167.75","14,88,702","42,78,53,989.50","28,339"
"12-Aug-2025","EQ","275.90","287.00","272.85","275.65","285.30","285.90","281.60","303.94","167.75","14,77,339","41,60,17,897.95","22,446"
"11-Aug-2025","EQ","271.95","276.90","266.35","270.90","275.00","275.65","272.14","303.94","167.75","5,41,068","14,72,45,833.10","11,869"
"08-Aug-2025","EQ","278.05","278.40","268.45","276.80","271.05","270.90","270.94","303.94","167.75","4,92,465","13,34,29,493.60","11,107"
"07-Aug-2025","EQ","265.95","279.00","265.70","266.40","277.50","276.80","272.31","303.94","167.75","10,83,120","29,49,44,394.15","24,907"
"06-Aug-2025","EQ","271.95","274.85","263.25","271.90","266.40","266.40","266.46","303.94","167.75","8,95,144","23,85,24,164.95","17,932"
"05-Aug-2025","EQ","278.00","279.85","271.00","276.55","271.50","271.90","274.94","303.94","167.75","4,62,267","12,70,97,408.95","10,145"
"04-Aug-2025","EQ","278.00","278.95","273.40","276.55","278.50","276.55","275.84","303.94","167.75","5,45,429","15,04,48,449.85","12,441"
"01-Aug-2025","EQ","278.15","285.80","275.00","278.25","276.60","276.55","281.34","303.94","167.75","12,20,429","34,33,51,762.60","22,369"
"31-Jul-2025","EQ","273.99","283.40","269.00","278.91","277.90","278.25","279.20","303.94","167.75","17,49,832","48,85,48,382.04","35,652"
"30-Jul-2025","EQ","288.15","288.90","278.00","286.65","278.49","278.91","281.21","303.94","167.75","12,13,198","34,11,66,431.35","18,836"
"29-Jul-2025","EQ","295.83","303.69","285.65","294.34","287.39","286.65","293.97","303.94","167.75","46,06,747","1,35,42,31,341.75","58,561"
"28-Jul-2025","EQ","284.85","297.48","284.12","270.45","296.00","294.34","293.11","303.94","167.75","1,34,01,269","3,92,80,98,394.93","1,32,152"
"25-Jul-2025","EQ","279.80","283.93","268.55","280.06","271.80","270.45","274.71","303.94","167.75","14,35,325","39,42,97,595.91","27,924"
"24-Jul-2025","EQ","286.00","289.03","278.01","286.19","278.93","280.06","283.05","303.94","167.75","8,28,204","23,44,25,109.80","18,387"
"23-Jul-2025","EQ","284.71","287.71","279.06","283.83","286.00","286.19","283.40","303.94","167.75","9,32,959","26,43,97,213.44","23,833"
"22-Jul-2025","EQ","288.00","290.00","282.10","286.27","284.61","283.83","285.61","303.94","167.75","10,46,101","29,87,77,442.46","20,645"
"21-Jul-2025","EQ","275.95","288.60","274.41","275.54","287.00","286.27","284.20","303.94","167.75","23,31,877","66,27,14,116.27","34,085"
"18-Jul-2025","EQ","281.75","287.10","274.60","278.54","275.00","275.54","279.33","303.94","167.75","15,46,289","43,19,23,845.73","23,853"
"17-Jul-2025","EQ","282.99","286.00","274.20","279.36","278.20","278.54","279.95","303.94","167.75","17,87,540","50,04,14,151.34","28,447"
"16-Jul-2025","EQ","282.99","286.59","278.80","282.64","279.50","279.36","281.45","303.94","167.75","17,14,724","48,26,01,070.13","27,754"
"15-Jul-2025","EQ","291.47","293.80","281.60","291.47","282.98","282.64","285.38","303.94","167.75","19,52,696","55,72,59,341.67","27,982"
"14-Jul-2025","EQ","295.78","303.52","287.50","295.39","290.79","291.47","294.93","303.94","167.75","37,58,494","1,10,84,93,823.70","50,244"
"11-Jul-2025","EQ","293.90","303.94","288.37","287.08","292.50","295.39","296.53","303.94","167.75","1,10,61,972","3,28,02,34,603.06","1,48,197"
"10-Jul-2025","EQ","264.26","289.24","264.00","262.95","289.24","287.08","282.15","292.40","167.75","1,49,43,670","4,21,64,25,003.48","1,72,946"
"09-Jul-2025","EQ","258.33","271.60","258.33","258.33","263.60","262.95","265.59","292.40","167.75","27,96,862","74,28,07,935.68","47,777"
"08-Jul-2025","EQ","256.00","260.00","249.86","254.61","259.00","258.33","254.84","292.40","167.75","7,71,161","19,65,19,927.54","16,003"
"07-Jul-2025","EQ","249.85","264.80","249.13","249.57","253.00","254.61","257.28","292.40","167.75","31,49,812","81,03,76,558.57","48,471"
"04-Jul-2025","EQ","250.00","250.40","247.15","249.70","249.85","249.57","249.42","292.40","167.75","4,36,305","10,88,24,229.29","7,303"
"03-Jul-2025","EQ","250.09","251.00","248.11","250.02","250.00","249.70","249.63","292.40","167.75","3,43,252","8,56,84,743.26","7,889"
"02-Jul-2025","EQ","250.00","253.00","245.40","248.74","249.43","250.02","248.61","292.40","167.75","5,06,322","12,58,76,185.32","13,002"
"01-Jul-2025","EQ","250.25","250.83","247.04","249.20","248.70","248.74","249.31","292.40","167.75","4,20,995","10,49,57,476.29","13,568"
"30-Jun-2025","EQ","249.35","251.20","248.00","249.15","248.50","249.20","249.66","292.40","167.75","3,23,935","8,08,73,755.35","13,272"
"27-Jun-2025","EQ","248.45","250.25","246.80","246.50","248.60","249.15","248.67","292.40","167.75","5,01,356","12,46,70,686.55","13,604"
"26-Jun-2025","EQ","253.15","255.00","245.05","248.20","246.30","246.50","249.82","292.40","167.75","6,83,531","17,07,56,997.35","16,473"
"25-Jun-2025","EQ","251.00","251.10","246.25","249.10","247.85","248.20","248.73","292.40","167.75","6,30,745","15,68,87,756.65","13,975"
"24-Jun-2025","EQ","251.70","252.00","247.75","245.60","248.10","249.10","249.58","292.40","167.75","4,60,554","11,49,44,516.65","12,149"
"23-Jun-2025","EQ","242.30","252.50","241.50","247.65","247.00","245.60","246.86","292.40","167.75","7,04,218","17,38,41,448.15","16,254"
"20-Jun-2025","EQ","245.00","252.00","241.50","245.80","247.95","247.65","247.44","292.40","167.75","6,70,595","16,59,33,353.30","15,378"
"19-Jun-2025","EQ","253.70","254.70","243.05","253.75","245.00","245.80","246.98","292.40","167.75","5,56,630","13,74,78,136.45","12,915"
"18-Jun-2025","EQ","252.00","256.15","247.25","248.95","254.95","253.75","252.71","292.40","167.75","9,45,904","23,90,34,981.10","13,513"
"17-Jun-2025","EQ","242.00","252.50","240.95","243.40","249.00","248.95","247.03","292.40","167.75","7,04,984","17,41,53,968.55","12,855"
"16-Jun-2025","EQ","245.45","246.45","236.00","245.20","242.30","243.40","241.61","292.40","167.75","4,70,750","11,37,38,886.75","15,965"
"13-Jun-2025","EQ","239.00","246.65","236.70","243.95","245.95","245.20","242.02","292.40","167.75","4,88,305","11,81,80,826.40","12,859"
"12-Jun-2025","EQ","256.00","256.00","243.00","253.10","243.60","243.95","246.50","292.40","167.75","6,87,392","16,94,39,807.10","18,665"
"11-Jun-2025","EQ","254.85","257.45","250.90","252.65","252.75","253.10","254.42","292.40","167.75","4,65,102","11,83,29,184.20","11,982"
"10-Jun-2025","EQ","252.00","259.10","248.05","248.10","252.95","252.65","252.83","292.40","167.75","7,70,609","19,48,31,984.25","15,930"
"09-Jun-2025","EQ","251.70","253.40","247.10","250.85","248.95","248.10","249.71","292.40","167.75","4,29,479","10,72,43,989.55","10,010"
"06-Jun-2025","EQ","254.00","254.65","249.20","253.75","249.55","250.85","252.28","292.40","167.75","2,58,526","6,52,20,923.10","7,327"
"05-Jun-2025","EQ","254.30","255.45","248.90","253.70","252.75","253.75","252.12","292.40","167.75","23,16,112","58,39,40,782.25","13,199"
"04-Jun-2025","EQ","251.55","255.40","249.20","251.30","253.65","253.70","252.73","292.40","167.75","2,48,499","6,28,02,567.60","8,224"
"03-Jun-2025","EQ","259.00","260.00","250.10","257.95","251.40","251.30","254.46","292.40","167.75","4,36,770","11,11,41,527.15","14,098"
"02-Jun-2025","EQ","261.25","261.80","256.50","263.55","257.20","257.95","258.35","292.40","167.75","4,85,096","12,53,26,378.50","12,030"
"30-May-2025","EQ","258.70","268.79","256.12","257.60","261.70","263.55","263.30","292.40","167.75","45,48,919","1,19,77,47,227.24","61,128"
"29-May-2025","EQ","253.75","259.90","248.80","253.97","257.00","257.60","253.97","292.40","167.75","8,45,414","21,47,09,005.90","22,549"
"28-May-2025","EQ","247.98","255.40","247.98","246.09","253.75","253.97","253.69","292.40","167.75","7,74,891","19,65,85,038.84","18,231"
"27-May-2025","EQ","247.10","248.95","240.27","247.03","245.78","246.09","244.62","292.40","167.75","5,50,588","13,46,86,340.50","17,795"
"26-May-2025","EQ","250.01","255.47","244.36","250.76","246.50","247.03","249.56","292.40","167.75","5,72,948","14,29,86,328.67","15,540"
"23-May-2025","EQ","252.45","256.25","244.10","252.65","249.50","250.76","250.81","292.40","167.75","10,37,985","26,03,35,148.45","36,280"
"22-May-2025","EQ","243.88","258.00","242.12","243.76","252.25","252.65","252.28","292.40","167.75","32,65,198","82,37,48,893.11","39,935"
"21-May-2025","EQ","245.00","245.00","236.61","237.62","243.05","243.76","241.33","292.40","167.75","8,24,479","19,89,72,339.99","16,749"
"20-May-2025","EQ","247.00","248.94","235.00","246.67","237.00","237.62","239.94","292.40","167.75","13,29,089","31,89,04,569.45","31,114"
"19-May-2025","EQ","240.00","248.80","237.00","234.12","248.00","246.67","244.24","292.40","167.75","16,24,637","39,68,06,775.52","28,496"
"16-May-2025","EQ","235.98","238.00","231.31","235.51","233.80","234.12","234.35","292.40","167.75","6,49,640","15,22,45,458.15","16,204"
"15-May-2025","EQ","240.33","240.33","232.00","237.78","235.50","235.51","234.69","292.40","167.75","6,18,546","14,51,63,772.86","16,039"
"14-May-2025","EQ","225.00","242.90","224.27","221.04","237.99","237.78","236.52","292.40","167.75","24,82,680","58,72,12,340.84","41,408"
