Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_200,EMA_50,EMA_100
2023-11-03,EQ,780.00,798.80,777.30,774.30,795.00,795.4,793.22,916.00,395.1,"43,10,765","3,41,93,71,718.80","64,474",765.9764593187705,798.2452489354145,783.4488688960353
2023-11-06,EQ,801.50,806.25,799.30,795.40,802.00,802.5,802.96,916.00,395.1,"22,70,316","1,82,29,73,332.05","45,329",766.3398776340066,798.4121019183394,783.8261190169059
2023-11-07,EQ,803.00,808.40,796.00,802.50,798.05,797.55,799.94,916.00,395.1,"23,94,891","1,91,57,61,347.25","47,201",766.6504261152603,798.3782939999732,784.097879036373
2023-11-08,EQ,802.00,823.80,800.05,797.55,817.20,818.7,816.11,916.00,395.1,"51,23,208","4,18,11,08,886.55","89,856",767.1683323230687,799.175223647033,784.7830695505043
2023-11-09,EQ,825.00,827.70,798.10,818.70,806.05,806.2,812.47,916.00,395.1,"49,82,049","4,04,77,67,440.00","1,03,935",767.5567071258242,799.4507050726396,785.2071671831676
2023-11-10,EQ,808.00,818.80,806.20,806.20,809.95,808.6,811.58,916.00,395.1,"39,03,183","3,16,77,42,392.35","66,315",767.9650980996967,799.809500952144,785.6703915953821
2023-11-12,EQ,816.70,816.70,811.00,808.60,811.60,812.25,813.44,916.00,395.1,"2,65,239","21,57,56,740.15","10,052",768.4057438897495,800.2973636599031,786.1967204746813
2023-11-13,EQ,810.00,828.00,807.50,812.25,810.35,809.85,811.05,916.00,395.1,"10,50,882","85,23,12,736.95","29,224",768.818124547563,800.6719768497109,786.6651022474599
2023-11-15,EQ,818.00,818.00,809.05,809.85,811.00,810.75,812.30,916.00,395.1,"16,94,698","1,37,66,09,092.90","36,310",769.2353571391295,801.0671934438399,787.142030915827
2023-11-16,EQ,814.40,818.40,808.10,810.75,814.00,813.6,813.91,916.00,395.1,"16,89,762","1,37,53,10,877.75","56,941",769.6767963715761,801.5586760538854,787.6659510957116
2023-11-17,EQ,811.70,821.95,809.05,813.60,810.00,810.05,813.09,916.00,395.1,"32,18,979","2,61,73,28,031.20","52,220",770.0785197907644,801.8916691498115,788.1091995888659
2023-11-20,EQ,810.05,816.00,801.10,810.05,802.70,803.6,808.53,912.00,395.1,"32,27,659","2,60,96,63,865.20","45,735",770.412066857523,801.9586625164856,788.4159481118586
2023-11-21,EQ,805.00,814.90,799.30,803.60,801.00,801.35,806.60,912.00,395.1,"36,43,664","2,93,89,81,343.30","55,240",770.7199069882939,801.934793398192,788.6720679512277
2023-11-22,EQ,804.00,804.95,788.55,801.35,792.00,791.9,793.33,912.00,395.1,"32,12,329","2,54,84,47,110.00","53,628",770.9306541824403,801.541272088459,788.7359873977381
2023-11-23,EQ,795.00,804.70,791.45,791.90,793.20,793.1,796.26,912.00,395.1,"37,76,615","3,00,71,53,342.85","50,591",771.1512446880877,801.2102418104803,788.8224034888719
2023-11-24,EQ,795.90,802.95,785.00,793.10,801.00,795.55,790.29,912.00,395.1,"44,21,350","3,49,41,59,507.65","71,988",771.3940183727833,800.9882715434027,788.9556232217656
2023-11-28,EQ,806.00,854.40,806.00,795.55,840.50,837.7,836.47,912.00,395.1,"1,59,29,818","13,32,48,39,266.80","2,39,460",772.0537793839994,802.4279471691516,789.9208584054929
2023-11-29,EQ,850.00,850.00,833.30,837.70,835.15,835.55,838.73,912.00,395.1,"80,57,644","6,75,81,59,629.60","1,36,229",772.6855825742084,803.7268512017339,790.8244057638
2023-11-30,EQ,839.00,839.00,823.00,835.55,827.20,825.5,828.73,912.00,395.1,"59,98,210","4,97,09,18,487.90","1,07,634",773.2110991655098,804.5807001742149,791.5110511942198
2023-12-01,EQ,839.20,839.20,825.50,825.50,827.00,827.8,829.12,912.00,395.1,"29,32,775","2,43,16,28,963.75","52,074",773.7542723081416,805.4912609516967,792.2296442398788
2023-12-04,EQ,865.00,883.35,858.50,827.80,878.70,878.65,872.49,912.00,395.1,"1,10,64,795","9,65,38,77,757.35","1,95,708",774.7980108921403,808.3602311104538,793.9409384133465
2023-12-05,EQ,884.00,"1,024.30",880.00,878.65,"1,010.00",1013.1,967.15,"1,024.30",395.1,"4,65,64,412","45,03,48,49,029.15","6,87,742",777.1691749628653,816.389241655142,798.2807218111021
2023-12-06,EQ,"1,045.00","1,082.50","1,008.10","1,013.10","1,020.50",1017.95,"1,039.65","1,082.50",395.1,"4,10,08,947","42,63,48,03,598.70","7,69,718",779.5650040677125,824.2935851196462,802.6306085079119
2023-12-07,EQ,"1,029.00","1,058.75","1,021.65","1,017.95","1,044.00",1039.65,"1,041.54","1,082.50",395.1,"1,48,40,081","15,45,65,04,885.30","3,12,297",782.1529144749991,832.7389347227974,807.324061804785
2023-12-08,EQ,"1,048.00","1,055.00",992.30,"1,039.65","1,021.10",1022.95,"1,023.19","1,082.50",395.1,"1,22,02,462","12,48,53,77,517.40","2,75,635",784.5489053757454,840.1981921846485,811.593882363106
2023-12-11,EQ,"1,026.80","1,048.00","1,015.65","1,022.95","1,033.40",1031.9,"1,032.23","1,082.50",395.1,"78,89,666","8,14,39,86,966.05","1,79,709",787.0101102973799,847.7159101381918,815.9563797420544
2023-12-12,EQ,"1,037.05","1,048.45","1,023.25","1,031.90","1,039.55",1041.95,"1,038.57","1,082.50",395.1,"49,02,289","5,09,13,82,444.55","1,24,557",789.546825617804,855.3329332700275,820.4315009352811
2023-12-13,EQ,"1,045.00","1,075.00","1,028.80","1,041.95","1,074.00",1063.5,"1,047.81","1,082.50",395.1,"81,51,639","8,54,13,89,122.65","1,73,343",792.2727278504626,863.4963476515951,825.244738540523
2023-12-14,EQ,"1,080.00","1,089.90","1,063.00","1,063.50","1,073.00",1074.7,"1,072.87","1,089.90",395.1,"80,04,131","8,58,73,61,365.30","1,85,156",795.0829494638909,871.7788438221207,830.1844466882354
2023-12-15,EQ,"1,079.00","1,086.50","1,067.05","1,074.70","1,078.00",1078.55,"1,078.18","1,089.90",395.1,"1,16,72,787","12,58,53,31,077.30","1,66,848",797.903517130917,879.8875166134101,835.1025764567852
2023-12-18,EQ,"1,079.00","1,102.40","1,072.75","1,078.55","1,090.00",1094.3,"1,090.52","1,102.40",395.1,"54,48,342","5,94,15,24,074.50","1,14,853",800.8527358659327,888.2958492952371,840.2351987051657
2023-12-19,EQ,"1,095.00","1,099.00","1,068.60","1,094.30","1,075.00",1074.0,"1,080.85","1,102.40",395.1,"59,93,252","6,47,78,13,788.20","1,32,457",803.5706190911474,895.5783650091494,844.8642046714
2023-12-20,EQ,"1,078.00","1,083.85","1,005.00","1,074.00","1,007.00",1012.15,"1,049.86","1,102.40",395.1,"84,67,564","8,88,97,83,034.35","1,82,290",805.6460358166087,900.1498016754572,848.1767946779069
2023-12-21,EQ,996.15,"1,028.00",989.25,"1,012.15","1,025.45",1018.95,"1,016.45","1,102.40",395.1,"53,52,057","5,44,00,73,860.60","1,71,620",807.7684633209211,904.808632982302,851.5584423080473
2023-12-22,EQ,"1,034.00","1,050.95","1,019.00","1,018.95","1,028.00",1027.5,"1,033.87","1,102.40",395.1,"52,52,106","5,42,99,79,268.30","1,27,018",809.9548467704642,909.6200591398588,855.0424335494722
2023-12-26,EQ,"1,034.10","1,041.00","1,026.10","1,027.50","1,027.00",1028.75,"1,031.97","1,102.40",395.1,"21,76,775","2,24,63,71,709.90","88,584",812.1319129717532,914.2918215265312,858.4821873405717
