ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","594.80","594.80","583.50","591.50","584.40","585.60","588.97","706.75","432.00","18,04,693","1,06,29,02,841.95","37,650"
"12-Aug-2025","EQ","595.25","598.40","589.20","593.90","595.95","591.50","593.30","706.75","432.00","22,82,587","1,35,42,53,609.35","41,769"
"11-Aug-2025","EQ","576.90","599.00","571.20","576.90","597.00","593.90","585.08","706.75","432.00","30,30,490","1,77,30,78,045.65","48,677"
"08-Aug-2025","EQ","582.00","583.30","574.00","578.95","575.00","576.90","578.95","719.20","432.00","25,68,412","1,48,69,92,597.00","50,901"
"07-Aug-2025","EQ","561.10","582.00","552.25","567.45","581.00","578.95","567.26","719.20","432.00","71,48,701","4,05,51,47,578.05","1,19,610"
"06-Aug-2025","EQ","579.95","581.95","565.60","579.50","567.00","567.45","571.60","719.20","432.00","15,20,912","86,93,53,645.25","35,698"
"05-Aug-2025","EQ","584.00","584.10","575.80","584.00","578.60","579.50","579.05","719.20","432.00","15,19,871","88,00,75,531.70","30,825"
"04-Aug-2025","EQ","567.00","587.70","564.15","567.00","582.00","584.00","576.53","719.20","432.00","27,35,010","1,57,68,12,754.95","48,062"
"01-Aug-2025","EQ","588.00","592.95","564.00","588.10","565.40","567.00","579.28","752.90","432.00","62,14,960","3,60,01,81,925.00","98,549"
"31-Jul-2025","EQ","580.00","591.90","577.30","589.70","587.35","588.10","585.52","752.90","432.00","25,46,236","1,49,08,70,760.05","42,226"
"30-Jul-2025","EQ","594.00","602.30","587.10","592.55","588.00","589.70","592.86","752.90","432.00","29,11,869","1,72,63,26,331.75","40,328"
"29-Jul-2025","EQ","570.00","594.70","566.30","570.65","591.95","592.55","584.06","752.90","432.00","51,70,536","3,01,98,91,724.85","70,448"
"28-Jul-2025","EQ","569.80","576.95","561.00","570.00","571.60","570.65","570.27","752.90","432.00","26,82,244","1,52,95,98,637.00","38,154"
"25-Jul-2025","EQ","583.90","584.40","568.00","585.75","571.00","570.00","575.46","752.90","432.00","23,00,573","1,32,38,88,791.30","43,405"
"24-Jul-2025","EQ","590.80","592.90","583.30","588.95","584.70","585.75","586.83","752.90","432.00","16,31,109","95,71,85,860.05","29,508"
"23-Jul-2025","EQ","592.80","596.20","587.15","590.55","589.30","588.95","590.43","752.90","432.00","19,20,037","1,13,36,41,786.90","31,568"
"22-Jul-2025","EQ","599.10","601.45","587.00","596.60","587.10","590.55","593.58","752.90","432.00","20,78,991","1,23,40,57,505.80","30,994"
"21-Jul-2025","EQ","596.00","603.50","591.10","594.65","598.00","596.60","596.45","752.90","432.00","20,43,900","1,21,90,83,430.65","35,278"
"18-Jul-2025","EQ","598.60","599.40","588.45","598.65","595.45","594.65","593.85","752.90","432.00","31,04,464","1,84,35,94,324.10","47,489"
"17-Jul-2025","EQ","607.45","608.65","597.50","604.85","598.00","598.65","602.75","752.90","432.00","35,15,846","2,11,91,81,517.55","46,645"
"16-Jul-2025","EQ","609.90","614.30","603.00","608.10","605.00","604.85","608.14","752.90","432.00","37,09,911","2,25,61,31,436.65","51,512"
