ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","736.00","753.75","734.05","735.35","752.00","752.00","744.27","1,071.00","725.00","69,125","5,14,47,936.70","6,194"
"12-Aug-2025","EQ","733.00","738.00","730.00","733.50","735.85","735.35","734.31","1,071.00","725.00","65,919","4,84,04,895.15","5,938"
"11-Aug-2025","EQ","734.05","742.50","730.00","734.05","731.95","733.50","733.96","1,071.00","725.00","49,621","3,64,19,821.70","4,527"
"08-Aug-2025","EQ","745.95","748.95","730.70","748.35","734.00","734.05","739.00","1,071.00","725.00","79,862","5,90,18,155.95","6,894"
"07-Aug-2025","EQ","749.10","757.00","739.75","757.00","746.00","748.35","746.55","1,071.00","725.00","87,151","6,50,62,984.00","8,356"
"06-Aug-2025","EQ","765.50","765.70","745.00","767.65","753.00","757.00","753.66","1,071.00","725.00","1,56,158","11,76,90,341.75","12,992"
"05-Aug-2025","EQ","764.20","771.00","756.00","768.45","760.35","767.65","764.13","1,071.00","725.00","85,128","6,50,49,022.85","6,000"
"04-Aug-2025","EQ","753.50","771.00","748.55","753.50","763.60","768.45","760.33","1,071.00","725.00","1,07,471","8,17,12,958.20","6,813"
"01-Aug-2025","EQ","767.50","773.90","751.10","766.95","753.00","753.50","759.97","1,071.00","725.00","66,016","5,01,70,183.50","5,345"
"31-Jul-2025","EQ","758.00","782.00","753.55","768.15","768.00","766.95","769.22","1,071.00","725.00","96,889","7,45,28,513.10","6,464"
"30-Jul-2025","EQ","780.00","786.50","765.00","776.50","768.00","768.15","771.43","1,071.00","725.00","89,458","6,90,11,018.90","6,929"
"29-Jul-2025","EQ","764.50","782.00","755.90","764.10","777.00","776.50","769.01","1,071.00","725.00","1,47,028","11,30,66,129.95","9,777"
"28-Jul-2025","EQ","781.50","786.95","760.50","781.45","763.00","764.10","770.50","1,071.00","725.00","2,09,278","16,12,49,551.70","12,817"
"25-Jul-2025","EQ","825.00","844.00","780.00","808.00","781.00","781.45","809.34","1,071.00","725.00","7,53,235","60,96,26,041.65","31,230"
"24-Jul-2025","EQ","815.95","819.65","801.25","807.25","806.00","808.00","809.57","1,071.00","725.00","97,032","7,85,54,138.25","7,083"
"23-Jul-2025","EQ","812.00","816.05","782.75","812.45","807.00","807.25","801.71","1,071.00","725.00","1,22,365","9,81,01,157.45","9,964"
"22-Jul-2025","EQ","818.80","824.15","807.00","818.80","812.00","812.45","812.93","1,071.00","725.00","61,400","4,99,13,936.10","4,332"
"21-Jul-2025","EQ","822.60","828.20","813.05","822.60","813.05","818.80","820.45","1,071.00","725.00","60,323","4,94,91,758.10","3,977"
"18-Jul-2025","EQ","819.50","830.00","806.00","819.75","816.30","822.60","818.19","1,071.00","725.00","1,12,572","9,21,05,770.00","7,474"
"17-Jul-2025","EQ","813.00","825.00","810.15","818.40","819.50","819.75","817.66","1,071.00","725.00","72,497","5,92,78,077.50","6,224"
"16-Jul-2025","EQ","825.00","829.20","813.00","824.20","813.00","818.40","819.34","1,071.00","725.00","1,08,087","8,85,60,493.85","7,713"
"15-Jul-2025","EQ","780.00","837.00","778.85","776.00","822.00","824.20","815.49","1,071.00","725.00","5,78,406","47,16,86,746.50","22,733"
"14-Jul-2025","EQ","777.55","783.15","770.05","778.55","774.00","776.00","774.17","1,071.00","725.00","65,834","5,09,66,899.85","4,861"
"11-Jul-2025","EQ","783.70","786.45","775.00","780.45","775.70","778.55","779.58","1,071.00","725.00","67,374","5,25,23,711.90","4,410"
"10-Jul-2025","EQ","778.00","786.90","777.60","780.85","780.00","780.45","781.56","1,071.00","725.00","51,721","4,04,22,951.90","3,328"
"09-Jul-2025","EQ","786.25","787.65","777.55","782.40","778.30","780.85","781.09","1,071.00","725.00","71,947","5,61,97,381.25","5,042"
"08-Jul-2025","EQ","796.00","811.50","780.10","793.50","780.55","782.40","796.39","1,071.00","725.00","1,70,364","13,56,76,433.50","9,532"
"07-Jul-2025","EQ","778.80","799.90","775.25","778.80","793.20","793.50","790.25","1,071.00","725.00","3,10,587","24,54,40,489.95","17,017"
"04-Jul-2025","EQ","757.90","785.00","754.90","754.90","776.60","778.80","774.63","1,071.00","725.00","4,45,964","34,54,55,151.40","18,345"
"03-Jul-2025","EQ","756.75","760.00","746.50","751.95","758.00","754.90","751.03","1,071.00","725.00","1,13,690","8,53,84,313.95","6,868"
"02-Jul-2025","EQ","758.10","762.85","750.10","757.75","752.50","751.95","754.80","1,071.00","725.00","1,05,279","7,94,64,358.65","6,870"
"01-Jul-2025","EQ","763.00","766.20","754.00","761.75","757.50","757.75","758.86","1,071.00","725.00","79,551","6,03,68,240.15","5,668"
"30-Jun-2025","EQ","769.00","773.35","760.55","765.70","762.00","761.75","765.09","1,071.00","725.00","97,775","7,48,06,652.90","7,481"
"27-Jun-2025","EQ","776.00","776.00","764.05","769.45","769.00","765.70","766.72","1,071.00","725.00","66,159","5,07,25,664.45","4,902"
"26-Jun-2025","EQ","782.00","786.00","768.50","778.25","770.00","769.45","772.15","1,071.00","725.00","1,80,602","13,94,51,003.65","6,891"
"25-Jun-2025","EQ","765.00","783.95","765.00","773.50","778.80","778.25","778.00","1,071.00","725.00","93,019","7,23,68,347.00","10,323"
"24-Jun-2025","EQ","775.00","780.75","760.05","764.15","772.00","773.50","770.95","1,071.00","725.00","1,43,906","11,09,43,867.80","12,293"
"23-Jun-2025","EQ","770.00","772.95","761.20","775.70","764.60","764.15","765.48","1,071.00","725.00","81,072","6,20,58,704.90","7,408"
"20-Jun-2025","EQ","760.85","780.65","753.75","760.85","774.65","775.70","771.76","1,071.00","725.00","1,53,746","11,86,54,500.00","10,073"
"19-Jun-2025","EQ","768.60","775.75","748.00","768.60","758.90","760.85","758.76","1,071.00","725.00","1,54,177","11,69,82,634.70","10,505"
"18-Jun-2025","EQ","790.00","795.20","766.70","787.95","767.90","768.60","776.03","1,071.00","725.00","1,23,453","9,58,03,810.65","9,201"
"17-Jun-2025","EQ","798.00","800.00","785.00","791.50","787.75","787.95","791.70","1,071.00","725.00","1,79,871","14,24,04,276.95","11,834"
"16-Jun-2025","EQ","785.00","798.00","781.20","792.40","790.50","791.50","787.85","1,071.00","725.00","64,364","5,07,09,338.65","6,081"
"13-Jun-2025","EQ","778.85","799.40","770.05","788.50","790.95","792.40","785.95","1,071.00","725.00","1,43,054","11,24,33,956.35","13,451"
"12-Jun-2025","EQ","800.00","810.75","786.00","797.85","788.50","788.50","795.72","1,071.00","725.00","1,81,513","14,44,33,156.40","11,914"
"11-Jun-2025","EQ","803.95","805.35","792.25","799.85","798.00","797.85","798.90","1,071.00","725.00","1,05,377","8,41,85,556.90","10,897"
"10-Jun-2025","EQ","812.45","812.80","797.50","809.05","800.55","799.85","805.56","1,071.00","725.00","1,14,557","9,22,82,613.60","13,109"
"09-Jun-2025","EQ","800.00","817.15","794.05","789.95","808.45","809.05","808.76","1,071.00","725.00","2,92,432","23,65,06,680.25","24,899"
"06-Jun-2025","EQ","804.95","807.40","778.10","801.40","791.40","789.95","790.95","1,071.00","725.00","2,47,148","19,54,81,868.00","11,741"
"05-Jun-2025","EQ","776.50","812.20","773.55","775.20","801.30","801.40","796.72","1,071.00","725.00","7,21,386","57,47,43,047.90","37,342"
"04-Jun-2025","EQ","745.30","779.90","743.20","745.85","775.95","775.20","762.95","1,071.00","725.00","6,08,078","46,39,33,306.25","24,427"
"03-Jun-2025","EQ","749.00","754.50","743.00","746.45","744.80","745.85","746.85","1,071.00","725.00","2,44,945","18,29,35,971.45","14,827"
"02-Jun-2025","EQ","746.95","750.70","744.55","745.15","747.20","746.45","747.62","1,071.00","725.00","1,42,754","10,67,25,745.70","7,529"
"30-May-2025","EQ","748.00","750.70","744.15","745.95","745.00","745.15","746.37","1,071.00","725.00","1,07,506","8,02,39,705.60","6,444"
"29-May-2025","EQ","749.70","753.45","742.75","745.95","746.50","745.95","746.61","1,071.00","725.00","86,288","6,44,23,667.60","6,806"
"28-May-2025","EQ","755.00","755.00","744.10","749.20","749.70","745.95","748.31","1,071.00","725.00","1,17,495","8,79,22,407.55","6,897"
"27-May-2025","EQ","756.00","756.00","744.90","750.40","751.65","749.20","750.87","1,071.00","725.00","2,10,116","15,77,69,234.10","10,443"
"26-May-2025","EQ","749.95","759.00","746.65","747.20","752.00","750.40","752.29","1,071.00","725.00","2,35,221","17,69,53,931.50","10,738"
"23-May-2025","EQ","747.90","751.70","742.10","743.25","746.65","747.20","746.60","1,071.00","725.00","1,72,410","12,87,20,697.05","8,071"
"22-May-2025","EQ","735.05","749.50","735.05","740.35","743.00","743.25","745.51","1,071.00","725.00","2,63,231","19,62,42,015.55","10,005"
"21-May-2025","EQ","734.70","743.50","725.00","732.60","742.50","740.35","734.37","1,071.00","725.00","5,67,574","41,68,08,872.30","17,852"
"20-May-2025","EQ","745.00","748.50","731.10","741.65","733.95","732.60","735.17","1,071.00","731.10","5,82,777","42,84,38,927.65","17,530"
"19-May-2025","EQ","750.00","754.40","737.85","746.85","742.05","741.65","744.72","1,071.00","735.00","3,96,808","29,55,11,695.95","14,025"
"16-May-2025","EQ","755.00","758.80","745.10","751.60","747.00","746.85","750.41","1,071.00","735.00","5,91,584","44,39,28,627.25","19,483"
"15-May-2025","EQ","746.00","755.40","746.00","748.85","752.85","751.60","752.03","1,071.00","735.00","11,41,191","85,82,05,903.40","53,079"
"14-May-2025","EQ","735.00","754.80","735.00","765.75","747.40","748.85","745.21","1,071.00","735.00","33,50,105","2,49,65,30,868.30","49,215"
"13-May-2025","EQ","765.00","783.75","746.65","805.90","763.00","765.75","764.85","1,071.00","738.50","10,46,079","80,00,89,978.70","22,586"
"12-May-2025","EQ","824.95","825.90","803.05","789.70","806.00","805.90","810.88","1,071.00","738.50","79,008","6,40,66,023.55","3,893"
"09-May-2025","EQ","781.00","794.80","777.00","807.35","793.00","789.70","784.59","1,071.00","738.50","53,366","4,18,70,670.20","4,271"
"08-May-2025","EQ","800.00","811.00","792.05","797.05","797.00","807.35","805.08","1,071.00","738.50","81,005","6,52,15,688.05","4,807"
"07-May-2025","EQ","788.80","800.90","783.80","802.55","798.00","797.05","793.42","1,071.00","738.50","52,618","4,17,48,035.05","4,466"
"06-May-2025","EQ","810.00","817.30","794.60","803.05","799.30","802.55","803.85","1,071.00","738.50","1,10,721","8,90,02,558.35","5,077"
"05-May-2025","EQ","857.20","858.00","789.35","824.40","801.00","803.05","808.95","1,071.00","738.50","4,36,330","35,29,67,295.35","16,115"
"02-May-2025","EQ","812.90","840.00","809.10","805.35","826.05","824.40","825.28","1,071.00","738.50","89,904","7,41,96,070.10","5,796"
"30-Apr-2025","EQ","828.20","828.80","804.00","824.70","808.70","805.35","813.16","1,071.00","738.50","46,098","3,74,85,033.65","3,806"
"29-Apr-2025","EQ","829.00","833.50","820.00","820.70","820.00","824.70","825.03","1,071.00","738.50","27,266","2,24,95,377.00","2,179"
"28-Apr-2025","EQ","820.80","834.90","816.10","820.95","822.90","820.70","824.03","1,071.00","738.50","44,414","3,65,98,563.85","3,874"
"25-Apr-2025","EQ","837.30","841.85","816.00","834.05","822.00","820.95","827.88","1,071.00","738.50","50,692","4,19,67,141.60","3,427"
"24-Apr-2025","EQ","836.00","851.90","822.45","828.85","832.10","834.05","834.62","1,071.00","738.50","77,045","6,43,03,134.95","5,386"
"23-Apr-2025","EQ","787.95","848.80","786.00","776.55","848.00","828.85","813.21","1,071.00","738.50","2,07,492","16,87,34,530.35","8,048"
"22-Apr-2025","EQ","815.40","830.00","770.50","812.55","785.00","776.55","787.76","1,071.00","738.50","5,84,380","46,03,48,928.15","11,153"
"21-Apr-2025","EQ","828.00","833.00","799.20","827.80","814.00","812.55","817.30","1,071.00","738.50","84,043","6,86,88,456.15","4,375"
"17-Apr-2025","EQ","838.70","839.65","821.70","836.75","829.00","827.80","829.16","1,071.00","738.50","28,130","2,33,24,207.20","1,981"
"16-Apr-2025","EQ","828.80","843.55","824.35","829.65","837.00","836.75","835.42","1,071.00","738.50","23,367","1,95,21,258.60","2,209"
"15-Apr-2025","EQ","834.60","838.70","827.00","824.95","831.30","829.65","830.56","1,071.00","738.50","23,210","1,92,77,348.95","2,181"
"11-Apr-2025","EQ","820.40","849.40","807.00","816.40","833.95","824.95","830.69","1,071.00","738.50","91,646","7,61,29,756.10","5,618"
"09-Apr-2025","EQ","822.80","822.80","806.05","822.75","819.00","816.40","813.15","1,071.00","738.50","15,139","1,23,10,340.30","1,590"
"08-Apr-2025","EQ","810.90","827.75","810.90","807.15","825.00","822.75","819.67","1,071.00","738.50","31,976","2,62,09,811.35","2,970"
"07-Apr-2025","EQ","746.75","812.75","745.00","818.80","807.50","807.15","792.95","1,071.00","738.50","58,651","4,65,07,205.20","6,164"
"04-Apr-2025","EQ","824.20","834.00","810.05","827.80","816.25","818.80","819.64","1,071.00","738.50","47,821","3,91,96,188.60","3,539"
"03-Apr-2025","EQ","810.00","836.60","810.00","806.80","827.90","827.80","828.46","1,071.00","738.50","55,055","4,56,10,660.65","3,672"
"02-Apr-2025","EQ","822.90","835.80","793.95","824.75","814.00","806.80","810.47","1,071.00","738.50","1,57,858","12,79,39,083.80","5,978"
"01-Apr-2025","EQ","830.00","840.75","820.25","831.00","824.00","824.75","828.82","1,071.00","738.50","71,021","5,88,63,794.85","3,679"
"28-Mar-2025","EQ","831.15","851.95","823.00","834.85","830.30","831.00","835.85","1,071.00","738.50","67,474","5,63,98,420.20","3,575"
"27-Mar-2025","EQ","838.35","862.00","828.00","845.80","835.50","834.85","840.01","1,071.00","738.50","95,962","8,06,08,922.70","4,850"
"26-Mar-2025","EQ","859.00","859.00","842.20","858.00","845.00","845.80","846.80","1,071.00","738.50","50,943","4,31,38,433.30","2,586"
"25-Mar-2025","EQ","863.15","866.50","850.55","862.30","857.70","858.00","858.20","1,071.00","738.50","37,644","3,23,05,984.40","3,188"
"24-Mar-2025","EQ","881.10","897.65","847.00","874.25","862.50","862.30","864.93","1,071.00","738.50","1,12,949","9,76,92,965.45","5,243"
"21-Mar-2025","EQ","857.80","888.00","855.90","857.80","872.05","874.25","869.79","1,071.00","738.50","60,689","5,27,86,925.85","5,660"
"20-Mar-2025","EQ","851.85","866.35","849.85","851.85","860.00","857.80","858.38","1,071.00","738.50","50,281","4,31,60,199.95","4,264"
"19-Mar-2025","EQ","851.05","860.45","846.55","848.65","853.00","851.85","852.88","1,071.00","738.50","33,100","2,82,30,389.40","2,462"
"18-Mar-2025","EQ","860.35","880.00","845.40","860.10","849.50","848.65","856.32","1,071.00","738.50","1,31,709","11,27,84,529.30","7,703"
"17-Mar-2025","EQ","888.70","895.45","855.90","891.65","855.90","860.10","872.22","1,071.00","738.50","62,955","5,49,10,544.65","3,454"
"13-Mar-2025","EQ","903.05","903.35","885.10","908.15","892.00","891.65","893.58","1,071.00","738.50","51,966","4,64,35,582.95","2,846"
"12-Mar-2025","EQ","933.00","938.50","898.00","932.95","898.00","908.15","920.57","1,071.00","738.50","91,323","8,40,69,077.75","3,745"
"11-Mar-2025","EQ","901.00","937.25","884.00","901.65","936.05","932.95","913.70","1,071.00","738.50","1,24,116","11,34,05,184.80","4,803"
"10-Mar-2025","EQ","903.60","912.35","882.90","912.70","907.00","901.65","899.74","1,071.00","738.50","1,61,384","14,52,04,197.15","6,652"
"07-Mar-2025","EQ","896.60","918.00","885.00","905.70","900.00","912.70","910.09","1,071.00","738.50","1,70,189","15,48,87,331.45","7,261"
"06-Mar-2025","EQ","902.70","921.35","892.00","910.20","894.90","905.70","905.18","1,071.00","738.50","1,46,822","13,29,00,963.55","7,906"
"05-Mar-2025","EQ","908.90","928.60","890.00","918.05","899.00","910.20","915.08","1,071.00","738.50","2,61,062","23,88,92,407.35","11,250"
"04-Mar-2025","EQ","895.00","930.00","855.00","895.95","910.00","918.05","909.00","1,071.00","738.50","2,40,166","21,83,09,708.45","12,234"
"03-Mar-2025","EQ","854.05","901.10","837.00","855.35","896.05","895.95","873.01","1,071.00","738.50","2,27,671","19,87,58,086.25","10,024"
"28-Feb-2025","EQ","794.05","863.80","790.40","817.75","851.00","855.35","836.73","1,071.00","738.50","2,57,288","21,52,81,861.95","12,505"
"27-Feb-2025","EQ","772.00","835.00","756.55","769.60","810.00","817.75","790.94","1,071.00","738.50","1,86,804","14,77,49,965.85","8,489"
"25-Feb-2025","EQ","745.00","774.00","738.50","746.65","762.00","769.60","767.30","1,071.00","738.50","1,44,527","11,08,95,287.45","6,029"
