ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,973.10","2,010.00","1,973.10","1,980.00","1,978.00","1,983.50","1,988.79","2,080.00","1,246.00","1,90,783","37,94,27,425.00","23,598"
"12-Aug-2025","EQ","1,975.00","2,005.00","1,954.00","1,982.00","1,975.00","1,980.00","1,978.15","2,080.00","1,246.00","1,95,861","38,74,41,926.00","21,924"
"11-Aug-2025","EQ","1,979.80","1,992.00","1,952.90","1,969.90","1,975.00","1,982.00","1,979.55","2,080.00","1,246.00","1,33,072","26,34,22,286.30","24,357"
"08-Aug-2025","EQ","1,949.90","1,984.00","1,930.00","1,949.90","1,968.00","1,969.90","1,968.80","2,080.00","1,246.00","3,60,771","71,02,84,636.80","27,148"
"07-Aug-2025","EQ","1,926.50","1,958.90","1,926.50","1,950.20","1,944.80","1,949.90","1,947.61","2,080.00","1,246.00","1,30,164","25,35,08,131.80","16,837"
"06-Aug-2025","EQ","1,960.00","1,989.00","1,934.80","1,958.80","1,951.40","1,950.20","1,958.53","2,080.00","1,246.00","1,41,329","27,67,97,723.20","20,538"
"05-Aug-2025","EQ","1,911.90","1,969.90","1,905.60","1,913.80","1,960.00","1,958.80","1,954.46","2,080.00","1,246.00","4,02,502","78,66,75,133.40","55,899"
"04-Aug-2025","EQ","1,944.60","1,957.10","1,902.20","1,947.40","1,912.00","1,913.80","1,923.41","2,080.00","1,246.00","2,02,584","38,96,51,640.80","25,226"
"01-Aug-2025","EQ","1,949.80","1,980.10","1,936.00","1,958.00","1,940.60","1,947.40","1,963.32","2,080.00","1,246.00","1,21,002","23,75,65,739.00","24,952"
"31-Jul-2025","EQ","1,950.00","1,987.90","1,901.00","1,983.30","1,940.10","1,958.00","1,963.17","2,080.00","1,246.00","2,57,872","50,62,46,201.70","48,291"
"30-Jul-2025","EQ","1,975.10","1,999.30","1,931.60","1,985.40","1,981.00","1,983.30","1,966.65","2,080.00","1,246.00","2,85,354","56,11,92,026.70","32,008"
"29-Jul-2025","EQ","1,839.80","2,025.00","1,805.10","1,839.80","1,967.00","1,985.40","1,944.96","2,080.00","1,246.00","10,36,747","2,01,64,26,746.00","1,03,516"
"28-Jul-2025","EQ","1,805.00","1,873.00","1,773.00","1,801.60","1,837.00","1,839.80","1,814.06","2,080.00","1,246.00","6,10,759","1,10,79,53,147.00","54,416"
"25-Jul-2025","EQ","1,855.50","1,856.90","1,790.30","1,855.50","1,800.00","1,801.60","1,821.50","2,080.00","1,246.00","1,19,887","21,83,74,551.10","16,109"
"24-Jul-2025","EQ","1,883.60","1,888.90","1,849.00","1,879.00","1,862.50","1,855.50","1,867.73","2,080.00","1,246.00","1,10,079","20,55,97,511.20","21,070"
"23-Jul-2025","EQ","1,900.00","1,903.00","1,873.70","1,897.30","1,879.50","1,879.00","1,882.52","2,080.00","1,246.00","66,751","12,56,60,282.20","8,793"
"22-Jul-2025","EQ","1,908.90","1,920.70","1,890.00","1,903.70","1,897.40","1,897.30","1,900.73","2,080.00","1,246.00","51,140","9,72,03,575.50","8,759"
"21-Jul-2025","EQ","1,894.20","1,920.00","1,868.10","1,903.80","1,910.00","1,903.70","1,895.70","2,080.00","1,246.00","1,08,467","20,56,21,259.30","16,661"
"18-Jul-2025","EQ","1,948.50","1,951.00","1,893.30","1,942.40","1,903.90","1,903.80","1,918.50","2,080.00","1,246.00","1,08,853","20,88,34,521.60","13,704"
"17-Jul-2025","EQ","1,953.00","1,980.90","1,926.00","1,951.80","1,942.50","1,942.40","1,949.17","2,080.00","1,246.00","84,251","16,42,19,617.60","10,486"
"16-Jul-2025","EQ","1,967.70","1,979.50","1,936.00","1,964.90","1,950.00","1,951.80","1,954.72","2,080.00","1,246.00","2,62,878","51,38,53,653.80","19,769"
"15-Jul-2025","EQ","1,980.00","1,992.10","1,960.10","1,966.60","1,965.00","1,964.90","1,971.80","2,080.00","1,246.00","1,31,207","25,87,13,734.50","16,170"
"14-Jul-2025","EQ","1,980.00","2,004.00","1,955.00","1,987.60","1,957.10","1,966.60","1,976.23","2,080.00","1,246.00","1,57,240","31,07,42,021.80","20,737"
"11-Jul-2025","EQ","1,962.80","2,017.60","1,941.00","1,960.60","1,975.00","1,987.60","1,973.78","2,080.00","1,246.00","4,19,049","82,71,08,982.90","29,184"
"10-Jul-2025","EQ","1,992.00","2,000.40","1,952.50","1,989.80","1,962.80","1,960.60","1,974.31","2,080.00","1,246.00","82,827","16,35,26,448.20","14,163"
"09-Jul-2025","EQ","1,977.40","2,006.20","1,972.00","1,978.70","1,987.00","1,989.80","1,986.99","2,080.00","1,246.00","1,15,020","22,85,43,074.80","13,630"
"08-Jul-2025","EQ","1,987.00","2,003.40","1,907.80","1,987.00","1,972.40","1,978.70","1,958.45","2,080.00","1,246.00","4,13,444","80,97,07,838.90","41,744"
"07-Jul-2025","EQ","2,012.00","2,046.80","1,980.10","2,012.00","1,985.00","1,987.00","2,002.19","2,080.00","1,246.00","2,63,754","52,80,84,378.30","22,946"
"04-Jul-2025","EQ","2,040.00","2,059.00","2,007.20","2,044.80","2,012.00","2,012.00","2,024.63","2,080.00","1,246.00","3,03,551","61,45,78,503.00","21,988"
"03-Jul-2025","EQ","1,979.00","2,080.00","1,975.10","1,968.80","2,042.00","2,044.80","2,039.40","2,080.00","1,246.00","8,35,635","1,70,41,97,524.00","58,307"
"02-Jul-2025","EQ","1,973.10","2,000.00","1,946.60","1,963.40","1,974.00","1,968.80","1,974.26","2,040.00","1,246.00","1,84,739","36,47,22,218.70","19,330"
"01-Jul-2025","EQ","1,998.30","2,025.00","1,952.00","1,998.30","1,965.00","1,963.40","1,985.17","2,040.00","1,246.00","2,06,381","40,97,00,396.20","18,020"
"30-Jun-2025","EQ","1,999.00","2,040.00","1,991.00","1,984.10","1,991.60","1,998.30","2,013.28","2,040.00","1,246.00","3,88,078","78,13,09,916.00","29,132"
"27-Jun-2025","EQ","1,961.90","2,032.00","1,955.70","1,956.60","1,982.00","1,984.10","1,997.11","2,032.00","1,233.00","4,78,557","95,57,33,338.40","33,866"
"26-Jun-2025","EQ","1,952.00","1,977.00","1,927.50","1,937.80","1,960.00","1,956.60","1,959.48","1,985.00","1,233.00","3,27,846","64,24,07,697.50","31,707"
