ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","953.70","967.70","936.80","953.70","943.10","942.10","951.40","1,372.50","620.00","21,182","2,01,52,638.60","2,882"
"11-Aug-2025","EQ","964.90","969.90","951.20","958.90","954.10","953.70","956.10","1,372.50","620.00","19,749","1,88,81,981.30","2,545"
"08-Aug-2025","EQ","941.60","975.80","941.60","964.90","954.00","958.90","964.68","1,372.50","620.00","22,181","2,13,97,665.60","4,313"
"07-Aug-2025","EQ","955.50","973.10","944.90","963.50","958.00","964.90","960.68","1,372.50","620.00","27,575","2,64,90,656.70","3,752"
"06-Aug-2025","EQ","970.00","982.70","955.50","972.70","955.50","963.50","966.41","1,372.50","620.00","24,182","2,33,69,677.70","3,740"
"05-Aug-2025","EQ","998.00","1,003.70","966.70","998.90","970.10","972.70","981.27","1,372.50","620.00","34,219","3,35,78,159.70","4,891"
"04-Aug-2025","EQ","1,005.00","1,019.90","990.10","1,016.60","995.50","998.90","1,001.36","1,372.50","620.00","27,516","2,75,53,481.00","5,144"
"01-Aug-2025","EQ","1,020.00","1,035.90","1,003.70","1,022.70","1,025.10","1,016.60","1,016.87","1,441.00","620.00","55,580","5,65,17,417.80","6,309"
"31-Jul-2025","EQ","991.20","1,040.90","991.20","1,012.10","1,026.10","1,022.70","1,024.75","1,441.00","620.00","46,847","4,80,06,569.00","8,429"
"30-Jul-2025","EQ","999.60","1,039.30","999.60","1,009.70","1,014.00","1,012.10","1,013.44","1,441.00","620.00","66,865","6,77,63,783.30","6,463"
"29-Jul-2025","EQ","992.00","1,033.80","992.00","1,006.80","1,023.00","1,009.70","1,006.71","1,441.00","620.00","35,564","3,58,02,608.10","6,426"
"28-Jul-2025","EQ","1,000.00","1,021.80","993.40","1,010.60","1,020.00","1,006.80","1,005.81","1,441.00","620.00","1,87,445","18,85,33,814.10","6,896"
"25-Jul-2025","EQ","1,045.90","1,047.50","1,001.50","1,041.20","1,018.00","1,010.60","1,014.08","1,450.00","620.00","1,37,023","13,89,52,237.90","4,406"
"24-Jul-2025","EQ","1,072.60","1,072.60","1,034.30","1,064.10","1,054.90","1,041.20","1,047.00","1,450.00","620.00","57,035","5,97,15,515.10","7,840"
