ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,900.00","2,999.00","2,878.10","2,879.40","2,991.00","2,987.60","2,966.82","2,999.00","1,305.05","2,19,795","65,20,92,475.90","28,693"
"12-Aug-2025","EQ","2,890.00","2,895.00","2,853.60","2,877.60","2,864.70","2,879.40","2,880.59","2,904.00","1,305.05","1,20,686","34,76,46,606.10","10,314"
"11-Aug-2025","EQ","2,840.10","2,893.00","2,800.00","2,843.60","2,865.00","2,877.60","2,837.92","2,904.00","1,305.05","1,08,923","30,91,14,918.20","14,820"
"08-Aug-2025","EQ","2,858.60","2,902.60","2,826.50","2,868.40","2,832.20","2,843.60","2,884.95","2,904.00","986.75","1,39,368","40,20,69,300.50","12,737"
"07-Aug-2025","EQ","2,895.00","2,896.00","2,820.00","2,900.10","2,853.00","2,868.40","2,858.04","2,904.00","986.75","1,47,241","42,08,20,490.70","11,047"
"06-Aug-2025","EQ","2,876.50","2,904.00","2,811.00","2,876.20","2,900.00","2,900.10","2,877.18","2,904.00","986.75","1,46,727","42,21,59,383.90","15,799"
"05-Aug-2025","EQ","2,790.00","2,897.90","2,776.10","2,793.20","2,876.90","2,876.20","2,829.25","2,897.90","986.75","1,77,069","50,09,72,399.00","15,310"
"04-Aug-2025","EQ","2,730.00","2,830.00","2,726.10","2,756.30","2,785.50","2,793.20","2,771.92","2,896.00","986.75","87,339","24,20,96,330.50","11,748"
"01-Aug-2025","EQ","2,768.10","2,839.90","2,750.00","2,776.20","2,750.00","2,756.30","2,785.44","2,896.00","986.75","75,468","21,02,11,609.60","10,080"
"31-Jul-2025","EQ","2,756.10","2,834.00","2,750.00","2,838.60","2,780.00","2,776.20","2,786.98","2,896.00","986.75","1,27,725","35,59,66,533.90","14,572"
"30-Jul-2025","EQ","2,840.10","2,890.00","2,820.10","2,825.60","2,835.40","2,838.60","2,851.24","2,896.00","986.75","2,19,030","62,45,06,649.30","17,774"
"29-Jul-2025","EQ","2,650.00","2,840.00","2,640.00","2,684.10","2,818.20","2,825.60","2,750.74","2,896.00","986.75","3,07,782","84,66,29,214.00","26,865"
"28-Jul-2025","EQ","2,725.20","2,741.50","2,640.10","2,740.80","2,675.20","2,684.10","2,683.27","2,896.00","986.75","3,13,671","84,16,62,433.20","23,497"
"25-Jul-2025","EQ","2,770.10","2,779.80","2,266.00","2,808.10","2,710.00","2,740.80","2,523.72","2,896.00","959.40","35,37,425","8,92,74,63,703.90","1,27,809"
