ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,695.30","2,716.00","2,653.90","2,697.30","2,668.60","2,671.70","2,679.62","3,485.00","2,327.30","40,260","10,78,81,672.90","11,816"
"12-Aug-2025","EQ","2,633.30","2,714.00","2,633.30","2,649.30","2,682.00","2,697.30","2,688.21","3,485.00","2,327.30","60,197","16,18,22,389.70","13,631"
"11-Aug-2025","EQ","2,605.50","2,657.60","2,586.00","2,605.50","2,633.00","2,649.30","2,633.86","3,485.00","2,327.30","53,928","14,20,38,651.00","12,936"
"08-Aug-2025","EQ","2,629.00","2,635.00","2,574.80","2,619.10","2,610.00","2,605.50","2,601.25","3,485.00","2,327.30","53,989","14,04,38,780.70","10,984"
"07-Aug-2025","EQ","2,520.10","2,625.00","2,520.10","2,541.40","2,610.00","2,619.10","2,579.39","3,485.00","2,327.30","1,15,878","29,88,94,536.30","23,994"
"06-Aug-2025","EQ","2,615.00","2,645.00","2,524.80","2,635.80","2,539.80","2,541.40","2,568.74","3,485.00","2,327.30","1,06,341","27,31,62,792.20","18,678"
"05-Aug-2025","EQ","2,649.50","2,653.90","2,615.00","2,636.30","2,629.00","2,635.80","2,637.93","3,485.00","2,327.30","39,533","10,42,85,306.40","8,958"
"04-Aug-2025","EQ","2,680.10","2,695.30","2,621.40","2,695.20","2,630.00","2,636.30","2,647.88","3,485.00","2,327.30","1,11,926","29,63,66,476.80","21,007"
"01-Aug-2025","EQ","2,779.90","2,792.90","2,675.00","2,751.40","2,695.10","2,695.20","2,705.28","3,485.00","2,327.30","87,356","23,63,22,672.10","17,001"
"31-Jul-2025","EQ","2,785.00","2,799.90","2,735.80","2,800.50","2,742.00","2,751.40","2,765.50","3,485.00","2,327.30","77,158","21,33,80,646.40","13,379"
"30-Jul-2025","EQ","2,839.00","2,875.20","2,784.00","2,823.20","2,803.00","2,800.50","2,815.60","3,485.00","2,327.30","68,741","19,35,47,410.20","11,897"
"29-Jul-2025","EQ","2,783.70","2,828.00","2,722.10","2,767.10","2,827.00","2,823.20","2,797.18","3,485.00","2,327.30","1,21,375","33,95,08,268.30","24,752"
"28-Jul-2025","EQ","2,797.30","2,831.20","2,722.20","2,784.30","2,751.60","2,767.10","2,778.79","3,485.00","2,327.30","1,92,973","53,62,31,093.60","24,638"
"25-Jul-2025","EQ","2,818.30","2,818.30","2,762.00","2,796.40","2,791.50","2,784.30","2,788.17","3,485.00","2,236.10","55,787","15,55,43,447.40","10,967"
"24-Jul-2025","EQ","2,730.00","2,809.90","2,718.60","2,718.60","2,799.00","2,796.40","2,788.63","3,485.00","2,236.10","1,12,337","31,32,66,181.20","16,722"
"23-Jul-2025","EQ","2,739.00","2,769.50","2,705.60","2,740.00","2,714.00","2,718.60","2,728.94","3,485.00","2,236.10","57,815","15,77,73,445.10","11,439"
"22-Jul-2025","EQ","2,777.10","2,787.50","2,721.30","2,777.10","2,735.00","2,740.00","2,746.22","3,485.00","2,236.10","71,889","19,74,22,660.40","12,172"
"21-Jul-2025","EQ","2,789.00","2,798.00","2,726.10","2,772.80","2,772.10","2,777.10","2,766.94","3,485.00","2,236.10","53,764","14,87,61,896.30","11,791"
"18-Jul-2025","EQ","2,798.10","2,827.90","2,760.10","2,786.40","2,771.90","2,772.80","2,785.73","3,485.00","2,203.00","70,713","19,69,87,356.10","13,188"
"17-Jul-2025","EQ","2,800.00","2,862.40","2,778.60","2,787.80","2,782.80","2,786.40","2,812.83","3,485.00","2,203.00","1,99,770","56,19,19,908.30","32,237"
"16-Jul-2025","EQ","2,710.00","2,794.00","2,687.00","2,697.70","2,775.00","2,787.80","2,765.41","3,485.00","2,203.00","2,86,047","79,10,37,595.80","29,502"
"15-Jul-2025","EQ","2,662.00","2,715.40","2,627.90","2,646.40","2,705.00","2,697.70","2,656.82","3,485.00","2,203.00","3,91,927","1,04,12,78,757.50","15,250"
"14-Jul-2025","EQ","2,626.50","2,688.80","2,592.10","2,626.50","2,650.00","2,646.40","2,626.96","3,485.00","2,203.00","4,46,241","1,17,22,56,701.50","23,419"
"11-Jul-2025","EQ","2,595.00","2,664.00","2,586.90","2,591.30","2,616.10","2,626.50","2,621.56","3,485.00","2,196.00","2,36,915","62,10,87,578.50","18,403"
"10-Jul-2025","EQ","2,638.00","2,638.00","2,578.50","2,627.20","2,585.10","2,591.30","2,594.07","3,485.00","2,196.00","2,56,803","66,61,64,803.80","16,264"
"09-Jul-2025","EQ","2,618.50","2,648.10","2,590.80","2,610.60","2,627.90","2,627.20","2,617.06","3,485.00","2,196.00","1,71,260","44,81,98,268.20","9,896"
"08-Jul-2025","EQ","2,666.00","2,671.90","2,591.20","2,657.30","2,608.00","2,610.60","2,617.11","3,485.00","2,196.00","99,675","26,08,60,775.10","14,383"
"07-Jul-2025","EQ","2,699.50","2,718.50","2,644.00","2,695.50","2,653.00","2,657.30","2,669.56","3,485.00","2,196.00","1,08,192","28,88,24,533.10","14,675"
"04-Jul-2025","EQ","2,645.00","2,710.00","2,623.20","2,631.50","2,705.00","2,695.50","2,676.90","3,485.00","2,160.15","2,40,560","64,39,54,122.80","25,025"
"03-Jul-2025","EQ","2,566.50","2,655.30","2,550.00","2,548.90","2,634.80","2,631.50","2,614.94","3,485.00","2,160.15","1,66,047","43,42,03,626.50","21,245"
"02-Jul-2025","EQ","2,517.20","2,580.00","2,496.40","2,502.70","2,550.00","2,548.90","2,546.12","3,485.00","2,160.15","2,62,754","66,90,02,967.60","28,584"
"01-Jul-2025","EQ","2,590.00","2,605.00","2,494.00","2,574.10","2,503.90","2,502.70","2,514.93","3,485.00","2,160.15","2,22,786","56,02,91,286.50","35,593"
"30-Jun-2025","EQ","2,550.00","2,584.10","2,543.20","2,520.70","2,575.00","2,574.10","2,565.05","3,485.00","2,160.15","1,31,475","33,72,40,148.50","19,660"
"27-Jun-2025","EQ","2,582.50","2,582.50","2,506.10","2,568.40","2,538.00","2,520.70","2,539.95","3,485.00","2,160.15","3,18,634","80,93,13,217.80","39,975"
"26-Jun-2025","EQ","2,598.50","2,603.80","2,558.00","2,585.20","2,570.00","2,568.40","2,575.16","3,485.00","2,160.15","98,052","25,24,99,129.90","12,915"
"25-Jun-2025","EQ","2,570.00","2,628.00","2,558.30","2,564.20","2,584.00","2,585.20","2,586.74","3,485.00","2,160.15","1,53,312","39,65,78,750.90","25,710"
"24-Jun-2025","EQ","2,580.00","2,584.90","2,555.00","2,564.90","2,558.00","2,564.20","2,565.09","3,485.00","2,160.15","1,03,086","26,44,25,051.50","18,544"
