ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","483.00","492.35","482.85","481.05","488.45","487.60","487.32","1,175.90","405.00","89,858","4,37,89,298.30","4,368"
"12-Aug-2025","EQ","485.00","488.55","472.30","479.65","480.55","481.05","478.57","1,175.90","405.00","2,24,436","10,74,07,711.10","10,457"
"11-Aug-2025","EQ","485.00","515.00","477.00","480.35","479.40","479.65","496.87","1,175.90","405.00","7,41,048","36,82,03,362.55","25,845"
"08-Aug-2025","EQ","495.00","495.00","477.35","490.80","482.40","480.35","484.73","1,175.90","405.00","1,87,899","9,10,79,782.60","6,680"
"07-Aug-2025","EQ","486.00","500.00","477.30","487.05","489.80","490.80","490.23","1,175.90","405.00","2,38,421","11,68,81,064.35","17,643"
"06-Aug-2025","EQ","502.10","502.10","483.80","502.35","485.75","487.05","489.02","1,175.90","405.00","1,91,272","9,35,36,457.60","10,208"
"05-Aug-2025","EQ","509.00","513.70","499.30","505.20","500.00","502.35","504.69","1,175.90","405.00","1,31,398","6,63,14,704.70","7,499"
"04-Aug-2025","EQ","511.00","515.05","502.95","513.90","504.95","505.20","505.39","1,175.90","405.00","2,95,609","14,93,98,602.35","11,015"
"01-Aug-2025","EQ","520.00","524.85","510.70","519.25","511.40","513.90","518.69","1,175.90","405.00","2,63,863","13,68,62,547.75","9,857"
"31-Jul-2025","EQ","530.00","540.00","511.70","539.10","518.00","519.25","520.96","1,175.90","405.00","7,34,458","38,26,25,347.05","18,303"
"30-Jul-2025","EQ","546.70","550.95","536.55","545.40","541.15","539.10","541.65","1,175.90","405.00","1,67,083","9,05,00,562.40","7,026"
"29-Jul-2025","EQ","535.00","547.65","525.25","529.55","543.80","545.40","537.94","1,175.90","405.00","95,286","5,12,58,258.55","5,278"
"28-Jul-2025","EQ","530.50","539.75","526.00","530.20","527.00","529.55","530.78","1,175.90","405.00","2,02,594","10,75,32,736.30","12,772"
"25-Jul-2025","EQ","538.00","542.40","528.90","537.40","530.00","530.20","532.88","1,175.90","405.00","1,15,628","6,16,15,857.35","10,782"
"24-Jul-2025","EQ","540.95","545.25","536.50","540.95","538.00","537.40","539.64","1,175.90","405.00","66,137","3,56,90,183.25","5,543"
"23-Jul-2025","EQ","537.55","543.65","535.05","537.75","540.90","540.95","539.40","1,175.90","405.00","89,074","4,80,46,509.45","7,121"
"22-Jul-2025","EQ","544.65","546.85","536.15","544.65","537.20","537.75","539.60","1,175.90","405.00","2,79,041","15,05,70,187.45","10,041"
"21-Jul-2025","EQ","553.00","555.00","538.70","552.85","544.00","544.65","545.45","1,175.90","405.00","3,65,964","19,96,16,663.45","13,292"
"18-Jul-2025","EQ","561.00","563.00","551.60","560.20","553.00","552.85","555.65","1,175.90","405.00","1,15,697","6,42,86,948.55","6,223"
"17-Jul-2025","EQ","569.00","569.80","559.00","561.60","559.75","560.20","564.74","1,175.90","405.00","1,39,028","7,85,14,669.75","7,812"
"16-Jul-2025","EQ","556.85","568.70","553.20","556.85","561.00","561.60","562.45","1,175.90","405.00","1,61,500","9,08,36,222.20","9,425"
"15-Jul-2025","EQ","553.00","564.40","550.45","550.80","555.00","556.85","556.48","1,175.90","405.00","4,79,084","26,65,98,819.75","13,760"
"14-Jul-2025","EQ","558.95","560.00","550.00","557.95","553.00","550.80","552.85","1,175.90","405.00","1,64,202","9,07,78,651.65","11,580"
"11-Jul-2025","EQ","556.55","592.00","550.00","550.90","557.40","557.95","574.26","1,175.90","405.00","11,80,097","67,76,80,527.65","32,913"
"10-Jul-2025","EQ","564.00","564.00","544.50","561.75","551.65","550.90","551.33","1,175.90","405.00","2,33,159","12,85,48,315.30","14,166"
"09-Jul-2025","EQ","565.65","572.95","559.20","565.10","559.85","561.75","565.16","1,175.90","405.00","1,77,372","10,02,44,036.50","12,238"
"08-Jul-2025","EQ","569.90","575.45","562.20","569.90","565.65","565.10","565.97","1,175.90","405.00","1,39,290","7,88,34,401.70","8,587"
"07-Jul-2025","EQ","580.00","583.75","567.40","578.50","568.55","569.90","572.11","1,175.90","405.00","3,70,356","21,18,84,213.10","13,313"
"04-Jul-2025","EQ","582.00","583.20","568.55","580.45","578.85","578.50","575.95","1,175.90","405.00","1,30,275","7,50,31,881.45","6,560"
"03-Jul-2025","EQ","578.05","584.40","570.50","575.55","577.10","580.45","578.18","1,175.90","405.00","1,74,912","10,11,30,060.10","9,409"
"02-Jul-2025","EQ","575.95","586.00","572.20","576.00","578.05","575.55","575.42","1,175.90","405.00","3,24,155","18,65,25,674.35","9,472"
"01-Jul-2025","EQ","588.50","590.80","572.40","585.40","575.95","576.00","576.81","1,175.90","405.00","2,08,343","12,01,74,047.05","13,776"
"30-Jun-2025","EQ","591.10","595.50","581.00","594.00","584.05","585.40","585.30","1,175.90","405.00","2,00,748","11,74,98,513.80","10,125"
"27-Jun-2025","EQ","589.90","597.00","578.00","582.90","590.40","594.00","590.41","1,175.90","405.00","2,09,284","12,35,62,511.25","10,464"
"26-Jun-2025","EQ","575.70","592.00","570.65","575.50","585.00","582.90","582.59","1,175.90","405.00","3,43,172","19,99,26,937.50","14,828"
