ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","5,240.00","5,400.00","5,240.00","5,149.00","5,379.50","5,388.50","5,340.82","6,439.90","4,491.65","8,99,624","4,80,47,27,346.00","97,221"
"12-Aug-2025","EQ","4,864.50","5,207.50","4,822.00","4,844.50","5,165.00","5,149.00","5,128.89","6,439.90","4,491.65","9,51,630","4,88,08,05,734.50","85,474"
"11-Aug-2025","EQ","4,769.50","4,861.00","4,738.50","4,764.00","4,845.00","4,844.50","4,827.29","6,439.90","4,491.65","43,221","20,86,40,265.00","8,371"
"08-Aug-2025","EQ","4,872.00","4,872.50","4,750.00","4,872.00","4,750.00","4,764.00","4,793.55","6,439.90","4,491.65","45,812","21,96,02,128.00","10,967"
"07-Aug-2025","EQ","4,860.00","4,927.00","4,792.50","4,871.00","4,875.00","4,872.00","4,858.09","6,439.90","4,491.65","75,494","36,67,56,550.00","13,454"
"06-Aug-2025","EQ","4,929.00","4,929.00","4,804.00","4,921.00","4,840.00","4,871.00","4,854.18","6,439.90","4,491.65","1,41,906","68,88,36,594.00","14,665"
"05-Aug-2025","EQ","4,892.00","4,932.00","4,853.00","4,902.50","4,905.00","4,921.00","4,903.53","6,439.90","4,491.65","29,316","14,37,51,742.00","8,116"
"04-Aug-2025","EQ","4,868.50","4,920.50","4,825.50","4,899.00","4,900.50","4,902.50","4,870.10","6,439.90","4,491.65","49,397","24,05,68,148.00","10,126"
"01-Aug-2025","EQ","5,032.00","5,036.00","4,840.00","5,031.10","4,848.00","4,899.00","4,899.52","6,439.90","4,491.65","2,20,552","1,08,05,99,267.00","26,961"
"31-Jul-2025","EQ","5,098.00","5,098.00","5,014.50","5,099.60","5,027.50","5,031.10","5,037.39","6,439.90","4,491.65","1,18,293","59,58,88,526.90","14,356"
"30-Jul-2025","EQ","5,071.00","5,112.00","5,032.00","5,070.70","5,106.10","5,099.60","5,087.36","6,439.90","4,491.65","69,771","35,49,49,872.50","10,600"
"29-Jul-2025","EQ","5,049.90","5,097.50","5,036.50","5,047.40","5,079.90","5,070.70","5,070.05","6,439.90","4,491.65","80,061","40,59,13,068.10","12,436"
"28-Jul-2025","EQ","4,994.90","5,075.00","4,963.00","5,011.90","5,049.00","5,047.40","5,045.22","6,439.90","4,491.65","99,708","50,30,48,618.70","16,338"
"25-Jul-2025","EQ","5,025.00","5,040.00","4,959.10","4,998.60","5,000.00","5,011.90","5,017.28","6,439.90","4,491.65","78,170","39,22,00,907.80","12,307"
"24-Jul-2025","EQ","4,955.00","5,031.30","4,955.00","4,975.10","4,995.00","4,998.60","4,998.27","6,439.90","4,491.65","1,12,319","56,14,00,603.60","16,362"
"23-Jul-2025","EQ","4,971.80","5,004.90","4,960.00","4,971.80","4,967.60","4,975.10","4,982.26","6,439.90","4,491.65","44,660","22,25,07,668.10","12,014"
"22-Jul-2025","EQ","4,999.70","5,004.40","4,935.70","4,999.70","4,981.10","4,971.80","4,967.30","6,439.90","4,491.65","63,023","31,30,53,989.60","11,950"
"21-Jul-2025","EQ","4,998.50","5,019.90","4,928.50","4,998.50","5,000.00","4,999.70","4,998.30","6,439.90","4,491.65","58,691","29,33,55,214.50","8,248"
"18-Jul-2025","EQ","5,048.00","5,048.00","4,969.80","5,018.70","4,994.40","4,998.50","5,005.52","6,439.90","4,491.65","99,411","49,76,03,395.80","11,759"
"17-Jul-2025","EQ","5,014.50","5,036.20","4,995.50","5,002.20","5,015.00","5,018.70","5,015.12","6,439.90","4,491.65","78,278","39,25,73,218.20","7,671"
"16-Jul-2025","EQ","4,933.20","5,026.00","4,920.30","4,933.20","5,000.00","5,002.20","4,980.18","6,439.90","4,491.65","2,08,308","1,03,74,10,923.70","24,476"
"15-Jul-2025","EQ","4,860.00","4,944.50","4,836.30","4,840.70","4,926.10","4,933.20","4,895.84","6,439.90","4,491.65","2,25,906","1,10,60,00,258.10","20,800"
"14-Jul-2025","EQ","4,796.70","4,877.70","4,786.70","4,806.70","4,856.30","4,840.70","4,846.79","6,439.90","4,491.65","76,088","36,87,82,362.50","19,139"
"11-Jul-2025","EQ","4,779.90","4,846.30","4,731.60","4,732.80","4,800.00","4,806.70","4,806.75","6,439.90","4,491.65","1,83,075","87,99,95,952.90","23,810"
"10-Jul-2025","EQ","4,805.00","4,817.40","4,716.20","4,805.40","4,734.90","4,732.80","4,730.67","6,439.90","4,491.65","2,55,925","1,21,06,97,728.40","14,020"
"09-Jul-2025","EQ","4,790.00","4,838.90","4,788.00","4,800.90","4,812.00","4,805.40","4,806.90","6,439.90","4,491.65","69,073","33,20,26,908.80","11,192"
"08-Jul-2025","EQ","4,878.00","4,885.50","4,770.20","4,877.30","4,798.00","4,800.90","4,812.45","6,439.90","4,491.65","89,141","42,89,86,857.40","15,292"
"07-Jul-2025","EQ","4,895.00","4,905.80","4,843.00","4,886.30","4,879.10","4,877.30","4,869.18","6,439.90","4,491.65","86,304","42,02,29,706.90","12,102"
"04-Jul-2025","EQ","4,845.00","4,898.90","4,824.30","4,822.00","4,887.00","4,886.30","4,873.17","6,439.90","4,491.65","94,037","45,82,58,121.50","12,539"
"03-Jul-2025","EQ","4,890.00","4,892.10","4,813.60","4,874.80","4,825.00","4,822.00","4,843.35","6,439.90","4,491.65","1,91,430","92,71,61,956.40","28,646"
"02-Jul-2025","EQ","4,849.00","4,896.50","4,828.60","4,849.00","4,874.90","4,874.80","4,864.16","6,439.90","4,491.65","73,736","35,86,63,653.70","13,731"
"01-Jul-2025","EQ","4,942.00","4,945.00","4,820.00","4,939.00","4,858.00","4,849.00","4,843.56","6,439.90","4,491.65","2,20,023","1,06,56,93,540.40","26,387"
"30-Jun-2025","EQ","4,930.50","4,943.50","4,902.50","4,906.50","4,939.00","4,939.00","4,933.09","6,439.90","4,491.65","71,583","35,31,25,030.00","13,092"
"27-Jun-2025","EQ","4,865.00","4,920.00","4,855.00","4,841.00","4,910.00","4,906.50","4,898.57","6,439.90","4,491.65","1,13,855","55,77,26,748.00","20,706"
"26-Jun-2025","EQ","4,850.00","4,872.00","4,824.50","4,854.00","4,859.00","4,841.00","4,846.00","6,439.90","4,491.65","3,23,731","1,56,87,99,364.00","20,825"
"25-Jun-2025","EQ","4,832.00","4,863.00","4,821.00","4,811.00","4,841.00","4,854.00","4,847.62","6,439.90","4,491.65","2,34,015","1,13,44,15,384.00","17,955"
"24-Jun-2025","EQ","4,793.50","4,837.00","4,756.50","4,760.00","4,805.00","4,811.00","4,807.21","6,439.90","4,491.65","1,23,314","59,27,95,981.50","16,480"
"23-Jun-2025","EQ","4,774.50","4,809.00","4,730.50","4,773.50","4,757.00","4,760.00","4,777.59","6,439.90","4,491.65","85,004","40,61,14,024.50","9,819"
"20-Jun-2025","EQ","4,770.00","4,812.00","4,743.50","4,782.00","4,774.50","4,773.50","4,772.75","6,439.90","4,491.65","8,09,748","3,86,47,24,196.00","46,866"
