ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","17.98","18.24","17.62","18.02","17.63","17.74","17.96","29.79","14.01","57,66,280","10,35,52,327.82","9,660"
"11-Aug-2025","EQ","18.08","18.18","17.70","18.08","18.10","18.02","17.93","29.79","14.01","56,54,505","10,13,64,756.31","9,207"
"08-Aug-2025","EQ","18.07","18.39","17.97","18.07","18.08","18.08","18.18","29.79","14.01","74,75,566","13,58,99,445.68","9,267"
"07-Aug-2025","EQ","18.39","18.39","17.78","18.47","18.24","18.07","18.04","29.79","14.01","85,79,228","15,47,53,318.78","12,852"
"06-Aug-2025","EQ","18.66","18.84","18.40","18.81","18.48","18.47","18.53","29.79","14.01","63,42,404","11,75,48,831.41","9,696"
"05-Aug-2025","EQ","18.95","19.11","18.55","18.97","18.69","18.81","18.84","29.79","14.01","65,71,743","12,38,26,059.78","10,442"
"04-Aug-2025","EQ","18.75","19.10","18.45","18.70","19.01","18.97","18.73","29.79","14.01","64,22,623","12,03,09,166.19","12,302"
"01-Aug-2025","EQ","18.99","19.11","18.60","19.00","18.75","18.70","18.86","29.79","14.01","71,09,524","13,40,85,652.68","10,948"
"31-Jul-2025","EQ","19.00","19.39","18.64","19.50","19.11","19.00","19.00","29.79","14.01","92,37,096","17,55,14,510.93","15,303"
"30-Jul-2025","EQ","19.61","19.99","19.40","19.42","19.49","19.50","19.61","29.79","14.01","74,61,500","14,63,00,921.50","12,236"
"29-Jul-2025","EQ","19.49","19.64","19.20","19.61","19.60","19.42","19.42","29.79","14.01","78,38,884","15,22,26,885.70","12,565"
"28-Jul-2025","EQ","19.90","20.13","19.45","19.95","19.59","19.61","19.78","29.79","14.01","77,31,996","15,29,19,896.91","14,604"
"25-Jul-2025","EQ","20.40","20.43","19.80","20.42","19.93","19.95","20.07","29.79","14.01","97,81,520","19,63,19,034.30","16,527"
"24-Jul-2025","EQ","20.50","20.62","20.21","20.40","20.40","20.42","20.41","29.79","14.01","87,98,117","17,95,84,982.74","14,636"
"23-Jul-2025","EQ","20.45","20.54","20.26","20.44","20.40","20.40","20.39","29.79","14.01","86,10,848","17,55,61,425.19","12,750"
"22-Jul-2025","EQ","20.65","20.79","20.25","20.52","20.47","20.44","20.50","29.79","14.01","1,33,06,796","27,28,02,824.33","19,009"
"21-Jul-2025","EQ","20.70","20.75","20.06","20.82","20.65","20.52","20.36","29.79","14.01","1,76,43,686","35,92,49,749.85","26,038"
