ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","6,947.00","7,012.00","6,818.00","6,912.50","6,841.00","6,843.00","6,886.81","8,177.00","3,964.00","3,69,764","2,54,64,92,953.50","54,878"
"11-Aug-2025","EQ","7,299.00","7,299.00","6,801.00","7,354.50","6,911.00","6,912.50","6,947.63","8,177.00","3,964.00","11,34,399","7,88,13,85,712.50","1,47,232"
"08-Aug-2025","EQ","7,777.00","7,786.00","7,278.50","7,729.50","7,300.00","7,354.50","7,484.24","8,177.00","3,964.00","3,32,197","2,48,62,41,796.00","40,758"
"07-Aug-2025","EQ","7,595.00","7,785.00","7,595.00","7,628.00","7,765.00","7,729.50","7,681.05","8,177.00","3,964.00","1,85,434","1,42,43,28,552.00","26,384"
"06-Aug-2025","EQ","7,850.00","7,878.00","7,565.50","7,891.50","7,632.00","7,628.00","7,649.31","8,177.00","3,964.00","3,97,729","3,04,23,52,199.50","56,726"
"05-Aug-2025","EQ","8,050.00","8,054.50","7,825.50","7,960.00","7,899.00","7,891.50","7,909.35","8,177.00","3,964.00","1,98,943","1,57,35,09,755.50","33,029"
"04-Aug-2025","EQ","7,913.50","8,048.50","7,825.00","7,871.00","7,955.00","7,960.00","7,942.85","8,177.00","3,964.00","3,04,230","2,41,64,52,258.50","48,150"
"01-Aug-2025","EQ","7,965.00","8,173.50","7,850.00","7,963.50","7,855.00","7,871.00","8,016.17","8,177.00","3,964.00","4,66,497","3,73,95,19,492.50","56,848"
"31-Jul-2025","EQ","7,925.00","7,999.50","7,820.00","8,040.50","7,959.50","7,963.50","7,935.13","8,177.00","3,964.00","4,04,230","3,20,76,19,593.00","52,130"
"30-Jul-2025","EQ","7,811.50","8,115.00","7,737.50","7,810.50","8,050.00","8,040.50","7,969.73","8,177.00","3,964.00","8,95,074","7,13,34,99,660.00","1,08,280"
