ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","587.50","589.25","574.25","587.15","580.55","580.85","580.40","660.00","453.05","21,09,517","1,22,43,67,264.85","37,966"
"12-Aug-2025","EQ","591.65","591.65","585.55","588.85","585.80","587.15","587.57","660.00","453.05","10,53,756","61,91,53,620.10","20,205"
"11-Aug-2025","EQ","580.15","591.30","580.05","580.00","588.50","588.85","587.95","660.00","453.05","8,39,347","49,34,96,692.55","23,235"
"08-Aug-2025","EQ","592.00","595.85","578.00","592.35","581.00","580.00","585.72","660.00","453.05","12,52,179","73,34,22,998.85","19,629"
"07-Aug-2025","EQ","588.00","594.15","580.20","589.90","592.20","592.35","586.51","660.00","453.05","19,36,155","1,13,55,79,702.50","30,308"
"06-Aug-2025","EQ","605.00","606.85","588.15","602.70","589.00","589.90","594.26","660.00","453.05","18,95,039","1,12,61,51,491.05","23,410"
"05-Aug-2025","EQ","606.00","607.95","598.70","605.25","602.70","602.70","602.43","660.00","453.05","7,95,422","47,91,82,247.80","20,882"
"04-Aug-2025","EQ","609.75","615.00","603.70","607.95","604.80","605.25","607.80","660.00","453.05","16,64,433","1,01,16,47,495.10","40,641"
"01-Aug-2025","EQ","594.85","615.35","588.75","592.70","607.90","607.95","604.85","693.50","453.05","45,99,912","2,78,22,62,074.90","55,903"
"31-Jul-2025","EQ","613.00","624.80","589.90","617.85","590.00","592.70","609.41","693.50","453.05","57,82,494","3,52,39,30,194.50","99,880"
"30-Jul-2025","EQ","612.95","620.75","609.00","610.05","617.50","617.85","616.85","693.50","453.05","26,16,022","1,61,36,89,762.05","33,971"
"29-Jul-2025","EQ","610.00","612.40","602.65","611.05","611.75","610.05","608.13","693.50","453.05","32,78,602","1,99,38,21,009.60","31,509"
"28-Jul-2025","EQ","611.90","619.95","606.20","613.10","608.30","611.05","613.90","693.50","453.05","18,34,138","1,12,59,72,763.05","38,687"
"25-Jul-2025","EQ","617.40","619.00","609.00","620.40","609.80","613.10","613.67","695.00","453.05","24,13,503","1,48,10,92,305.45","38,583"
"24-Jul-2025","EQ","620.40","623.35","616.00","620.40","620.00","620.40","620.33","695.00","453.05","13,89,419","86,19,02,526.55","21,164"
"23-Jul-2025","EQ","623.00","623.70","613.50","620.55","620.95","620.40","618.08","695.00","453.05","11,65,692","72,04,93,443.15","26,567"
"22-Jul-2025","EQ","615.00","624.95","613.80","613.25","618.55","620.55","620.91","695.00","453.05","58,76,411","3,64,86,93,646.05","76,223"
"21-Jul-2025","EQ","599.35","614.90","597.15","596.70","614.70","613.25","608.59","695.00","453.05","42,26,198","2,57,20,06,444.25","76,048"
"18-Jul-2025","EQ","595.00","599.75","591.00","594.60","596.00","596.70","596.46","695.00","453.05","22,12,885","1,31,98,98,496.60","39,820"
"17-Jul-2025","EQ","595.40","595.85","589.50","595.50","595.00","594.60","592.91","695.00","453.05","14,61,633","86,66,17,308.25","18,898"
"16-Jul-2025","EQ","593.00","597.25","586.05","593.10","595.10","595.50","592.59","695.00","453.05","18,04,740","1,06,94,64,157.00","22,645"
"15-Jul-2025","EQ","591.65","594.80","588.35","590.15","592.10","593.10","591.91","695.00","453.05","14,98,073","88,67,22,258.25","27,088"
"14-Jul-2025","EQ","586.75","591.40","584.50","587.15","590.75","590.15","588.32","695.00","453.05","19,26,899","1,13,36,26,138.55","30,789"
"11-Jul-2025","EQ","585.10","591.90","583.25","585.40","584.15","587.15","587.50","695.00","453.05","19,38,933","1,13,91,14,216.95","33,406"
"10-Jul-2025","EQ","594.00","594.85","580.10","590.35","584.00","585.40","584.58","695.00","453.05","32,19,282","1,88,19,13,733.70","42,400"
"09-Jul-2025","EQ","591.00","595.95","589.00","591.55","590.00","590.35","592.15","695.00","453.05","19,63,293","1,16,25,68,232.05","34,137"
"08-Jul-2025","EQ","591.80","592.95","580.00","592.00","590.15","591.55","587.12","695.00","453.05","26,42,997","1,55,17,51,452.35","44,229"
"07-Jul-2025","EQ","596.00","596.85","585.30","595.75","590.00","592.00","589.65","695.00","453.05","20,12,247","1,18,65,17,397.70","21,716"
"04-Jul-2025","EQ","588.75","601.75","588.75","588.75","593.50","595.75","594.99","706.95","453.05","28,59,715","1,70,14,94,904.70","41,737"
"03-Jul-2025","EQ","596.45","597.20","585.35","594.20","588.65","588.75","590.73","706.95","453.05","15,98,094","94,40,43,501.60","39,745"
"02-Jul-2025","EQ","582.00","597.60","581.55","580.25","593.90","594.20","590.97","706.95","453.05","38,21,770","2,25,85,59,822.40","55,190"
"01-Jul-2025","EQ","582.00","587.80","578.60","577.45","581.00","580.25","583.64","706.95","453.05","28,77,528","1,67,94,32,604.15","62,261"
"30-Jun-2025","EQ","575.05","579.05","572.20","574.95","577.30","577.45","575.94","706.95","453.05","20,03,633","1,15,39,70,021.25","35,109"
"27-Jun-2025","EQ","569.50","579.75","565.10","566.75","575.00","574.95","574.28","706.95","453.05","35,63,465","2,04,64,10,115.80","51,787"
"26-Jun-2025","EQ","562.00","569.40","558.95","559.40","566.00","566.75","564.84","706.95","453.05","30,48,051","1,72,16,51,296.35","58,191"
"25-Jun-2025","EQ","556.90","560.70","551.30","554.20","559.30","559.40","556.05","706.95","453.05","24,48,107","1,36,12,64,037.50","47,922"
"24-Jun-2025","EQ","539.00","562.80","539.00","535.55","557.50","554.20","553.38","706.95","453.05","57,19,088","3,16,48,17,632.80","82,918"
"23-Jun-2025","EQ","530.00","539.50","528.45","533.45","534.85","535.55","536.19","706.95","453.05","10,12,046","54,26,47,910.25","16,404"
"20-Jun-2025","EQ","532.75","535.65","528.45","532.80","532.25","533.45","532.76","706.95","453.05","26,56,096","1,41,50,62,767.80","33,608"
"19-Jun-2025","EQ","545.05","546.45","531.00","545.05","531.70","532.80","538.09","706.95","453.05","19,61,693","1,05,55,68,489.85","25,062"
"18-Jun-2025","EQ","552.65","553.15","543.70","550.90","545.00","545.05","547.92","706.95","453.05","5,68,472","31,14,76,771.55","12,583"
"17-Jun-2025","EQ","551.00","556.60","546.80","550.15","548.80","550.90","552.47","706.95","453.05","14,06,479","77,70,44,199.15","18,226"
"16-Jun-2025","EQ","543.95","552.90","537.30","542.50","550.55","550.15","545.62","706.95","453.05","12,53,497","68,39,37,332.35","14,459"
"13-Jun-2025","EQ","541.00","546.70","536.05","548.35","543.95","542.50","543.16","706.95","453.05","13,48,657","73,25,38,065.65","20,430"
"12-Jun-2025","EQ","563.00","563.60","545.10","561.25","547.95","548.35","554.47","706.95","453.05","18,37,409","1,01,87,79,080.90","28,340"
"11-Jun-2025","EQ","562.55","567.00","556.50","561.10","562.00","561.25","563.00","706.95","453.05","25,53,077","1,43,73,72,762.60","21,707"
"10-Jun-2025","EQ","564.00","566.50","558.50","560.00","562.70","561.10","563.19","706.95","453.05","32,39,799","1,82,46,07,327.05","39,698"
"09-Jun-2025","EQ","563.00","563.00","554.15","555.15","560.00","560.00","557.95","706.95","453.05","32,68,930","1,82,38,94,289.10","41,343"
"06-Jun-2025","EQ","551.25","557.20","549.30","550.15","555.10","555.15","553.58","706.95","453.05","28,21,698","1,56,20,45,612.30","23,393"
"05-Jun-2025","EQ","552.50","556.50","549.00","552.45","550.40","550.15","552.46","706.95","453.05","10,79,232","59,62,31,741.95","17,289"
"04-Jun-2025","EQ","550.60","554.80","547.50","552.40","551.50","552.45","549.95","706.95","453.05","34,48,423","1,89,64,54,770.45","36,581"
"03-Jun-2025","EQ","553.80","557.50","548.10","555.55","550.50","552.40","551.19","706.95","453.05","17,62,430","97,14,37,873.55","20,188"
"02-Jun-2025","EQ","553.55","559.55","549.15","553.50","555.05","555.55","555.30","706.95","453.05","10,40,982","57,80,61,289.45","30,380"
"30-May-2025","EQ","561.45","563.25","551.30","561.45","551.60","553.50","556.87","706.95","453.05","23,13,117","1,28,80,98,177.00","38,166"
"29-May-2025","EQ","561.95","563.80","555.70","561.65","562.50","561.45","560.03","706.95","453.05","14,09,636","78,94,35,995.25","22,562"
"28-May-2025","EQ","562.70","567.00","558.65","562.70","559.90","561.65","561.63","706.95","453.05","10,14,166","56,95,87,945.10","16,910"
"27-May-2025","EQ","567.15","568.90","558.80","567.15","563.00","562.70","562.23","706.95","453.05","15,15,100","85,18,39,442.60","25,377"
"26-May-2025","EQ","571.35","576.35","564.40","570.90","570.00","567.15","567.43","706.95","453.05","10,01,361","56,82,03,721.80","20,928"
"23-May-2025","EQ","567.75","576.00","566.25","567.75","571.35","570.90","573.11","706.95","453.05","13,32,383","76,36,00,688.35","26,236"
"22-May-2025","EQ","567.45","569.25","561.60","567.80","567.15","567.75","565.38","706.95","453.05","15,59,623","88,17,74,392.95","25,920"
"21-May-2025","EQ","562.10","570.40","561.00","562.05","567.00","567.80","566.87","706.95","453.05","12,95,557","73,44,11,865.85","21,695"
"20-May-2025","EQ","565.60","571.65","560.40","565.55","563.70","562.05","565.30","706.95","453.05","17,67,473","99,91,52,734.30","31,899"
"19-May-2025","EQ","566.00","569.55","559.35","563.50","565.00","565.55","564.32","706.95","453.05","22,03,178","1,24,32,89,358.30","26,770"
"16-May-2025","EQ","548.20","565.90","547.15","547.55","561.00","563.50","561.86","706.95","453.05","35,60,785","2,00,06,70,330.60","43,423"
"15-May-2025","EQ","543.90","549.00","539.20","543.60","548.00","547.55","544.28","706.95","453.05","36,83,833","2,00,50,42,324.05","29,779"
"14-May-2025","EQ","540.00","545.00","536.05","536.90","544.50","543.60","541.57","706.95","453.05","26,27,027","1,42,27,11,618.25","27,169"
"13-May-2025","EQ","542.20","542.90","534.30","541.65","537.85","536.90","539.16","706.95","453.05","34,38,632","1,85,39,70,692.75","56,606"
"12-May-2025","EQ","540.00","544.10","536.00","527.45","542.00","541.65","541.32","706.95","453.05","12,25,957","66,36,34,253.20","28,119"
"09-May-2025","EQ","516.00","529.30","512.25","524.40","527.50","527.45","522.99","706.95","453.05","18,80,094","98,32,67,064.50","35,317"
