ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","539.65","544.00","536.00","536.45","537.75","536.95","539.21","947.90","376.15","6,78,290","36,57,39,411.00","20,525"
"12-Aug-2025","EQ","539.60","544.00","535.20","538.75","536.00","536.45","539.69","947.90","376.15","5,27,929","28,49,18,719.00","16,807"
"11-Aug-2025","EQ","535.00","542.00","526.50","533.95","540.00","538.75","535.58","947.90","376.15","11,26,606","60,33,86,080.15","31,050"
"08-Aug-2025","EQ","547.00","549.45","531.40","546.60","533.50","533.95","540.91","947.90","376.15","8,17,938","44,24,29,868.10","23,914"
"07-Aug-2025","EQ","540.00","550.00","534.00","543.20","548.00","546.60","543.00","947.90","376.15","12,34,117","67,01,21,508.45","28,586"
"06-Aug-2025","EQ","560.15","568.50","540.15","559.55","542.00","543.20","552.10","947.90","376.15","16,61,672","91,74,16,521.40","32,437"
"05-Aug-2025","EQ","564.40","573.60","557.00","562.45","559.50","559.55","564.18","947.90","376.15","17,74,301","1,00,10,26,608.45","41,670"
"04-Aug-2025","EQ","565.95","568.40","558.00","563.85","565.00","562.45","563.05","947.90","376.15","11,17,957","62,94,64,633.60","27,125"
"01-Aug-2025","EQ","562.90","572.00","561.15","564.60","564.35","563.85","565.65","947.90","376.15","11,34,453","64,17,05,177.80","21,233"
"31-Jul-2025","EQ","568.00","577.70","557.10","579.80","560.00","564.60","570.30","947.90","376.15","17,22,601","98,23,92,690.90","39,089"
"30-Jul-2025","EQ","580.90","587.80","573.00","578.40","579.80","579.80","581.03","947.90","376.15","17,41,746","1,01,20,07,340.90","32,014"
"29-Jul-2025","EQ","560.00","581.00","547.40","563.10","581.00","578.40","568.75","947.90","376.15","24,68,347","1,40,38,75,082.45","41,218"
"28-Jul-2025","EQ","575.20","581.95","560.00","573.45","562.30","563.10","570.88","947.90","376.15","24,31,027","1,38,78,23,014.00","50,096"
"25-Jul-2025","EQ","582.00","606.50","570.15","562.35","573.40","573.45","587.25","947.90","376.15","1,47,15,797","8,64,18,30,237.20","2,11,317"
"24-Jul-2025","EQ","564.90","569.50","557.75","562.75","559.00","562.35","564.74","947.90","376.15","14,70,646","83,05,32,049.45","27,410"
"23-Jul-2025","EQ","573.00","573.00","558.05","569.80","563.00","562.75","563.62","947.90","376.15","19,64,178","1,10,70,50,236.10","35,152"
"22-Jul-2025","EQ","585.20","595.55","567.00","582.95","571.00","569.80","575.18","947.90","376.15","21,58,079","1,24,12,86,734.20","45,693"
"21-Jul-2025","EQ","590.50","592.35","581.00","589.20","584.50","582.95","586.04","947.90","376.15","22,27,805","1,30,55,80,476.75","34,171"
"18-Jul-2025","EQ","602.95","603.00","587.05","601.40","588.30","589.20","593.49","947.90","376.15","17,19,729","1,02,06,41,247.00","33,035"
"17-Jul-2025","EQ","609.00","613.95","599.30","606.10","602.50","601.40","606.51","947.90","376.15","18,70,937","1,13,47,44,854.15","35,840"
"16-Jul-2025","EQ","610.00","620.00","600.00","607.20","608.00","606.10","610.52","947.90","376.15","48,27,734","2,94,74,23,871.45","74,756"
"15-Jul-2025","EQ","573.70","616.50","569.15","571.50","608.75","607.20","601.42","947.90","376.15","1,39,50,965","8,39,03,24,155.80","1,77,572"
"14-Jul-2025","EQ","562.00","574.75","551.20","561.30","571.95","571.50","566.00","947.90","376.15","22,39,125","1,26,73,52,125.90","50,421"
"11-Jul-2025","EQ","558.00","579.00","553.45","554.40","562.00","561.30","564.18","947.90","376.15","30,82,505","1,73,91,00,652.85","53,323"
"10-Jul-2025","EQ","549.00","563.50","548.50","547.70","557.00","554.40","556.85","947.90","376.15","20,92,244","1,16,50,70,357.70","44,578"
"09-Jul-2025","EQ","552.00","554.70","546.10","550.40","548.50","547.70","549.91","947.90","376.15","8,00,443","44,01,69,266.30","19,700"
"08-Jul-2025","EQ","543.60","552.40","533.75","543.75","551.00","550.40","545.41","947.90","376.15","13,66,962","74,55,49,843.90","32,402"
"07-Jul-2025","EQ","545.00","551.00","542.05","546.95","542.55","543.75","545.65","947.90","376.15","5,71,984","31,21,01,383.75","14,474"
"04-Jul-2025","EQ","545.30","548.90","538.90","545.30","546.55","546.95","544.50","947.90","376.15","8,81,328","47,98,79,135.55","20,987"
"03-Jul-2025","EQ","554.00","554.50","543.60","553.55","546.00","545.30","549.04","947.90","376.15","11,76,210","64,57,86,032.55","26,026"
"02-Jul-2025","EQ","566.00","566.45","550.00","564.95","553.55","553.55","556.02","947.90","376.15","11,84,591","65,86,52,784.30","27,944"
"01-Jul-2025","EQ","570.00","580.80","563.05","566.45","566.00","564.95","569.29","947.90","376.15","20,52,555","1,16,84,98,120.00","38,334"
"30-Jun-2025","EQ","556.00","574.80","554.35","554.00","568.00","566.45","565.00","947.90","376.15","23,27,868","1,31,52,43,659.05","50,389"
"27-Jun-2025","EQ","567.00","571.00","552.10","564.25","557.00","554.00","562.22","947.90","376.15","18,08,175","1,01,65,91,566.60","36,996"
"26-Jun-2025","EQ","571.00","579.00","563.00","566.25","564.20","564.25","567.81","947.90","376.15","25,60,319","1,45,37,84,139.20","44,997"
"25-Jun-2025","EQ","545.00","569.90","541.40","539.80","569.05","566.25","554.87","947.90","376.15","34,21,846","1,89,86,91,385.70","70,466"
"24-Jun-2025","EQ","530.00","548.00","529.05","518.80","540.50","539.80","540.21","947.90","376.15","37,08,422","2,00,33,34,472.85","78,404"
"23-Jun-2025","EQ","510.00","524.40","505.80","511.95","519.90","518.80","516.40","947.90","376.15","20,35,064","1,05,09,15,287.40","55,305"
"20-Jun-2025","EQ","515.10","526.95","507.45","515.05","512.10","511.95","516.10","947.90","376.15","29,85,302","1,54,07,14,084.60","69,357"
"19-Jun-2025","EQ","529.00","534.95","512.35","527.40","514.20","515.05","522.63","947.90","376.15","19,45,436","1,01,67,49,301.10","46,855"
"18-Jun-2025","EQ","534.30","545.50","523.40","534.20","526.50","527.40","533.61","947.90","376.15","16,51,478","88,12,43,534.40","38,682"
"17-Jun-2025","EQ","552.55","558.80","531.00","552.55","533.00","534.20","543.73","947.90","376.15","17,02,135","92,54,96,260.60","43,804"
"16-Jun-2025","EQ","545.45","556.00","527.15","544.75","550.00","552.55","542.86","947.90","376.15","20,84,197","1,13,14,30,053.20","52,189"
"13-Jun-2025","EQ","503.55","551.55","503.55","556.75","547.00","544.75","540.75","947.90","376.15","31,41,898","1,69,89,91,838.60","62,617"
"12-Jun-2025","EQ","574.00","579.00","547.90","573.95","559.50","556.75","563.78","947.90","376.15","15,51,005","87,44,20,745.80","38,047"
"11-Jun-2025","EQ","578.70","584.40","568.10","577.25","576.40","573.95","575.28","947.90","376.15","17,75,229","1,02,12,61,774.45","35,399"
"10-Jun-2025","EQ","590.00","594.30","574.10","585.80","578.40","577.25","580.96","947.90","376.15","17,42,671","1,01,24,25,050.65","39,214"
"09-Jun-2025","EQ","580.95","604.20","574.00","575.80","586.15","585.80","588.90","947.90","376.15","31,27,357","1,84,17,06,308.55","63,103"
