ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,350.00","2,350.00","2,226.50","2,322.90","2,247.00","2,246.80","2,275.17","3,859.40","1,820.05","46,471","10,57,29,443.30","8,565"
"11-Aug-2025","EQ","2,309.10","2,353.50","2,276.50","2,310.20","2,328.90","2,322.90","2,319.64","3,859.40","1,820.05","44,544","10,33,25,900.80","9,984"
"08-Aug-2025","EQ","2,370.00","2,384.50","2,271.50","2,354.80","2,308.00","2,310.20","2,340.63","3,859.40","1,665.05","44,732","10,47,01,184.50","9,118"
"07-Aug-2025","EQ","2,420.00","2,441.60","2,286.40","2,452.40","2,363.00","2,354.80","2,347.28","3,859.40","1,665.05","93,613","21,97,36,259.60","17,382"
"06-Aug-2025","EQ","2,500.00","2,500.00","2,410.00","2,618.80","2,458.00","2,452.40","2,458.00","3,859.40","1,665.05","90,728","22,30,09,490.60","17,180"
"05-Aug-2025","EQ","2,689.80","2,700.00","2,564.20","2,663.20","2,627.70","2,618.80","2,629.28","3,859.40","1,665.05","89,904","23,63,82,615.10","17,147"
"04-Aug-2025","EQ","2,620.00","2,699.90","2,578.20","2,609.90","2,662.00","2,663.20","2,621.85","3,859.40","1,665.05","21,448","5,62,33,396.30","5,480"
"01-Aug-2025","EQ","2,664.00","2,676.00","2,595.00","2,645.30","2,619.00","2,609.90","2,638.06","3,859.40","1,665.05","14,015","3,69,72,452.30","3,898"
"31-Jul-2025","EQ","2,641.00","2,669.50","2,610.10","2,695.80","2,664.00","2,645.30","2,644.15","3,859.40","1,665.05","32,952","8,71,30,118.80","9,693"
"30-Jul-2025","EQ","2,692.00","2,724.70","2,638.00","2,692.90","2,688.00","2,695.80","2,674.42","3,859.40","1,665.05","31,468","8,41,58,635.10","9,058"
"29-Jul-2025","EQ","2,564.20","2,718.50","2,552.10","2,564.20","2,692.90","2,692.90","2,655.01","3,859.40","1,665.05","31,580","8,38,45,140.60","8,899"
"28-Jul-2025","EQ","2,645.00","2,671.00","2,544.20","2,650.00","2,570.00","2,564.20","2,599.05","3,859.40","1,665.05","28,700","7,45,92,790.30","7,554"
"25-Jul-2025","EQ","2,692.10","2,717.90","2,639.00","2,712.10","2,645.00","2,650.00","2,667.53","3,859.40","1,665.05","17,013","4,53,82,602.90","4,366"
"24-Jul-2025","EQ","2,746.00","2,757.70","2,707.20","2,745.30","2,710.00","2,712.10","2,721.39","3,859.40","1,665.05","10,864","2,95,65,153.50","3,316"
"23-Jul-2025","EQ","2,720.30","2,759.90","2,700.10","2,720.30","2,743.40","2,745.30","2,737.03","3,859.40","1,665.05","15,894","4,35,02,301.40","4,376"
"22-Jul-2025","EQ","2,808.80","2,815.10","2,705.00","2,787.60","2,731.00","2,720.30","2,746.27","3,859.40","1,665.05","32,264","8,86,05,640.80","7,051"
"21-Jul-2025","EQ","2,814.60","2,814.70","2,779.20","2,814.70","2,783.00","2,787.60","2,793.00","3,859.40","1,665.05","10,587","2,95,69,465.00","3,579"
"18-Jul-2025","EQ","2,870.60","2,871.20","2,785.10","2,870.60","2,811.50","2,814.70","2,818.27","3,859.40","1,665.05","23,115","6,51,44,210.90","6,929"
"17-Jul-2025","EQ","2,870.00","2,886.20","2,845.90","2,845.90","2,856.60","2,870.60","2,865.01","3,859.40","1,665.05","17,688","5,06,76,250.00","4,763"
"16-Jul-2025","EQ","2,939.10","2,939.10","2,831.00","2,911.90","2,845.00","2,845.90","2,874.92","3,859.40","1,665.05","25,370","7,29,36,823.50","6,786"
"15-Jul-2025","EQ","2,865.20","2,919.90","2,852.30","2,872.20","2,914.00","2,911.90","2,899.85","3,859.40","1,665.05","27,504","7,97,57,428.00","9,221"
"14-Jul-2025","EQ","2,850.00","2,894.00","2,848.60","2,849.40","2,865.20","2,872.20","2,873.10","3,859.40","1,665.05","20,187","5,79,99,252.40","4,921"
"11-Jul-2025","EQ","2,853.50","2,889.10","2,828.50","2,868.50","2,851.00","2,849.40","2,851.31","3,859.40","1,665.05","25,680","7,32,21,610.90","5,196"
"10-Jul-2025","EQ","2,929.60","2,948.00","2,845.00","2,897.70","2,870.00","2,868.50","2,870.41","3,859.40","1,665.05","32,026","9,19,27,708.10","6,083"
"09-Jul-2025","EQ","2,836.50","2,954.90","2,836.50","2,851.90","2,904.00","2,897.70","2,908.99","3,859.40","1,665.05","56,799","16,52,27,469.00","10,677"
"08-Jul-2025","EQ","2,812.00","2,884.80","2,801.10","2,795.00","2,845.00","2,851.90","2,851.96","3,859.40","1,665.05","64,852","18,49,55,433.60","11,859"
"07-Jul-2025","EQ","2,785.00","2,815.00","2,735.10","2,760.40","2,810.10","2,795.00","2,776.73","3,859.40","1,665.05","25,227","7,00,48,599.20","5,692"
"04-Jul-2025","EQ","2,772.00","2,794.00","2,750.00","2,780.90","2,750.00","2,760.40","2,765.09","3,859.40","1,665.05","19,769","5,46,63,126.30","5,629"
"03-Jul-2025","EQ","2,779.50","2,799.00","2,740.10","2,763.60","2,780.00","2,780.90","2,769.29","3,859.40","1,665.05","19,941","5,52,22,344.10","4,302"
"02-Jul-2025","EQ","2,765.00","2,785.00","2,715.00","2,749.50","2,779.90","2,763.60","2,744.99","3,859.40","1,665.05","22,403","6,14,95,929.60","5,179"
"01-Jul-2025","EQ","2,784.00","2,784.00","2,722.00","2,769.10","2,752.40","2,749.50","2,742.13","3,859.40","1,665.05","34,200","9,37,80,941.00","7,191"
"30-Jun-2025","EQ","2,738.50","2,783.00","2,709.10","2,709.40","2,778.00","2,769.10","2,746.61","3,859.40","1,665.05","41,982","11,53,08,158.20","7,815"
"27-Jun-2025","EQ","2,640.00","2,755.00","2,615.80","2,615.40","2,710.00","2,709.40","2,703.46","3,859.40","1,665.05","68,642","18,55,70,607.20","11,395"
"26-Jun-2025","EQ","2,651.00","2,693.60","2,611.00","2,667.70","2,616.00","2,615.40","2,630.62","3,859.40","1,665.05","32,697","8,60,13,468.20","6,021"
"25-Jun-2025","EQ","2,586.50","2,690.30","2,571.70","2,586.50","2,651.00","2,667.70","2,650.51","3,859.40","1,665.05","46,154","12,23,31,497.10","9,993"
"24-Jun-2025","EQ","2,610.60","2,636.30","2,557.00","2,583.60","2,586.00","2,586.50","2,598.69","3,859.40","1,665.05","34,588","8,98,83,449.20","9,110"
"23-Jun-2025","EQ","2,617.60","2,657.00","2,556.00","2,589.60","2,581.00","2,583.60","2,576.98","3,859.40","1,665.05","42,511","10,95,50,200.80","9,819"
"20-Jun-2025","EQ","2,603.10","2,626.20","2,552.30","2,599.70","2,617.70","2,589.60","2,590.69","3,859.40","1,665.05","66,745","17,29,15,517.50","14,687"
"19-Jun-2025","EQ","2,649.00","2,675.40","2,590.00","2,645.20","2,598.00","2,599.70","2,623.06","3,859.40","1,665.05","28,109","7,37,31,512.90","5,961"
"18-Jun-2025","EQ","2,680.10","2,744.00","2,641.00","2,667.00","2,647.00","2,645.20","2,676.76","3,859.40","1,665.05","32,732","8,76,15,743.00","7,095"
"17-Jun-2025","EQ","2,740.80","2,740.80","2,660.00","2,721.30","2,661.00","2,667.00","2,686.32","3,859.40","1,665.05","21,205","5,69,63,512.00","5,570"
"16-Jun-2025","EQ","2,735.00","2,754.00","2,706.80","2,735.00","2,715.10","2,721.30","2,723.73","3,859.40","1,665.05","15,678","4,27,02,624.70","3,167"
