ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","523.65","524.85","508.15","519.55","509.10","512.20","515.92","639.70","320.20","3,74,715","19,33,22,770.70","14,698"
"11-Aug-2025","EQ","511.25","521.95","510.00","512.55","520.30","519.55","517.27","639.70","320.20","1,27,462","6,59,31,886.60","12,829"
"08-Aug-2025","EQ","522.15","528.30","506.55","522.90","509.40","512.55","518.81","639.70","320.20","1,98,528","10,29,98,766.75","15,940"
"07-Aug-2025","EQ","522.80","525.75","512.10","522.10","522.00","522.90","518.53","639.70","320.20","3,32,423","17,23,69,688.75","22,970"
"06-Aug-2025","EQ","539.45","545.05","513.75","539.45","523.35","522.10","523.50","639.70","320.20","4,24,064","22,19,98,094.50","42,541"
"05-Aug-2025","EQ","540.00","550.35","533.85","543.55","539.75","539.45","540.69","639.70","320.20","4,36,891","23,62,20,763.15","33,491"
"04-Aug-2025","EQ","560.15","561.45","539.10","560.15","539.10","543.55","547.81","639.70","320.20","2,81,672","15,43,01,856.05","17,179"
"01-Aug-2025","EQ","554.00","564.30","548.00","557.25","559.50","560.15","557.14","639.70","320.20","4,46,120","24,85,52,339.65","21,800"
"31-Jul-2025","EQ","540.00","561.90","532.75","547.55","552.20","557.25","556.23","639.70","320.20","7,41,899","41,26,69,387.95","29,878"
"30-Jul-2025","EQ","542.90","564.00","542.85","540.80","549.00","547.55","553.81","639.70","320.20","21,65,995","1,19,95,41,303.80","74,062"
"29-Jul-2025","EQ","518.00","562.00","504.10","500.35","538.00","540.80","541.03","639.70","320.20","54,83,326","2,96,66,68,329.35","1,55,673"
"28-Jul-2025","EQ","493.10","506.90","493.10","500.10","500.45","500.35","502.20","639.70","320.20","2,09,307","10,51,14,945.35","14,782"
