ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","296.00","299.35","292.00","296.05","292.30","292.65","294.98","450.00","292.00","3,47,685","10,25,61,441.35","14,217"
"11-Aug-2025","EQ","296.85","298.80","292.75","298.80","296.20","296.05","296.06","450.00","292.75","2,99,561","8,86,88,316.85","13,185"
"08-Aug-2025","EQ","300.20","306.55","295.85","301.50","297.00","298.80","300.93","450.00","295.85","8,67,607","26,10,86,391.20","39,775"
"07-Aug-2025","EQ","304.45","307.20","296.70","309.10","302.00","301.50","300.27","450.00","296.70","5,46,550","16,41,13,768.40","19,000"
"06-Aug-2025","EQ","316.45","316.45","303.00","313.70","309.45","309.10","308.08","450.00","297.00","3,42,291","10,54,52,850.70","18,634"
"05-Aug-2025","EQ","317.80","320.40","310.65","315.90","313.80","313.70","314.34","450.00","297.00","4,33,421","13,62,40,687.40","13,980"
"04-Aug-2025","EQ","317.85","318.95","313.00","315.55","316.70","315.90","315.94","450.00","297.00","2,58,599","8,17,01,458.90","9,188"
"01-Aug-2025","EQ","316.05","319.00","309.20","316.05","313.50","315.55","314.15","450.00","297.00","4,68,087","14,70,51,571.00","14,975"
"31-Jul-2025","EQ","320.00","324.70","314.40","330.95","316.05","316.05","318.74","450.00","297.00","5,22,489","16,65,37,177.40","17,333"
"30-Jul-2025","EQ","332.30","333.70","324.40","331.50","331.00","330.95","328.37","450.00","297.00","7,13,285","23,42,24,264.65","32,414"
"29-Jul-2025","EQ","341.80","352.95","327.00","335.30","330.00","331.50","339.14","450.00","297.00","16,36,710","55,50,74,644.25","45,553"
"28-Jul-2025","EQ","334.50","336.40","328.65","336.05","335.00","335.30","332.88","450.00","297.00","4,19,744","13,97,25,338.60","18,081"
"25-Jul-2025","EQ","343.60","347.90","332.80","340.50","334.10","336.05","337.24","450.00","297.00","4,81,638","16,24,26,856.55","19,964"
"24-Jul-2025","EQ","337.80","349.30","337.05","336.65","341.10","340.50","342.90","450.00","297.00","4,56,309","15,64,70,318.70","14,140"
"23-Jul-2025","EQ","338.40","340.25","334.55","338.65","336.75","336.65","336.32","450.00","297.00","1,78,134","5,99,09,871.20","9,106"
"22-Jul-2025","EQ","341.00","345.00","337.75","341.05","339.15","338.65","340.51","450.00","297.00","1,18,057","4,01,99,298.00","4,746"
"21-Jul-2025","EQ","340.70","342.50","339.15","342.10","342.00","341.05","340.65","450.00","297.00","1,11,884","3,81,13,247.70","4,341"
"18-Jul-2025","EQ","347.00","347.95","340.35","346.70","341.10","342.10","342.78","450.00","297.00","1,20,005","4,11,35,831.55","6,947"
"17-Jul-2025","EQ","342.75","348.75","342.00","344.05","346.90","346.70","346.44","450.00","297.00","1,52,924","5,29,78,694.95","5,127"
"16-Jul-2025","EQ","340.05","345.10","338.40","341.25","343.25","344.05","342.19","450.00","297.00","2,41,037","8,24,80,430.45","10,765"
"15-Jul-2025","EQ","337.15","343.25","335.55","338.60","342.00","341.25","340.08","450.00","297.00","2,45,917","8,36,31,739.95","8,874"
"14-Jul-2025","EQ","336.00","339.00","332.50","336.25","339.00","338.60","335.71","450.00","297.00","1,38,687","4,65,58,721.55","7,161"
"11-Jul-2025","EQ","342.00","343.70","335.75","343.35","336.00","336.25","338.28","450.00","297.00","1,89,883","6,42,34,468.70","7,388"
"10-Jul-2025","EQ","344.00","346.55","341.10","344.10","342.00","343.35","343.45","450.00","297.00","1,43,550","4,93,02,756.60","4,727"
"09-Jul-2025","EQ","346.90","350.20","343.25","347.20","344.70","344.10","345.83","450.00","297.00","2,15,587","7,45,55,969.35","7,309"
"08-Jul-2025","EQ","353.00","356.80","340.15","346.45","345.70","347.20","348.53","450.00","297.00","14,85,755","51,78,34,127.05","36,749"
"07-Jul-2025","EQ","350.95","351.60","344.50","349.95","345.80","346.45","346.38","450.00","297.00","2,96,873","10,28,30,435.55","5,898"
"04-Jul-2025","EQ","347.05","353.00","347.05","348.50","351.00","349.95","350.00","450.00","297.00","1,67,238","5,85,32,744.45","6,252"
"03-Jul-2025","EQ","350.00","353.25","347.45","350.05","348.00","348.50","350.32","450.00","297.00","1,80,387","6,31,93,682.95","5,792"
"02-Jul-2025","EQ","350.50","353.90","348.05","351.00","349.90","350.05","349.76","450.00","297.00","1,69,655","5,93,37,980.30","7,186"
"01-Jul-2025","EQ","352.80","353.45","347.15","352.80","351.60","351.00","349.86","450.00","297.00","2,58,011","9,02,66,819.65","14,653"
"30-Jun-2025","EQ","354.70","356.45","349.20","354.70","353.60","352.80","352.21","450.00","297.00","2,24,894","7,92,08,860.65","6,752"
"27-Jun-2025","EQ","354.00","358.80","352.50","353.55","354.70","354.70","355.02","450.00","297.00","2,00,919","7,13,31,205.25","7,376"
"26-Jun-2025","EQ","361.45","362.75","352.65","354.65","353.30","353.55","356.10","450.00","297.00","2,67,105","9,51,15,932.70","8,328"
"25-Jun-2025","EQ","351.15","355.10","346.60","350.35","355.05","354.65","352.35","450.00","297.00","2,91,012","10,25,37,707.70","18,227"
"24-Jun-2025","EQ","356.90","358.45","349.45","354.55","351.30","350.35","352.02","450.00","297.00","4,22,003","14,85,52,513.55","12,680"
"23-Jun-2025","EQ","346.00","355.60","341.30","349.70","355.00","354.55","350.18","450.00","297.00","2,90,747","10,18,14,740.35","9,411"
"20-Jun-2025","EQ","338.00","352.30","331.05","340.15","347.95","349.70","346.13","450.00","297.00","7,48,248","25,89,93,138.40","22,444"
"19-Jun-2025","EQ","336.15","341.85","335.50","338.15","340.00","340.15","338.93","450.00","297.00","2,63,407","8,92,77,403.65","8,707"
"18-Jun-2025","EQ","345.90","347.20","337.30","346.55","337.40","338.15","340.09","450.00","297.00","3,18,734","10,83,97,018.40","14,347"
"17-Jun-2025","EQ","348.50","351.70","345.90","346.65","345.90","346.55","348.23","450.00","297.00","2,22,755","7,75,69,682.35","8,489"
"16-Jun-2025","EQ","352.90","356.00","343.20","351.90","345.75","346.65","345.63","450.00","297.00","4,89,645","16,92,36,580.00","14,562"
"13-Jun-2025","EQ","347.50","354.70","347.05","353.05","353.20","351.90","351.40","450.00","297.00","3,05,104","10,72,13,246.25","12,340"
"12-Jun-2025","EQ","363.95","365.70","351.65","362.85","353.50","353.05","357.47","450.00","297.00","2,74,214","9,80,24,139.90","11,666"
"11-Jun-2025","EQ","367.80","369.45","360.00","367.15","362.80","362.85","363.16","450.00","297.00","2,27,058","8,24,58,032.10","7,913"
"10-Jun-2025","EQ","360.25","370.50","359.20","358.80","367.45","367.15","366.30","450.00","297.00","4,70,431","17,23,20,219.75","10,372"
"09-Jun-2025","EQ","358.40","365.55","356.60","356.60","359.50","358.80","361.61","450.00","297.00","4,70,165","17,00,15,266.25","15,575"
"06-Jun-2025","EQ","350.50","358.40","347.55","350.30","356.05","356.60","353.78","450.00","297.00","3,05,390","10,80,40,348.30","9,316"
"05-Jun-2025","EQ","354.60","356.80","349.05","353.15","350.50","350.30","351.27","450.00","297.00","1,83,978","6,46,26,493.10","6,437"
"04-Jun-2025","EQ","348.95","364.00","348.00","348.85","352.40","353.15","354.87","450.00","297.00","7,43,486","26,38,40,369.15","20,707"
"03-Jun-2025","EQ","349.55","354.35","347.05","350.65","348.05","348.85","350.53","450.00","297.00","2,78,622","9,76,66,118.65","8,755"
"02-Jun-2025","EQ","354.25","357.95","350.05","357.90","350.05","350.65","352.33","450.00","297.00","2,89,616","10,20,41,466.90","10,728"
"30-May-2025","EQ","361.00","363.25","356.75","361.75","359.20","357.90","359.36","450.00","297.00","2,21,206","7,94,93,008.30","11,193"
"29-May-2025","EQ","365.00","366.80","359.00","363.50","360.50","361.75","361.11","450.00","297.00","2,14,658","7,75,15,783.45","10,102"
"28-May-2025","EQ","364.95","364.95","359.05","363.20","363.35","363.50","361.87","450.00","297.00","2,20,825","7,99,09,784.20","11,634"
