ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","821.95","828.00","812.15","818.10","823.80","821.80","821.72","876.40","576.80","83,823","6,88,78,673.10","7,192"
"12-Aug-2025","EQ","818.00","828.90","814.10","820.30","818.90","818.10","821.72","876.40","576.80","34,393","2,82,61,374.80","4,252"
"11-Aug-2025","EQ","826.00","836.60","815.50","826.00","822.50","820.30","822.23","876.40","576.80","51,402","4,22,64,175.15","5,404"
"08-Aug-2025","EQ","830.00","835.25","820.25","835.85","835.25","826.00","828.02","876.40","576.80","83,100","6,88,08,050.90","8,437"
"07-Aug-2025","EQ","828.00","841.00","810.00","828.00","830.00","835.85","829.70","876.40","576.80","1,35,012","11,20,19,048.75","11,279"
"06-Aug-2025","EQ","842.00","847.65","815.40","839.55","829.05","828.00","826.48","876.40","576.80","79,013","6,53,02,893.40","6,816"
"05-Aug-2025","EQ","832.95","852.25","820.70","830.20","839.00","839.55","834.18","876.40","576.80","3,56,858","29,76,85,353.35","36,957"
"04-Aug-2025","EQ","814.70","832.95","808.60","814.80","832.00","830.20","820.30","876.40","576.80","2,84,277","23,31,93,723.30","26,082"
"01-Aug-2025","EQ","840.50","848.80","810.00","840.05","812.95","814.80","826.88","876.40","576.80","87,435","7,22,98,095.05","8,069"
"31-Jul-2025","EQ","830.00","850.30","825.00","849.10","840.50","840.05","840.31","876.40","576.80","1,36,231","11,44,76,612.65","9,289"
"30-Jul-2025","EQ","838.00","857.00","811.00","831.80","851.00","849.10","837.87","876.40","576.80","7,70,479","64,55,58,580.10","41,257"
"29-Jul-2025","EQ","820.00","835.90","819.95","833.70","831.50","831.80","829.45","876.40","576.80","92,033","7,63,37,195.30","7,746"
"28-Jul-2025","EQ","836.95","843.50","825.00","836.30","829.00","833.70","832.43","876.40","576.80","1,04,423","8,69,24,968.95","8,532"
"25-Jul-2025","EQ","848.00","848.70","830.20","848.20","837.00","836.30","836.35","876.40","576.80","1,27,132","10,63,26,714.20","10,560"
"24-Jul-2025","EQ","854.90","859.75","839.15","854.00","848.25","848.20","851.98","876.40","576.80","1,20,137","10,23,53,956.45","8,850"
"23-Jul-2025","EQ","841.20","856.80","831.90","841.20","854.95","854.00","848.27","876.40","576.80","1,88,262","15,96,97,403.40","11,759"
"22-Jul-2025","EQ","840.00","847.00","830.85","833.55","839.15","841.20","840.00","876.40","576.80","1,39,073","11,68,21,543.65","9,681"
