ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","8,880.00","8,937.00","8,630.00","8,796.50","8,650.00","8,671.50","8,778.43","10,691.00","6,220.00","9,468","8,31,14,172.50","2,874"
"11-Aug-2025","EQ","8,735.00","8,899.00","8,619.00","8,784.50","8,854.00","8,796.50","8,746.90","10,691.00","6,220.00","10,106","8,83,96,172.00","3,417"
"08-Aug-2025","EQ","8,750.00","8,888.00","8,661.00","8,723.50","8,735.50","8,784.50","8,790.54","10,691.00","6,220.00","15,302","13,45,12,802.00","5,020"
"07-Aug-2025","EQ","8,800.00","8,807.00","8,666.00","8,834.50","8,701.00","8,723.50","8,724.18","10,691.00","6,220.00","9,367","8,17,19,368.00","3,048"
"06-Aug-2025","EQ","8,850.00","8,892.00","8,731.00","8,855.50","8,834.00","8,834.50","8,807.94","10,691.00","6,220.00","12,030","10,59,59,526.00","3,657"
"05-Aug-2025","EQ","8,912.50","8,999.00","8,831.00","8,957.50","8,850.00","8,855.50","8,892.71","10,691.00","6,220.00","7,831","6,96,38,832.00","2,602"
"04-Aug-2025","EQ","8,909.00","8,983.50","8,865.00","8,893.50","8,950.00","8,957.50","8,921.75","10,691.00","6,220.00","8,507","7,58,97,343.00","2,932"
"01-Aug-2025","EQ","9,175.00","9,221.00","8,840.00","9,186.00","8,909.50","8,893.50","8,991.30","10,691.00","6,220.00","16,512","14,84,64,300.50","5,104"
"31-Jul-2025","EQ","9,220.50","9,385.00","9,159.00","9,340.00","9,185.00","9,186.00","9,226.93","10,691.00","6,220.00","15,862","14,63,57,548.00","4,693"
"30-Jul-2025","EQ","9,020.50","9,400.00","8,948.00","8,947.50","9,306.00","9,340.00","9,250.94","10,691.00","6,220.00","39,808","36,82,61,485.00","11,186"
"29-Jul-2025","EQ","8,944.50","9,000.00","8,865.50","8,937.50","8,960.00","8,947.50","8,939.56","10,691.00","6,220.00","16,758","14,98,09,217.00","3,325"
"28-Jul-2025","EQ","8,855.00","8,981.50","8,842.00","8,867.50","8,970.00","8,937.50","8,934.07","10,691.00","6,220.00","16,459","14,70,45,863.00","5,349"
"25-Jul-2025","EQ","9,028.00","9,067.50","8,822.50","9,024.50","8,844.50","8,867.50","8,937.56","10,691.00","6,220.00","10,938","9,77,58,992.50","3,141"
"24-Jul-2025","EQ","8,950.00","9,061.00","8,936.50","8,935.50","9,061.00","9,024.50","9,012.23","10,691.00","6,220.00","13,697","12,34,40,470.00","3,593"
"23-Jul-2025","EQ","9,005.00","9,100.00","8,912.00","9,005.00","8,926.50","8,935.50","8,994.03","10,691.00","6,220.00","23,793","21,39,94,976.00","5,535"
"22-Jul-2025","EQ","9,219.50","9,250.00","8,970.00","9,141.50","9,005.00","9,005.00","9,116.43","10,691.00","6,220.00","31,723","28,92,00,477.50","7,185"
"21-Jul-2025","EQ","9,078.50","9,176.50","8,957.00","9,119.00","9,175.00","9,141.50","9,082.90","10,691.00","6,220.00","26,644","24,20,04,682.00","8,389"
"18-Jul-2025","EQ","9,379.00","9,390.00","9,056.50","9,394.00","9,091.50","9,119.00","9,234.19","10,691.00","6,220.00","24,592","22,70,87,224.00","5,806"
"17-Jul-2025","EQ","9,224.50","9,439.00","9,221.00","9,170.50","9,360.00","9,394.00","9,353.74","10,691.00","6,220.00","43,419","40,61,29,882.50","10,782"
"16-Jul-2025","EQ","9,210.00","9,531.00","9,134.00","9,160.00","9,175.00","9,170.50","9,302.62","10,691.00","6,220.00","67,828","63,09,78,182.00","16,712"
"15-Jul-2025","EQ","9,195.00","9,650.50","9,055.00","9,184.50","9,174.00","9,160.00","9,313.46","10,691.00","6,220.00","1,06,695","99,36,99,961.50","24,180"
"14-Jul-2025","EQ","9,200.00","9,303.00","9,161.00","9,241.50","9,194.50","9,184.50","9,217.63","10,691.00","6,220.00","10,623","9,79,18,842.00","3,051"
"11-Jul-2025","EQ","9,120.00","9,272.50","9,120.00","9,110.50","9,231.00","9,241.50","9,216.62","10,691.00","6,220.00","20,847","19,21,38,883.00","4,937"
"10-Jul-2025","EQ","9,369.50","9,369.50","9,020.00","9,288.50","9,120.00","9,110.50","9,139.43","10,691.00","6,220.00","26,253","23,99,37,421.50","7,030"
"09-Jul-2025","EQ","9,140.00","9,339.00","9,091.00","9,127.00","9,285.00","9,288.50","9,228.37","10,691.00","6,220.00","37,170","34,30,18,630.00","8,158"
"08-Jul-2025","EQ","9,150.00","9,260.00","9,060.00","9,150.50","9,133.50","9,127.00","9,154.17","10,691.00","6,220.00","31,963","29,25,94,884.50","7,995"
