ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","611.85","616.15","604.00","611.85","611.00","609.25","609.87","868.85","532.60","3,51,327","21,42,64,035.25","15,935"
"12-Aug-2025","EQ","599.00","615.50","596.05","596.30","612.45","611.85","609.55","868.85","532.60","9,27,355","56,52,68,140.85","28,534"
"11-Aug-2025","EQ","585.60","598.95","582.15","584.60","595.00","596.30","592.70","868.85","532.60","5,29,688","31,39,44,742.60","17,162"
"08-Aug-2025","EQ","595.00","598.95","582.00","591.85","584.40","584.60","590.61","896.45","532.60","4,34,493","25,66,17,387.75","16,059"
"07-Aug-2025","EQ","589.00","594.75","577.10","589.00","591.00","591.85","587.24","896.45","532.60","6,31,605","37,09,02,587.90","28,373"
"06-Aug-2025","EQ","597.10","598.80","586.50","595.85","589.00","589.00","591.98","896.45","532.60","4,04,411","23,94,03,717.45","16,311"
"05-Aug-2025","EQ","604.00","608.00","593.70","606.10","596.70","595.85","599.19","896.45","532.60","4,64,528","27,83,42,020.55","18,868"
"04-Aug-2025","EQ","600.85","607.15","594.05","595.40","606.75","606.10","601.53","896.45","532.60","4,81,108","28,94,00,031.35","19,682"
"01-Aug-2025","EQ","617.00","617.00","592.70","604.10","599.85","595.40","604.49","941.90","532.60","8,27,372","50,01,38,560.95","28,324"
"31-Jul-2025","EQ","620.00","621.50","602.45","625.15","603.95","604.10","611.58","941.90","532.60","9,70,390","59,34,70,332.00","31,095"
"30-Jul-2025","EQ","633.00","636.10","623.55","629.35","625.15","625.15","629.14","941.90","532.60","3,30,702","20,80,57,133.95","13,607"
"29-Jul-2025","EQ","628.95","631.00","618.00","625.65","629.50","629.35","626.00","941.90","532.60","6,20,849","38,86,53,250.95","23,158"
"28-Jul-2025","EQ","627.95","638.90","621.10","624.10","624.00","625.65","628.93","941.90","532.60","6,10,775","38,41,36,379.45","25,453"
"25-Jul-2025","EQ","645.30","647.45","622.10","644.75","623.85","624.10","632.09","941.90","532.60","5,53,055","34,95,80,040.65","24,465"
"24-Jul-2025","EQ","652.00","655.35","642.50","652.10","644.80","644.75","647.96","941.90","532.60","3,21,771","20,84,93,962.00","12,816"
"23-Jul-2025","EQ","651.80","654.90","647.30","646.95","651.95","652.10","652.17","941.90","532.60","3,98,214","25,97,01,508.00","16,401"
"22-Jul-2025","EQ","661.90","662.30","645.00","657.75","647.30","646.95","651.21","941.90","532.60","4,45,162","28,98,92,245.80","18,867"
"21-Jul-2025","EQ","655.00","661.90","648.00","653.45","658.80","657.75","657.24","941.90","532.60","4,16,154","27,35,14,164.50","14,891"
"18-Jul-2025","EQ","662.55","664.60","649.15","661.65","654.00","653.45","655.86","941.90","532.60","4,78,772","31,40,09,099.35","17,740"
"17-Jul-2025","EQ","662.00","666.90","656.15","659.90","662.85","661.65","661.78","941.90","532.60","6,73,880","44,59,60,862.00","20,496"
"16-Jul-2025","EQ","649.80","662.75","649.00","647.75","659.80","659.90","655.79","941.90","532.60","8,52,507","55,90,66,136.70","23,249"
"15-Jul-2025","EQ","651.00","653.45","645.50","646.70","648.25","647.75","648.58","941.90","532.60","4,67,659","30,33,13,771.35","14,415"
"14-Jul-2025","EQ","649.90","656.00","640.00","644.75","647.65","646.70","647.56","941.90","532.60","6,75,567","43,74,69,712.45","20,721"
"11-Jul-2025","EQ","652.00","655.50","641.10","651.95","643.75","644.75","648.34","941.90","532.60","4,27,786","27,73,49,992.10","16,702"
"10-Jul-2025","EQ","652.75","658.85","650.00","650.90","651.95","651.95","653.29","941.90","532.60","4,46,183","29,14,87,084.05","13,675"
"09-Jul-2025","EQ","657.50","660.80","650.00","653.45","651.20","650.90","654.54","941.90","532.60","5,64,106","36,92,30,698.75","16,108"
"08-Jul-2025","EQ","659.00","664.40","650.00","656.50","653.15","653.45","654.86","941.90","532.60","5,23,872","34,30,64,275.70","17,366"
"07-Jul-2025","EQ","663.05","665.00","655.00","660.10","656.20","656.50","658.45","941.90","532.60","4,40,055","28,97,53,213.10","15,409"
"04-Jul-2025","EQ","664.00","672.60","656.75","663.90","660.00","660.10","663.56","941.90","532.60","7,32,740","48,62,14,092.35","25,487"
"03-Jul-2025","EQ","665.45","670.00","661.00","663.20","663.20","663.90","664.99","941.90","532.60","3,91,058","26,00,47,885.65","13,547"
"02-Jul-2025","EQ","669.05","672.35","660.30","666.70","663.00","663.20","665.78","941.90","532.60","6,11,592","40,71,85,091.75","19,614"
"01-Jul-2025","EQ","677.00","684.00","664.30","675.75","666.50","666.70","673.12","941.90","532.60","10,26,690","69,10,86,253.15","26,684"
"30-Jun-2025","EQ","684.00","687.20","670.00","682.45","675.50","675.75","676.59","941.90","532.60","14,52,561","98,27,89,683.15","34,865"
"27-Jun-2025","EQ","648.00","693.90","647.80","645.55","682.00","682.45","682.48","941.90","532.60","1,16,51,442","7,95,19,13,171.50","2,02,369"
"26-Jun-2025","EQ","640.00","648.90","634.35","634.15","647.40","645.55","640.89","941.90","532.60","20,65,705","1,32,38,87,228.90","52,175"
"25-Jun-2025","EQ","635.00","640.75","632.70","631.85","634.10","634.15","636.22","941.90","532.60","12,80,646","81,47,73,922.90","38,993"
"24-Jun-2025","EQ","640.45","644.85","630.00","629.70","632.70","631.85","637.33","941.90","532.60","11,76,752","74,99,77,410.05","30,820"
"23-Jun-2025","EQ","614.55","631.20","608.15","617.10","630.60","629.70","625.75","941.90","532.60","11,69,567","73,18,57,240.05","35,353"
"20-Jun-2025","EQ","622.60","633.55","613.95","622.60","621.00","617.10","618.99","957.85","532.60","44,54,650","2,75,73,96,052.50","66,049"
"19-Jun-2025","EQ","654.00","654.00","621.00","650.95","624.00","622.60","631.70","957.85","532.60","13,22,163","83,52,04,661.45","49,296"
"18-Jun-2025","EQ","646.85","664.50","645.35","646.85","650.00","650.95","655.12","957.85","532.60","9,25,059","60,60,27,009.20","32,137"
"17-Jun-2025","EQ","663.00","663.00","645.00","658.80","645.90","646.85","651.94","957.85","532.60","6,30,560","41,10,88,357.95","28,908"
"16-Jun-2025","EQ","658.80","662.50","642.80","658.80","657.60","658.80","654.06","957.85","532.60","7,36,925","48,19,91,319.80","25,669"
"13-Jun-2025","EQ","658.90","666.55","654.50","672.75","660.00","658.80","660.06","1,013.95","532.60","9,59,668","63,34,34,065.15","34,154"
"12-Jun-2025","EQ","700.00","701.95","670.10","697.60","672.20","672.75","682.90","1,013.95","532.60","11,81,155","80,66,05,147.35","37,708"
"11-Jun-2025","EQ","716.00","718.75","692.10","713.10","698.45","697.60","704.83","1,013.95","532.60","13,26,185","93,47,38,456.80","35,615"
"10-Jun-2025","EQ","696.00","721.00","690.15","690.80","713.80","713.10","709.43","1,013.95","532.60","27,92,402","1,98,10,03,222.60","69,503"
"09-Jun-2025","EQ","686.00","694.00","681.50","679.95","690.15","690.80","688.19","1,013.95","532.60","9,11,914","62,75,73,959.90","24,014"
"06-Jun-2025","EQ","684.00","692.85","675.60","682.35","680.90","679.95","681.74","1,190.00","532.60","9,50,457","64,79,68,631.00","22,854"
"05-Jun-2025","EQ","684.70","690.05","677.30","682.45","681.20","682.35","684.48","1,190.00","532.60","6,16,872","42,22,35,990.55","17,139"
"04-Jun-2025","EQ","682.00","684.70","673.10","678.85","681.00","682.45","680.57","1,190.00","532.60","5,69,059","38,72,84,247.95","18,131"
"03-Jun-2025","EQ","687.05","695.00","675.05","690.35","678.95","678.85","682.99","1,190.00","532.60","8,64,468","59,04,22,016.00","28,899"
"02-Jun-2025","EQ","685.00","694.65","676.05","683.75","688.20","690.35","687.28","1,190.00","532.60","10,97,990","75,46,24,338.70","32,461"
"30-May-2025","EQ","680.75","693.00","670.05","680.75","681.40","683.75","682.26","1,190.00","532.60","12,02,369","82,03,25,637.60","36,286"
"29-May-2025","EQ","673.05","684.00","668.00","673.00","680.65","680.75","676.82","1,190.00","532.60","8,44,156","57,13,37,906.85","23,290"
"28-May-2025","EQ","675.00","685.50","670.60","674.30","672.00","673.00","678.36","1,190.00","532.60","6,20,450","42,08,89,329.15","21,244"
"27-May-2025","EQ","669.70","680.75","664.25","669.70","674.05","674.30","673.93","1,190.00","532.60","6,25,891","42,18,06,462.50","21,566"
"26-May-2025","EQ","664.60","675.50","662.05","658.50","668.70","669.70","671.02","1,190.00","532.60","7,33,875","49,24,43,922.90","23,139"
"23-May-2025","EQ","664.65","666.35","656.60","658.05","657.30","658.50","661.26","1,190.00","532.60","5,23,959","34,64,71,855.45","17,294"
"22-May-2025","EQ","658.90","669.55","651.70","663.35","659.10","658.05","660.19","1,190.00","532.60","4,90,767","32,40,00,811.25","19,662"
"21-May-2025","EQ","661.25","667.95","656.05","659.95","663.55","663.35","662.41","1,190.00","532.60","4,54,876","30,13,15,342.15","18,344"
"20-May-2025","EQ","678.00","679.50","657.15","676.00","661.25","659.95","667.26","1,190.00","532.60","8,18,977","54,64,70,282.10","26,373"
"19-May-2025","EQ","685.65","686.95","671.30","681.60","676.00","676.00","678.01","1,190.00","532.60","9,96,717","67,57,86,704.55","33,663"
"16-May-2025","EQ","661.50","689.50","661.50","660.40","679.00","681.60","679.11","1,190.00","532.60","28,28,190","1,92,06,48,053.10","67,515"
"15-May-2025","EQ","655.05","662.00","649.95","656.05","660.85","660.40","657.32","1,190.00","532.60","8,32,453","54,71,88,113.10","31,447"
"14-May-2025","EQ","653.90","658.30","646.00","648.35","654.50","656.05","653.04","1,190.00","532.60","8,63,692","56,40,23,198.45","23,300"
"13-May-2025","EQ","634.00","656.00","629.00","631.10","649.05","648.35","645.50","1,190.00","532.60","19,00,554","1,22,68,06,889.70","61,162"
"12-May-2025","EQ","630.00","640.00","622.15","601.10","631.05","631.10","629.49","1,190.00","532.60","14,52,771","91,44,98,919.55","38,836"
"09-May-2025","EQ","590.55","606.80","587.10","609.75","604.55","601.10","594.95","1,190.00","532.60","13,63,901","81,14,58,286.15","46,233"
"08-May-2025","EQ","633.25","637.65","604.00","625.45","605.55","609.75","623.68","1,190.00","532.60","9,76,521","60,90,38,403.80","34,832"
"07-May-2025","EQ","613.65","635.95","611.50","632.95","629.90","625.45","626.89","1,190.00","532.60","12,69,091","79,55,85,161.00","43,540"
"06-May-2025","EQ","666.90","677.65","630.00","665.55","631.90","632.95","652.70","1,190.00","532.60","41,49,196","2,70,81,78,008.90","96,852"
