ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","735.95","741.15","721.80","734.25","727.00","724.80","731.12","841.00","478.35","28,28,419","2,06,79,00,054.50","66,685"
"11-Aug-2025","EQ","742.05","743.00","726.30","739.00","733.85","734.25","734.93","841.00","478.35","28,91,298","2,12,49,12,290.75","81,435"
"08-Aug-2025","EQ","800.00","800.00","736.00","743.25","736.95","739.00","757.45","841.00","478.35","1,27,15,309","9,63,11,99,371.15","1,82,555"
"07-Aug-2025","EQ","735.00","746.00","724.50","735.20","744.10","743.25","736.25","841.00","478.35","11,10,408","81,75,36,107.20","39,652"
"06-Aug-2025","EQ","744.90","745.00","722.70","742.65","737.00","735.20","733.37","841.00","478.35","15,56,317","1,14,13,55,950.25","43,480"
"05-Aug-2025","EQ","754.00","755.85","739.50","752.25","742.95","742.65","743.95","841.00","478.35","15,93,070","1,18,51,67,892.85","50,055"
"04-Aug-2025","EQ","741.05","755.85","740.00","741.05","752.75","752.25","750.52","841.00","478.35","26,81,209","2,01,23,03,471.05","56,120"
"01-Aug-2025","EQ","741.50","751.45","739.05","741.50","741.50","741.05","744.93","841.00","478.35","22,51,668","1,67,73,35,559.45","38,031"
"31-Jul-2025","EQ","742.75","749.75","736.75","746.30","741.95","741.50","743.27","841.00","478.35","35,73,228","2,65,58,59,829.50","55,109"
"30-Jul-2025","EQ","739.50","754.10","735.00","739.95","749.00","746.30","747.07","841.00","478.35","30,45,837","2,27,54,55,915.80","54,480"
"29-Jul-2025","EQ","727.90","741.80","727.00","727.35","740.25","739.95","736.06","841.00","478.35","20,61,754","1,51,75,77,824.55","60,695"
"28-Jul-2025","EQ","728.50","737.90","725.00","733.40","725.00","727.35","731.95","841.00","478.35","19,06,629","1,39,55,47,613.65","71,005"
"25-Jul-2025","EQ","743.10","747.80","727.45","745.45","732.10","733.40","735.80","841.00","478.35","14,85,353","1,09,29,15,677.50","67,520"
"24-Jul-2025","EQ","736.75","746.55","732.30","736.75","744.00","745.45","742.09","841.00","478.35","22,96,317","1,70,40,68,970.45","49,374"
"23-Jul-2025","EQ","726.20","738.90","721.40","725.80","737.90","736.75","730.67","841.00","478.35","32,08,507","2,34,43,58,178.25","59,609"
"22-Jul-2025","EQ","752.95","753.80","724.25","752.90","724.70","725.80","733.21","841.00","478.35","46,68,078","3,42,26,91,911.25","86,211"
"21-Jul-2025","EQ","770.00","770.00","735.20","794.90","752.00","752.90","748.79","841.00","478.35","1,15,88,986","8,67,77,42,374.95","1,91,370"
"18-Jul-2025","EQ","796.95","801.00","786.05","796.95","790.30","794.90","793.19","841.00","478.35","15,02,394","1,19,16,85,589.85","55,443"
"17-Jul-2025","EQ","797.75","802.50","788.35","797.75","797.25","796.95","794.58","841.00","478.35","17,72,879","1,40,87,00,498.85","53,832"
"16-Jul-2025","EQ","812.05","814.55","795.20","810.05","796.60","797.75","804.51","841.00","478.35","15,99,610","1,28,69,04,593.90","48,021"
"15-Jul-2025","EQ","804.00","820.80","801.10","804.95","811.00","810.05","810.77","841.00","478.35","21,59,391","1,75,07,63,885.65","53,947"
"14-Jul-2025","EQ","805.30","814.75","797.15","821.00","804.60","804.95","803.85","841.00","478.35","24,64,428","1,98,10,38,197.55","71,092"
"11-Jul-2025","EQ","828.30","832.75","817.05","828.20","821.95","821.00","822.88","841.00","478.35","17,67,939","1,45,47,93,457.90","34,774"
"10-Jul-2025","EQ","825.80","829.55","821.00","825.75","828.75","828.20","825.89","841.00","478.35","9,88,688","81,65,44,932.00","33,258"
"09-Jul-2025","EQ","822.50","827.45","817.00","819.85","826.40","825.75","822.26","841.00","478.35","15,13,929","1,24,48,47,459.20","32,022"
"08-Jul-2025","EQ","813.85","821.20","802.00","813.85","818.80","819.85","815.10","841.00","478.35","20,02,070","1,63,18,86,590.50","44,042"
"07-Jul-2025","EQ","819.55","824.45","810.00","819.50","811.00","813.85","818.72","841.00","478.35","17,52,800","1,43,50,52,251.60","59,994"
"04-Jul-2025","EQ","814.90","820.90","807.00","811.85","818.30","819.50","816.14","841.00","478.35","8,80,959","71,89,84,211.35","26,868"
"03-Jul-2025","EQ","820.00","822.10","809.55","818.25","810.55","811.85","813.41","841.00","478.35","32,18,187","2,61,77,02,691.40","75,536"
"02-Jul-2025","EQ","840.00","841.00","816.00","838.35","821.95","818.25","823.01","841.00","478.35","25,04,958","2,06,16,02,411.00","68,159"
"01-Jul-2025","EQ","820.00","840.00","820.00","817.50","837.60","838.35","832.22","840.00","478.35","37,60,593","3,12,96,26,331.00","80,179"
"30-Jun-2025","EQ","813.80","822.25","808.80","809.00","819.85","817.50","816.58","824.00","478.35","23,97,545","1,95,77,97,825.05","74,229"
"27-Jun-2025","EQ","821.00","821.00","803.65","819.70","815.00","809.00","808.97","824.00","478.35","44,59,909","3,60,79,32,438.50","93,223"
"26-Jun-2025","EQ","811.00","824.00","806.15","807.05","821.00","819.70","815.11","824.00","478.35","58,19,183","4,74,32,86,477.60","1,15,878"
"25-Jun-2025","EQ","802.00","810.90","794.25","800.70","808.50","807.05","803.96","810.90","478.35","22,37,498","1,79,88,49,221.70","40,075"
"24-Jun-2025","EQ","802.00","805.85","790.65","796.55","800.00","800.70","798.29","808.00","478.35","13,29,371","1,06,12,20,243.00","42,604"
"23-Jun-2025","EQ","797.70","802.00","789.35","795.35","797.00","796.55","796.05","808.00","478.35","26,15,512","2,08,20,90,553.45","50,784"
"20-Jun-2025","EQ","790.10","798.85","784.60","790.10","793.35","795.35","791.06","808.00","478.35","21,09,976","1,66,91,17,789.45","44,158"
"19-Jun-2025","EQ","798.50","808.00","787.75","794.50","789.05","790.10","797.29","808.00","478.35","42,35,907","3,37,72,30,170.70","77,782"
"18-Jun-2025","EQ","773.15","798.50","765.00","773.15","794.90","794.50","791.09","798.50","478.35","37,08,945","2,93,41,22,645.65","1,14,405"
"17-Jun-2025","EQ","781.45","783.95","771.30","781.45","771.65","773.15","774.65","785.00","478.35","13,06,248","1,01,18,84,445.65","31,335"
"16-Jun-2025","EQ","768.50","783.50","758.80","768.60","781.00","781.45","775.37","785.00","478.35","15,25,817","1,18,30,71,335.85","37,320"
"13-Jun-2025","EQ","769.95","772.75","757.00","778.70","768.20","768.60","766.59","785.00","478.35","17,74,265","1,36,01,32,281.15","43,506"
"12-Jun-2025","EQ","775.00","785.00","772.20","773.95","776.50","778.70","780.15","785.00","478.35","29,60,859","2,30,99,14,798.85","63,433"
"11-Jun-2025","EQ","766.00","781.75","766.00","765.40","775.05","773.95","775.03","782.60","478.35","34,19,378","2,65,01,33,656.75","71,826"
"10-Jun-2025","EQ","772.50","779.30","760.15","772.00","763.75","765.40","769.00","782.60","478.35","40,63,938","3,12,51,74,157.10","1,01,877"
"09-Jun-2025","EQ","755.00","782.60","750.25","749.55","771.20","772.00","767.79","782.60","478.35","75,11,827","5,76,75,36,654.15","1,41,255"
"06-Jun-2025","EQ","720.00","755.50","712.30","720.05","748.40","749.55","741.20","755.50","478.35","49,71,098","3,68,45,70,089.50","96,747"
"05-Jun-2025","EQ","730.00","730.00","713.20","725.20","721.50","720.05","718.56","755.40","478.35","20,82,775","1,49,66,08,605.70","37,016"
"04-Jun-2025","EQ","728.00","738.00","720.00","728.30","723.55","725.20","728.05","755.40","478.35","22,57,807","1,64,37,91,796.20","45,038"
"03-Jun-2025","EQ","725.00","731.00","716.10","718.65","725.85","728.30","724.08","755.40","478.35","35,63,158","2,58,00,00,963.60","84,076"
"02-Jun-2025","EQ","695.00","721.00","691.90","693.05","720.95","718.65","702.46","755.40","478.35","65,42,677","4,59,59,60,039.25","63,928"
"30-May-2025","EQ","698.30","703.95","690.30","698.25","694.00","693.05","694.39","755.40","478.35","42,71,143","2,96,58,33,536.00","57,998"
"29-May-2025","EQ","707.00","708.85","695.30","706.45","699.00","698.25","698.96","755.40","478.35","27,42,561","1,91,69,29,342.25","48,158"
"28-May-2025","EQ","701.20","709.50","698.20","701.20","705.30","706.45","705.56","755.40","478.35","28,73,400","2,02,73,43,663.00","61,038"
"27-May-2025","EQ","710.00","715.00","694.30","698.90","700.00","701.20","701.53","755.40","478.35","29,69,182","2,08,29,76,328.20","55,169"
"26-May-2025","EQ","699.00","708.55","692.45","696.20","697.70","698.90","699.14","755.40","478.35","11,25,692","78,70,11,817.65","31,834"
"23-May-2025","EQ","689.15","699.40","687.00","689.15","696.70","696.20","695.57","755.40","478.35","10,98,715","76,42,29,929.60","23,857"
"22-May-2025","EQ","689.60","693.40","682.55","692.90","689.65","689.15","688.41","755.40","478.35","7,13,271","49,10,20,091.95","29,721"
"21-May-2025","EQ","691.50","693.75","680.70","687.50","692.95","692.90","687.88","755.40","478.35","15,72,397","1,08,16,26,349.45","66,794"
"20-May-2025","EQ","689.90","695.10","684.00","686.65","686.85","687.50","689.44","755.40","478.35","16,76,816","1,15,60,63,899.05","32,793"
"19-May-2025","EQ","688.00","690.50","683.65","684.85","688.00","686.65","687.20","755.40","478.35","7,70,078","52,92,00,098.90","23,916"
"16-May-2025","EQ","692.70","693.60","683.05","690.10","685.00","684.85","685.48","755.40","478.35","7,23,860","49,61,92,168.75","26,952"
"15-May-2025","EQ","691.00","697.20","688.00","690.50","690.00","690.10","691.10","755.40","478.35","14,52,358","1,00,37,20,725.70","27,651"
"14-May-2025","EQ","700.00","700.75","688.25","699.75","694.65","690.50","692.29","755.40","478.35","19,22,009","1,33,05,86,034.60","41,092"
"13-May-2025","EQ","703.40","706.10","695.90","703.40","698.20","699.75","700.08","755.40","478.35","14,96,327","1,04,75,44,116.70","31,627"
"12-May-2025","EQ","705.00","707.65","696.65","687.00","702.60","703.40","701.00","755.40","478.35","33,81,357","2,37,03,44,924.10","46,012"
"09-May-2025","EQ","675.00","690.85","671.60","689.00","689.00","687.00","684.32","755.40","478.35","30,87,519","2,11,28,37,741.65","52,147"
"08-May-2025","EQ","688.00","711.00","685.90","687.60","688.00","689.00","700.08","755.40","478.35","31,56,954","2,21,01,16,709.30","56,885"
"07-May-2025","EQ","665.05","688.50","663.45","671.75","686.60","687.60","683.18","755.40","478.35","23,98,908","1,63,88,76,653.50","41,217"
"06-May-2025","EQ","679.50","688.00","668.60","678.60","670.00","671.75","676.12","755.40","478.35","23,22,138","1,57,00,48,522.05","47,842"
"05-May-2025","EQ","666.00","683.45","655.50","676.40","679.50","678.60","669.11","755.40","478.35","1,17,73,963","7,87,80,36,442.10","90,927"
"02-May-2025","EQ","680.00","688.45","674.25","678.60","679.80","676.40","679.01","755.40","478.35","45,53,653","3,09,19,93,737.80","82,043"
"30-Apr-2025","EQ","707.00","707.00","675.85","706.05","676.00","678.60","686.21","755.40","478.35","34,36,267","2,35,79,98,328.40","96,526"
"29-Apr-2025","EQ","690.00","713.00","690.00","688.40","703.55","706.05","706.44","755.40","478.35","53,40,417","3,77,26,69,662.65","1,00,038"
"28-Apr-2025","EQ","673.00","690.00","665.05","675.15","689.00","688.40","677.51","755.40","478.35","39,06,817","2,64,69,00,242.35","69,392"
"25-Apr-2025","EQ","681.00","681.00","662.40","681.05","671.00","675.15","671.48","755.40","478.35","40,93,320","2,74,85,99,447.70","84,108"
"24-Apr-2025","EQ","658.50","694.80","655.60","665.45","672.50","681.05","680.00","755.40","478.35","1,19,37,594","8,11,75,58,361.70","1,58,403"
"23-Apr-2025","EQ","620.00","669.90","620.00","613.80","662.20","665.45","654.36","755.40","478.35","2,05,64,151","13,45,63,67,311.25","2,79,766"
"22-Apr-2025","EQ","623.80","626.80","610.50","623.60","616.00","613.80","618.12","755.40","478.35","43,35,283","2,67,97,25,612.90","81,010"
"21-Apr-2025","EQ","592.80","641.75","592.00","586.55","629.50","623.60","617.21","755.40","478.35","90,59,537","5,59,16,74,501.10","1,45,495"
"17-Apr-2025","EQ","582.35","591.30","576.40","582.35","586.00","586.55","583.72","755.40","478.35","27,59,263","1,61,06,46,830.90","51,296"
"16-Apr-2025","EQ","575.95","583.50","566.00","576.00","583.50","582.35","578.23","755.40","478.35","27,41,238","1,58,50,68,317.90","56,263"
"15-Apr-2025","EQ","565.00","579.10","553.25","557.10","575.90","576.00","568.78","755.40","478.35","33,21,684","1,88,93,00,723.70","86,507"
"11-Apr-2025","EQ","560.00","564.85","550.85","554.30","557.10","557.10","555.43","755.40","478.35","24,54,627","1,36,33,75,239.55","54,034"
"09-Apr-2025","EQ","548.00","557.85","540.00","545.60","554.00","554.30","549.17","755.40","478.35","18,62,435","1,02,28,02,480.50","41,601"
"08-Apr-2025","EQ","550.00","552.50","543.05","541.70","548.00","545.60","546.14","755.40","478.35","14,50,103","79,19,63,212.05","42,330"
"07-Apr-2025","EQ","515.00","552.95","513.50","552.10","543.00","541.70","542.92","755.40","478.35","18,14,337","98,50,32,213.90","54,582"
"04-Apr-2025","EQ","559.85","559.85","544.70","563.45","554.00","552.10","552.64","755.40","478.35","20,24,869","1,11,90,31,119.50","40,245"
"03-Apr-2025","EQ","531.00","565.70","531.00","539.50","562.00","563.45","558.22","755.40","478.35","46,74,160","2,60,91,90,869.95","86,796"
"02-Apr-2025","EQ","535.00","540.60","521.65","529.90","539.60","539.50","533.32","755.40","478.35","19,32,324","1,03,05,39,569.10","44,494"
"01-Apr-2025","EQ","532.90","543.50","528.05","534.60","531.00","529.90","533.90","755.40","478.35","22,10,272","1,18,00,59,806.00","41,486"
"28-Mar-2025","EQ","559.00","562.10","530.75","554.40","532.00","534.60","546.29","755.40","478.35","31,18,677","1,70,37,06,338.80","67,431"
"27-Mar-2025","EQ","569.55","573.75","544.20","573.75","556.00","554.40","554.67","755.40","478.35","1,07,65,998","5,97,15,22,634.15","1,16,800"
"26-Mar-2025","EQ","565.00","580.35","563.55","557.90","574.50","573.75","574.36","755.40","478.35","80,30,660","4,61,24,99,805.15","1,55,093"
"25-Mar-2025","EQ","551.90","561.35","550.00","550.05","557.00","557.90","556.09","755.40","478.35","40,04,101","2,22,66,57,795.25","72,463"
"24-Mar-2025","EQ","543.45","555.55","542.15","542.80","549.80","550.05","550.45","755.40","478.35","27,77,258","1,52,87,34,590.65","53,378"
"21-Mar-2025","EQ","527.90","545.60","525.65","525.25","542.50","542.80","538.48","755.40","478.35","31,93,144","1,71,94,50,981.90","60,080"
"20-Mar-2025","EQ","525.05","534.35","510.10","525.80","524.90","525.25","523.15","755.40","478.35","21,51,278","1,12,54,36,351.50","48,029"
"19-Mar-2025","EQ","506.00","530.50","505.50","504.00","525.45","525.80","521.44","755.40","478.35","28,59,237","1,49,09,29,724.45","49,229"
"18-Mar-2025","EQ","495.80","507.40","478.35","491.80","506.70","504.00","494.14","755.40","478.35","49,08,953","2,42,57,33,028.50","61,288"
"17-Mar-2025","EQ","503.70","505.40","489.45","502.85","492.05","491.80","495.12","755.40","489.45","36,28,157","1,79,63,86,204.50","66,734"
"13-Mar-2025","EQ","508.40","514.40","501.00","507.20","502.70","502.85","506.05","755.40","492.70","22,71,528","1,14,95,16,321.60","44,811"
"12-Mar-2025","EQ","522.85","523.90","499.50","522.10","508.40","507.20","506.93","755.40","492.70","26,76,145","1,35,66,24,868.00","71,800"
"11-Mar-2025","EQ","531.85","531.85","513.65","538.85","523.00","522.10","520.15","755.40","492.70","25,22,700","1,31,21,87,141.15","49,523"
"10-Mar-2025","EQ","543.70","551.50","537.00","544.30","537.00","538.85","544.02","755.40","492.70","21,31,103","1,15,93,61,876.50","40,577"
"07-Mar-2025","EQ","553.50","554.65","540.20","553.20","543.70","544.30","548.29","755.40","492.70","19,16,647","1,05,08,80,859.60","28,803"
"06-Mar-2025","EQ","554.00","557.35","548.60","546.45","553.50","553.20","552.93","755.40","492.70","15,53,346","85,88,88,198.50","33,884"
"05-Mar-2025","EQ","548.40","551.45","541.25","548.35","546.45","546.45","545.80","755.40","492.70","14,74,686","80,48,84,855.50","42,177"
"04-Mar-2025","EQ","550.05","554.80","546.50","557.60","547.30","548.35","550.28","755.40","492.70","13,13,139","72,26,00,469.75","38,988"
"03-Mar-2025","EQ","565.45","568.50","551.65","565.70","557.70","557.60","558.04","755.40","492.70","11,53,314","64,35,95,978.05","32,903"
"28-Feb-2025","EQ","550.00","569.00","549.15","556.70","565.20","565.70","560.19","755.40","492.70","52,85,029","2,96,06,19,261.65","75,258"
"27-Feb-2025","EQ","535.00","559.25","524.25","524.25","556.20","556.70","553.07","755.40","492.70","94,52,200","5,22,77,41,871.15","1,84,276"
"25-Feb-2025","EQ","535.70","536.65","522.40","533.00","524.20","524.25","527.65","755.40","492.70","10,93,537","57,70,09,187.50","30,950"
"24-Feb-2025","EQ","535.90","539.90","530.25","537.60","534.95","533.00","535.09","755.40","492.70","10,90,810","58,36,84,888.60","34,497"
"21-Feb-2025","EQ","534.95","540.05","524.55","535.05","535.90","537.60","534.71","755.40","492.70","17,90,208","95,72,37,391.65","37,701"
"20-Feb-2025","EQ","525.00","538.95","521.65","525.65","535.00","535.05","533.46","755.40","492.70","10,68,810","57,01,70,061.30","29,261"
"19-Feb-2025","EQ","503.00","528.65","492.70","502.40","525.85","525.65","505.83","755.40","492.70","1,12,18,538","5,67,46,54,735.35","94,856"
"18-Feb-2025","EQ","523.00","524.60","499.00","522.05","504.00","502.40","508.90","755.40","499.00","88,09,316","4,48,30,63,787.70","82,521"
"17-Feb-2025","EQ","534.95","535.15","516.70","534.90","522.55","522.05","523.36","755.40","516.70","31,80,759","1,66,46,68,948.65","77,619"
"14-Feb-2025","EQ","554.05","559.50","530.75","553.05","535.45","534.90","537.15","755.40","530.75","31,73,724","1,70,47,61,821.40","76,249"
"13-Feb-2025","EQ","555.35","558.00","544.70","554.40","552.00","553.05","552.64","755.40","534.45","22,84,376","1,26,24,31,794.90","74,629"
"12-Feb-2025","EQ","571.50","571.50","551.15","570.70","555.35","554.40","557.16","755.40","534.45","42,64,400","2,37,59,42,241.70","73,195"
"11-Feb-2025","EQ","580.00","584.00","570.00","579.75","571.90","570.70","575.21","755.40","534.45","34,45,667","1,98,19,96,559.20","84,226"
"10-Feb-2025","EQ","591.00","591.00","575.10","592.10","580.00","579.75","581.51","755.40","534.45","10,64,051","61,87,55,462.85","37,178"
"07-Feb-2025","EQ","587.45","604.00","582.55","586.25","591.00","592.10","593.39","755.40","534.45","34,91,670","2,07,19,11,077.20","68,895"
"06-Feb-2025","EQ","597.05","600.00","582.00","595.60","587.45","586.25","587.09","755.40","534.45","13,71,142","80,49,87,168.70","48,162"
"05-Feb-2025","EQ","604.00","604.00","591.50","599.85","595.30","595.60","595.66","755.40","534.45","18,69,312","1,11,34,69,909.75","38,454"
"04-Feb-2025","EQ","608.90","617.95","596.05","608.90","598.30","599.85","602.67","755.40","534.45","28,15,689","1,69,69,35,021.55","88,715"
"03-Feb-2025","EQ","595.00","610.15","591.40","601.05","609.00","608.90","604.77","755.40","534.45","18,44,807","1,11,56,81,825.95","59,264"
"01-Feb-2025","EQ","605.00","608.00","593.55","600.95","600.70","601.05","601.98","755.40","534.45","10,38,048","62,48,87,786.85","31,437"
"31-Jan-2025","EQ","595.00","603.50","589.25","596.15","603.00","600.95","596.69","755.40","534.45","27,34,757","1,63,18,14,933.55","1,04,060"
"30-Jan-2025","EQ","596.20","607.00","585.00","595.95","600.00","596.15","596.81","755.40","534.45","68,91,318","4,11,28,13,166.80","2,11,912"
"29-Jan-2025","EQ","588.00","603.60","588.00","588.70","596.20","595.95","596.54","755.40","534.45","28,90,746","1,72,44,44,859.15","90,667"
"28-Jan-2025","EQ","574.00","597.25","566.55","563.45","588.80","588.70","585.09","755.40","534.45","69,84,979","4,08,68,57,188.10","96,106"
"27-Jan-2025","EQ","560.00","570.00","544.00","594.65","563.90","563.45","555.92","755.40","534.45","97,81,045","5,43,74,79,074.15","1,50,762"
"24-Jan-2025","EQ","578.45","609.00","567.50","582.40","588.00","594.65","588.65","758.00","534.45","50,80,264","2,99,04,82,061.85","1,10,750"
"23-Jan-2025","EQ","604.00","605.35","572.60","604.40","578.00","582.40","590.02","758.00","534.45","19,40,763","1,14,50,80,797.80","49,627"
"22-Jan-2025","EQ","606.00","608.45","599.05","606.70","605.15","604.40","603.62","758.00","534.45","13,67,058","82,51,86,374.00","64,798"
"21-Jan-2025","EQ","606.00","611.00","597.10","606.00","606.40","606.70","605.54","758.00","534.45","13,39,636","81,11,98,101.40","37,794"
"20-Jan-2025","EQ","599.00","608.35","592.40","597.60","604.95","606.00","601.28","758.00","534.45","17,84,772","1,07,31,51,231.45","40,851"
"17-Jan-2025","EQ","603.00","606.20","595.00","603.40","598.60","597.60","599.24","792.00","534.45","20,53,876","1,23,07,54,788.25","37,953"
"16-Jan-2025","EQ","590.80","611.35","590.00","586.95","604.35","603.40","603.72","792.00","534.45","47,67,863","2,87,84,38,520.60","87,917"
"15-Jan-2025","EQ","576.95","587.95","574.45","575.10","587.50","586.95","582.85","792.00","534.45","17,82,010","1,03,86,37,414.60","38,347"
"14-Jan-2025","EQ","564.05","581.65","564.00","560.30","578.15","575.10","574.79","792.00","534.45","39,79,231","2,28,72,37,901.00","38,649"
"13-Jan-2025","EQ","569.95","571.95","554.65","575.15","561.60","560.30","560.34","792.00","534.45","37,11,095","2,07,94,79,979.25","47,452"
"10-Jan-2025","EQ","570.05","583.00","563.80","570.05","574.50","575.15","577.43","813.40","534.45","47,37,367","2,73,54,91,023.25","84,145"
"09-Jan-2025","EQ","566.95","573.40","563.45","566.45","571.60","570.05","568.27","813.40","534.45","32,12,356","1,82,54,88,651.75","64,089"
"08-Jan-2025","EQ","567.90","569.80","556.55","567.90","566.00","566.45","563.22","813.40","534.45","21,26,970","1,19,79,42,623.75","42,107"
"07-Jan-2025","EQ","561.90","570.25","560.50","560.25","568.00","567.90","567.66","813.40","534.45","13,44,308","76,31,10,453.40","31,910"
