ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","894.75","909.25","876.15","893.40","878.95","883.05","892.45","1,073.75","450.65","1,83,000","16,33,18,308.95","13,152"
"11-Aug-2025","EQ","899.90","916.90","879.05","895.70","894.75","893.40","898.17","1,073.75","450.65","3,41,713","30,69,17,363.85","31,227"
"08-Aug-2025","EQ","950.25","956.50","891.50","956.35","896.00","895.70","918.03","1,073.75","425.00","5,87,680","53,95,10,335.00","32,110"
"07-Aug-2025","EQ","884.00","965.90","874.30","879.00","949.90","956.35","935.21","1,073.75","425.00","30,25,572","2,82,95,51,555.25","1,13,202"
"06-Aug-2025","EQ","869.60","926.30","869.60","855.50","877.60","879.00","899.26","1,073.75","425.00","23,56,044","2,11,87,02,022.35","93,564"
"05-Aug-2025","EQ","875.00","879.95","852.15","874.05","857.50","855.50","864.55","1,073.75","425.00","1,35,972","11,75,55,022.70","10,004"
"04-Aug-2025","EQ","860.00","884.00","852.80","855.95","872.10","874.05","875.07","1,073.75","425.00","2,51,337","21,99,36,476.70","16,306"
"01-Aug-2025","EQ","849.90","883.00","843.00","845.85","853.00","855.95","868.94","1,073.75","425.00","3,30,449","28,71,39,584.75","17,107"
"31-Jul-2025","EQ","803.00","855.00","803.00","823.85","843.00","845.85","838.56","1,073.75","425.00","2,34,832","19,69,21,448.40","15,824"
"30-Jul-2025","EQ","821.90","829.00","813.20","821.35","823.05","823.85","820.66","1,073.75","425.00","1,13,784","9,33,78,250.35","7,315"
"29-Jul-2025","EQ","798.00","823.95","790.95","799.10","818.80","821.35","807.50","1,073.75","425.00","1,47,479","11,90,89,218.40","16,475"
"28-Jul-2025","EQ","814.00","824.40","794.95","823.30","798.00","799.10","808.37","1,073.75","425.00","2,37,461","19,19,56,535.60","18,984"
"25-Jul-2025","EQ","842.00","842.00","820.00","837.00","821.05","823.30","824.28","1,073.75","425.00","1,32,786","10,94,52,865.80","8,803"
"24-Jul-2025","EQ","871.00","884.35","835.00","876.85","837.35","837.00","857.32","1,073.75","425.00","2,50,595","21,48,40,882.05","14,943"
"23-Jul-2025","EQ","855.00","879.95","846.00","852.85","872.00","876.85","866.24","1,073.75","425.00","2,87,277","24,88,51,329.65","21,562"
"22-Jul-2025","EQ","874.90","879.30","849.20","870.50","851.30","852.85","859.12","1,073.75","425.00","1,37,349","11,79,99,617.75","8,341"
"21-Jul-2025","EQ","864.50","875.00","852.15","865.65","869.95","870.50","866.30","1,073.75","425.00","1,09,490","9,48,51,411.25","11,765"
"18-Jul-2025","EQ","880.00","891.50","860.55","878.90","871.00","865.65","872.44","1,073.75","425.00","1,93,851","16,91,23,521.80","11,957"
"17-Jul-2025","EQ","882.00","889.50","875.00","881.45","879.00","878.90","881.15","1,073.75","425.00","1,55,526","13,70,41,795.75","6,820"
"16-Jul-2025","EQ","874.95","887.00","861.25","874.55","882.00","881.45","876.22","1,073.75","425.00","1,84,099","16,13,11,514.60","13,427"
"15-Jul-2025","EQ","878.80","889.00","872.00","878.45","874.70","874.55","877.50","1,073.75","425.00","1,34,967","11,84,33,950.10","12,168"
"14-Jul-2025","EQ","864.80","889.95","857.75","855.75","877.00","878.45","879.16","1,073.75","425.00","4,43,506","38,99,14,384.05","22,210"
"11-Jul-2025","EQ","870.00","882.30","851.80","871.10","852.60","855.75","863.35","1,073.75","425.00","1,47,850","12,76,45,683.60","13,761"
"10-Jul-2025","EQ","861.10","882.25","855.80","853.65","873.00","871.10","868.28","1,073.75","425.00","4,21,028","36,55,70,287.95","22,321"
"09-Jul-2025","EQ","850.95","868.70","844.00","851.30","853.00","853.65","855.62","1,073.75","425.00","2,52,598","21,61,28,394.05","17,796"
"08-Jul-2025","EQ","845.60","866.05","839.15","839.60","851.50","851.30","853.41","1,073.75","425.00","2,32,066","19,80,48,042.45","16,040"
"07-Jul-2025","EQ","835.00","856.30","832.05","832.30","841.00","839.60","845.90","1,073.75","425.00","1,85,669","15,70,57,186.85","12,190"
"04-Jul-2025","EQ","838.00","848.40","819.55","838.40","832.45","832.30","831.89","1,073.75","425.00","1,72,855","14,37,96,815.55","11,621"
"03-Jul-2025","EQ","836.90","863.20","827.15","833.40","838.00","838.40","846.44","1,073.75","425.00","2,77,557","23,49,34,535.30","16,403"
"02-Jul-2025","EQ","833.90","848.40","824.55","822.50","834.50","833.40","835.38","1,073.75","425.00","1,66,973","13,94,86,474.25","9,778"
"01-Jul-2025","EQ","847.00","848.80","818.60","843.40","825.00","822.50","827.06","1,073.75","425.00","2,14,777","17,76,34,015.75","12,453"
"30-Jun-2025","EQ","840.00","847.25","830.65","825.00","843.80","843.40","839.48","1,073.75","425.00","1,14,843","9,64,08,075.40","8,391"
"27-Jun-2025","EQ","831.35","844.90","815.00","828.10","826.90","825.00","833.03","1,073.75","425.00","1,89,572","15,79,19,565.35","10,986"
"26-Jun-2025","EQ","849.05","854.00","825.00","847.90","828.05","828.10","834.51","1,073.75","425.00","2,02,373","16,88,82,935.25","16,358"
"25-Jun-2025","EQ","800.00","873.90","795.80","803.40","849.00","847.90","844.97","1,073.75","425.00","13,38,376","1,13,08,87,233.10","55,787"
"24-Jun-2025","EQ","820.00","828.00","783.45","817.15","809.00","803.40","794.71","1,073.75","425.00","36,46,535","2,89,79,37,657.50","39,999"
"23-Jun-2025","EQ","832.05","833.25","815.00","835.55","817.60","817.15","819.17","1,073.75","425.00","98,330","8,05,49,033.15","8,433"
"20-Jun-2025","EQ","836.05","844.75","826.00","841.65","834.00","835.55","834.20","1,073.75","425.00","68,013","5,67,36,526.25","5,192"
"19-Jun-2025","EQ","840.00","855.00","829.00","834.85","835.00","841.65","841.53","1,073.75","425.00","1,32,247","11,12,89,302.75","10,202"
"18-Jun-2025","EQ","835.95","849.40","826.35","831.35","836.40","834.85","839.59","1,073.75","425.00","97,331","8,17,18,098.85","7,387"
"17-Jun-2025","EQ","829.45","844.85","818.00","829.45","828.50","831.35","832.04","1,073.75","425.00","1,05,323","8,76,32,881.95","8,122"
"16-Jun-2025","EQ","830.00","835.00","807.00","831.15","826.80","829.45","822.04","1,073.75","425.00","94,970","7,80,69,500.95","8,704"
"13-Jun-2025","EQ","812.70","839.65","803.60","821.50","831.10","831.15","823.54","1,073.75","425.00","1,95,604","16,10,87,359.95","14,132"
"12-Jun-2025","EQ","849.75","854.75","820.00","845.45","821.00","821.50","832.61","1,073.75","425.00","1,08,540","9,03,71,441.40","9,146"
"11-Jun-2025","EQ","852.00","857.00","842.55","849.50","843.85","845.45","848.75","1,073.75","425.00","81,217","6,89,32,917.90","8,027"
"10-Jun-2025","EQ","865.00","870.00","848.00","862.95","848.75","849.50","856.78","1,073.75","425.00","92,279","7,90,63,094.65","6,410"
"09-Jun-2025","EQ","876.70","879.15","859.00","866.35","860.60","862.95","871.43","1,073.75","425.00","99,789","8,69,58,681.70","7,310"
"06-Jun-2025","EQ","866.00","884.05","860.95","864.80","865.00","866.35","869.30","1,073.75","425.00","1,66,296","14,45,60,589.45","9,469"
"05-Jun-2025","EQ","869.00","873.60","860.10","859.10","869.90","864.80","867.11","1,073.75","425.00","1,04,076","9,02,45,298.20","4,538"
"04-Jun-2025","EQ","852.90","870.00","838.05","847.95","858.50","859.10","858.79","1,073.75","425.00","2,08,378","17,89,53,048.70","9,480"
"03-Jun-2025","EQ","854.50","865.00","845.65","850.05","847.50","847.95","854.19","1,073.75","425.00","89,233","7,62,22,337.85","4,460"
"02-Jun-2025","EQ","858.00","860.00","833.70","859.90","850.00","850.05","845.00","1,073.75","425.00","2,11,576","17,87,82,143.55","12,253"
"30-May-2025","EQ","865.90","867.40","852.00","864.95","860.00","859.90","859.77","1,073.75","425.00","1,83,398","15,76,79,695.55","7,314"
"29-May-2025","EQ","880.00","882.25","860.20","870.85","865.90","864.95","868.23","1,073.75","425.00","1,66,674","14,47,11,563.90","7,736"
"28-May-2025","EQ","844.00","928.40","843.00","844.00","870.00","870.85","897.19","1,073.75","425.00","10,49,436","94,15,42,037.35","19,915"
"27-May-2025","EQ","866.90","872.75","831.25","864.30","846.90","844.00","853.95","1,073.75","425.00","1,40,284","11,97,94,846.85","6,975"
"26-May-2025","EQ","875.00","884.90","857.75","870.20","866.90","864.30","869.63","1,073.75","425.00","1,23,765","10,76,29,903.95","4,741"
"23-May-2025","EQ","869.90","900.00","864.15","866.55","871.00","870.20","883.90","1,073.75","425.00","3,80,232","33,60,87,891.65","12,002"
"22-May-2025","EQ","861.00","875.95","855.00","867.25","866.00","866.55","865.20","1,073.75","425.00","74,546","6,44,97,070.30","4,284"
"21-May-2025","EQ","871.90","881.80","858.45","872.30","869.05","867.25","870.87","1,073.75","425.00","1,24,807","10,86,90,052.60","6,467"
"20-May-2025","EQ","873.25","891.80","852.50","868.60","872.00","872.30","875.29","1,073.75","425.00","2,49,485","21,83,70,904.35","12,092"
"19-May-2025","EQ","900.00","903.60","866.05","897.10","868.50","868.60","880.52","1,073.75","425.00","1,97,997","17,43,41,254.25","9,863"
"16-May-2025","EQ","873.90","914.00","867.95","866.75","896.75","897.10","899.45","1,073.75","425.00","7,93,249","71,34,87,537.95","27,563"
"15-May-2025","EQ","838.50","888.15","835.60","837.35","869.00","866.75","861.92","1,073.75","425.00","3,89,102","33,53,76,306.75","14,770"
"14-May-2025","EQ","858.30","860.85","833.45","854.90","837.50","837.35","841.94","1,073.75","425.00","1,79,242","15,09,11,632.80","8,910"
"13-May-2025","EQ","860.00","873.00","845.15","867.90","856.60","854.90","857.73","1,073.75","425.00","2,57,243","22,06,46,016.60","12,294"
"12-May-2025","EQ","840.00","872.30","824.30","793.00","869.80","867.90","861.89","1,073.75","425.00","6,61,166","56,98,55,548.75","16,665"
"09-May-2025","EQ","782.50","807.90","774.00","813.50","793.20","793.00","791.08","1,073.75","425.00","4,57,283","36,17,45,658.95","20,082"
"08-May-2025","EQ","885.00","895.00","805.25","878.90","811.00","813.50","858.46","1,073.75","425.00","7,94,484","68,20,35,461.25","25,388"
"07-May-2025","EQ","840.00","892.30","830.85","852.95","880.00","878.90","868.27","1,073.75","425.00","8,84,651","76,81,16,448.95","29,811"
"06-May-2025","EQ","878.00","889.90","844.85","874.20","850.00","852.95","869.41","1,073.75","425.00","6,56,888","57,11,04,437.60","20,976"
"05-May-2025","EQ","894.00","900.25","870.20","878.25","874.00","874.20","884.49","1,073.75","425.00","3,80,287","33,63,59,915.55","13,625"
"02-May-2025","EQ","856.50","905.00","851.90","861.10","878.00","878.25","885.59","1,073.75","425.00","8,67,789","76,85,07,985.40","38,076"
"30-Apr-2025","EQ","865.00","894.90","850.00","860.80","850.05","861.10","870.75","1,073.75","425.00","6,83,820","59,54,37,160.95","25,342"
"29-Apr-2025","EQ","830.50","886.00","830.50","827.45","870.00","860.80","869.74","1,073.75","425.00","7,11,150","61,85,16,542.25","26,255"
"28-Apr-2025","EQ","835.20","863.95","821.00","836.80","822.10","827.45","838.54","1,073.75","425.00","3,14,001","26,33,01,823.65","12,507"
"25-Apr-2025","EQ","862.80","865.85","816.50","863.00","835.85","836.80","840.14","1,073.75","425.00","5,14,972","43,26,48,589.50","20,837"
"24-Apr-2025","EQ","883.75","892.00","856.45","894.05","860.00","863.00","874.12","1,073.75","425.00","2,64,728","23,14,03,353.45","10,332"
"23-Apr-2025","EQ","924.40","925.10","875.25","909.80","883.00","894.05","900.32","1,073.75","425.00","5,23,851","47,16,34,210.65","17,033"
"22-Apr-2025","EQ","828.15","913.00","827.55","830.00","913.00","909.80","890.72","1,073.75","425.00","12,82,481","1,14,23,27,560.40","27,130"
"21-Apr-2025","EQ","828.80","845.60","826.20","828.75","830.00","830.00","833.66","1,073.75","425.00","2,78,513","23,21,85,525.15","10,951"
"17-Apr-2025","EQ","834.00","847.90","815.30","827.35","827.00","828.75","832.95","1,073.75","425.00","2,92,362","24,35,22,287.35","13,674"
"16-Apr-2025","EQ","830.10","843.65","819.05","829.85","826.10","827.35","829.57","1,073.75","425.00","1,44,831","12,01,47,881.55","6,216"
"15-Apr-2025","EQ","844.00","854.00","825.95","812.30","829.15","829.85","837.30","1,073.75","425.00","2,27,847","19,07,75,314.05","10,224"
"11-Apr-2025","EQ","781.00","821.00","772.35","758.85","811.95","812.30","800.96","1,073.75","425.00","2,73,166","21,87,95,817.30","11,332"
"09-Apr-2025","EQ","777.00","777.00","742.00","766.10","759.00","758.85","758.71","1,073.75","425.00","1,88,975","14,33,76,454.55","9,386"
"08-Apr-2025","EQ","800.00","800.00","757.60","773.00","767.65","766.10","783.13","1,073.75","425.00","4,98,159","39,01,24,839.45","17,625"
"07-Apr-2025","EQ","689.90","779.95","689.90","766.55","776.45","773.00","732.04","1,073.75","425.00","6,36,339","46,58,26,091.00","17,336"
"04-Apr-2025","EQ","804.00","807.10","766.55","806.90","766.55","766.55","784.19","1,073.75","425.00","3,92,753","30,79,91,139.70","8,876"
"03-Apr-2025","EQ","785.00","834.90","782.35","803.15","805.00","806.90","815.10","1,073.75","425.00","8,66,733","70,64,77,329.80","20,568"
"02-Apr-2025","EQ","771.00","808.35","754.00","769.90","800.00","803.15","792.96","1,073.75","425.00","6,17,955","49,00,12,656.05","14,241"
"01-Apr-2025","EQ","750.00","771.00","749.50","757.55","770.00","769.90","765.60","1,073.75","425.00","2,72,210","20,84,02,780.30","7,138"
"28-Mar-2025","EQ","768.80","787.00","755.10","755.30","755.10","757.55","773.94","1,073.75","425.00","3,80,347","29,43,65,182.55","9,164"
"27-Mar-2025","EQ","783.80","794.65","750.55","783.60","759.70","755.30","770.71","1,073.75","425.00","5,17,299","39,86,87,527.65","14,005"
"26-Mar-2025","EQ","752.75","790.40","736.15","752.80","775.00","783.60","776.58","1,073.75","425.00","7,07,884","54,97,28,972.10","16,680"
