ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","423.00","424.80","415.00","420.25","415.00","416.95","420.08","546.60","327.60","39,280","1,65,00,759.90","2,991"
"11-Aug-2025","EQ","422.95","425.00","413.15","419.90","420.00","420.25","417.54","546.60","327.60","1,07,048","4,46,97,006.60","8,276"
"08-Aug-2025","EQ","418.70","422.65","411.85","415.40","418.90","419.90","417.11","546.60","327.60","1,49,410","6,23,20,948.50","6,826"
"07-Aug-2025","EQ","420.00","424.70","410.00","420.65","415.00","415.40","415.56","546.60","327.60","95,761","3,97,94,596.15","6,651"
"06-Aug-2025","EQ","418.35","429.30","418.30","415.05","420.00","420.65","422.67","546.60","327.60","1,56,704","6,62,33,304.95","9,522"
"05-Aug-2025","EQ","425.70","432.80","412.00","421.50","415.00","415.05","418.29","546.60","327.60","1,28,979","5,39,50,679.85","7,432"
"04-Aug-2025","EQ","390.00","430.60","379.00","391.65","422.00","421.50","412.75","546.60","327.60","7,29,831","30,12,38,968.55","35,827"
"01-Aug-2025","EQ","395.60","399.00","383.50","394.70","390.10","391.65","391.92","546.60","327.60","2,16,635","8,49,03,998.10","13,433"
"31-Jul-2025","EQ","389.15","398.00","380.75","393.20","395.80","394.70","393.67","546.60","327.60","82,413","3,24,43,826.60","5,829"
"30-Jul-2025","EQ","394.00","398.00","388.65","388.65","393.00","393.20","393.81","546.60","327.60","81,143","3,19,54,713.45","3,501"
"29-Jul-2025","EQ","384.85","392.55","379.55","380.50","389.20","388.65","386.09","546.60","327.60","83,702","3,23,16,103.20","6,116"
"28-Jul-2025","EQ","381.60","382.15","372.40","387.25","379.50","380.50","379.31","546.60","327.60","1,22,317","4,63,96,591.55","9,090"
"25-Jul-2025","EQ","396.75","396.75","382.90","393.65","386.95","387.25","390.17","546.60","327.60","1,25,217","4,88,55,455.85","9,086"
"24-Jul-2025","EQ","397.00","397.00","389.10","393.55","394.00","393.65","392.78","546.60","327.60","1,13,390","4,45,37,706.40","8,118"
"23-Jul-2025","EQ","395.00","395.00","386.80","390.25","393.45","393.55","392.47","546.60","327.60","78,610","3,08,51,905.90","5,223"
"22-Jul-2025","EQ","385.30","393.00","383.20","385.00","390.00","390.25","388.92","546.60","327.60","1,06,092","4,12,61,754.40","6,409"
"21-Jul-2025","EQ","386.20","388.50","376.65","384.95","385.30","385.00","382.60","546.60","327.60","1,30,272","4,98,41,990.35","10,929"
"18-Jul-2025","EQ","375.00","386.00","374.70","375.10","384.20","384.95","382.28","546.60","327.60","1,57,543","6,02,25,402.85","11,056"
"17-Jul-2025","EQ","372.15","377.60","370.85","370.55","375.35","375.10","374.58","546.60","327.60","78,368","2,93,54,813.00","4,667"
"16-Jul-2025","EQ","369.30","375.85","367.25","365.65","370.00","370.55","371.30","546.60","327.60","1,68,045","6,23,95,686.40","10,569"
"15-Jul-2025","EQ","361.00","374.75","355.35","359.60","366.00","365.65","361.67","546.60","327.60","4,99,576","18,06,83,386.50","11,059"
"14-Jul-2025","EQ","357.95","363.70","357.95","356.20","360.35","359.60","359.94","546.60","327.60","3,42,958","12,34,44,169.95","3,817"
"11-Jul-2025","EQ","358.55","360.45","351.60","358.00","356.65","356.20","356.36","546.60","327.60","1,61,540","5,75,66,261.30","9,582"
"10-Jul-2025","EQ","357.75","372.55","355.80","357.75","357.00","358.00","362.72","546.60","327.60","4,94,323","17,93,01,704.70","21,339"
"09-Jul-2025","EQ","357.05","362.50","354.55","359.05","359.00","357.75","358.71","546.60","327.60","1,08,140","3,87,90,520.95","7,172"
"08-Jul-2025","EQ","358.65","362.70","354.45","358.65","359.55","359.05","356.90","546.60","327.60","1,44,705","5,16,44,523.60","9,516"
"07-Jul-2025","EQ","364.80","368.05","357.35","361.20","359.00","358.65","361.09","546.60","327.60","1,12,986","4,07,98,322.95","7,524"
"04-Jul-2025","EQ","363.75","368.30","359.10","362.00","360.60","361.20","361.48","546.60","327.60","3,62,813","13,11,48,055.25","11,316"
"03-Jul-2025","EQ","362.00","368.55","359.85","361.90","361.55","362.00","362.46","546.60","327.60","1,26,693","4,59,20,512.45","9,678"
"02-Jul-2025","EQ","367.90","374.05","360.15","367.70","362.00","361.90","363.53","546.60","327.60","1,07,769","3,91,77,729.90","7,269"
"01-Jul-2025","EQ","371.10","376.60","362.55","372.50","368.00","367.70","369.26","546.60","327.60","2,13,007","7,86,54,209.85","12,930"
"30-Jun-2025","EQ","403.15","403.15","370.40","397.20","373.00","372.50","382.91","546.60","327.60","5,53,507","21,19,41,434.55","21,629"
"27-Jun-2025","EQ","395.20","399.70","389.00","389.35","396.00","397.20","397.23","546.60","327.60","2,05,107","8,14,75,128.80","10,864"
"26-Jun-2025","EQ","397.15","400.00","387.00","391.30","388.00","389.35","393.56","546.60","327.60","1,09,037","4,29,12,083.90","9,291"
"25-Jun-2025","EQ","392.00","401.05","373.65","392.80","393.35","391.30","390.40","546.60","327.60","5,02,569","19,62,03,434.35","26,943"
"24-Jun-2025","EQ","376.00","397.00","370.50","375.10","394.00","392.80","382.74","546.60","327.60","3,89,100","14,89,23,728.00","25,268"
"23-Jun-2025","EQ","355.60","378.00","351.00","355.60","375.05","375.10","370.26","546.60","327.60","3,61,314","13,37,81,347.90","25,376"
"20-Jun-2025","EQ","337.00","365.95","337.00","338.00","357.00","355.60","355.11","546.60","327.60","7,15,401","25,40,45,734.20","29,787"
"19-Jun-2025","EQ","347.00","350.85","327.60","346.75","340.35","338.00","337.19","546.60","327.60","7,20,457","24,29,33,687.80","24,438"
"18-Jun-2025","EQ","358.65","360.40","345.00","358.65","347.20","346.75","353.57","546.60","345.00","6,95,799","24,60,15,095.05","30,264"
"17-Jun-2025","EQ","378.60","380.95","356.10","378.60","358.70","358.65","366.51","546.60","356.10","2,59,695","9,51,79,710.20","16,818"
"16-Jun-2025","EQ","382.50","385.95","376.10","381.10","377.00","378.60","379.36","546.60","368.00","1,12,872","4,28,19,161.75","8,790"
"13-Jun-2025","EQ","385.00","385.20","379.55","385.70","381.00","381.10","381.72","546.60","368.00","83,553","3,18,93,727.75","4,369"
"12-Jun-2025","EQ","397.35","402.00","383.50","395.40","387.00","385.70","390.25","546.60","368.00","2,46,583","9,62,28,957.30","19,370"
"11-Jun-2025","EQ","400.45","401.25","394.60","396.85","395.05","395.40","396.57","546.60","368.00","1,07,102","4,24,73,748.85","5,693"
"10-Jun-2025","EQ","407.00","410.00","392.65","402.70","396.80","396.85","400.30","546.60","368.00","1,34,067","5,36,67,540.85","7,611"
"09-Jun-2025","EQ","385.35","404.90","385.35","385.35","403.00","402.70","395.95","546.60","368.00","3,85,607","15,26,83,004.10","15,836"
"06-Jun-2025","EQ","392.10","399.10","369.70","394.05","384.10","385.35","387.33","546.60","368.00","2,20,975","8,55,90,764.60","13,245"
"05-Jun-2025","EQ","398.30","405.00","392.00","398.30","395.00","394.05","398.64","546.60","368.00","80,434","3,20,63,937.25","7,025"
"04-Jun-2025","EQ","406.10","408.50","396.45","403.05","398.95","398.30","402.30","546.60","368.00","1,88,262","7,57,38,269.15","12,103"
"03-Jun-2025","EQ","401.00","410.00","397.55","404.95","405.00","403.05","403.07","546.60","368.00","1,32,726","5,34,97,847.65","9,132"
"02-Jun-2025","EQ","409.00","409.75","402.55","408.25","404.00","404.95","404.80","546.60","368.00","1,18,474","4,79,58,315.20","6,392"
"30-May-2025","EQ","411.00","415.90","405.00","410.40","406.00","408.25","409.34","546.60","368.00","1,20,154","4,91,84,069.40","5,854"
"29-May-2025","EQ","409.20","416.10","407.95","409.20","409.70","410.40","412.08","546.60","368.00","50,216","2,06,93,121.50","3,920"
"28-May-2025","EQ","414.95","420.45","406.90","415.20","410.70","409.20","411.68","546.60","368.00","93,053","3,83,07,807.35","8,707"
"27-May-2025","EQ","417.00","420.60","414.05","421.15","414.05","415.20","416.69","546.60","368.00","52,859","2,20,25,565.55","2,508"
"26-May-2025","EQ","425.20","429.75","419.50","421.60","421.40","421.15","421.57","546.60","368.00","39,647","1,67,13,867.30","2,887"
"23-May-2025","EQ","425.05","431.85","414.75","427.30","421.65","421.60","425.61","546.60","368.00","1,81,269","7,71,49,396.05","5,709"
"22-May-2025","EQ","425.60","429.80","424.65","429.90","426.00","427.30","426.95","546.60","368.00","27,689","1,18,21,867.95","1,943"
"21-May-2025","EQ","432.10","432.10","410.80","429.95","428.00","429.90","422.48","546.60","368.00","1,60,639","6,78,67,041.00","13,288"
"20-May-2025","EQ","431.30","438.75","424.80","427.15","430.20","429.95","431.79","546.60","368.00","65,013","2,80,72,033.65","3,682"
"19-May-2025","EQ","426.45","432.85","422.00","424.35","427.00","427.15","427.27","546.60","368.00","94,713","4,04,67,784.30","5,552"
"16-May-2025","EQ","426.95","433.00","423.00","424.50","425.00","424.35","425.52","546.60","368.00","99,699","4,24,24,368.60","5,232"
"15-May-2025","EQ","432.55","437.55","421.05","432.50","426.45","424.50","426.58","546.60","368.00","1,18,130","5,03,91,867.60","5,949"
"14-May-2025","EQ","421.05","434.50","421.05","421.00","432.00","432.50","431.44","546.60","368.00","55,501","2,39,45,438.20","3,176"
"13-May-2025","EQ","418.80","426.00","415.00","418.00","423.90","421.00","421.38","546.60","368.00","1,57,018","6,61,64,256.00","5,793"
"12-May-2025","EQ","429.90","439.00","413.60","412.30","418.95","418.00","420.54","546.60","368.00","1,02,174","4,29,68,224.40","5,992"
"09-May-2025","EQ","405.00","425.00","394.15","412.35","425.00","412.30","405.27","546.60","368.00","1,65,380","6,70,23,877.20","11,285"
"08-May-2025","EQ","417.80","427.50","410.30","416.75","410.80","412.35","420.84","546.60","368.00","73,124","3,07,73,842.30","7,960"
"07-May-2025","EQ","407.10","422.00","404.65","411.20","415.85","416.75","413.60","546.60","368.00","60,836","2,51,61,702.00","5,866"
