ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","580.00","592.05","577.15","574.00","586.00","589.35","587.47","946.00","545.50","3,46,142","20,33,49,413.40","23,045"
"12-Aug-2025","EQ","619.65","624.00","566.30","558.55","579.40","574.00","601.54","946.00","545.50","47,03,497","2,82,93,35,926.65","1,20,636"
"11-Aug-2025","EQ","562.80","575.00","555.00","563.20","557.05","558.55","562.99","946.00","545.50","1,40,838","7,92,90,705.10","8,952"
"08-Aug-2025","EQ","571.00","581.00","560.00","563.40","562.80","563.20","567.76","946.00","545.50","1,06,525","6,04,80,484.05","8,409"
"07-Aug-2025","EQ","569.00","577.40","560.40","572.00","566.00","563.40","565.71","946.00","545.50","1,17,257","6,63,33,902.85","10,464"
"06-Aug-2025","EQ","585.10","593.15","568.20","589.80","571.35","572.00","578.55","946.00","545.50","2,05,325","11,87,90,497.25","10,192"
"05-Aug-2025","EQ","595.45","598.45","585.10","595.00","590.00","589.80","591.93","946.00","545.50","4,53,715","26,85,67,358.25","8,911"
"04-Aug-2025","EQ","590.00","599.10","579.45","583.05","593.20","595.00","591.14","946.00","545.50","1,07,860","6,37,59,917.15","17,593"
"01-Aug-2025","EQ","595.00","599.15","581.15","595.40","581.15","583.05","591.14","946.00","545.50","1,59,283","9,41,58,947.85","8,816"
"31-Jul-2025","EQ","594.90","604.75","586.10","592.05","594.25","595.40","596.68","946.00","545.50","1,99,480","11,90,25,488.10","16,038"
"30-Jul-2025","EQ","602.45","616.70","588.95","598.10","591.85","592.05","597.17","946.00","545.50","13,47,638","80,47,72,749.25","20,680"
"29-Jul-2025","EQ","594.00","601.40","582.05","585.30","599.20","598.10","594.88","946.00","545.50","2,68,165","15,95,27,307.25","10,146"
"28-Jul-2025","EQ","606.90","606.90","581.60","607.65","583.10","585.30","592.03","946.00","545.50","3,18,270","18,84,23,881.20","25,159"
"25-Jul-2025","EQ","611.95","620.00","605.25","609.95","606.80","607.65","612.24","946.00","545.50","1,52,812","9,35,57,259.85","11,723"
"24-Jul-2025","EQ","635.30","636.65","609.00","634.65","610.00","609.95","618.93","946.00","545.50","1,66,348","10,29,57,281.60","10,557"
"23-Jul-2025","EQ","636.90","637.70","628.00","635.40","634.75","634.65","633.07","946.00","545.50","89,130","5,64,25,419.60","6,118"
"22-Jul-2025","EQ","647.60","649.20","633.00","645.10","636.80","635.40","638.47","946.00","545.50","2,65,209","16,93,28,450.25","14,572"
"21-Jul-2025","EQ","649.65","656.00","642.00","647.10","645.00","645.10","646.61","946.00","545.50","1,41,437","9,14,54,395.75","12,240"
"18-Jul-2025","EQ","655.90","659.20","643.00","656.95","646.90","647.10","647.90","946.00","545.50","1,48,402","9,61,49,542.30","15,218"
"17-Jul-2025","EQ","649.00","666.10","645.45","644.35","655.00","656.95","654.69","946.00","545.50","2,96,563","19,41,57,624.35","19,815"
"16-Jul-2025","EQ","633.90","647.00","630.10","635.75","645.40","644.35","642.51","946.00","545.50","76,437","4,91,11,222.75","6,576"
"15-Jul-2025","EQ","628.00","645.40","624.45","624.45","634.20","635.75","635.48","946.00","545.50","1,12,952","7,17,78,749.10","8,974"
"14-Jul-2025","EQ","640.35","640.35","622.05","634.00","623.00","624.45","626.99","946.00","545.50","80,093","5,02,17,286.45","6,577"
"11-Jul-2025","EQ","641.90","647.05","629.30","642.50","633.00","634.00","636.61","946.00","521.95","1,15,868","7,37,62,735.80","7,215"
"10-Jul-2025","EQ","645.55","653.35","634.05","645.55","640.85","642.50","643.59","946.00","521.95","3,76,011","24,19,98,608.95","14,649"
"09-Jul-2025","EQ","615.10","648.90","610.00","611.00","640.70","645.55","636.42","946.00","521.95","3,33,475","21,22,30,417.05","18,112"
"08-Jul-2025","EQ","629.90","629.90","608.85","629.95","610.45","611.00","613.47","946.00","521.95","3,44,111","21,11,02,586.95","12,210"
"07-Jul-2025","EQ","630.00","633.00","625.55","629.00","626.05","629.95","629.15","946.00","521.95","1,01,656","6,39,57,122.35","5,784"
"04-Jul-2025","EQ","616.00","632.65","611.90","610.50","628.45","629.00","627.12","946.00","501.00","2,09,662","13,14,83,508.55","11,540"
"03-Jul-2025","EQ","628.00","628.30","608.10","628.30","612.70","610.50","614.18","946.00","501.00","2,87,435","17,65,36,349.15","14,844"
"02-Jul-2025","EQ","640.20","641.55","624.90","639.35","627.30","628.30","632.34","946.00","501.00","1,67,291","10,57,85,290.20","8,035"
"01-Jul-2025","EQ","641.10","647.80","633.30","642.65","639.00","639.35","638.94","946.00","501.00","2,13,953","13,67,03,421.25","8,347"
"30-Jun-2025","EQ","652.40","654.50","632.65","652.45","641.00","642.65","640.84","946.00","501.00","2,39,912","15,37,45,534.30","16,243"
"27-Jun-2025","EQ","656.80","656.80","641.75","651.45","650.00","652.45","649.35","946.00","474.70","2,14,141","13,90,52,158.20","12,331"
"26-Jun-2025","EQ","645.50","655.00","638.90","646.45","653.30","651.45","648.01","946.00","474.70","2,56,530","16,62,33,803.00","13,379"
"25-Jun-2025","EQ","655.00","662.30","640.60","654.95","642.70","646.45","650.19","946.00","474.70","12,87,990","83,74,41,356.70","13,677"
"24-Jun-2025","EQ","669.90","671.60","651.05","664.40","653.00","654.95","655.59","946.00","474.70","3,10,415","20,35,06,277.60","10,204"
"23-Jun-2025","EQ","651.55","669.20","644.20","655.75","657.50","664.40","654.81","946.00","474.70","1,53,841","10,07,36,032.40","15,144"
"20-Jun-2025","EQ","648.70","662.80","642.00","645.05","651.55","655.75","653.84","946.00","473.20","1,14,454","7,48,35,138.60","13,522"
"19-Jun-2025","EQ","663.90","663.90","642.60","661.65","646.50","645.05","652.02","946.00","473.20","1,57,231","10,25,18,315.00","14,610"
"18-Jun-2025","EQ","665.00","668.90","656.10","659.90","657.50","661.65","662.24","946.00","473.20","90,941","6,02,24,684.95","8,424"
"17-Jun-2025","EQ","683.10","696.00","650.30","679.75","666.00","659.90","679.67","946.00","473.20","9,45,058","64,23,24,495.45","30,702"
"16-Jun-2025","EQ","645.45","685.55","637.20","643.70","681.80","679.75","668.52","946.00","473.20","4,60,485","30,78,45,715.25","32,042"
"13-Jun-2025","EQ","645.05","656.65","641.00","657.75","645.00","643.70","647.57","946.00","433.25","1,99,021","12,88,79,594.15","25,886"
"12-Jun-2025","EQ","669.90","677.20","655.55","667.30","658.25","657.75","665.79","946.00","433.25","1,91,658","12,76,04,106.50","16,177"
"11-Jun-2025","EQ","692.05","692.75","665.55","692.05","667.50","667.30","676.15","946.00","433.25","2,31,426","15,64,77,776.55","13,440"
"10-Jun-2025","EQ","697.70","699.15","686.00","694.20","689.40","692.05","690.82","946.00","433.25","1,49,613","10,33,56,304.45","12,997"
"09-Jun-2025","EQ","695.15","711.95","691.00","691.75","694.95","694.20","698.93","946.00","433.25","3,17,476","22,18,93,576.70","19,906"
"06-Jun-2025","EQ","704.00","718.95","688.50","684.55","693.90","691.75","701.74","946.00","371.40","9,70,772","68,12,29,015.40","69,621"
"05-Jun-2025","EQ","655.00","714.90","654.95","655.15","687.30","684.55","690.18","946.00","371.40","5,50,382","37,98,65,393.90","35,899"
"04-Jun-2025","EQ","682.00","683.45","652.10","676.10","654.60","655.15","665.29","946.00","371.40","1,05,117","6,99,33,478.45","8,379"
"03-Jun-2025","EQ","654.90","691.00","652.80","654.35","677.00","676.10","678.15","946.00","371.40","4,44,240","30,12,61,649.20","26,351"
"02-Jun-2025","EQ","650.00","662.90","642.15","644.60","654.00","654.35","653.39","946.00","371.40","2,02,209","13,21,20,678.10","16,259"
"30-May-2025","EQ","640.00","647.00","631.50","634.00","646.00","644.60","641.68","946.00","371.40","1,90,651","12,23,37,732.65","8,715"
"29-May-2025","EQ","637.00","648.50","627.05","634.80","632.05","634.00","638.27","946.00","371.40","2,54,425","16,23,91,039.75","14,885"
"28-May-2025","EQ","663.00","666.00","631.20","662.75","635.90","634.80","650.90","946.00","371.40","5,66,897","36,89,91,858.90","19,539"
"27-May-2025","EQ","666.00","674.90","650.90","661.95","663.00","662.75","662.09","946.00","371.40","10,36,159","68,60,31,526.20","35,904"
"26-May-2025","EQ","657.95","675.00","642.30","647.95","648.10","661.95","660.21","946.00","371.40","8,10,306","53,49,74,371.75","33,163"
"23-May-2025","EQ","642.40","660.00","639.00","648.90","647.45","647.95","652.57","946.00","371.40","1,65,616","10,80,76,600.75","12,954"
"22-May-2025","EQ","653.90","654.60","640.20","654.80","648.60","648.90","648.63","946.00","371.40","44,395","2,87,96,072.20","4,560"
"21-May-2025","EQ","649.50","668.05","643.45","650.90","653.90","654.80","658.05","946.00","371.40","1,40,160","9,22,32,182.70","11,454"
"20-May-2025","EQ","655.85","659.00","633.10","651.30","650.45","650.90","645.59","946.00","371.40","2,80,370","18,10,02,781.45","18,882"
"19-May-2025","EQ","634.00","669.35","617.60","625.40","650.00","651.30","646.37","946.00","371.40","7,21,485","46,63,48,055.35","37,175"
"16-May-2025","EQ","626.90","628.90","619.25","619.40","626.00","625.40","625.15","946.00","371.40","1,81,720","11,36,02,741.75","10,330"
"15-May-2025","EQ","624.00","632.00","615.05","621.05","617.35","619.40","619.71","946.00","371.40","3,84,122","23,80,42,370.15","11,395"
"14-May-2025","EQ","626.90","628.20","616.80","623.05","620.35","621.05","621.85","946.00","371.40","1,59,174","9,89,82,502.10","11,336"
"13-May-2025","EQ","613.00","632.00","610.50","615.90","619.95","623.05","626.24","946.00","371.40","1,59,183","9,96,87,028.95","9,597"
"12-May-2025","EQ","620.00","623.60","607.10","597.70","612.65","615.90","616.62","946.00","371.40","1,34,915","8,31,90,929.75","11,792"
"09-May-2025","EQ","600.00","604.00","585.00","601.35","597.15","597.70","592.85","946.00","371.40","53,916","3,19,64,308.25","7,404"
"08-May-2025","EQ","609.00","624.00","593.35","609.15","614.00","601.35","613.85","946.00","371.40","1,03,091","6,32,82,084.30","9,847"
"07-May-2025","EQ","605.00","614.00","596.15","613.20","609.90","609.15","607.74","946.00","371.40","79,923","4,85,72,302.15","6,927"
"06-May-2025","EQ","625.20","629.25","604.15","625.65","613.00","613.20","620.26","946.00","371.40","1,18,640","7,35,87,214.70","11,716"
"05-May-2025","EQ","637.30","641.60","623.05","635.30","627.05","625.65","628.98","946.00","371.40","66,553","4,18,60,470.05","7,846"
"02-May-2025","EQ","640.60","660.00","631.60","640.75","636.00","635.30","643.00","946.00","371.40","76,353","4,90,95,239.20","8,366"
"30-Apr-2025","EQ","645.00","653.25","635.50","642.45","641.25","640.75","644.68","946.00","371.40","1,06,361","6,85,69,300.65","11,850"
"29-Apr-2025","EQ","648.65","658.30","633.00","648.65","640.90","642.45","643.93","946.00","371.40","1,24,155","7,99,47,697.20","15,679"
"28-Apr-2025","EQ","660.00","670.70","638.70","659.70","647.80","648.65","656.86","946.00","371.40","2,90,427","19,07,69,059.60","23,517"
"25-Apr-2025","EQ","670.00","675.85","638.65","665.60","655.50","659.70","655.42","946.00","371.40","1,15,032","7,53,94,510.60","14,353"
"24-Apr-2025","EQ","673.50","677.65","659.35","670.40","662.20","665.60","666.72","946.00","371.40","48,955","3,26,39,347.85","7,325"
"23-Apr-2025","EQ","681.00","699.50","663.50","678.75","673.50","670.40","677.73","946.00","371.40","1,53,476","10,40,15,828.55","17,120"
"22-Apr-2025","EQ","658.00","690.00","654.55","658.05","681.00","678.75","672.69","946.00","371.40","3,55,054","23,88,39,561.95","21,377"
"21-Apr-2025","EQ","649.95","662.00","642.60","641.80","661.00","658.05","652.93","946.00","371.40","96,472","6,29,89,396.60","11,231"
"17-Apr-2025","EQ","660.00","663.55","636.60","656.50","643.00","641.80","647.74","946.00","371.40","2,63,670","17,07,88,432.15","11,034"
"16-Apr-2025","EQ","651.00","659.90","643.85","648.50","651.00","656.50","653.91","946.00","371.40","99,818","6,52,71,905.10","20,036"
"15-Apr-2025","EQ","647.05","657.50","637.80","634.35","649.20","648.50","649.46","946.00","371.40","1,42,595","9,26,09,787.95","12,922"
"11-Apr-2025","EQ","638.00","640.00","626.15","623.05","632.00","634.35","634.42","946.00","371.40","42,734","2,71,11,141.05","5,159"
"09-Apr-2025","EQ","643.80","643.80","614.00","634.30","623.00","623.05","622.84","946.00","371.40","61,838","3,85,15,272.55","9,397"
"08-Apr-2025","EQ","630.00","645.00","625.30","614.10","631.00","634.30","633.34","946.00","371.40","1,07,060","6,78,05,301.80","9,854"
"07-Apr-2025","EQ","570.00","632.00","568.45","645.50","613.20","614.10","607.78","946.00","371.40","1,91,373","11,63,12,059.90","14,405"
"04-Apr-2025","EQ","677.00","677.00","637.65","671.90","648.65","645.50","654.88","946.00","371.40","1,14,988","7,53,03,543.35","7,736"
"03-Apr-2025","EQ","670.00","675.00","662.15","671.55","672.40","671.90","672.39","946.00","371.40","1,08,985","7,32,80,025.00","5,176"
"02-Apr-2025","EQ","656.00","685.70","643.65","655.00","678.95","671.55","661.72","946.00","371.40","94,252","6,23,68,431.20","8,010"
"01-Apr-2025","EQ","662.60","665.00","637.00","662.60","655.50","655.00","649.20","946.00","371.40","74,491","4,83,59,764.35","7,360"
"28-Mar-2025","EQ","654.00","664.00","641.85","651.85","663.55","662.60","656.60","946.00","371.40","1,36,269","8,94,73,996.80","9,484"
"27-Mar-2025","EQ","634.00","666.00","630.10","635.70","637.00","651.85","648.50","946.00","371.40","9,91,953","64,32,84,470.90","30,026"
"26-Mar-2025","EQ","635.00","649.05","621.25","639.95","631.65","635.70","634.93","946.00","371.40","2,49,965","15,87,10,832.90","31,656"
"25-Mar-2025","EQ","649.95","653.65","630.00","641.20","636.35","639.95","640.38","946.00","371.40","71,406","4,57,27,294.35","7,013"
"24-Mar-2025","EQ","624.90","646.35","622.55","619.50","642.55","641.20","639.12","946.00","371.40","1,91,200","12,21,99,909.65","11,955"
"21-Mar-2025","EQ","602.00","626.00","602.00","604.85","625.20","619.50","617.28","946.00","371.40","1,10,287","6,80,78,438.00","11,066"
"20-Mar-2025","EQ","612.85","612.85","590.60","606.95","608.00","604.85","601.49","946.00","371.40","1,65,808","9,97,32,491.40","13,457"
"19-Mar-2025","EQ","580.00","613.65","580.00","579.55","607.25","606.95","601.34","946.00","371.40","3,91,750","23,55,74,661.65","16,423"
"18-Mar-2025","EQ","575.00","589.50","567.70","573.55","578.95","579.55","580.02","946.00","371.40","1,37,597","7,98,09,286.25","11,281"
"17-Mar-2025","EQ","571.65","577.95","548.85","571.65","567.70","573.55","567.99","946.00","371.40","2,61,315","14,84,23,633.55","20,571"
"13-Mar-2025","EQ","579.05","584.35","545.50","576.35","574.80","571.65","559.23","946.00","371.40","3,94,716","22,07,37,220.75","35,471"
"12-Mar-2025","EQ","620.00","628.00","569.05","616.85","577.55","576.35","581.58","946.00","371.40","3,87,272","22,52,29,402.15","37,393"
"11-Mar-2025","EQ","632.50","638.00","614.15","634.20","620.00","616.85","628.95","946.00","371.40","92,129","5,79,44,396.65","8,460"
"10-Mar-2025","EQ","633.95","638.85","617.00","631.35","635.30","634.20","629.08","946.00","371.40","1,19,982","7,54,77,885.60","11,591"
"07-Mar-2025","EQ","649.80","649.80","626.00","644.45","629.00","631.35","636.59","946.00","371.40","98,970","6,30,03,379.35","11,153"
"06-Mar-2025","EQ","654.00","661.65","642.00","654.95","642.00","644.45","652.44","946.00","371.40","1,74,247","11,36,85,309.40","8,479"
"05-Mar-2025","EQ","643.00","661.25","639.80","654.05","650.00","654.95","654.07","946.00","371.40","1,85,962","12,16,31,411.80","9,513"
"04-Mar-2025","EQ","636.85","658.10","626.05","645.65","652.00","654.05","644.57","946.00","371.40","1,55,817","10,04,35,173.70","18,519"
"03-Mar-2025","EQ","653.00","659.05","626.70","653.20","640.25","645.65","642.70","946.00","371.40","1,29,177","8,30,21,682.15","13,135"
"28-Feb-2025","EQ","665.85","676.00","646.00","676.00","647.70","653.20","659.01","946.00","371.40","1,25,656","8,28,08,650.60","12,316"
"27-Feb-2025","EQ","660.00","679.90","657.50","667.15","679.50","676.00","670.76","946.00","371.40","1,02,733","6,89,09,523.85","10,639"
"25-Feb-2025","EQ","671.20","681.05","650.10","671.10","663.00","667.15","667.76","946.00","371.40","1,36,307","9,10,20,238.55","8,796"
"24-Feb-2025","EQ","668.00","675.00","668.00","678.70","671.20","671.10","671.31","946.00","371.40","74,834","5,02,36,880.30","6,039"
"21-Feb-2025","EQ","669.15","685.45","662.95","671.95","680.60","678.70","678.68","946.00","371.40","1,21,444","8,24,21,292.15","9,959"
"20-Feb-2025","EQ","650.05","675.00","636.05","663.55","671.90","671.95","662.00","946.00","371.40","1,43,626","9,50,81,094.05","11,426"
"19-Feb-2025","EQ","640.90","669.85","622.85","640.90","658.65","663.55","651.91","946.00","371.40","4,50,626","29,37,69,686.80","25,222"
"18-Feb-2025","EQ","636.05","653.00","620.05","645.80","639.10","640.90","633.58","946.00","371.40","3,02,820","19,18,59,965.15","22,939"
"17-Feb-2025","EQ","652.80","659.40","617.95","640.05","647.00","645.80","634.56","946.00","371.40","2,08,097","13,20,49,192.55","20,300"
"14-Feb-2025","EQ","670.00","679.20","616.55","666.45","640.05","640.05","639.70","946.00","371.40","2,97,712","19,04,46,085.15","24,824"
"13-Feb-2025","EQ","668.90","676.00","647.90","661.90","675.00","666.45","661.22","946.00","371.40","2,20,516","14,58,10,212.85","17,447"
"12-Feb-2025","EQ","657.20","669.00","616.05","668.95","669.00","661.90","646.76","946.00","371.40","3,98,344","25,76,32,529.50","34,822"
"11-Feb-2025","EQ","683.00","700.85","660.45","687.10","664.00","668.95","667.99","946.00","371.40","1,73,081","11,56,16,860.65","12,278"
"10-Feb-2025","EQ","706.50","706.50","672.05","698.80","686.75","687.10","687.61","946.00","371.40","1,25,879","8,65,55,133.85","14,324"
"07-Feb-2025","EQ","700.05","704.65","685.05","691.80","700.00","698.80","696.53","946.00","371.40","83,099","5,78,81,063.10","7,821"
"06-Feb-2025","EQ","698.20","704.30","688.50","697.50","689.00","691.80","695.60","946.00","371.40","42,606","2,96,36,555.50","4,907"
"05-Feb-2025","EQ","706.45","709.00","686.35","696.00","699.20","697.50","697.18","946.00","371.40","2,36,131","16,46,25,395.45","16,696"
"04-Feb-2025","EQ","695.55","703.10","680.90","680.50","699.95","696.00","694.76","946.00","371.40","4,93,367","34,27,71,385.25","18,560"
"03-Feb-2025","EQ","654.00","686.75","645.90","664.65","680.50","680.50","672.38","946.00","371.40","1,00,579","6,76,26,980.45","10,226"
"01-Feb-2025","EQ","666.50","681.10","656.00","663.95","657.00","664.65","669.47","946.00","371.40","64,676","4,32,98,883.55","5,247"
"31-Jan-2025","EQ","651.00","680.00","650.00","656.85","657.00","663.95","663.82","946.00","371.40","1,36,189","9,04,04,997.10","10,372"
"30-Jan-2025","EQ","641.00","664.00","641.00","639.80","652.35","656.85","654.15","946.00","371.40","72,179","4,72,16,129.70","9,707"
"29-Jan-2025","EQ","620.95","651.90","620.40","624.90","648.50","639.80","638.85","946.00","371.40","1,33,874","8,55,25,474.75","14,160"
"28-Jan-2025","EQ","639.95","649.00","603.35","633.95","625.00","624.90","622.48","946.00","371.40","5,30,864","33,04,51,979.50","28,054"
