ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","256.05","256.15","251.65","255.25","252.00","252.60","253.63","401.90","231.55","5,23,944","13,28,90,026.05","13,530"
"11-Aug-2025","EQ","254.15","256.00","250.60","254.15","256.00","255.25","253.21","401.90","231.55","6,35,151","16,08,24,316.45","17,773"
"08-Aug-2025","EQ","254.00","256.70","251.65","250.70","254.00","254.15","254.57","403.95","231.55","9,24,491","23,53,49,708.65","19,112"
"07-Aug-2025","EQ","252.00","252.50","247.15","252.90","251.50","250.70","249.78","403.95","231.55","9,82,652","24,54,50,562.80","23,608"
"06-Aug-2025","EQ","253.45","255.20","252.25","253.50","252.75","252.90","253.34","403.95","231.55","6,99,759","17,72,77,261.70","16,862"
"05-Aug-2025","EQ","257.75","259.15","252.55","257.30","253.20","253.50","254.22","403.95","231.55","9,94,237","25,27,59,493.75","18,618"
"04-Aug-2025","EQ","258.20","259.15","255.60","257.30","257.60","257.30","257.17","403.95","231.55","7,53,893","19,38,81,969.05","19,210"
"01-Aug-2025","EQ","262.25","265.65","256.20","262.20","257.90","257.30","260.92","403.95","231.55","11,77,272","30,71,78,945.05","24,846"
"31-Jul-2025","EQ","263.20","266.40","261.10","267.55","261.60","262.20","263.83","403.95","231.55","8,30,652","21,91,47,772.40","18,337"
"30-Jul-2025","EQ","265.15","269.10","262.40","264.90","265.90","267.55","265.58","403.95","231.55","10,52,032","27,93,96,456.40","25,216"
"29-Jul-2025","EQ","266.75","266.90","262.80","267.05","264.90","264.90","264.83","403.95","231.55","8,73,625","23,13,59,411.10","21,721"
"28-Jul-2025","EQ","268.50","273.75","264.55","270.15","265.90","267.05","268.32","403.95","231.55","15,99,739","42,92,34,929.70","28,960"
"25-Jul-2025","EQ","276.60","276.95","269.10","276.60","269.40","270.15","271.24","403.95","231.55","16,01,115","43,42,94,211.55","30,691"
"24-Jul-2025","EQ","280.50","280.50","275.75","280.35","276.55","276.60","276.90","403.95","231.55","12,34,128","34,17,30,408.60","18,226"
"23-Jul-2025","EQ","280.20","281.95","277.00","280.50","279.75","280.35","280.13","403.95","231.55","75,36,041","2,11,11,05,200.05","39,196"
"22-Jul-2025","EQ","279.10","282.20","277.30","278.80","279.50","280.50","280.32","403.95","231.55","26,78,379","75,08,00,909.30","32,739"
"21-Jul-2025","EQ","274.95","281.90","273.05","274.55","280.10","278.80","278.20","403.95","231.55","42,43,661","1,18,05,92,906.00","42,647"
"18-Jul-2025","EQ","282.00","286.00","267.70","278.30","274.20","274.55","276.07","403.95","231.55","1,34,31,891","3,70,81,70,218.25","98,147"
"17-Jul-2025","EQ","264.40","283.70","263.95","262.35","279.15","278.30","278.44","403.95","231.55","3,14,30,970","8,75,17,61,188.60","2,05,796"
"16-Jul-2025","EQ","263.20","263.40","259.95","263.15","262.20","262.35","261.65","403.95","231.55","19,06,804","49,89,16,631.35","27,614"
"15-Jul-2025","EQ","270.30","270.80","261.50","268.00","263.30","263.15","265.55","403.95","231.55","31,35,066","83,25,14,299.60","48,227"
"14-Jul-2025","EQ","269.90","271.45","266.50","269.90","269.00","268.00","268.18","403.95","231.55","9,65,397","25,89,00,145.25","21,216"
"11-Jul-2025","EQ","270.00","273.35","267.50","270.05","269.05","269.90","270.35","403.95","231.55","17,16,249","46,39,85,119.50","34,855"
"10-Jul-2025","EQ","263.90","271.10","262.95","262.75","270.00","270.05","268.45","403.95","231.55","29,33,261","78,74,21,646.20","40,702"
"09-Jul-2025","EQ","263.90","267.35","261.65","263.25","263.00","262.75","264.56","403.95","231.55","18,49,784","48,93,78,773.10","33,330"
"08-Jul-2025","EQ","257.85","263.90","256.50","257.20","263.50","263.25","260.94","403.95","231.55","25,14,875","65,62,20,727.80","37,562"
"07-Jul-2025","EQ","256.15","257.90","255.00","256.15","257.25","257.20","256.81","403.95","231.55","13,27,747","34,09,79,159.10","18,755"
"04-Jul-2025","EQ","256.65","257.75","255.00","256.65","255.90","256.15","256.29","403.95","231.55","10,99,740","28,18,52,965.60","25,615"
"03-Jul-2025","EQ","258.05","258.50","256.00","257.45","256.40","256.65","257.19","403.95","231.55","9,32,814","23,99,09,391.15","17,970"
"02-Jul-2025","EQ","259.55","259.60","256.70","258.40","257.70","257.45","257.66","403.95","231.55","10,06,354","25,92,97,121.90","16,047"
"01-Jul-2025","EQ","260.00","260.90","258.00","259.95","258.20","258.40","259.03","403.95","231.55","12,66,092","32,79,50,144.90","19,009"
"30-Jun-2025","EQ","260.00","261.00","258.30","259.20","259.80","259.95","259.64","403.95","231.55","10,90,525","28,31,47,464.25","20,401"
"27-Jun-2025","EQ","258.85","265.20","258.25","257.60","259.45","259.20","261.17","403.95","231.55","24,87,215","64,95,96,889.60","40,389"
"26-Jun-2025","EQ","259.80","261.20","256.40","259.50","257.80","257.60","257.62","403.95","231.55","14,39,756","37,09,06,442.50","21,790"
"25-Jun-2025","EQ","257.00","259.90","256.30","255.65","259.75","259.50","258.83","403.95","231.55","8,26,794","21,39,95,566.25","16,083"
"24-Jun-2025","EQ","259.05","260.60","253.75","256.00","256.20","255.65","256.91","403.95","231.55","17,47,242","44,88,88,386.75","33,100"
"23-Jun-2025","EQ","256.20","258.30","255.05","256.70","256.50","256.00","256.30","403.95","231.55","8,94,768","22,93,30,851.50","17,134"
"20-Jun-2025","EQ","256.85","258.65","254.70","256.85","256.70","256.70","256.75","403.95","231.55","16,32,206","41,90,68,984.15","31,057"
"19-Jun-2025","EQ","262.00","263.25","255.00","264.10","255.65","256.85","258.42","403.95","231.55","13,74,153","35,51,08,983.80","29,888"
"18-Jun-2025","EQ","262.00","265.00","260.10","262.05","263.80","264.10","262.52","403.95","231.55","13,58,406","35,66,13,817.30","20,936"
"17-Jun-2025","EQ","264.70","265.80","261.00","264.60","261.30","262.05","262.70","403.95","231.55","11,19,640","29,41,27,776.15","21,434"
"16-Jun-2025","EQ","266.20","267.45","262.35","266.20","264.00","264.60","263.88","403.95","231.55","11,59,919","30,60,76,957.25","22,871"
"13-Jun-2025","EQ","263.75","267.25","262.90","267.60","266.50","266.20","265.28","403.95","231.55","10,56,492","28,02,65,030.50","21,647"
"12-Jun-2025","EQ","280.90","280.90","267.00","276.00","267.50","267.60","271.62","403.95","231.55","23,60,592","64,11,79,842.15","42,467"
"11-Jun-2025","EQ","280.00","280.70","272.55","278.05","276.00","276.00","276.95","403.95","231.55","17,26,034","47,80,33,413.65","26,911"
"10-Jun-2025","EQ","269.40","279.25","266.80","267.80","277.90","278.05","274.76","403.95","231.55","46,05,354","1,26,53,50,938.95","51,231"
"09-Jun-2025","EQ","265.50","268.50","264.65","263.85","268.00","267.80","267.18","403.95","231.55","11,62,357","31,05,58,687.20","17,580"
"06-Jun-2025","EQ","265.50","266.50","263.20","265.25","263.95","263.85","264.15","403.95","231.55","12,96,719","34,25,29,696.90","19,457"
"05-Jun-2025","EQ","269.10","270.20","265.05","268.70","265.30","265.25","266.38","403.95","231.55","14,16,431","37,73,11,791.45","22,033"
"04-Jun-2025","EQ","269.45","270.65","266.20","270.10","268.25","268.70","268.32","403.95","231.55","8,45,015","22,67,32,611.65","15,344"
"03-Jun-2025","EQ","271.55","273.60","267.05","270.20","268.40","270.10","269.68","403.95","231.55","17,16,464","46,28,99,877.80","37,486"
"02-Jun-2025","EQ","268.95","273.90","268.10","275.00","270.50","270.20","270.32","403.95","231.55","23,73,477","64,15,92,173.25","44,305"
"30-May-2025","EQ","265.00","279.85","263.80","263.95","267.90","275.00","274.26","403.95","231.55","1,79,24,411","4,91,58,62,593.70","95,120"
"29-May-2025","EQ","264.90","266.20","262.30","263.55","263.70","263.95","263.96","403.95","231.55","9,32,581","24,61,67,276.95","20,935"
"28-May-2025","EQ","267.75","269.40","262.55","267.60","263.80","263.55","265.35","403.95","231.55","17,02,213","45,16,75,754.65","31,130"
"27-May-2025","EQ","261.45","276.25","257.20","258.75","267.70","267.60","269.68","403.95","231.55","67,02,440","1,80,74,91,496.60","1,00,698"
"26-May-2025","EQ","260.70","265.65","258.00","259.95","259.15","258.75","260.60","403.95","231.55","21,94,361","57,18,40,861.00","38,255"
"23-May-2025","EQ","259.60","261.85","256.75","257.50","259.80","259.95","259.79","403.95","231.55","11,86,946","30,83,57,792.95","28,075"
"22-May-2025","EQ","261.00","263.60","256.20","260.25","257.50","257.50","258.42","403.95","231.55","16,98,030","43,88,03,706.25","40,231"
"21-May-2025","EQ","262.35","265.45","258.75","262.35","260.20","260.25","261.72","403.95","231.55","13,12,941","34,36,25,901.40","28,337"
"20-May-2025","EQ","270.90","272.55","261.10","269.05","261.90","262.35","265.62","403.95","231.55","16,38,768","43,52,91,692.30","32,430"
"19-May-2025","EQ","270.55","275.80","268.30","270.35","269.10","269.05","271.79","403.95","231.55","15,48,977","42,09,91,976.00","28,198"
"16-May-2025","EQ","268.50","272.90","267.35","267.00","270.60","270.35","270.67","403.95","231.55","17,29,990","46,82,55,582.75","30,322"
