ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,485.90","1,503.40","1,465.00","1,485.90","1,466.70","1,469.80","1,481.58","1,929.80","1,159.45","82,282","12,19,07,264.30","10,654"
"11-Aug-2025","EQ","1,511.90","1,520.40","1,479.00","1,507.40","1,488.90","1,485.90","1,492.86","1,929.80","1,159.45","1,08,333","16,17,26,486.00","11,236"
"08-Aug-2025","EQ","1,559.70","1,560.00","1,499.30","1,563.50","1,509.00","1,507.40","1,532.47","1,929.80","1,159.45","1,51,114","23,15,77,311.80","15,014"
"07-Aug-2025","EQ","1,586.40","1,593.00","1,521.90","1,586.40","1,550.50","1,563.50","1,563.70","1,929.80","1,159.45","2,69,783","42,18,59,233.90","28,400"
"06-Aug-2025","EQ","1,574.60","1,594.00","1,561.40","1,559.40","1,589.50","1,586.40","1,579.85","1,929.80","1,159.45","2,46,858","38,99,99,818.90","25,263"
"05-Aug-2025","EQ","1,570.10","1,611.50","1,541.10","1,500.20","1,561.90","1,559.40","1,575.83","1,929.80","1,159.45","14,95,297","2,35,63,27,047.40","93,913"
"04-Aug-2025","EQ","1,479.40","1,512.70","1,452.00","1,450.80","1,490.70","1,500.20","1,484.48","1,929.80","1,159.45","3,07,798","45,69,20,106.80","31,350"
"01-Aug-2025","EQ","1,479.10","1,494.00","1,441.20","1,473.80","1,454.70","1,450.80","1,471.37","1,929.80","1,159.45","1,32,362","19,47,53,476.70","17,067"
"31-Jul-2025","EQ","1,485.00","1,514.00","1,470.00","1,506.80","1,472.00","1,473.80","1,490.10","1,929.80","1,159.45","1,61,825","24,11,35,538.80","17,437"
"30-Jul-2025","EQ","1,512.00","1,523.80","1,498.00","1,504.40","1,505.00","1,506.80","1,508.97","1,929.80","1,159.45","1,02,951","15,53,50,061.50","12,247"
"29-Jul-2025","EQ","1,496.00","1,529.90","1,480.00","1,499.70","1,497.90","1,504.40","1,507.33","1,929.80","1,159.45","1,20,291","18,13,18,832.10","15,587"
"28-Jul-2025","EQ","1,554.70","1,554.70","1,492.00","1,554.70","1,496.00","1,499.70","1,514.85","1,929.80","1,159.45","1,60,548","24,32,05,388.60","20,010"
"25-Jul-2025","EQ","1,597.80","1,597.80","1,550.00","1,588.40","1,554.70","1,554.70","1,560.21","1,929.80","1,159.45","1,14,740","17,90,18,176.80","11,902"
"24-Jul-2025","EQ","1,580.00","1,602.00","1,576.40","1,585.20","1,590.00","1,588.40","1,587.12","1,929.80","1,159.45","85,856","13,62,63,534.70","9,867"
"23-Jul-2025","EQ","1,612.90","1,613.00","1,582.00","1,600.90","1,589.00","1,585.20","1,592.19","1,929.80","1,159.45","70,563","11,23,49,639.90","6,688"
"22-Jul-2025","EQ","1,628.70","1,628.70","1,596.10","1,616.00","1,604.00","1,600.90","1,610.80","1,929.80","1,159.45","97,674","15,73,33,050.90","9,099"
"21-Jul-2025","EQ","1,634.80","1,636.50","1,611.30","1,634.70","1,622.00","1,616.00","1,617.96","1,929.80","1,159.45","1,04,330","16,88,01,504.80","9,502"
"18-Jul-2025","EQ","1,607.60","1,642.70","1,580.00","1,601.40","1,630.80","1,634.70","1,623.74","1,929.80","1,159.45","3,54,368","57,54,01,800.10","22,825"
"17-Jul-2025","EQ","1,599.00","1,609.00","1,575.80","1,590.80","1,604.90","1,601.40","1,597.98","1,929.80","1,159.45","1,52,185","24,31,88,121.70","13,266"
"16-Jul-2025","EQ","1,550.80","1,595.00","1,547.00","1,544.80","1,591.00","1,590.80","1,571.14","1,929.80","1,159.45","1,65,086","25,93,73,027.20","12,856"
"15-Jul-2025","EQ","1,554.00","1,576.00","1,541.00","1,552.30","1,545.60","1,544.80","1,554.70","1,929.80","1,159.45","1,55,550","24,18,34,291.90","12,799"
"14-Jul-2025","EQ","1,600.00","1,600.00","1,548.00","1,588.30","1,549.70","1,552.30","1,562.77","1,929.80","1,159.45","1,48,092","23,14,33,388.60","12,008"
"11-Jul-2025","EQ","1,609.50","1,622.00","1,583.20","1,604.60","1,588.00","1,588.30","1,596.18","1,929.80","1,159.45","77,602","12,38,66,611.50","7,794"
"10-Jul-2025","EQ","1,612.90","1,635.00","1,598.30","1,611.20","1,607.00","1,604.60","1,612.31","1,929.80","1,159.45","91,837","14,80,69,976.10","8,630"
"09-Jul-2025","EQ","1,619.60","1,627.60","1,602.60","1,619.60","1,610.00","1,611.20","1,614.28","1,929.80","1,159.45","1,10,276","17,80,16,269.80","11,861"
"08-Jul-2025","EQ","1,622.10","1,629.10","1,603.20","1,629.20","1,618.50","1,619.60","1,615.73","1,929.80","1,159.45","73,908","11,94,15,292.40","7,565"
"07-Jul-2025","EQ","1,642.00","1,642.70","1,617.10","1,642.40","1,626.80","1,629.20","1,628.19","1,929.80","1,159.45","60,480","9,84,72,869.00","4,753"
"04-Jul-2025","EQ","1,658.00","1,668.00","1,632.20","1,655.20","1,640.00","1,642.40","1,648.59","1,930.00","1,159.45","85,939","14,16,77,842.00","7,221"
"03-Jul-2025","EQ","1,657.90","1,668.00","1,645.00","1,657.60","1,650.50","1,655.20","1,656.25","1,930.00","1,159.45","1,61,840","26,80,47,357.50","15,597"
"02-Jul-2025","EQ","1,647.60","1,669.90","1,637.90","1,646.50","1,656.00","1,657.60","1,654.79","1,930.00","1,159.45","1,11,409","18,43,58,298.40","12,179"
"01-Jul-2025","EQ","1,664.60","1,676.90","1,636.00","1,664.60","1,646.00","1,646.50","1,652.58","1,930.00","1,159.45","1,23,139","20,34,96,538.50","11,806"
"30-Jun-2025","EQ","1,604.90","1,674.60","1,601.70","1,600.60","1,663.00","1,664.60","1,642.41","1,930.00","1,159.45","3,52,935","57,96,64,157.30","18,498"
"27-Jun-2025","EQ","1,599.60","1,636.00","1,590.10","1,586.70","1,605.00","1,600.60","1,619.51","2,006.95","1,159.45","3,33,624","54,03,07,404.90","21,901"
"26-Jun-2025","EQ","1,599.60","1,605.90","1,581.40","1,595.40","1,587.70","1,586.70","1,592.62","2,006.95","1,159.45","1,21,386","19,33,21,812.00","12,464"
"25-Jun-2025","EQ","1,609.90","1,623.50","1,587.60","1,603.10","1,594.70","1,595.40","1,600.30","2,006.95","1,159.45","1,75,877","28,14,56,580.20","13,394"
"24-Jun-2025","EQ","1,640.60","1,649.00","1,600.00","1,618.80","1,603.00","1,603.10","1,621.42","2,006.95","1,159.45","3,65,080","59,19,47,998.10","31,668"
"23-Jun-2025","EQ","1,610.00","1,649.80","1,605.10","1,618.70","1,615.90","1,618.80","1,623.55","2,006.95","1,159.45","3,79,653","61,63,86,820.50","32,901"
"20-Jun-2025","EQ","1,625.00","1,649.60","1,607.00","1,651.60","1,621.00","1,618.70","1,624.67","2,080.00","1,159.45","2,44,464","39,71,72,231.60","23,911"
"19-Jun-2025","EQ","1,632.10","1,658.00","1,592.00","1,636.30","1,641.40","1,651.60","1,630.90","2,080.00","1,159.45","3,58,574","58,47,97,150.60","31,258"
"18-Jun-2025","EQ","1,647.70","1,661.40","1,626.00","1,655.30","1,633.00","1,636.30","1,642.99","2,080.00","1,159.45","97,723","16,05,58,048.90","9,039"
"17-Jun-2025","EQ","1,663.90","1,668.80","1,617.20","1,663.90","1,649.80","1,655.30","1,652.43","2,080.00","1,159.45","3,29,310","54,41,62,108.10","29,727"
"16-Jun-2025","EQ","1,645.00","1,675.70","1,608.00","1,648.80","1,660.00","1,663.90","1,644.36","2,080.00","1,159.45","4,04,690","66,54,57,633.20","26,426"
"13-Jun-2025","EQ","1,550.00","1,668.00","1,550.00","1,609.70","1,641.00","1,648.80","1,633.00","2,080.00","1,159.45","4,45,687","72,78,06,088.20","28,919"
"12-Jun-2025","EQ","1,657.50","1,672.00","1,605.00","1,657.40","1,609.90","1,609.70","1,632.92","2,080.00","1,159.45","2,15,721","35,22,55,510.40","14,037"
"11-Jun-2025","EQ","1,642.00","1,680.90","1,638.80","1,641.00","1,652.50","1,657.40","1,663.56","2,080.00","1,159.45","5,14,394","85,57,24,368.50","32,206"
"10-Jun-2025","EQ","1,695.00","1,702.00","1,635.70","1,689.20","1,638.00","1,641.00","1,655.45","2,080.00","1,159.45","4,36,968","72,33,78,334.30","26,380"
"09-Jun-2025","EQ","1,665.00","1,703.70","1,661.10","1,649.70","1,686.40","1,689.20","1,683.22","2,080.00","1,159.45","11,17,693","1,88,13,27,512.40","45,030"
"06-Jun-2025","EQ","1,719.10","1,745.60","1,559.90","1,753.60","1,656.80","1,649.70","1,621.58","2,080.00","1,159.45","1,05,14,335","17,04,98,74,778.10","1,69,560"
"05-Jun-2025","EQ","1,819.00","1,839.60","1,745.00","1,816.30","1,754.00","1,753.60","1,776.08","2,080.00","1,159.45","3,67,195","65,21,67,807.80","27,231"
"04-Jun-2025","EQ","1,804.60","1,835.00","1,795.30","1,804.60","1,812.00","1,816.30","1,819.26","2,080.00","1,159.45","1,23,536","22,47,43,904.40","9,852"
"03-Jun-2025","EQ","1,791.40","1,855.00","1,786.40","1,773.40","1,802.00","1,804.60","1,820.37","2,080.00","1,159.45","4,41,334","80,33,91,091.20","23,328"
"02-Jun-2025","EQ","1,779.00","1,899.00","1,762.80","1,770.40","1,790.00","1,773.40","1,823.74","2,080.00","1,159.45","9,82,745","1,79,22,67,459.70","58,994"
"30-May-2025","EQ","1,787.80","1,794.80","1,747.20","1,784.30","1,782.90","1,770.40","1,766.93","2,080.00","1,159.45","6,74,897","1,19,24,95,586.00","42,702"
"29-May-2025","EQ","1,789.90","1,805.90","1,750.00","1,776.80","1,785.00","1,784.30","1,770.81","2,080.00","1,159.45","1,82,738","32,35,94,372.30","19,708"
"28-May-2025","EQ","1,771.90","1,804.10","1,771.90","1,768.70","1,776.00","1,776.80","1,785.60","2,080.00","1,159.45","2,10,427","37,57,39,145.90","20,012"
"27-May-2025","EQ","1,802.10","1,820.70","1,764.40","1,804.50","1,771.00","1,768.70","1,789.30","2,080.00","1,159.45","2,04,658","36,61,95,526.80","17,427"
"26-May-2025","EQ","1,830.00","1,873.90","1,772.30","1,793.60","1,793.10","1,804.50","1,813.86","2,080.00","1,159.45","3,95,658","71,76,69,411.60","26,926"
"23-May-2025","EQ","1,824.00","1,831.80","1,788.00","1,817.80","1,798.80","1,793.60","1,809.27","2,080.00","1,159.45","1,65,744","29,98,75,918.60","17,141"
"22-May-2025","EQ","1,821.00","1,847.80","1,809.80","1,827.40","1,818.00","1,817.80","1,821.30","2,080.00","1,159.45","1,88,233","34,28,28,921.40","16,226"
"21-May-2025","EQ","1,781.10","1,845.90","1,770.00","1,798.40","1,829.00","1,827.40","1,823.88","2,080.00","1,159.45","2,94,140","53,64,75,639.30","25,285"
"20-May-2025","EQ","1,860.00","1,880.00","1,790.00","1,848.10","1,792.00","1,798.40","1,825.27","2,080.00","1,159.45","3,84,383","70,16,03,588.30","32,123"
"19-May-2025","EQ","1,830.00","1,869.00","1,816.50","1,819.60","1,840.10","1,848.10","1,846.16","2,080.00","1,159.45","2,99,226","55,24,18,361.80","19,374"
"16-May-2025","EQ","1,825.00","1,848.90","1,785.00","1,812.80","1,817.00","1,819.60","1,822.08","2,080.00","1,159.45","3,51,828","64,10,59,104.00","23,591"
"15-May-2025","EQ","1,758.90","1,825.00","1,740.00","1,760.00","1,811.20","1,812.80","1,793.66","2,080.00","1,159.45","4,18,493","75,06,35,744.60","41,070"
"14-May-2025","EQ","1,738.00","1,786.50","1,730.80","1,729.30","1,750.50","1,760.00","1,758.39","2,080.00","1,159.45","2,80,120","49,25,59,228.90","26,677"
"13-May-2025","EQ","1,668.00","1,755.90","1,650.40","1,668.30","1,729.00","1,729.30","1,726.88","2,080.00","1,159.45","4,45,297","76,89,73,595.30","31,971"
"12-May-2025","EQ","1,657.90","1,685.00","1,646.40","1,608.50","1,668.00","1,668.30","1,666.82","2,080.00","1,159.45","2,11,909","35,32,14,333.80","20,361"
"09-May-2025","EQ","1,545.00","1,623.90","1,544.30","1,593.50","1,611.90","1,608.50","1,594.71","2,080.00","1,159.45","2,92,199","46,59,72,961.80","30,269"
"08-May-2025","EQ","1,646.00","1,672.00","1,552.20","1,650.30","1,585.00","1,593.50","1,636.06","2,080.00","1,159.45","2,25,668","36,92,05,435.80","22,558"
"07-May-2025","EQ","1,580.20","1,672.00","1,562.00","1,606.80","1,642.40","1,650.30","1,610.68","2,080.00","1,159.45","3,78,912","61,03,05,979.30","34,089"
"06-May-2025","EQ","1,636.00","1,669.00","1,590.20","1,635.90","1,593.00","1,606.80","1,637.08","2,080.00","1,159.45","3,09,044","50,59,29,591.20","32,103"
"05-May-2025","EQ","1,585.00","1,674.90","1,582.00","1,551.10","1,635.90","1,635.90","1,633.06","2,080.00","1,159.45","8,70,906","1,42,22,42,925.30","55,268"
"02-May-2025","EQ","1,560.00","1,585.00","1,545.00","1,578.10","1,548.90","1,551.10","1,558.85","2,080.00","1,159.45","1,66,898","26,01,68,344.20","14,434"
"30-Apr-2025","EQ","1,584.00","1,635.00","1,535.70","1,578.00","1,560.00","1,578.10","1,593.03","2,080.00","1,159.45","5,95,000","94,78,53,821.80","48,804"
"29-Apr-2025","EQ","1,574.40","1,602.00","1,558.00","1,565.60","1,570.00","1,578.00","1,581.90","2,080.00","1,159.45","3,35,236","53,03,10,260.30","25,380"
"28-Apr-2025","EQ","1,519.90","1,584.00","1,506.00","1,504.70","1,567.80","1,565.60","1,556.76","2,080.00","1,159.45","3,27,788","51,02,86,629.60","31,872"
"25-Apr-2025","EQ","1,549.80","1,560.90","1,490.10","1,546.50","1,502.50","1,504.70","1,517.68","2,080.00","1,159.45","2,65,132","40,23,85,635.00","30,942"
"24-Apr-2025","EQ","1,574.00","1,584.80","1,540.00","1,572.80","1,540.00","1,546.50","1,557.49","2,080.00","1,159.45","1,48,891","23,18,95,700.60","17,486"
"23-Apr-2025","EQ","1,573.00","1,593.20","1,532.40","1,560.60","1,572.20","1,572.80","1,564.52","2,080.00","1,159.45","2,55,243","39,93,33,560.20","24,066"
"22-Apr-2025","EQ","1,474.90","1,573.00","1,462.80","1,470.70","1,557.00","1,560.60","1,533.42","2,080.00","1,159.45","5,07,607","77,83,73,313.30","49,384"
"21-Apr-2025","EQ","1,481.00","1,493.80","1,445.00","1,465.80","1,473.00","1,470.70","1,478.09","2,080.00","1,159.45","3,99,337","59,02,54,600.70","27,600"
"17-Apr-2025","EQ","1,477.00","1,477.00","1,435.00","1,471.80","1,457.90","1,465.80","1,456.64","2,080.00","1,159.45","2,21,741","32,29,97,527.40","22,399"
"16-Apr-2025","EQ","1,463.20","1,479.40","1,437.80","1,463.20","1,465.00","1,471.80","1,458.11","2,080.00","1,159.45","1,72,157","25,10,23,564.50","17,828"
