Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-03,EQ,"1,584.25","1,593.65","1,527.90","1,575.60","1,531.05",1536.15,"1,562.32","1,817.90","1,215.00","25,19,096","3,93,56,34,481.70","70,467",1570.6180622857432,1588.2941910742272,2283.0538954396934
2023-11-06,EQ,"1,547.00","1,566.00","1,540.00","1,536.15","1,562.00",1564.4,"1,553.43","1,817.90","1,215.00","9,17,415","1,42,51,39,242.30","44,191",1570.3742167059102,1587.8210387757276,2275.9031104104424
2023-11-07,EQ,"1,602.00","1,607.80","1,550.00","1,564.40","1,569.90",1569.8,"1,570.78","1,817.90","1,215.00","25,32,282","3,97,76,65,996.95","1,08,272",1570.3516984037176,1587.464186522743,2268.8772088143187
2023-11-08,EQ,"1,576.00","1,579.95","1,559.20","1,569.80","1,574.70",1575.5,"1,570.75","1,817.90","1,215.00","8,31,310","1,30,57,80,665.65","44,373",1570.553592583964,1587.2272719381342,2261.977933104724
2023-11-09,EQ,"1,575.00","1,589.00","1,569.00","1,575.50","1,588.00",1582.25,"1,578.44","1,817.90","1,215.00","11,08,425","1,74,95,85,827.95","50,758",1571.0122752277302,1587.1287120977752,2255.214471083781
2023-11-10,EQ,"1,581.00","1,598.80","1,572.65","1,582.25","1,594.00",1596.0,"1,589.13","1,817.90","1,215.00","6,72,720","1,06,90,40,443.50","34,416",1571.9921860031134,1587.304381165146,2248.6551231127987
2023-11-12,EQ,"1,606.00","1,607.00","1,588.40","1,596.00","1,595.00",1594.6,"1,597.57","1,817.90","1,215.00","1,48,384","23,70,54,364.70","11,213",1572.878766944168,1587.448848864846,2242.1471119375474
2023-11-13,EQ,"1,594.60","1,597.95","1,568.70","1,594.60","1,585.05",1585.2,"1,584.53","1,735.00","1,215.00","8,53,825","1,35,29,12,669.55","53,808",1573.3619525542006,1587.404317204156,2235.610324754089
2023-11-15,EQ,"1,600.00","1,615.00","1,579.95","1,585.20","1,586.20",1587.05,"1,596.12","1,735.00","1,215.00","16,84,967","2,68,94,06,254.75","75,400",1573.8987387285456,1587.3973010218951,2229.156988189372
2023-11-16,EQ,"1,561.05","1,628.00","1,539.05","1,587.05","1,623.00",1620.65,"1,597.14","1,735.00","1,215.00","32,13,352","5,13,21,71,711.70","1,19,177",1575.7321215235045,1588.05577030859,2223.10219228699
2023-11-17,EQ,"1,593.05","1,620.65","1,581.60","1,620.65","1,613.05",1615.9,"1,606.38","1,735.00","1,215.00","17,83,393","2,86,48,02,652.50","69,157",1577.3073324441516,1588.6071411935686,2217.060379428413
2023-11-20,EQ,"1,611.90","1,616.55","1,586.15","1,615.90","1,596.00",1593.8,"1,596.74","1,676.75","1,215.00","12,56,179","2,00,57,93,591.70","53,277",1577.9541037208517,1588.7099700808246,2210.858783613205
2023-11-21,EQ,"1,593.80","1,616.45","1,593.60","1,593.80","1,607.00",1610.4,"1,605.79","1,676.75","1,215.00","17,14,833","2,75,36,66,721.15","74,886",1579.22649181023,1589.1394756237785,2204.884069348397
2023-11-22,EQ,"1,610.00","1,626.00","1,602.50","1,610.40","1,622.00",1623.9,"1,618.91","1,676.75","1,215.00","8,07,316","1,30,69,73,388.10","38,905",1580.978394092182,1589.8278028391492,2199.1031333349806
2023-11-23,EQ,"1,623.90","1,636.85","1,620.20","1,623.90","1,625.25",1623.95,"1,627.96","1,676.75","1,215.00","6,95,592","1,13,23,95,277.95","45,408",1582.663555108175,1590.5034899116413,2193.380216585379
2023-11-24,EQ,"1,624.45","1,628.95","1,612.00","1,623.95","1,615.00",1617.25,"1,618.25","1,676.75","1,215.00","6,25,345","1,01,19,64,460.70","42,845",1584.0198862804034,1591.033123774777,2187.64757761438
2023-11-28,EQ,"1,617.50","1,657.00","1,617.50","1,617.25","1,656.00",1654.4,"1,642.45","1,676.75","1,215.00","15,64,478","2,56,95,79,901.45","70,089",1586.7798907399956,1592.2879134029995,2182.341631568466
2023-11-29,EQ,"1,660.00","1,665.00","1,649.00","1,654.40","1,650.50",1653.5,"1,655.30","1,676.75","1,215.00","7,46,796","1,23,61,67,776.75","58,780",1589.396365612937,1593.5000339296728,2177.079525781715
2023-11-30,EQ,"1,653.00","1,679.90","1,644.55","1,653.50","1,675.10",1673.5,"1,667.35","1,679.90","1,215.00","15,77,522","2,63,02,88,089.40","99,281",1592.694547353606,1595.0841916736397,2172.068784231648
2023-12-01,EQ,"1,680.00","1,688.70","1,669.95","1,673.50","1,681.55",1685.95,"1,681.46","1,688.70","1,215.00","11,01,136","1,85,15,12,723.40","63,027",1596.3516239279743,1596.8835146107951,2167.2317814034727
2023-12-04,EQ,"1,700.00","1,714.70","1,685.90","1,685.95","1,694.00",1696.25,"1,698.71","1,714.70","1,215.00","14,19,178","2,41,07,73,664.50","83,011",1600.269207303348,1598.851167786819,2162.545395518861
2023-12-05,EQ,"1,696.30","1,713.40","1,673.25","1,696.25","1,695.40",1692.7,"1,693.02","1,714.70","1,215.00","17,78,602","3,01,12,06,144.00","1,12,160",1603.8939442718442,1600.7095605039117,2157.870316956484
2023-12-06,EQ,"1,701.00","1,710.00","1,692.90","1,692.70","1,698.65",1700.35,"1,702.49","1,714.70","1,215.00","7,37,176","1,25,50,35,135.25","52,757",1607.6765346925563,1602.6826385137354,2153.317875991743
2023-12-07,EQ,"1,700.35","1,724.00","1,690.00","1,700.35","1,708.00",1704.05,"1,708.58","1,724.00","1,215.00","9,41,890","1,60,92,97,161.50","72,494",1611.4558862732404,1604.6899129986118,2148.847548867447
2023-12-08,EQ,"1,705.00","1,714.55","1,692.50","1,704.05","1,711.50",1710.15,"1,705.60","1,724.00","1,215.00","13,76,050","2,34,69,95,975.80","83,531",1615.3262436742898,1606.7782315530949,2144.4823991274725
2023-12-11,EQ,"1,700.15","1,717.00","1,698.25","1,710.15","1,702.00",1702.8,"1,705.81","1,724.00","1,215.00","10,03,371","1,71,15,63,416.95","45,131",1618.7565870596118,1608.6796527104589,2140.0875493849107
2023-12-12,EQ,"1,704.80","1,719.75","1,700.50","1,702.80","1,703.00",1706.75,"1,707.90","1,724.00","1,215.00","13,90,539","2,37,49,01,263.90","85,094",1622.2073091357056,1610.6216397854994,2135.7757329731203
2023-12-13,EQ,"1,708.00","1,709.50","1,668.20","1,706.75","1,688.00",1684.55,"1,681.03","1,724.00","1,215.00","11,68,629","1,96,44,99,682.50","65,731",1624.6521205421484,1612.085567710539,2131.2859246848307
