Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-03,EQ,"7,528.00","7,537.95","7,372.45","7,449.10","7,403.00",7411.5,"7,428.96","8,192.00","5,485.70","11,38,755","8,45,97,70,203.10","1,14,454",7600.724962274618,7395.619685593037,7113.887868464351
2023-11-06,EQ,"7,456.00","7,571.95","7,442.60","7,411.50","7,555.00",7562.05,"7,513.51","8,192.00","5,485.70","6,34,043","4,76,38,85,603.10","63,638",7599.208297087379,7398.9153353832735,7118.347193156249
2023-11-07,EQ,"7,640.00","7,640.00","7,446.00","7,562.05","7,499.00",7495.6,"7,519.46","8,192.00","5,485.70","15,63,007","11,75,29,70,008.45","1,62,727",7595.145226613365,7400.829883197465,7122.100952428326
2023-11-08,EQ,"7,527.00","7,536.00","7,406.65","7,495.60","7,458.00",7459.95,"7,455.13","8,192.00","5,485.70","9,16,717","6,83,42,41,855.90","87,519",7589.843453020684,7402.000578579694,7125.462634493716
2023-11-09,EQ,"7,485.00","7,485.00","7,366.70","7,459.95","7,390.00",7386.7,"7,403.36","8,192.00","5,485.70","7,71,791","5,71,38,47,462.40","79,753",7581.877043098305,7401.69759682564,7128.062011264923
2023-11-10,EQ,"7,370.00","7,454.00","7,346.45","7,386.70","7,450.30",7444.8,"7,425.27","8,192.00","5,485.70","4,96,261","3,68,48,70,710.10","53,636",7576.501472780725,7402.5511097597855,7131.213633043381
2023-11-12,EQ,"7,470.05","7,498.00","7,447.05","7,444.80","7,454.50",7456.9,"7,465.60","8,192.00","5,485.70","79,745","59,53,44,138.00","9,727",7571.811218946186,7403.627325408107,7134.45429341111
2023-11-13,EQ,"7,447.80","7,450.00","7,319.00","7,456.90","7,363.95",7360.85,"7,364.51","8,192.00","5,485.70","7,32,240","5,39,25,87,132.90","94,163",7563.538229967905,7402.780249657451,7136.70698700901
2023-11-15,EQ,"7,439.40","7,476.20","7,119.15","7,360.85","7,216.95",7224.3,"7,310.01","8,192.00","5,485.70","19,23,440","14,06,03,72,813.80","1,99,672",7550.234769969164,7399.245987287997,7137.578559277577
2023-11-16,EQ,"6,944.55","7,380.70","6,931.25","7,224.30","7,361.00",7362.45,"7,177.29","8,192.00","5,485.70","45,57,043","32,70,72,40,969.35","2,98,790",7542.870661342922,7398.517353876353,7139.816086050935
2023-11-17,EQ,"7,140.50","7,260.00","7,108.05","7,362.45","7,221.75",7221.0,"7,214.11","8,192.00","5,485.70","20,80,034","15,00,56,01,028.95","1,58,863",7530.2482824667295,7395.002158750089,7140.623886189732
2023-11-20,EQ,"7,151.00","7,239.00","7,050.10","7,221.00","7,065.75",7068.6,"7,118.34","8,192.00","5,485.70","19,02,940","13,54,57,76,842.10","1,58,782",7512.144428252348,7388.538749665929,7139.907230605755
2023-11-21,EQ,"7,085.00","7,128.85","7,030.00","7,068.60","7,100.00",7103.15,"7,087.44","8,192.00","5,485.70","16,66,225","11,80,92,75,268.25","1,37,178",7496.105431065982,7382.887487296307,7139.541487017638
2023-11-22,EQ,"7,086.45","7,177.85","7,065.50","7,103.15","7,123.00",7128.35,"7,119.50","8,192.00","5,485.70","10,41,404","7,41,42,79,169.55","78,632",7481.683649455552,7377.847141013212,7139.430128937861
2023-11-23,EQ,"7,135.00","7,160.00","7,056.00","7,128.35","7,075.00",7073.65,"7,106.81","8,192.00","5,485.70","6,06,158","4,30,78,48,049.30","68,992",7465.68232986906,7371.823435250575,7138.775600291713
2023-11-24,EQ,"7,108.00","7,116.80","7,011.00","7,073.65","7,035.00",7020.8,"7,047.75","8,192.00","5,485.70","7,26,499","5,12,01,86,625.05","87,123",7448.235963991841,7364.872476136702,7137.601713721646
2023-11-28,EQ,"7,035.00","7,135.00","7,029.90","7,020.80","7,109.40",7127.55,"7,086.59","8,192.00","5,485.70","7,28,158","5,16,01,55,090.80","1,08,308",7435.660043835299,7360.173021163698,7137.50169666969
2023-11-29,EQ,"7,134.00","7,168.60","7,114.05","7,127.55","7,132.00",7130.1,"7,134.10","8,192.00","5,485.70","6,82,430","4,86,85,21,872.60","85,145",7423.677297018229,7355.617119754515,7137.42804794661
2023-11-30,EQ,"7,132.00","7,163.60","7,085.65","7,130.10","7,130.00",7121.9,"7,116.00","8,192.00","5,485.70","12,71,934","9,05,10,86,797.45","99,955",7411.842893213593,7350.989057977198,7137.273540006843
2023-12-01,EQ,"7,160.00","7,279.85","7,142.00","7,121.90","7,248.90",7259.35,"7,218.92","8,192.00","5,485.70","9,00,477","6,50,04,66,993.30","1,16,313",7405.862779754237,7349.174423165768,7138.488231151054
2023-12-04,EQ,"7,340.00","7,420.00","7,315.05","7,259.35","7,405.00",7407.65,"7,387.32","8,192.00","5,485.70","11,01,426","8,13,65,88,223.80","97,109",7405.932866822698,7350.3323553803075,7141.166457706765
2023-12-05,EQ,"7,430.00","7,440.00","7,320.05","7,407.65","7,352.00",7349.8,"7,372.13","8,192.00","5,485.70","15,22,242","11,22,21,59,243.35","1,77,024",7403.73157792769,7350.321813689608,7143.242413351473
2023-12-06,EQ,"7,390.00","7,459.00","7,365.05","7,349.80","7,429.00",7427.1,"7,416.37","8,192.00","5,485.70","7,01,800","5,20,48,10,661.40","67,618",7404.647986636409,7351.842173814566,7146.066866949966
2023-12-07,EQ,"7,390.00","7,440.00","7,326.00","7,427.10","7,392.00",7391.2,"7,391.22","8,192.00","5,485.70","6,68,862","4,94,37,08,125.60","68,110",7404.120614611452,7352.621536709327,7148.506002602206
2023-12-08,EQ,"7,390.55","7,398.10","7,274.00","7,391.20","7,310.00",7307.6,"7,316.01","8,192.00","5,485.70","11,44,388","8,37,23,57,200.30","1,06,780",7400.335492469827,7351.730021130924,7150.089027451935
2023-12-11,EQ,"7,325.00","7,352.70","7,270.05","7,307.60","7,297.00",7292.75,"7,306.16","8,192.00","5,485.70","5,90,055","4,31,10,34,135.20","62,998",7396.116453549443,7350.56209992041,7151.508539616593
2023-12-12,EQ,"7,280.00","7,354.00","7,280.00","7,292.75","7,310.90",7314.55,"7,318.67","8,192.00","5,485.70","6,33,312","4,63,49,99,764.30","1,04,761",7392.917769096523,7349.848989030896,7153.130842704985
2023-12-13,EQ,"7,299.85","7,304.50","7,207.00","7,314.55","7,260.00",7258.0,"7,247.77","8,192.00","5,485.70","6,82,955","4,94,99,00,834.15","87,943",7387.626876190778,7348.030197168899,7154.174316906926
2023-12-14,EQ,"7,368.50","7,511.25","7,300.10","7,258.00","7,470.55",7474.2,"7,450.68","8,192.00","5,485.70","17,29,567","12,88,64,55,475.95","1,71,061",7391.021900653885,7350.528609106148,7157.358652062081
