ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,424.90","2,425.00","2,391.10","2,411.60","2,413.90","2,412.30","2,407.91","3,155.80","2,152.05","1,21,774","29,32,20,706.80","22,020"
"12-Aug-2025","EQ","2,429.00","2,429.00","2,381.30","2,416.20","2,410.00","2,411.60","2,407.81","3,155.80","2,152.05","1,17,087","28,19,23,059.00","20,223"
"11-Aug-2025","EQ","2,448.30","2,448.30","2,391.10","2,428.40","2,415.00","2,416.20","2,405.95","3,155.80","2,152.05","2,10,938","50,75,06,566.40","27,170"
"08-Aug-2025","EQ","2,430.00","2,441.90","2,397.90","2,425.00","2,425.00","2,428.40","2,426.68","3,240.00","2,152.05","71,460","17,34,10,881.00","11,029"
"07-Aug-2025","EQ","2,397.10","2,438.00","2,362.10","2,400.20","2,425.00","2,425.00","2,396.41","3,240.00","2,152.05","3,35,816","80,47,51,647.30","52,902"
"06-Aug-2025","EQ","2,540.00","2,540.00","2,390.00","2,545.10","2,399.00","2,400.20","2,434.16","3,240.00","2,152.05","3,46,497","84,34,28,203.90","54,800"
"05-Aug-2025","EQ","2,580.00","2,585.80","2,510.60","2,579.00","2,536.50","2,545.10","2,536.82","3,240.00","2,152.05","5,32,752","1,35,14,96,036.30","50,571"
"04-Aug-2025","EQ","2,578.30","2,608.80","2,551.00","2,575.80","2,585.00","2,579.00","2,568.72","3,240.00","2,152.05","3,10,342","79,71,82,092.90","28,074"
"01-Aug-2025","EQ","2,698.10","2,698.10","2,556.00","2,676.20","2,574.00","2,575.80","2,609.83","3,375.00","2,152.05","3,70,249","96,62,85,964.20","22,180"
"31-Jul-2025","EQ","2,725.00","2,728.00","2,652.90","2,759.10","2,677.10","2,676.20","2,692.22","3,375.00","2,152.05","3,88,204","1,04,51,28,755.00","35,318"
"30-Jul-2025","EQ","2,735.60","2,762.00","2,712.10","2,735.60","2,755.00","2,759.10","2,746.82","3,375.00","2,152.05","3,75,440","1,03,12,66,821.30","37,591"
"29-Jul-2025","EQ","2,679.40","2,750.00","2,668.70","2,692.90","2,736.00","2,735.60","2,730.02","3,375.00","2,152.05","5,93,468","1,62,01,78,759.10","50,745"
"28-Jul-2025","EQ","2,629.00","2,741.60","2,590.80","2,685.80","2,693.00","2,692.90","2,690.69","3,375.00","2,152.05","5,76,744","1,55,18,39,399.40","57,285"
"25-Jul-2025","EQ","2,719.10","2,735.10","2,660.00","2,727.00","2,665.50","2,685.80","2,690.22","3,375.00","2,152.05","2,94,012","79,09,56,393.90","33,978"
"24-Jul-2025","EQ","2,740.60","2,770.70","2,720.00","2,740.40","2,728.40","2,727.00","2,746.98","3,375.00","2,152.05","8,19,543","2,25,12,64,760.70","32,754"
"23-Jul-2025","EQ","2,750.00","2,755.90","2,719.00","2,756.90","2,735.10","2,740.40","2,735.27","3,375.00","2,152.05","2,06,170","56,39,30,537.40","15,051"
"22-Jul-2025","EQ","2,774.00","2,801.30","2,730.10","2,774.00","2,746.30","2,756.90","2,767.83","3,375.00","2,152.05","2,21,399","61,27,94,767.80","23,543"
"21-Jul-2025","EQ","2,747.00","2,778.50","2,711.10","2,745.30","2,773.80","2,774.00","2,754.13","3,375.00","2,152.05","2,97,175","81,84,57,472.40","33,853"
"18-Jul-2025","EQ","2,728.60","2,761.30","2,710.50","2,742.10","2,747.00","2,745.30","2,742.04","3,375.00","2,152.05","3,41,791","93,72,03,076.30","33,767"
"17-Jul-2025","EQ","2,643.00","2,779.00","2,643.00","2,652.90","2,737.30","2,742.10","2,722.73","3,375.00","2,152.05","12,07,633","3,28,80,58,502.60","75,493"
"16-Jul-2025","EQ","2,679.00","2,684.70","2,633.20","2,672.00","2,642.50","2,652.90","2,652.82","3,375.00","2,152.05","2,00,466","53,17,99,330.70","21,036"
"15-Jul-2025","EQ","2,649.80","2,677.80","2,649.60","2,649.80","2,670.20","2,672.00","2,663.21","3,375.00","2,152.05","9,27,036","2,46,88,94,714.20","12,647"
"14-Jul-2025","EQ","2,661.90","2,678.60","2,629.30","2,655.50","2,650.00","2,649.80","2,645.88","3,375.00","2,152.05","4,00,590","1,05,99,14,268.40","21,723"
"11-Jul-2025","EQ","2,636.30","2,663.00","2,622.10","2,636.30","2,659.60","2,655.50","2,649.34","3,375.00","2,152.05","2,49,530","66,10,90,947.40","17,786"
"10-Jul-2025","EQ","2,620.00","2,640.00","2,615.00","2,620.90","2,636.00","2,636.30","2,630.45","3,375.00","2,152.05","1,41,487","37,21,74,479.20","13,114"
"09-Jul-2025","EQ","2,616.00","2,632.80","2,609.30","2,622.50","2,614.40","2,620.90","2,620.88","3,375.00","2,152.05","1,08,777","28,50,91,255.00","11,324"
"08-Jul-2025","EQ","2,602.80","2,626.00","2,598.00","2,602.80","2,616.20","2,622.50","2,612.84","3,375.00","2,152.05","1,67,327","43,71,98,117.70","12,600"
"07-Jul-2025","EQ","2,607.80","2,618.30","2,587.30","2,607.90","2,601.00","2,602.80","2,602.38","3,375.00","2,152.05","1,27,405","33,15,56,020.10","13,318"
"04-Jul-2025","EQ","2,555.50","2,622.20","2,550.10","2,550.30","2,599.90","2,607.90","2,600.21","3,375.00","2,152.05","3,59,789","93,55,27,699.90","28,938"
"03-Jul-2025","EQ","2,566.00","2,592.00","2,542.20","2,566.20","2,556.50","2,550.30","2,568.55","3,375.00","2,152.05","1,88,962","48,53,58,149.30","19,088"
"02-Jul-2025","EQ","2,484.00","2,586.90","2,483.00","2,476.80","2,565.00","2,566.20","2,561.17","3,375.00","2,152.05","13,63,309","3,49,16,67,410.90","70,047"
"01-Jul-2025","EQ","2,445.30","2,484.40","2,436.00","2,445.30","2,479.00","2,476.80","2,441.19","3,375.00","2,152.05","10,86,266","2,65,17,80,523.10","19,172"
"30-Jun-2025","EQ","2,475.00","2,494.70","2,435.80","2,463.80","2,440.00","2,445.30","2,459.29","3,375.00","2,152.05","8,03,443","1,97,58,95,936.20","26,136"
"27-Jun-2025","EQ","2,445.70","2,468.90","2,430.20","2,433.30","2,463.40","2,463.80","2,452.63","3,375.00","2,152.05","1,78,550","43,79,16,197.00","18,492"
"26-Jun-2025","EQ","2,399.50","2,439.00","2,386.10","2,399.50","2,433.90","2,433.30","2,415.10","3,375.00","2,152.05","2,03,299","49,09,87,190.90","17,521"
"25-Jun-2025","EQ","2,406.00","2,411.40","2,388.20","2,393.80","2,397.00","2,399.50","2,401.26","3,375.00","2,152.05","3,51,031","84,29,18,329.90","18,815"
"24-Jun-2025","EQ","2,425.00","2,425.10","2,388.20","2,398.20","2,393.00","2,393.80","2,403.43","3,375.00","2,152.05","1,76,516","42,42,43,341.70","17,186"
"23-Jun-2025","EQ","2,401.00","2,412.00","2,391.90","2,420.40","2,397.90","2,398.20","2,398.93","3,375.00","2,152.05","2,90,119","69,59,75,995.60","10,635"
"20-Jun-2025","EQ","2,400.00","2,435.50","2,391.00","2,403.70","2,407.40","2,420.40","2,409.32","3,375.00","2,152.05","3,70,213","89,19,62,587.90","13,184"
"19-Jun-2025","EQ","2,444.50","2,467.50","2,400.00","2,443.90","2,401.00","2,403.70","2,432.82","3,375.00","2,152.05","1,95,547","47,57,30,116.10","15,926"
"18-Jun-2025","EQ","2,454.00","2,454.80","2,431.00","2,447.70","2,445.00","2,443.90","2,440.96","3,375.00","2,152.05","1,98,705","48,50,31,101.40","16,161"
