ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","166.95","168.39","164.84","166.70","165.90","165.70","166.04","215.44","128.16","23,58,385","39,15,93,013.39","16,800"
"12-Aug-2025","EQ","166.06","167.90","165.61","166.06","166.72","166.70","166.95","215.44","128.16","23,46,697","39,17,69,675.42","24,051"
"11-Aug-2025","EQ","165.24","166.69","163.90","165.19","165.99","166.06","165.60","215.44","128.16","21,23,286","35,16,20,585.31","15,485"
"08-Aug-2025","EQ","166.15","168.98","164.70","166.13","165.24","165.19","167.03","215.44","128.16","39,04,095","65,20,90,213.30","23,491"
"07-Aug-2025","EQ","163.50","166.74","162.25","164.54","166.52","166.13","164.27","215.44","128.16","41,01,164","67,36,81,186.42","34,092"
"06-Aug-2025","EQ","166.75","166.80","163.91","165.89","164.45","164.54","165.03","215.44","128.16","43,82,033","72,31,73,020.42","24,394"
"05-Aug-2025","EQ","168.03","168.89","164.78","168.03","166.29","165.89","166.26","215.44","128.16","30,28,618","50,35,45,613.50","27,625"
"04-Aug-2025","EQ","164.06","168.65","163.10","163.42","168.03","168.03","166.21","215.44","128.16","51,56,068","85,69,87,607.20","34,062"
"01-Aug-2025","EQ","168.00","168.58","163.00","168.08","163.01","163.42","165.55","222.31","128.16","35,79,216","59,25,33,759.70","27,961"
"31-Jul-2025","EQ","167.20","169.71","166.42","168.27","167.80","168.08","168.23","222.31","128.16","77,25,352","1,29,96,08,705.50","59,186"
"30-Jul-2025","EQ","174.23","174.23","167.85","173.44","168.00","168.27","170.47","222.31","128.16","54,07,714","92,18,46,942.35","34,562"
"29-Jul-2025","EQ","175.00","176.75","172.30","175.03","173.90","173.44","173.85","222.31","128.16","61,43,547","1,06,80,78,538.12","39,306"
"28-Jul-2025","EQ","178.18","178.97","174.31","178.19","175.49","175.03","176.40","222.31","128.16","71,53,824","1,26,19,16,998.84","47,615"
"25-Jul-2025","EQ","183.00","183.84","176.70","184.15","178.24","178.19","178.88","222.31","128.16","1,43,16,713","2,56,09,60,759.31","68,051"
"24-Jul-2025","EQ","182.00","184.63","181.20","181.43","184.16","184.15","183.35","222.31","128.16","69,95,100","1,28,25,84,776.31","37,694"
"23-Jul-2025","EQ","181.30","181.79","179.65","180.94","181.50","181.43","180.78","222.31","128.16","29,88,640","54,02,90,155.22","20,609"
"22-Jul-2025","EQ","182.30","183.00","178.50","182.25","180.05","180.94","180.67","222.31","128.16","66,25,459","1,19,70,37,315.83","37,705"
"21-Jul-2025","EQ","180.90","184.23","178.70","187.02","182.61","182.25","182.02","222.31","128.16","1,68,65,012","3,06,97,76,714.59","70,095"
"18-Jul-2025","EQ","184.64","188.15","183.88","185.19","185.40","187.02","186.34","222.31","128.16","1,24,86,141","2,32,67,03,885.14","61,717"
"17-Jul-2025","EQ","183.68","185.90","182.40","183.68","185.01","185.19","184.61","222.31","128.16","65,28,616","1,20,52,67,379.24","41,155"
"16-Jul-2025","EQ","179.50","184.25","179.06","180.15","183.20","183.68","182.74","222.31","128.16","1,47,44,475","2,69,43,35,210.45","59,809"
"15-Jul-2025","EQ","175.26","182.00","175.26","175.14","179.96","180.15","180.20","222.31","128.16","1,50,63,755","2,71,44,36,105.83","64,511"
"14-Jul-2025","EQ","175.00","177.14","174.38","175.59","175.20","175.14","175.52","222.31","128.16","25,51,186","44,77,85,498.93","29,015"
"11-Jul-2025","EQ","178.24","179.70","174.85","178.26","175.42","175.59","176.49","222.31","128.16","35,36,016","62,40,76,618.00","23,051"
"10-Jul-2025","EQ","178.05","179.17","177.07","178.02","178.00","178.26","178.09","222.31","128.16","51,82,308","92,29,41,360.50","34,540"
"09-Jul-2025","EQ","175.40","178.50","175.00","174.70","177.90","178.02","177.10","222.31","128.16","63,43,187","1,12,33,73,584.47","32,472"
"08-Jul-2025","EQ","177.55","178.25","173.80","177.49","175.30","174.70","175.17","222.31","128.16","63,86,907","1,11,88,23,298.08","46,803"
"07-Jul-2025","EQ","179.50","180.45","177.01","179.98","177.47","177.49","178.26","222.31","128.16","39,02,222","69,55,92,103.19","25,393"
"04-Jul-2025","EQ","180.50","182.44","176.63","183.93","179.50","179.98","179.59","222.31","128.16","1,34,48,770","2,41,53,24,190.23","79,084"
