ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","113.51","114.63","112.81","113.51","113.60","113.56","113.75","130.24","90.05","31,41,791","35,73,76,725.81","20,292"
"12-Aug-2025","EQ","113.29","113.91","112.93","113.20","113.30","113.51","113.52","130.24","90.05","30,83,473","35,00,21,025.47","21,767"
"11-Aug-2025","EQ","110.64","113.45","110.55","110.63","113.10","113.20","112.50","130.24","90.05","74,58,908","83,91,20,774.43","25,907"
"08-Aug-2025","EQ","112.00","112.05","110.18","111.91","110.40","110.63","111.14","130.24","90.05","35,78,107","39,76,66,931.50","20,444"
"07-Aug-2025","EQ","110.55","112.25","109.30","111.71","111.84","111.91","111.17","130.24","90.05","85,68,226","95,25,49,466.30","36,201"
"06-Aug-2025","EQ","111.20","112.58","110.00","110.72","111.55","111.71","111.44","130.24","90.05","81,29,316","90,59,04,342.51","32,016"
"05-Aug-2025","EQ","111.65","112.12","110.22","111.69","110.91","110.72","111.20","130.24","90.05","35,65,443","39,64,91,126.36","23,523"
"04-Aug-2025","EQ","109.79","111.98","109.20","109.29","111.98","111.69","110.83","130.24","90.05","52,51,839","58,20,72,071.02","25,455"
"01-Aug-2025","EQ","111.38","111.61","108.81","111.38","109.09","109.29","110.22","130.24","90.05","69,82,193","76,96,05,709.49","34,340"
"31-Jul-2025","EQ","112.70","113.58","111.03","114.14","111.29","111.38","112.10","130.24","90.05","78,07,247","87,52,14,674.98","35,051"
"30-Jul-2025","EQ","112.90","116.10","112.90","112.17","113.90","114.14","115.19","130.24","90.05","2,24,81,500","2,58,95,93,023.61","65,517"
"29-Jul-2025","EQ","111.31","112.71","110.30","111.50","112.30","112.17","111.61","130.24","90.05","62,72,053","70,00,06,834.78","28,402"
"28-Jul-2025","EQ","113.10","115.35","111.20","113.14","111.40","111.50","113.12","130.24","90.05","85,40,528","96,61,29,677.39","60,255"
"25-Jul-2025","EQ","114.70","116.35","112.60","114.69","113.04","113.14","114.28","130.24","90.05","1,13,98,412","1,30,26,09,049.89","54,058"
"24-Jul-2025","EQ","113.30","115.50","112.25","113.23","115.10","114.69","113.68","130.24","90.05","65,34,344","74,28,14,096.52","27,178"
"23-Jul-2025","EQ","113.45","113.55","112.34","113.13","113.12","113.23","112.86","130.24","90.05","41,81,125","47,18,70,475.93","26,989"
"22-Jul-2025","EQ","114.99","115.15","112.90","114.67","112.90","113.13","113.70","130.24","90.05","44,05,528","50,09,04,709.74","19,980"
"21-Jul-2025","EQ","115.00","115.55","113.84","115.02","114.60","114.67","114.75","130.24","90.05","37,93,957","43,53,57,994.58","27,491"
"18-Jul-2025","EQ","116.39","116.75","114.90","116.10","115.09","115.02","115.48","130.24","90.05","44,93,397","51,89,14,003.72","17,113"
"17-Jul-2025","EQ","118.31","118.47","115.86","118.02","115.99","116.10","116.60","130.24","90.05","74,77,336","87,18,36,577.20","26,632"
"16-Jul-2025","EQ","115.82","118.40","115.54","115.79","117.90","118.02","117.37","130.24","90.05","82,12,544","96,39,39,613.40","30,162"
"15-Jul-2025","EQ","115.25","116.36","114.75","114.98","115.82","115.79","115.72","130.24","90.05","55,44,394","64,16,12,907.13","27,370"
"14-Jul-2025","EQ","114.26","115.87","113.84","114.56","114.99","114.98","115.07","130.24","90.05","52,46,766","60,37,65,479.15","25,405"
"11-Jul-2025","EQ","114.19","115.45","113.57","114.42","114.24","114.56","114.63","130.24","90.05","68,09,477","78,05,80,453.64","30,468"
"10-Jul-2025","EQ","116.21","116.46","113.80","115.91","114.42","114.42","114.78","130.24","90.05","76,37,030","87,65,46,036.12","39,362"
"09-Jul-2025","EQ","117.39","117.39","115.60","116.96","115.90","115.91","116.17","130.24","90.05","61,51,277","71,46,20,030.38","29,381"
"08-Jul-2025","EQ","117.77","118.58","116.05","117.72","116.94","116.96","117.02","130.24","90.05","66,56,174","77,89,22,565.21","32,470"
"07-Jul-2025","EQ","118.40","119.14","117.40","117.81","117.49","117.72","118.25","130.24","90.05","1,04,44,935","1,23,51,13,913.50","45,142"
"04-Jul-2025","EQ","118.80","119.35","116.93","118.49","117.83","117.81","117.96","130.24","90.05","73,42,255","86,60,82,517.90","40,944"
"03-Jul-2025","EQ","119.80","119.80","117.80","119.26","118.21","118.49","118.41","130.24","90.05","65,79,528","77,91,04,648.84","36,707"
