ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","364.05","373.90","364.05","366.75","370.00","370.45","369.27","503.95","323.15","47,290","1,74,62,775.55","2,220"
"12-Aug-2025","EQ","369.50","369.50","363.50","365.35","366.00","366.75","366.01","503.95","323.15","36,835","1,34,82,152.80","1,750"
"11-Aug-2025","EQ","367.00","368.80","358.80","367.00","364.80","365.35","362.56","503.95","323.15","66,343","2,40,52,996.35","2,392"
"08-Aug-2025","EQ","369.05","371.30","361.00","369.05","366.20","367.00","366.42","503.95","323.15","47,445","1,73,85,031.95","2,841"
"07-Aug-2025","EQ","371.05","377.50","366.10","377.85","369.10","369.05","369.67","503.95","323.15","71,788","2,65,37,776.10","2,905"
"06-Aug-2025","EQ","375.60","381.00","370.40","374.60","378.40","377.85","375.47","503.95","323.15","54,163","2,03,36,617.10","2,034"
"05-Aug-2025","EQ","380.05","386.75","373.00","381.40","377.00","374.60","376.77","503.95","323.15","83,951","3,16,29,837.45","3,818"
"04-Aug-2025","EQ","390.95","394.30","377.00","390.95","380.05","381.40","383.15","503.95","323.15","94,475","3,61,97,751.65","4,091"
"01-Aug-2025","EQ","393.50","405.00","389.05","396.70","390.00","390.95","394.19","503.95","323.15","36,792","1,45,03,041.00","1,827"
"31-Jul-2025","EQ","393.05","404.00","393.05","405.75","396.65","396.70","398.67","503.95","323.15","60,722","2,42,07,910.75","2,716"
"30-Jul-2025","EQ","410.15","412.85","404.15","410.15","406.00","405.75","406.83","503.95","323.15","40,464","1,64,61,818.50","2,028"
"29-Jul-2025","EQ","415.95","415.95","408.00","413.10","410.30","410.15","411.70","503.95","323.15","80,936","3,33,21,002.55","4,010"
"28-Jul-2025","EQ","402.00","418.50","402.00","409.75","412.05","413.10","413.26","503.95","323.15","1,36,139","5,62,60,724.20","8,371"
"25-Jul-2025","EQ","409.75","423.45","403.50","409.90","409.90","409.75","414.25","503.95","323.15","2,86,980","11,88,80,957.85","10,083"
"24-Jul-2025","EQ","396.00","417.90","387.45","393.90","410.50","409.90","403.52","503.95","323.15","2,05,754","8,30,26,436.05","5,891"
"23-Jul-2025","EQ","411.00","412.50","392.70","408.40","394.00","393.90","397.17","503.95","323.15","6,24,162","24,78,96,517.75","7,771"
"22-Jul-2025","EQ","427.10","434.30","405.20","417.30","405.70","408.40","418.62","503.95","323.15","2,98,530","12,49,70,740.60","11,289"
"21-Jul-2025","EQ","422.00","429.50","414.10","418.00","415.00","417.30","422.78","503.95","323.15","3,97,131","16,78,97,399.15","20,082"
"18-Jul-2025","EQ","417.05","422.70","410.30","415.90","418.70","418.00","417.67","503.95","323.15","2,27,888","9,51,82,187.80","6,447"
"17-Jul-2025","EQ","410.05","422.00","407.00","410.70","415.50","415.90","417.16","503.95","323.15","3,41,263","14,23,59,777.50","17,283"
"16-Jul-2025","EQ","412.00","413.45","406.60","408.65","409.55","410.70","409.93","503.95","323.15","1,04,083","4,26,67,168.75","8,658"
"15-Jul-2025","EQ","413.80","417.70","406.10","412.00","408.25","408.65","411.00","503.95","323.15","2,01,862","8,29,65,711.50","8,827"
"14-Jul-2025","EQ","411.05","422.85","409.00","405.65","412.80","412.00","415.39","503.95","323.15","4,84,161","20,11,14,941.95","18,042"
"11-Jul-2025","EQ","394.00","409.80","392.80","391.80","404.55","405.65","402.59","503.95","323.15","4,18,823","16,86,12,764.65","15,195"
"10-Jul-2025","EQ","388.00","393.50","385.55","385.40","393.00","391.80","390.70","503.95","323.15","1,36,216","5,32,20,106.35","6,554"
"09-Jul-2025","EQ","382.50","387.90","379.05","384.65","386.70","385.40","382.70","503.95","323.15","56,159","2,14,92,259.60","1,974"
"08-Jul-2025","EQ","386.75","388.00","382.60","384.95","385.00","384.65","385.07","503.95","323.15","35,349","1,36,11,847.30","1,919"
"07-Jul-2025","EQ","382.90","388.00","381.00","382.90","385.00","384.95","384.48","503.95","323.15","2,51,502","9,66,96,519.60","2,046"
"04-Jul-2025","EQ","381.05","389.00","379.85","381.30","383.00","382.90","383.50","503.95","323.15","84,581","3,24,36,548.60","2,831"
"03-Jul-2025","EQ","389.95","390.10","380.05","388.55","382.00","381.30","383.68","503.95","323.15","77,252","2,96,39,879.85","2,575"
"02-Jul-2025","EQ","392.70","393.95","387.10","388.95","387.10","388.55","390.68","503.95","323.15","1,51,610","5,92,31,230.45","3,627"
"01-Jul-2025","EQ","390.50","394.95","387.50","390.50","388.90","388.95","390.66","503.95","323.15","1,02,113","3,98,91,064.45","2,484"
"30-Jun-2025","EQ","390.50","395.95","388.60","390.45","390.00","390.50","391.98","503.95","323.15","1,33,282","5,22,44,476.60","2,855"
"27-Jun-2025","EQ","384.00","391.95","382.55","385.75","388.05","390.45","387.68","503.95","323.15","2,08,872","8,09,75,146.50","3,546"
"26-Jun-2025","EQ","388.55","390.45","384.10","387.90","385.10","385.75","386.01","503.95","323.15","60,536","2,33,67,734.80","2,238"
"25-Jun-2025","EQ","390.60","392.95","386.50","388.70","388.00","387.90","389.90","503.95","323.15","56,926","2,21,95,202.10","2,289"
"24-Jun-2025","EQ","394.00","395.00","384.15","387.80","385.50","388.70","389.88","503.95","323.15","1,13,677","4,43,20,335.30","3,779"
"23-Jun-2025","EQ","381.00","389.90","377.15","381.60","387.35","387.80","384.68","503.95","323.15","1,10,508","4,25,10,497.90","4,231"
"20-Jun-2025","EQ","380.00","384.05","373.00","372.75","383.00","381.60","380.36","503.95","323.15","2,13,623","8,12,53,432.80","6,528"
"19-Jun-2025","EQ","370.70","377.85","368.30","375.80","375.00","372.75","372.43","503.95","323.15","90,091","3,35,52,214.15","3,309"
"18-Jun-2025","EQ","372.95","382.45","364.50","371.15","370.00","375.80","374.94","503.95","323.15","1,41,601","5,30,92,045.95","4,463"
"17-Jun-2025","EQ","390.55","390.55","368.00","382.05","370.95","371.15","374.25","503.95","323.15","1,83,539","6,86,88,710.80","3,571"
"16-Jun-2025","EQ","376.00","384.55","376.00","381.40","382.70","382.05","379.08","503.95","323.15","1,25,093","4,74,19,864.95","3,344"
"13-Jun-2025","EQ","381.00","392.50","378.00","386.60","380.00","381.40","383.03","503.95","323.15","1,40,156","5,36,83,337.25","6,671"
"12-Jun-2025","EQ","398.70","402.00","383.10","394.95","386.60","386.60","394.42","503.95","323.15","6,31,970","24,92,58,686.80","9,314"
"11-Jun-2025","EQ","392.75","406.45","387.50","386.95","396.05","394.95","396.97","503.95","323.15","4,81,083","19,09,75,514.80","14,131"
"10-Jun-2025","EQ","387.00","391.30","384.05","385.50","387.00","386.95","386.28","503.95","323.15","75,929","2,93,29,543.25","2,877"
"09-Jun-2025","EQ","383.10","386.90","372.95","378.75","385.50","385.50","382.44","503.95","323.15","1,21,253","4,63,72,289.30","4,330"
"06-Jun-2025","EQ","369.95","382.95","366.05","368.40","379.00","378.75","374.86","503.95","323.15","1,96,377","7,36,13,078.95","4,950"
"05-Jun-2025","EQ","360.55","369.90","360.55","360.55","367.25","368.40","366.19","503.95","323.15","1,36,098","4,98,38,253.15","6,242"
"04-Jun-2025","EQ","359.70","361.90","353.30","350.75","361.00","360.55","358.99","503.95","323.15","1,00,881","3,62,15,285.95","3,700"
"03-Jun-2025","EQ","358.20","361.80","349.10","358.20","350.90","350.75","353.99","503.95","323.15","1,00,490","3,55,72,652.80","4,188"
"02-Jun-2025","EQ","362.55","363.05","357.50","362.55","357.75","358.20","358.69","503.95","323.15","41,432","1,48,61,074.60","2,227"
"30-May-2025","EQ","365.00","365.00","355.50","360.30","361.10","362.55","359.45","503.95","323.15","69,024","2,48,10,653.50","3,374"
"29-May-2025","EQ","364.75","364.75","358.00","361.50","359.00","360.30","359.84","503.95","323.15","37,048","1,33,31,339.25","2,835"
"28-May-2025","EQ","365.00","369.90","360.10","365.40","361.35","361.50","362.01","503.95","323.15","53,272","1,92,84,801.20","2,645"
"27-May-2025","EQ","362.15","366.35","361.00","362.15","364.70","365.40","364.07","503.95","323.15","43,690","1,59,06,294.25","2,382"
"26-May-2025","EQ","364.00","367.30","360.25","363.00","362.50","362.15","362.83","503.95","323.15","68,534","2,48,66,041.55","3,129"
"23-May-2025","EQ","370.10","374.95","361.00","369.85","365.00","363.00","363.95","503.95","323.15","1,03,938","3,78,27,835.30","4,514"
"22-May-2025","EQ","381.00","382.50","368.00","383.55","370.00","369.85","373.25","503.95","323.15","1,03,216","3,85,25,049.00","3,846"
"21-May-2025","EQ","396.70","399.20","380.05","393.55","385.00","383.55","385.89","503.95","323.15","89,557","3,45,58,729.55","3,777"
"20-May-2025","EQ","409.85","420.00","391.25","402.60","393.50","393.55","406.69","503.95","323.15","4,50,957","18,34,00,040.70","13,291"
"19-May-2025","EQ","398.55","408.80","398.55","396.60","403.00","402.60","403.74","503.95","323.15","93,078","3,75,79,670.20","4,742"
"16-May-2025","EQ","395.40","405.00","390.95","392.45","394.00","396.60","395.56","503.95","323.15","54,288","2,14,74,006.80","3,126"
"15-May-2025","EQ","393.05","399.95","388.45","390.80","393.20","392.45","394.27","503.95","323.15","61,653","2,43,07,876.45","2,926"
"14-May-2025","EQ","369.00","400.00","369.00","364.80","393.00","390.80","384.21","503.95","323.15","1,78,276","6,84,96,264.50","6,322"
"13-May-2025","EQ","374.95","375.75","363.00","370.75","366.00","364.80","366.58","503.95","323.15","1,00,950","3,70,06,116.70","2,969"
"12-May-2025","EQ","358.00","373.00","358.00","351.65","368.00","370.75","368.00","503.95","323.15","53,528","1,96,98,513.95","2,800"
"09-May-2025","EQ","340.00","353.00","340.00","354.70","352.00","351.65","348.66","503.95","323.15","86,928","3,03,08,289.90","3,636"
