ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,678.60","4,678.60","4,585.00","4,645.90","4,600.00","4,607.50","4,606.38","8,750.00","4,065.05","7,187","3,31,06,044.10","2,582"
"12-Aug-2025","EQ","4,598.10","4,668.00","4,590.00","4,598.10","4,636.00","4,645.90","4,630.04","8,750.00","4,065.05","9,274","4,29,38,962.10","2,664"
"11-Aug-2025","EQ","4,482.00","4,614.50","4,452.00","4,506.90","4,577.00","4,598.10","4,530.52","8,750.00","4,065.05","8,446","3,82,64,759.90","2,923"
"08-Aug-2025","EQ","4,590.00","4,596.90","4,405.00","4,573.50","4,482.00","4,506.90","4,532.19","8,750.00","4,065.05","9,389","4,25,52,758.60","3,235"
"07-Aug-2025","EQ","4,648.00","4,673.60","4,531.20","4,642.10","4,590.00","4,573.50","4,582.84","8,750.00","4,065.05","13,464","6,17,03,335.20","3,245"
"06-Aug-2025","EQ","4,685.50","4,712.40","4,585.60","4,650.00","4,614.00","4,642.10","4,639.69","8,750.00","4,065.05","12,348","5,72,90,950.90","3,300"
"05-Aug-2025","EQ","4,759.40","4,799.90","4,627.00","4,759.40","4,675.00","4,650.00","4,692.28","8,750.00","4,065.05","21,733","10,19,77,274.80","5,275"
"04-Aug-2025","EQ","4,862.80","4,862.80","4,712.30","4,825.80","4,726.00","4,759.40","4,756.98","8,750.00","4,065.05","13,767","6,54,89,348.90","4,295"
"01-Aug-2025","EQ","5,000.00","5,014.00","4,806.00","4,994.00","4,834.00","4,825.80","4,888.51","8,750.00","4,065.05","17,201","8,40,87,297.90","4,688"
"31-Jul-2025","EQ","4,971.50","5,015.00","4,800.00","5,011.50","5,015.00","4,994.00","4,949.79","8,750.00","4,065.05","28,169","13,94,30,499.50","5,635"
"30-Jul-2025","EQ","5,070.00","5,150.00","4,926.00","5,052.50","4,996.50","5,011.50","5,029.56","8,750.00","4,065.05","97,572","49,07,44,541.00","20,748"
"29-Jul-2025","EQ","4,870.00","5,100.00","4,848.50","4,878.00","5,060.00","5,052.50","4,983.83","8,750.00","4,065.05","25,797","12,85,67,863.50","5,819"
"28-Jul-2025","EQ","5,049.00","5,059.50","4,852.00","5,045.00","4,870.00","4,878.00","4,923.12","8,750.00","4,065.05","28,377","13,97,03,367.50","6,260"
"25-Jul-2025","EQ","5,152.00","5,166.00","5,020.00","5,152.00","5,030.00","5,045.00","5,074.13","8,750.00","4,065.05","14,923","7,57,21,234.00","2,646"
"24-Jul-2025","EQ","5,080.00","5,200.00","5,065.00","5,089.50","5,153.50","5,152.00","5,152.38","8,750.00","4,065.05","31,751","16,35,93,110.50","6,661"
"23-Jul-2025","EQ","5,055.00","5,099.00","5,028.00","5,053.00","5,094.00","5,089.50","5,081.37","8,750.00","4,065.05","12,808","6,50,82,216.00","2,969"
"22-Jul-2025","EQ","5,030.00","5,104.00","5,014.50","5,023.00","5,055.00","5,053.00","5,058.04","8,750.00","4,065.05","13,451","6,80,35,691.50","3,536"
"21-Jul-2025","EQ","5,094.50","5,094.50","4,983.00","5,056.50","5,029.00","5,023.00","5,025.54","8,750.00","4,065.05","11,089","5,57,28,202.50","3,497"
"18-Jul-2025","EQ","5,100.00","5,260.00","5,045.00","5,123.00","5,057.00","5,056.50","5,127.44","8,750.00","4,065.05","48,361","24,79,68,184.50","10,364"
"17-Jul-2025","EQ","5,022.00","5,148.00","4,972.50","4,992.00","5,125.00","5,123.00","5,076.25","8,750.00","4,065.05","29,190","14,81,75,719.50","6,350"
"16-Jul-2025","EQ","5,090.00","5,090.00","4,941.50","5,057.50","4,975.00","4,992.00","5,014.65","8,750.00","4,065.05","21,219","10,64,05,949.50","3,976"
"15-Jul-2025","EQ","5,001.50","5,082.00","5,001.50","4,998.50","5,060.00","5,057.50","5,052.99","8,750.00","4,065.05","15,509","7,83,66,814.00","3,171"
"14-Jul-2025","EQ","5,070.00","5,070.00","4,964.00","5,045.50","5,002.00","4,998.50","4,995.69","8,750.00","4,065.05","18,091","9,03,77,008.00","4,539"
"11-Jul-2025","EQ","5,125.00","5,164.00","5,021.00","5,116.00","5,026.50","5,045.50","5,075.10","8,750.00","4,065.05","17,605","8,93,47,133.50","4,587"
