ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,165.90","1,174.30","1,150.00","1,165.90","1,154.40","1,152.40","1,162.73","1,647.95","919.10","5,18,053","60,23,53,224.00","31,550"
"11-Aug-2025","EQ","1,136.80","1,173.30","1,129.50","1,135.20","1,164.00","1,165.90","1,160.99","1,647.95","919.10","6,30,216","73,16,77,545.20","33,376"
"08-Aug-2025","EQ","1,159.00","1,170.30","1,129.00","1,161.60","1,138.30","1,135.20","1,143.61","1,654.95","919.10","7,40,040","84,63,18,023.00","37,391"
"07-Aug-2025","EQ","1,128.00","1,165.70","1,102.00","1,139.40","1,158.90","1,161.60","1,128.15","1,654.95","919.10","25,55,948","2,88,34,93,258.90","88,902"
"06-Aug-2025","EQ","1,151.70","1,172.90","1,132.80","1,160.50","1,136.00","1,139.40","1,149.23","1,654.95","919.10","13,75,068","1,58,02,66,312.60","53,695"
"05-Aug-2025","EQ","1,175.00","1,177.70","1,151.60","1,177.40","1,163.60","1,160.50","1,160.84","1,654.95","919.10","3,84,753","44,66,37,471.50","23,824"
"04-Aug-2025","EQ","1,145.00","1,179.60","1,140.40","1,146.10","1,178.60","1,177.40","1,164.71","1,654.95","919.10","5,96,728","69,50,16,696.70","25,471"
"01-Aug-2025","EQ","1,168.00","1,168.00","1,141.90","1,169.10","1,147.30","1,146.10","1,151.74","1,771.20","919.10","5,80,962","66,91,15,860.30","27,931"
"31-Jul-2025","EQ","1,163.90","1,182.20","1,144.60","1,188.60","1,161.90","1,169.10","1,166.11","1,771.20","919.10","19,29,438","2,24,99,33,721.30","83,947"
"30-Jul-2025","EQ","1,225.50","1,225.50","1,179.00","1,220.40","1,192.90","1,188.60","1,189.74","1,771.20","919.10","12,73,567","1,51,52,19,202.10","54,780"
"29-Jul-2025","EQ","1,188.50","1,223.50","1,185.00","1,188.50","1,219.00","1,220.40","1,207.31","1,771.20","919.10","4,78,123","57,72,41,717.00","26,068"
"28-Jul-2025","EQ","1,202.70","1,227.70","1,187.00","1,204.00","1,189.80","1,188.50","1,204.02","1,771.20","919.10","4,35,067","52,38,31,203.00","23,573"
"25-Jul-2025","EQ","1,214.00","1,217.90","1,185.70","1,217.00","1,200.20","1,204.00","1,199.24","1,771.20","919.10","11,23,836","1,34,77,45,408.60","35,602"
"24-Jul-2025","EQ","1,224.10","1,230.30","1,213.40","1,223.70","1,214.50","1,217.00","1,220.94","1,771.20","919.10","3,66,807","44,78,50,337.40","21,294"
"23-Jul-2025","EQ","1,207.20","1,226.30","1,205.20","1,204.70","1,221.50","1,223.70","1,215.01","1,771.20","919.10","5,14,972","62,56,96,155.10","23,006"
"22-Jul-2025","EQ","1,222.00","1,222.20","1,203.00","1,220.80","1,207.00","1,204.70","1,211.62","1,771.20","919.10","6,52,973","79,11,54,125.20","32,613"
"21-Jul-2025","EQ","1,216.60","1,225.60","1,210.80","1,216.60","1,222.40","1,220.80","1,220.13","1,771.20","919.10","4,18,077","51,01,07,345.90","21,815"
"18-Jul-2025","EQ","1,225.10","1,238.10","1,215.10","1,224.80","1,217.00","1,216.60","1,222.15","1,771.20","919.10","5,17,976","63,30,43,000.60","29,026"
