ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,305.00","1,333.90","1,272.20","1,289.60","1,279.80","1,289.60","1,307.59","1,535.30","910.25","1,11,315","14,55,54,312.70","10,082"
"11-Aug-2025","EQ","1,249.20","1,293.90","1,237.60","1,249.20","1,288.00","1,289.60","1,275.56","1,535.30","910.25","64,357","8,20,91,094.30","6,985"
"08-Aug-2025","EQ","1,251.40","1,267.80","1,238.40","1,251.40","1,245.00","1,249.20","1,251.81","1,535.30","910.25","56,467","7,06,85,743.30","6,209"
"07-Aug-2025","EQ","1,247.00","1,270.50","1,230.00","1,264.80","1,249.90","1,251.40","1,248.79","1,535.30","910.25","82,232","10,26,90,249.60","11,200"
"06-Aug-2025","EQ","1,295.00","1,303.50","1,245.00","1,297.50","1,261.90","1,264.80","1,264.08","1,535.30","910.25","1,36,444","17,24,75,688.20","17,531"
"05-Aug-2025","EQ","1,292.10","1,306.50","1,282.90","1,298.70","1,294.50","1,297.50","1,296.15","1,535.30","910.25","54,345","7,04,39,509.70","8,357"
"04-Aug-2025","EQ","1,320.00","1,320.00","1,291.30","1,318.70","1,297.50","1,298.70","1,304.19","1,535.30","910.25","78,283","10,20,95,729.00","11,183"
"01-Aug-2025","EQ","1,365.00","1,366.00","1,310.00","1,351.50","1,320.00","1,318.70","1,326.63","1,578.50","910.25","1,75,268","23,25,15,171.00","23,171"
"31-Jul-2025","EQ","1,355.00","1,424.90","1,345.00","1,384.70","1,370.00","1,351.50","1,383.76","1,578.50","910.25","6,70,677","92,80,54,096.70","22,594"
"30-Jul-2025","EQ","1,523.90","1,535.30","1,366.00","1,512.90","1,405.00","1,384.70","1,459.02","1,578.50","910.25","12,60,199","1,83,86,59,238.50","88,442"
"29-Jul-2025","EQ","1,442.70","1,528.00","1,426.80","1,443.40","1,525.00","1,512.90","1,483.86","1,578.50","910.25","2,07,696","30,81,91,107.70","18,845"
"28-Jul-2025","EQ","1,424.00","1,457.40","1,413.50","1,423.40","1,430.00","1,443.40","1,445.94","1,578.50","910.25","1,33,677","19,32,89,456.10","13,199"
"25-Jul-2025","EQ","1,440.00","1,449.10","1,419.50","1,450.20","1,420.20","1,423.40","1,432.28","1,578.50","910.25","52,581","7,53,10,489.90","5,436"
"24-Jul-2025","EQ","1,460.20","1,468.40","1,446.40","1,461.00","1,449.20","1,450.20","1,455.60","1,578.50","910.25","51,213","7,45,45,440.80","7,698"
"23-Jul-2025","EQ","1,473.00","1,478.90","1,435.00","1,465.60","1,460.00","1,461.00","1,454.38","1,578.50","910.25","1,34,818","19,60,76,472.50","14,483"
"22-Jul-2025","EQ","1,394.00","1,492.00","1,394.00","1,389.60","1,460.40","1,465.60","1,461.54","1,578.50","910.25","10,46,043","1,52,88,33,750.80","55,168"
"21-Jul-2025","EQ","1,415.10","1,423.40","1,383.20","1,416.20","1,402.90","1,389.60","1,403.43","1,578.50","910.25","1,10,969","15,57,36,853.00","11,829"
"18-Jul-2025","EQ","1,428.50","1,450.00","1,410.50","1,419.20","1,415.00","1,416.20","1,425.71","1,609.90","910.25","1,06,437","15,17,48,379.80","11,650"
"17-Jul-2025","EQ","1,405.00","1,435.80","1,395.00","1,403.10","1,420.00","1,419.20","1,418.30","1,609.90","910.25","78,800","11,17,62,233.20","11,808"
"16-Jul-2025","EQ","1,372.80","1,410.00","1,372.80","1,385.00","1,410.00","1,403.10","1,396.39","1,609.90","910.25","73,897","10,31,89,008.00","8,978"
"15-Jul-2025","EQ","1,378.90","1,390.00","1,366.80","1,370.00","1,383.20","1,385.00","1,379.99","1,609.90","910.25","39,835","5,49,71,770.20","8,409"
"14-Jul-2025","EQ","1,390.00","1,401.40","1,365.10","1,367.40","1,369.90","1,370.00","1,379.34","1,609.90","910.25","67,984","9,37,72,741.30","11,089"
"11-Jul-2025","EQ","1,400.00","1,409.00","1,365.00","1,390.60","1,368.00","1,367.40","1,383.25","1,611.95","910.25","69,360","9,59,41,940.80","10,759"
"10-Jul-2025","EQ","1,398.50","1,420.10","1,385.20","1,389.20","1,388.00","1,390.60","1,399.81","1,611.95","910.25","1,33,105","18,63,21,970.70","15,134"
"09-Jul-2025","EQ","1,388.90","1,396.50","1,371.80","1,389.00","1,385.00","1,389.20","1,386.71","1,611.95","910.25","31,142","4,31,84,909.30","4,901"
"08-Jul-2025","EQ","1,378.20","1,398.10","1,375.00","1,383.80","1,385.00","1,389.00","1,388.99","1,611.95","910.25","50,625","7,03,17,819.80","6,362"
"07-Jul-2025","EQ","1,398.00","1,403.90","1,374.20","1,401.00","1,382.00","1,383.80","1,384.64","1,611.95","910.25","45,679","6,32,49,157.60","8,025"
"04-Jul-2025","EQ","1,363.40","1,413.90","1,358.00","1,363.40","1,400.00","1,401.00","1,391.91","1,652.80","910.25","1,25,410","17,45,59,454.00","12,894"
"03-Jul-2025","EQ","1,353.00","1,370.40","1,342.00","1,358.70","1,367.00","1,363.40","1,357.13","1,652.80","910.25","1,12,986","15,33,36,518.90","17,986"
"02-Jul-2025","EQ","1,343.60","1,384.40","1,336.20","1,343.60","1,347.00","1,358.70","1,361.62","1,652.80","910.25","2,97,068","40,44,93,151.40","26,991"
"01-Jul-2025","EQ","1,339.00","1,362.40","1,325.10","1,342.40","1,340.60","1,343.60","1,340.67","1,652.80","910.25","67,302","9,02,29,948.30","13,180"
"30-Jun-2025","EQ","1,339.00","1,354.50","1,332.60","1,338.50","1,340.80","1,342.40","1,340.42","1,652.80","910.25","97,767","13,10,48,645.10","12,203"
"27-Jun-2025","EQ","1,319.80","1,344.60","1,306.60","1,317.30","1,342.00","1,338.50","1,329.41","1,656.90","910.25","89,819","11,94,06,090.70","9,671"
"26-Jun-2025","EQ","1,321.50","1,338.60","1,305.10","1,311.60","1,319.80","1,317.30","1,319.14","1,656.90","910.25","57,365","7,56,72,687.10","7,959"
"25-Jun-2025","EQ","1,292.20","1,317.20","1,285.20","1,283.90","1,311.00","1,311.60","1,305.77","1,656.90","910.25","46,278","6,04,28,359.60","6,131"
"24-Jun-2025","EQ","1,290.10","1,303.70","1,272.80","1,272.40","1,282.40","1,283.90","1,287.69","1,656.90","910.25","60,469","7,78,65,452.00","8,418"
"23-Jun-2025","EQ","1,265.00","1,282.70","1,254.00","1,266.00","1,275.80","1,272.40","1,268.49","1,656.90","910.25","63,176","8,01,37,818.90","12,090"
"20-Jun-2025","EQ","1,296.20","1,296.40","1,260.70","1,287.80","1,265.00","1,266.00","1,270.56","1,656.90","910.25","1,27,822","16,24,06,159.30","12,112"
"19-Jun-2025","EQ","1,344.90","1,344.90","1,281.00","1,336.90","1,281.70","1,287.80","1,302.28","1,656.90","910.25","53,233","6,93,24,042.10","11,757"
"18-Jun-2025","EQ","1,345.10","1,352.60","1,330.80","1,339.80","1,332.80","1,336.90","1,340.88","1,656.90","910.25","42,995","5,76,51,315.00","10,679"
"17-Jun-2025","EQ","1,359.00","1,372.90","1,313.80","1,359.00","1,340.00","1,339.80","1,342.08","1,656.90","910.25","1,22,684","16,46,51,754.10","16,677"
"16-Jun-2025","EQ","1,375.90","1,397.40","1,346.60","1,356.40","1,355.00","1,359.00","1,365.02","1,656.90","910.25","1,13,011","15,42,62,235.60","13,264"
"13-Jun-2025","EQ","1,330.00","1,385.00","1,321.00","1,364.40","1,360.00","1,356.40","1,352.25","1,656.90","910.25","67,433","9,11,86,083.60","8,987"
"12-Jun-2025","EQ","1,380.00","1,405.90","1,352.60","1,383.70","1,366.40","1,364.40","1,369.13","1,656.90","910.25","53,894","7,37,87,679.70","8,612"
"11-Jun-2025","EQ","1,393.60","1,403.10","1,369.10","1,393.60","1,383.60","1,383.70","1,387.29","1,656.90","910.25","56,644","7,85,81,642.20","12,904"
"10-Jun-2025","EQ","1,397.60","1,419.00","1,386.30","1,397.60","1,393.50","1,393.60","1,401.94","1,656.90","910.25","77,549","10,87,19,188.60","10,853"
"09-Jun-2025","EQ","1,380.00","1,413.80","1,373.10","1,378.40","1,400.00","1,397.60","1,395.25","1,656.90","910.25","92,747","12,94,05,591.70","10,288"
"06-Jun-2025","EQ","1,372.70","1,384.20","1,359.00","1,366.80","1,376.70","1,378.40","1,374.33","1,656.90","910.25","41,676","5,72,76,401.80","7,285"
"05-Jun-2025","EQ","1,373.10","1,390.90","1,361.20","1,359.50","1,365.00","1,366.80","1,374.33","1,656.90","910.25","67,409","9,26,42,525.00","9,324"
"04-Jun-2025","EQ","1,378.80","1,380.40","1,352.20","1,370.40","1,358.00","1,359.50","1,363.34","1,656.90","910.25","42,803","5,83,54,875.20","7,432"
"03-Jun-2025","EQ","1,387.80","1,402.00","1,361.60","1,384.20","1,374.20","1,370.40","1,385.47","1,656.90","910.25","66,143","9,16,39,079.00","9,754"
"02-Jun-2025","EQ","1,368.20","1,392.00","1,348.20","1,374.40","1,369.90","1,384.20","1,374.01","1,656.90","910.25","69,884","9,60,21,028.20","11,799"
"30-May-2025","EQ","1,399.60","1,410.00","1,363.00","1,390.50","1,373.00","1,374.40","1,377.24","1,656.90","910.25","62,229","8,57,04,285.40","10,131"
"29-May-2025","EQ","1,385.70","1,409.50","1,383.40","1,377.00","1,393.00","1,390.50","1,393.75","1,656.90","910.25","85,614","11,93,24,725.50","13,047"
"28-May-2025","EQ","1,418.30","1,431.90","1,370.10","1,405.80","1,383.00","1,377.00","1,393.10","1,656.90","910.25","82,649","11,51,38,380.90","12,578"
"27-May-2025","EQ","1,403.90","1,433.70","1,400.20","1,404.90","1,404.00","1,405.80","1,417.84","1,656.90","910.25","1,05,281","14,92,71,439.60","17,962"
"26-May-2025","EQ","1,406.00","1,442.80","1,399.40","1,402.90","1,400.00","1,404.90","1,420.89","1,656.90","910.25","1,09,191","15,51,48,888.40","17,580"
"23-May-2025","EQ","1,398.00","1,427.90","1,380.00","1,390.70","1,397.00","1,402.90","1,411.79","1,656.90","910.25","1,02,760","14,50,76,025.40","12,418"
"22-May-2025","EQ","1,376.00","1,400.00","1,370.00","1,386.60","1,393.80","1,390.70","1,385.72","1,656.90","910.25","60,189","8,34,04,937.00","8,197"
"21-May-2025","EQ","1,377.90","1,395.70","1,365.00","1,377.90","1,387.60","1,386.60","1,383.96","1,656.90","910.25","44,140","6,10,88,183.20","8,724"
"20-May-2025","EQ","1,401.00","1,417.20","1,370.00","1,407.50","1,380.50","1,377.90","1,390.69","1,656.90","910.25","55,412","7,70,60,741.90","8,554"
"19-May-2025","EQ","1,380.90","1,429.40","1,358.90","1,384.00","1,403.50","1,407.50","1,401.85","1,656.90","910.25","1,63,889","22,97,48,160.00","15,936"
"16-May-2025","EQ","1,378.00","1,397.10","1,363.60","1,382.50","1,375.80","1,384.00","1,382.71","1,656.90","910.25","1,05,437","14,57,89,271.40","11,394"
