ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","390.85","399.15","381.10","390.75","384.00","383.70","389.76","521.80","308.25","12,60,084","49,11,26,107.65","28,805"
"11-Aug-2025","EQ","396.70","396.75","387.00","396.75","390.20","390.75","391.67","521.80","308.25","11,39,199","44,61,92,584.15","25,786"
"08-Aug-2025","EQ","400.00","405.00","393.35","397.90","395.25","396.75","399.78","521.80","308.25","17,77,372","71,05,55,391.45","21,436"
"07-Aug-2025","EQ","401.80","414.90","393.05","402.25","399.60","397.90","404.63","521.80","308.25","48,66,634","1,96,91,87,399.10","66,964"
"06-Aug-2025","EQ","402.95","407.20","394.40","399.55","403.00","402.25","401.50","521.80","308.25","40,87,750","1,64,12,23,092.40","58,416"
"05-Aug-2025","EQ","389.00","402.80","381.15","384.40","398.10","399.55","395.21","521.80","308.25","87,43,906","3,45,56,99,818.50","1,04,109"
"04-Aug-2025","EQ","380.80","385.30","373.65","379.65","384.90","384.40","380.36","521.80","308.25","11,50,344","43,75,45,962.70","19,457"
"01-Aug-2025","EQ","380.00","386.90","377.00","380.05","377.45","379.65","383.71","521.80","308.25","39,40,732","1,51,20,96,219.40","33,529"
"31-Jul-2025","EQ","370.25","382.75","368.35","377.25","379.20","380.05","376.98","521.80","308.25","13,42,701","50,61,77,070.85","20,981"
"30-Jul-2025","EQ","375.00","383.40","369.50","372.70","376.30","377.25","375.58","521.80","308.25","50,70,133","1,90,42,35,679.85","42,566"
"29-Jul-2025","EQ","358.80","373.80","356.65","360.00","373.45","372.70","367.24","521.80","308.25","10,18,972","37,42,04,064.20","19,904"
"28-Jul-2025","EQ","364.50","369.00","355.20","362.80","359.45","360.00","362.67","521.80","308.25","12,17,832","44,16,73,402.85","24,615"
"25-Jul-2025","EQ","368.75","369.90","360.50","367.90","363.00","362.80","363.20","521.80","308.25","9,18,937","33,37,53,422.90","19,491"
"24-Jul-2025","EQ","368.90","375.60","365.40","367.35","368.20","367.90","369.51","521.80","308.25","11,99,335","44,31,71,630.05","35,194"
"23-Jul-2025","EQ","377.00","379.30","364.95","378.65","368.50","367.35","370.43","521.80","308.25","14,10,491","52,24,93,100.75","25,039"
