ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","797.00","797.00","760.50","800.10","779.00","776.65","777.62","1,027.80","454.85","6,99,938","54,42,85,535.40","15,839"
"11-Aug-2025","EQ","794.05","805.00","778.05","805.10","800.05","800.10","793.54","1,027.80","454.85","3,98,623","31,63,21,763.90","16,246"
"08-Aug-2025","EQ","789.90","814.00","781.85","779.00","803.15","805.10","798.23","1,027.80","453.15","5,53,382","44,17,28,353.70","14,770"
"07-Aug-2025","EQ","760.00","798.00","745.00","760.65","798.00","779.00","761.35","1,027.80","453.15","4,97,545","37,88,04,493.10","16,596"
"06-Aug-2025","EQ","785.00","796.85","755.10","791.50","762.00","760.65","769.66","1,027.80","453.15","4,56,609","35,14,34,665.95","17,295"
"05-Aug-2025","EQ","788.95","800.00","777.20","787.20","790.00","791.50","786.94","1,027.80","453.15","2,64,226","20,79,28,769.55","9,486"
"04-Aug-2025","EQ","804.00","805.00","785.00","796.30","789.00","787.20","794.64","1,027.80","453.15","3,31,509","26,34,29,272.55","11,462"
"01-Aug-2025","EQ","808.00","825.00","790.20","805.95","794.80","796.30","807.86","1,027.80","441.50","6,55,774","52,97,73,406.15","18,688"
"31-Jul-2025","EQ","782.00","814.90","781.00","796.35","803.35","805.95","799.59","1,027.80","441.50","6,03,289","48,23,84,512.90","18,018"
"30-Jul-2025","EQ","785.35","803.80","779.60","803.95","795.00","796.35","791.35","1,027.80","441.50","8,21,425","65,00,32,104.65","26,215"
"29-Jul-2025","EQ","804.00","811.15","785.75","795.30","805.80","803.95","799.44","1,027.80","441.50","5,13,051","41,01,55,104.85","22,125"
"28-Jul-2025","EQ","788.00","806.90","755.10","789.25","798.00","795.30","782.00","1,027.80","441.50","15,66,005","1,22,46,16,287.95","38,958"
"25-Jul-2025","EQ","816.50","817.60","785.10","812.05","788.00","789.25","798.25","1,027.80","401.05","7,58,070","60,51,31,193.35","28,657"
"24-Jul-2025","EQ","816.00","850.00","793.10","816.70","811.00","812.05","825.50","1,027.80","401.05","33,91,984","2,80,00,92,244.20","98,312"
"23-Jul-2025","EQ","862.00","881.40","815.55","906.15","815.55","816.70","844.71","1,027.80","401.05","43,68,177","3,68,98,48,028.00","97,362"
"22-Jul-2025","EQ","1,015.00","1,022.00","906.15","1,006.80","906.15","906.15","941.56","1,027.80","401.05","21,08,131","1,98,49,36,479.55","51,570"
"21-Jul-2025","EQ","1,025.85","1,027.80","993.00","1,010.20","1,011.00","1,006.80","1,006.64","1,027.80","401.05","6,28,269","63,24,41,228.20","31,085"
"18-Jul-2025","EQ","981.40","1,015.00","961.15","970.70","1,014.00","1,010.20","997.02","1,015.00","401.05","9,23,505","92,07,53,385.75","37,804"
