ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,761.90","1,775.00","1,709.50","1,761.90","1,750.00","1,745.60","1,736.68","2,417.00","1,521.00","4,07,025","70,68,72,008.70","29,398"
"11-Aug-2025","EQ","1,794.90","1,794.90","1,740.00","1,800.30","1,761.00","1,761.90","1,761.37","2,417.00","1,521.00","7,16,175","1,26,14,52,548.00","44,929"
"08-Aug-2025","EQ","1,830.00","1,830.30","1,763.00","1,827.50","1,802.70","1,800.30","1,792.78","2,417.00","1,521.00","6,31,672","1,13,24,49,517.90","38,860"
"07-Aug-2025","EQ","1,735.20","1,839.00","1,735.20","1,770.40","1,825.00","1,827.50","1,804.87","2,417.00","1,521.00","15,74,061","2,84,09,78,705.30","91,378"
"06-Aug-2025","EQ","1,755.10","1,825.00","1,722.20","1,750.70","1,786.30","1,770.40","1,751.12","2,417.00","1,521.00","4,91,528","86,07,26,336.80","33,008"
"05-Aug-2025","EQ","1,740.00","1,774.10","1,738.80","1,739.40","1,752.20","1,750.70","1,755.31","2,417.00","1,521.00","3,86,793","67,89,43,096.20","27,666"
"04-Aug-2025","EQ","1,696.00","1,750.00","1,691.00","1,697.00","1,749.00","1,739.40","1,727.95","2,417.00","1,521.00","2,91,097","50,30,02,233.90","22,639"
"01-Aug-2025","EQ","1,739.60","1,746.20","1,687.00","1,738.10","1,695.00","1,697.00","1,714.53","2,417.00","1,521.00","1,50,047","25,72,60,027.10","12,580"
"31-Jul-2025","EQ","1,735.00","1,758.90","1,727.60","1,754.70","1,738.30","1,738.10","1,742.48","2,417.00","1,521.00","3,79,166","66,06,91,006.80","23,635"
"30-Jul-2025","EQ","1,747.90","1,765.00","1,739.40","1,744.90","1,750.50","1,754.70","1,751.51","2,417.00","1,521.00","1,75,310","30,70,56,564.70","14,253"
"29-Jul-2025","EQ","1,730.00","1,748.00","1,720.00","1,738.70","1,744.00","1,744.90","1,734.16","2,417.00","1,521.00","1,10,963","19,24,27,409.00","10,145"
"28-Jul-2025","EQ","1,740.10","1,759.90","1,725.90","1,747.20","1,735.00","1,738.70","1,736.77","2,417.00","1,521.00","3,72,752","64,73,85,738.00","14,154"
"25-Jul-2025","EQ","1,765.10","1,794.30","1,740.00","1,764.30","1,745.00","1,747.20","1,767.66","2,417.00","1,521.00","3,52,865","62,37,44,152.70","27,982"
"24-Jul-2025","EQ","1,755.00","1,773.00","1,737.20","1,749.20","1,765.00","1,764.30","1,756.15","2,417.00","1,521.00","3,38,581","59,45,99,737.90","18,506"
"23-Jul-2025","EQ","1,730.00","1,768.30","1,730.00","1,764.20","1,747.80","1,749.20","1,749.90","2,417.00","1,521.00","6,84,327","1,19,75,02,464.30","40,995"
"22-Jul-2025","EQ","1,815.00","1,816.00","1,758.40","1,819.60","1,761.00","1,764.20","1,777.14","2,417.00","1,521.00","9,23,889","1,64,18,78,494.10","71,042"
