ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","325.00","326.30","321.05","323.70","323.70","322.50","322.90","376.00","234.01","27,07,971","87,44,15,255.00","41,778"
"12-Aug-2025","EQ","321.00","326.50","320.70","320.95","323.75","323.70","324.08","376.00","234.01","43,92,686","1,42,36,03,474.15","45,382"
"11-Aug-2025","EQ","322.25","330.00","317.20","319.45","320.20","320.95","320.62","376.00","234.01","79,57,794","2,55,14,19,206.00","84,374"
"08-Aug-2025","EQ","310.50","321.25","308.60","310.35","319.80","319.45","318.23","376.00","234.01","1,00,28,343","3,19,13,20,573.40","1,20,108"
"07-Aug-2025","EQ","313.30","314.05","307.15","315.75","310.10","310.35","309.98","376.00","234.01","50,18,154","1,55,55,13,929.65","78,892"
"06-Aug-2025","EQ","315.50","318.15","314.40","315.10","316.00","315.75","316.30","376.00","234.01","36,01,019","1,13,90,04,648.85","63,268"
"05-Aug-2025","EQ","317.00","318.00","309.55","317.85","314.90","315.10","314.23","376.00","234.01","67,30,701","2,11,49,58,941.60","1,53,541"
"04-Aug-2025","EQ","320.15","320.75","314.90","317.85","318.05","317.85","316.78","376.00","234.01","35,36,322","1,12,02,20,965.50","56,099"
"01-Aug-2025","EQ","329.00","329.30","316.55","329.30","317.20","317.85","320.98","376.00","234.01","41,05,518","1,31,77,73,998.90","61,363"
"31-Jul-2025","EQ","330.00","331.25","323.10","337.05","327.15","329.30","328.12","376.00","234.01","68,67,024","2,25,31,97,152.95","82,917"
"30-Jul-2025","EQ","334.00","343.55","330.00","334.95","336.55","337.05","338.32","376.00","234.01","1,13,66,010","3,84,53,31,098.75","81,018"
"29-Jul-2025","EQ","336.00","337.30","333.20","333.40","335.05","334.95","335.20","376.00","234.01","78,09,814","2,61,78,59,351.15","71,929"
"28-Jul-2025","EQ","332.35","338.35","331.00","332.90","333.65","333.40","334.62","376.00","234.01","56,30,809","1,88,41,54,243.45","72,927"
"25-Jul-2025","EQ","340.10","341.40","331.05","341.40","333.60","332.90","334.84","376.00","234.01","35,14,659","1,17,68,35,450.85","51,437"
"24-Jul-2025","EQ","344.45","344.90","339.70","344.45","341.50","341.40","341.55","376.00","234.01","32,70,996","1,11,72,02,155.70","46,555"
"23-Jul-2025","EQ","341.85","345.00","336.80","340.35","344.50","344.45","340.57","376.00","234.01","50,89,227","1,73,32,57,052.05","56,302"
"22-Jul-2025","EQ","342.60","344.35","339.95","342.60","340.65","340.35","341.16","376.00","234.01","44,47,293","1,51,72,25,152.85","47,308"
"21-Jul-2025","EQ","343.50","344.70","339.45","343.50","342.85","342.60","342.34","376.00","234.01","50,51,058","1,72,91,64,646.55","49,785"
"18-Jul-2025","EQ","347.50","351.45","342.10","346.75","343.20","343.50","346.10","376.00","234.01","56,31,392","1,94,90,15,032.25","64,410"
"17-Jul-2025","EQ","349.60","349.90","344.25","347.85","347.15","346.75","346.45","376.00","234.01","40,26,086","1,39,48,42,311.45","43,302"
"16-Jul-2025","EQ","350.05","351.70","347.40","348.05","348.50","347.85","349.07","376.00","234.01","84,26,412","2,94,14,12,049.80","95,015"
"15-Jul-2025","EQ","347.65","350.50","346.15","344.40","349.00","348.05","348.24","376.00","234.01","62,70,256","2,18,35,74,508.30","62,125"
"14-Jul-2025","EQ","345.85","348.20","342.85","344.85","344.00","344.40","345.17","376.00","234.01","53,72,218","1,85,43,40,633.70","48,851"
"11-Jul-2025","EQ","351.80","352.65","343.30","350.95","344.30","344.85","346.24","376.00","234.01","48,03,470","1,66,31,66,207.80","55,515"
"10-Jul-2025","EQ","351.80","352.85","348.05","348.50","350.15","350.95","350.65","376.00","234.01","65,80,919","2,30,76,10,700.00","91,268"
"09-Jul-2025","EQ","355.60","356.35","347.65","355.60","349.30","348.50","352.47","376.00","234.01","80,39,090","2,83,35,44,852.40","91,377"
"08-Jul-2025","EQ","350.00","358.65","348.70","350.50","355.85","355.60","355.46","376.00","234.01","1,29,05,482","4,58,73,81,244.85","1,71,857"
"07-Jul-2025","EQ","345.80","351.55","343.45","346.20","350.50","350.50","348.33","376.00","234.01","86,03,937","2,99,69,95,117.75","1,07,903"
"04-Jul-2025","EQ","334.00","347.70","331.90","331.50","345.10","346.20","341.26","376.00","234.01","1,37,43,465","4,69,01,57,204.85","1,46,238"
"03-Jul-2025","EQ","333.00","335.55","330.55","331.80","331.15","331.50","332.63","376.00","234.01","50,49,883","1,67,97,51,452.00","63,686"
"02-Jul-2025","EQ","333.70","334.95","328.80","332.05","331.90","331.80","331.19","376.00","234.01","37,99,017","1,25,82,14,019.80","43,044"
"01-Jul-2025","EQ","331.55","335.50","330.90","331.95","331.95","332.05","332.63","376.00","234.01","39,21,773","1,30,45,13,335.95","44,377"
"30-Jun-2025","EQ","334.00","337.70","330.35","333.00","331.50","331.95","333.66","376.00","234.01","58,40,638","1,94,87,93,293.00","62,778"
"27-Jun-2025","EQ","330.00","334.20","327.40","329.75","333.00","333.00","332.03","376.00","234.01","99,11,738","3,29,09,80,723.00","1,20,587"
"26-Jun-2025","EQ","318.85","331.00","318.85","319.60","330.00","329.75","326.50","376.00","234.01","1,55,28,180","5,06,99,16,332.15","1,56,630"
"25-Jun-2025","EQ","322.50","323.00","316.60","319.25","318.80","319.60","319.75","376.00","234.01","66,58,747","2,12,91,58,312.05","1,04,754"
"24-Jun-2025","EQ","325.50","327.80","317.00","313.45","318.85","319.25","321.65","376.00","234.01","1,11,72,373","3,59,35,73,290.40","88,207"
"23-Jun-2025","EQ","310.00","315.50","308.20","313.50","313.25","313.45","312.14","376.00","234.01","68,48,410","2,13,76,47,904.85","55,356"
"20-Jun-2025","EQ","310.90","315.90","310.00","313.45","313.00","313.50","313.53","635.00","234.01","85,22,458","2,67,20,27,687.65","52,787"
"19-Jun-2025","EQ","317.00","317.00","310.10","315.85","311.60","313.45","313.12","635.00","234.01","53,99,948","1,69,08,16,718.10","50,343"
"18-Jun-2025","EQ","312.00","316.85","309.70","312.80","316.00","315.85","313.53","635.00","234.01","1,00,11,198","3,13,88,08,215.85","53,298"
"17-Jun-2025","EQ","314.00","320.45","311.70","316.40","311.70","312.80","316.40","635.00","234.01","72,19,608","2,28,43,19,971.40","57,285"
"16-Jun-2025","EQ","309.95","316.85","308.50","312.30","315.85","316.40","312.89","635.00","234.01","68,93,567","2,15,69,25,932.15","77,355"
"13-Jun-2025","EQ","305.00","314.40","299.30","318.65","312.90","312.30","308.86","635.00","234.01","1,39,58,229","4,31,10,80,114.10","1,65,341"
"12-Jun-2025","EQ","330.50","331.00","317.75","333.85","319.25","318.65","322.05","635.00","234.01","1,35,68,848","4,36,98,94,858.15","1,25,524"
"11-Jun-2025","EQ","320.30","334.50","320.30","320.10","334.00","333.85","331.87","635.00","234.01","2,17,39,121","7,21,45,39,225.00","1,53,478"
"10-Jun-2025","EQ","321.20","324.70","319.40","320.40","320.20","320.10","321.50","635.00","234.01","64,89,933","2,08,65,14,645.25","48,772"
"09-Jun-2025","EQ","317.80","321.45","315.00","316.70","320.30","320.40","319.38","635.00","234.01","37,87,426","1,20,96,41,713.45","34,179"
"06-Jun-2025","EQ","309.00","317.85","309.00","309.80","316.10","316.70","315.29","687.00","234.01","58,25,337","1,83,66,44,432.75","54,596"
"05-Jun-2025","EQ","311.10","315.40","308.25","311.55","310.00","309.80","311.65","687.00","234.01","59,00,170","1,83,87,99,946.15","41,708"
"04-Jun-2025","EQ","309.75","312.65","308.60","309.75","311.50","311.55","311.07","687.00","234.01","59,25,942","1,84,33,55,590.80","56,254"
"03-Jun-2025","EQ","315.05","320.95","309.00","316.60","309.05","309.75","312.61","687.00","234.01","78,53,488","2,45,50,90,824.75","63,449"
"02-Jun-2025","EQ","318.40","319.50","315.65","318.40","316.60","316.60","317.37","687.00","234.01","30,86,437","97,95,51,183.00","49,140"
"30-May-2025","EQ","317.55","322.40","317.00","319.15","317.50","318.40","319.34","687.00","234.01","91,48,638","2,92,15,55,162.60","49,072"
"29-May-2025","EQ","321.20","322.55","317.60","321.70","319.50","319.15","319.30","687.00","234.01","40,00,772","1,27,74,42,287.60","42,247"
"28-May-2025","EQ","317.00","322.60","313.75","317.00","321.20","321.70","319.16","687.00","234.01","71,12,876","2,27,01,36,014.05","47,760"
"27-May-2025","EQ","322.90","322.90","315.50","322.95","317.00","317.00","318.48","687.00","234.01","47,16,473","1,50,21,10,060.35","52,575"
"26-May-2025","EQ","319.00","323.95","319.00","318.90","322.80","322.95","322.32","687.00","234.01","50,50,848","1,62,80,10,597.25","42,433"
"23-May-2025","EQ","312.00","320.00","312.00","313.05","318.75","318.90","318.15","687.00","234.01","42,57,721","1,35,45,96,411.45","39,433"
"22-May-2025","EQ","314.90","318.90","308.70","315.85","313.00","313.05","314.32","687.00","234.01","48,76,801","1,53,28,69,167.95","46,099"
"21-May-2025","EQ","312.30","316.75","309.35","312.90","316.70","315.85","313.51","687.00","234.01","52,32,094","1,64,03,18,549.30","56,580"
"20-May-2025","EQ","317.00","319.65","311.75","317.20","312.30","312.90","315.28","687.00","234.01","50,16,433","1,58,15,92,762.45","41,523"
"19-May-2025","EQ","318.55","319.55","316.15","320.10","317.10","317.20","317.90","687.00","234.01","29,56,007","93,97,16,545.15","43,605"
"16-May-2025","EQ","316.00","321.00","315.80","317.00","319.50","320.10","319.36","687.00","234.01","68,61,786","2,19,13,58,095.70","54,246"
"15-May-2025","EQ","314.00","320.20","313.50","312.50","316.85","317.00","316.42","687.00","234.01","70,55,032","2,23,23,41,546.25","61,804"
"14-May-2025","EQ","308.70","313.55","308.40","306.90","313.00","312.50","311.01","687.00","234.01","77,33,320","2,40,51,74,606.70","89,162"
"13-May-2025","EQ","309.05","310.60","304.50","309.05","306.75","306.90","306.99","687.00","234.01","72,41,358","2,22,30,54,949.20","70,931"
"12-May-2025","EQ","315.00","315.95","307.15","306.85","308.50","309.05","310.62","687.00","234.01","68,44,271","2,12,59,89,924.85","1,07,036"
"09-May-2025","EQ","302.55","307.35","301.35","307.95","307.05","306.85","304.74","687.00","234.01","49,55,934","1,51,02,70,053.60","48,262"
"08-May-2025","EQ","315.50","320.20","305.70","316.90","306.60","307.95","312.13","687.00","234.01","59,18,739","1,84,74,10,547.45","56,757"
"07-May-2025","EQ","307.00","317.50","307.00","311.45","316.80","316.90","314.03","687.00","234.01","79,70,668","2,50,30,19,823.70","79,539"
"06-May-2025","EQ","321.10","322.20","310.55","321.05","311.50","311.45","314.40","687.00","234.01","54,44,873","1,71,18,57,769.60","57,828"
"05-May-2025","EQ","317.00","325.85","316.00","311.15","321.45","321.05","322.72","687.00","234.01","1,60,37,327","5,17,56,18,727.05","1,45,929"
"02-May-2025","EQ","310.55","317.50","309.90","310.05","311.45","311.15","313.94","687.00","234.01","77,51,559","2,43,35,53,374.10","77,731"
"30-Apr-2025","EQ","319.00","322.45","309.00","311.70","309.85","310.05","315.98","687.00","234.01","2,14,24,437","6,76,96,44,907.05","1,30,825"
"29-Apr-2025","EQ","311.55","315.60","309.80","310.00","311.00","311.70","312.51","687.00","234.01","95,22,966","2,97,60,01,462.70","79,887"
"28-Apr-2025","EQ","293.10","310.95","293.10","295.70","310.40","310.00","306.66","687.00","234.01","1,44,14,879","4,42,04,30,169.30","84,280"
"25-Apr-2025","EQ","302.35","304.95","293.30","302.00","295.25","295.70","296.60","687.00","234.01","77,73,037","2,30,55,01,308.05","53,471"
"24-Apr-2025","EQ","302.95","305.50","300.30","300.45","302.40","302.00","302.74","687.00","234.01","57,73,985","1,74,80,07,367.65","45,018"
"23-Apr-2025","EQ","306.10","306.65","298.30","306.10","300.20","300.45","300.92","687.00","234.01","74,00,827","2,22,70,64,479.65","65,442"
"22-Apr-2025","EQ","305.00","308.50","302.65","304.05","306.25","306.10","305.53","687.00","234.01","70,96,150","2,16,80,62,875.60","43,073"
"21-Apr-2025","EQ","299.85","305.55","298.00","298.35","303.80","304.05","303.41","687.00","234.01","64,55,955","1,95,88,12,628.60","48,175"
