Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-03,EQ,"4,528.00","4,582.40","4,524.15","4,527.25","4,545.00",4539.55,"4,548.88","5,270.35","3,705.45","3,35,012","1,52,39,27,969.20","28,642",4565.247585700167,4596.419894400638,4514.749507561864
2023-11-06,EQ,"4,554.90","4,628.15","4,546.05","4,539.55","4,612.85",4623.6,"4,601.37","5,270.35","3,930.05","2,05,763","94,67,92,174.85","22,014",4567.53591567271,4596.958114313497,4515.832597038861
2023-11-07,EQ,"4,610.10","4,670.00","4,590.85","4,623.60","4,664.00",4655.2,"4,628.76","5,270.35","3,930.05","2,82,612","1,30,81,42,660.20","29,014",4570.973722901232,4598.111418980558,4517.219337366833
2023-11-08,EQ,"4,670.95","4,686.50","4,650.50","4,655.20","4,670.05",4670.6,"4,661.65","5,270.35","3,930.05","3,85,727","1,79,81,24,835.45","25,759",4574.880635728634,4599.546836426487,4518.745513114427
2023-11-09,EQ,"4,670.60","4,685.50","4,630.50","4,670.60","4,664.00",4652.1,"4,649.64","5,270.35","3,930.05","2,08,210","96,81,02,568.65","26,512",4577.908846092217,4600.587493130913,4520.072423431697
2023-11-10,EQ,"4,657.45","4,685.85","4,621.00","4,652.10","4,677.60",4681.95,"4,663.33","5,270.35","3,930.05","1,42,336","66,37,59,638.00","18,848",4581.988891343503,4602.198631880796,4521.683145586606
2023-11-12,EQ,"4,694.65","4,699.00","4,660.05","4,681.95","4,675.50",4676.6,"4,684.87","5,270.35","3,930.05","23,883","11,18,88,860.25","4,650",4585.699130898659,4603.671926298998,4523.22460682455
2023-11-13,EQ,"4,662.30","4,703.15","4,644.00","4,676.60","4,702.00",4696.35,"4,681.71","5,270.35","4,061.10","2,60,394","1,21,90,89,138.10","19,103",4590.038380667339,4605.507135679216,4524.9472475526645
2023-11-15,EQ,"4,723.00","4,725.00","4,667.40","4,696.35","4,705.00",4710.8,"4,696.68","5,270.35","4,061.10","2,69,650","1,26,64,58,936.70","38,168",4594.774130445091,4607.592142893489,4526.796528671544
2023-11-16,EQ,"4,710.00","4,729.00","4,679.60","4,710.80","4,705.00",4702.1,"4,709.04","5,270.35","4,061.10","1,78,375","83,99,74,160.65","37,262",4598.982988074695,4609.46358560847,4528.540841819091
2023-11-17,EQ,"4,703.00","4,745.60","4,690.10","4,702.10","4,703.45",4718.3,"4,719.66","5,270.35","4,061.10","1,38,652","65,43,89,990.35","16,178",4603.662086581569,4611.618762131075,4530.428992646762
2023-11-20,EQ,"4,691.25","4,739.45","4,690.90","4,718.30","4,718.35",4712.0,"4,710.25","5,270.35","4,095.10","1,26,069","59,38,15,930.95","24,166",4607.9106322058215,4613.606509415607,4532.235669336845
2023-11-21,EQ,"4,730.00","4,730.00","4,665.00","4,712.00","4,693.35",4699.75,"4,692.36","5,270.35","4,095.10","1,29,602","60,81,39,762.65","17,769",4611.512176040887,4615.312321110348,4533.902478597174
2023-11-22,EQ,"4,709.90","4,712.85","4,662.75","4,699.75","4,676.15",4694.2,"4,688.06","5,270.35","4,095.10","72,533","34,00,38,830.40","13,283",4614.75483580399,4616.874453365588,4535.497478810138
2023-11-23,EQ,"4,699.00","4,710.95","4,678.95","4,694.20","4,706.75",4705.8,"4,696.02","5,270.35","4,095.10","1,09,775","51,55,05,932.70","17,998",4618.325234399913,4618.635355279141,4537.192031259789
2023-11-24,EQ,"4,705.80","4,715.00","4,640.50","4,705.80","4,642.00",4644.15,"4,663.61","5,270.35","4,095.10","1,23,628","57,65,53,096.30","14,501",4619.337970305799,4619.140595768663,4538.256289655214
2023-11-28,EQ,"4,632.25","4,722.90","4,626.00","4,644.15","4,717.00",4713.45,"4,691.69","5,270.35","4,153.00","1,82,790","85,75,93,805.25","26,757",4623.028638136944,4621.008108723739,4539.999510653669
2023-11-29,EQ,"4,715.95","4,832.10","4,701.40","4,713.45","4,800.00",4803.65,"4,789.36","5,270.35","4,153.00","3,63,702","1,74,19,00,567.55","51,211",4630.111828798241,4624.624779838119,4542.622898607364
2023-11-30,EQ,"4,815.00","4,875.95","4,797.50","4,803.65","4,870.00",4852.65,"4,840.14","5,270.35","4,153.00","9,61,054","4,65,16,39,603.95","58,377",4638.838815904192,4629.140130732413,4545.707745387391
2023-12-01,EQ,"4,873.00","4,984.00","4,860.05","4,852.65","4,968.00",4970.75,"4,929.70","5,270.35","4,153.00","4,85,597","2,39,38,48,443.35","45,965",4651.854940770694,4635.904682599097,4549.937021552691
2023-12-04,EQ,"4,990.00","4,994.95","4,915.00","4,970.75","4,934.00",4937.75,"4,937.10","5,270.35","4,153.00","3,10,152","1,53,12,50,188.50","31,944",4663.066511720863,4641.881817597135,4553.795857159132
2023-12-05,EQ,"4,937.75","4,975.00","4,933.00","4,937.75","4,959.95",4948.4,"4,952.30","5,270.35","4,153.00","2,80,497","1,38,91,05,383.00","31,211",4674.256060280829,4647.951484575409,4557.722266540633
2023-12-06,EQ,"4,953.00","5,022.70","4,952.30","4,948.40","5,003.00",5003.15,"4,996.55","5,270.35","4,153.00","2,95,686","1,47,74,08,720.10","33,384",4687.153861838444,4654.985118544213,4562.154383291473
2023-12-07,EQ,"5,003.15","5,025.00","4,963.15","5,003.15","5,016.00",5016.0,"5,007.22","5,270.35","4,153.00","2,68,095","1,34,24,11,138.55","40,793",4700.049788825172,4662.133928077991,4566.670260074642
2023-12-08,EQ,"5,024.00","5,060.00","4,931.00","5,016.00","4,945.00",4942.2,"4,991.79","5,270.35","4,153.00","2,82,713","1,41,12,44,095.00","32,070",4709.54587553791,4667.679790888328,4570.406874402258
2023-12-11,EQ,"4,959.90","4,974.50","4,900.05","4,942.20","4,938.00",4944.15,"4,928.37","5,270.35","4,153.00","1,47,976","72,92,79,985.80","16,696",4718.746037281521,4673.1544484945,4574.125711472882
2023-12-12,EQ,"4,968.00","4,971.45","4,875.00","4,944.15","4,906.00",4903.05,"4,918.86","5,270.35","4,153.00","1,84,238","90,62,40,190.35","34,384",4725.973643662638,4677.706835653024,4577.39858996569
2023-12-13,EQ,"4,910.00","4,928.00","4,860.00","4,903.05","4,928.00",4919.3,"4,899.01","5,270.35","4,153.00","1,53,558","75,22,81,689.95","28,740",4733.555069401358,4682.4908587094005,4580.800594045633
2023-12-14,EQ,"4,932.20","4,965.00","4,897.00","4,919.30","4,954.25",4946.65,"4,930.72","5,270.35","4,153.00","1,74,503","86,04,25,069.45","40,323",4741.911733346403,4687.721732794363,4584.4408866421945
2023-12-15,EQ,"4,938.00","4,969.85","4,880.50","4,946.65","4,929.15",4913.9,"4,910.06","5,270.35","4,153.00","2,16,579","1,06,34,16,271.50","28,508",4748.656371254388,4692.200510362791,4587.719086775109
2023-12-18,EQ,"4,913.85","4,925.50","4,837.05","4,913.90","4,888.00",4879.5,"4,875.31","5,270.35","4,153.00","2,23,278","1,08,85,48,879.20","28,886",4753.7874939502935,4695.909411147685,4590.622379444013
2023-12-19,EQ,"4,891.35","4,927.45","4,858.70","4,879.50","4,915.00",4911.25,"4,896.48","5,270.35","4,153.00","2,00,718","98,28,11,415.95","22,276",4759.962494187537,4700.1735812239685,4593.81270402666
2023-12-20,EQ,"4,920.00","5,051.95","4,916.00","4,911.25","4,925.00",4954.95,"4,981.11","5,270.35","4,153.00","4,57,942","2,28,10,57,370.45","53,005",4767.609063042928,4705.218658823494,4597.406109956743
