ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","264.00","265.05","259.00","261.65","259.40","260.70","262.09","371.90","210.00","1,23,899","3,24,72,484.45","4,001"
"12-Aug-2025","EQ","260.05","263.00","258.60","259.45","261.90","261.65","260.43","371.90","210.00","2,44,341","6,36,34,307.25","6,323"
"11-Aug-2025","EQ","262.65","262.70","258.00","262.90","259.10","259.45","259.65","371.90","210.00","1,21,139","3,14,53,506.95","5,438"
"08-Aug-2025","EQ","263.95","271.15","260.35","262.25","261.50","262.90","265.67","371.90","210.00","2,41,927","6,42,73,212.00","7,947"
"07-Aug-2025","EQ","264.90","268.90","257.70","265.10","265.15","262.25","261.39","371.90","210.00","1,55,449","4,06,32,886.75","7,097"
"06-Aug-2025","EQ","265.40","268.40","261.50","265.00","265.00","265.10","265.06","371.90","210.00","1,59,916","4,23,86,945.65","5,249"
"05-Aug-2025","EQ","264.80","269.00","264.00","264.80","265.50","265.00","265.83","371.90","210.00","1,15,562","3,07,19,737.25","4,751"
"04-Aug-2025","EQ","267.35","269.90","263.00","267.35","266.20","264.80","264.71","371.90","210.00","2,39,814","6,34,81,420.15","8,156"
"01-Aug-2025","EQ","267.35","271.60","265.75","267.35","266.00","267.35","268.91","371.90","210.00","1,59,605","4,29,19,982.60","6,905"
"31-Jul-2025","EQ","268.05","272.05","265.05","270.60","267.50","267.35","269.15","371.90","210.00","2,01,860","5,43,29,766.05","6,603"
"30-Jul-2025","EQ","273.00","278.05","269.90","273.35","270.00","270.60","271.99","371.90","210.00","2,02,979","5,52,08,978.50","6,141"
"29-Jul-2025","EQ","275.00","277.40","268.05","273.25","273.70","273.35","271.54","371.90","210.00","2,92,350","7,93,84,787.05","9,854"
"28-Jul-2025","EQ","279.95","283.30","272.20","279.35","273.00","273.25","276.01","371.90","210.00","1,58,840","4,38,40,870.55","6,696"
"25-Jul-2025","EQ","288.00","288.00","278.25","288.70","279.50","279.35","282.37","371.90","210.00","1,87,675","5,29,94,666.70","5,828"
"24-Jul-2025","EQ","286.70","290.50","282.50","288.40","290.35","288.70","286.73","371.90","210.00","2,79,391","8,01,10,514.50","8,098"
"23-Jul-2025","EQ","290.50","290.50","285.10","288.65","288.30","288.40","287.72","371.90","210.00","1,20,230","3,45,93,146.05","4,201"
"22-Jul-2025","EQ","296.90","298.20","288.00","294.60","289.00","288.65","290.78","371.90","210.00","2,17,935","6,33,70,907.70","7,150"
"21-Jul-2025","EQ","301.00","303.70","292.35","298.80","295.00","294.60","297.49","371.90","210.00","5,81,826","17,30,89,934.90","19,419"
"18-Jul-2025","EQ","295.00","304.40","291.25","293.55","298.30","298.80","297.76","371.90","210.00","13,87,776","41,32,21,652.05","26,635"
"17-Jul-2025","EQ","289.25","294.50","287.00","288.05","292.90","293.55","292.20","371.90","210.00","6,51,552","19,03,86,614.15","14,801"
"16-Jul-2025","EQ","287.00","289.40","285.30","286.35","287.00","288.05","287.68","371.90","210.00","2,32,674","6,69,34,596.70","6,561"
"15-Jul-2025","EQ","289.95","292.70","284.75","288.75","287.00","286.35","287.29","371.90","210.00","3,48,096","10,00,03,548.45","9,611"
"14-Jul-2025","EQ","282.00","289.80","276.55","283.40","288.65","288.75","283.68","371.90","210.00","5,67,986","16,11,24,922.65","12,854"
