ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","753.80","754.65","738.90","753.95","740.50","742.95","747.55","951.75","558.50","1,25,462","9,37,89,112.25","8,928"
"11-Aug-2025","EQ","742.55","756.95","740.25","743.65","753.55","753.95","751.49","951.75","558.50","5,15,783","38,76,03,805.30","6,779"
"08-Aug-2025","EQ","740.85","753.85","732.15","741.95","739.00","743.65","745.30","951.75","558.50","79,781","5,94,60,745.60","5,397"
"07-Aug-2025","EQ","744.30","745.15","735.90","744.30","742.00","741.95","741.40","951.75","558.50","1,47,204","10,91,37,232.95","6,867"
"06-Aug-2025","EQ","754.85","757.50","742.10","756.95","743.15","744.30","749.43","951.75","558.50","58,920","4,41,56,687.10","4,990"
"05-Aug-2025","EQ","757.30","764.90","746.55","757.20","758.95","756.95","753.15","951.75","558.50","1,15,005","8,66,16,240.30","6,743"
"04-Aug-2025","EQ","744.00","758.00","735.75","740.35","757.30","757.20","751.07","951.75","558.50","82,441","6,19,18,750.85","7,396"
"01-Aug-2025","EQ","751.95","756.45","737.05","751.95","740.05","740.35","744.74","951.75","558.50","1,91,651","14,27,30,417.45","10,011"
"31-Jul-2025","EQ","739.00","757.25","727.50","739.05","751.60","751.95","749.45","951.75","558.50","7,16,582","53,70,41,360.40","11,904"
"30-Jul-2025","EQ","759.90","759.90","737.30","748.20","738.30","739.05","743.07","951.75","558.50","3,82,664","28,43,47,039.25","17,006"
"29-Jul-2025","EQ","764.00","764.40","744.40","764.65","747.90","748.20","749.33","951.75","558.50","2,77,566","20,79,87,988.80","18,085"
"28-Jul-2025","EQ","774.30","775.95","751.10","774.60","764.00","764.65","764.57","951.75","558.50","1,64,046","12,54,24,639.55","8,903"
"25-Jul-2025","EQ","772.40","781.65","769.30","772.40","773.20","774.60","775.27","951.75","558.50","2,65,897","20,61,40,682.40","15,090"
"24-Jul-2025","EQ","787.10","790.45","768.00","787.40","775.00","772.40","774.35","951.75","558.50","2,38,154","18,44,13,907.35","14,576"
"23-Jul-2025","EQ","799.90","799.90","786.10","798.60","786.50","787.40","790.27","951.75","558.50","1,46,623","11,58,72,165.30","8,382"
"22-Jul-2025","EQ","815.00","822.00","794.00","813.00","796.00","798.60","808.90","951.75","558.50","2,83,702","22,94,86,272.25","12,687"
"21-Jul-2025","EQ","810.00","814.75","800.60","817.00","812.90","813.00","806.38","951.75","558.50","1,44,530","11,65,46,546.70","14,275"
"18-Jul-2025","EQ","818.70","821.00","806.00","818.70","815.00","817.00","814.07","951.75","558.50","1,30,960","10,66,10,444.85","9,767"
"17-Jul-2025","EQ","815.00","823.90","807.25","811.60","815.90","818.70","817.09","951.75","558.50","1,77,827","14,53,00,195.90","10,789"
"16-Jul-2025","EQ","799.95","814.20","792.40","796.95","812.00","811.60","806.61","951.75","558.50","1,66,647","13,44,18,799.60","7,963"
"15-Jul-2025","EQ","797.15","806.30","796.00","797.15","796.00","796.95","799.85","951.75","558.50","59,825","4,78,51,230.15","3,462"
"14-Jul-2025","EQ","789.25","801.85","789.25","794.30","796.00","797.15","797.27","951.75","558.50","94,599","7,54,20,494.85","6,028"
"11-Jul-2025","EQ","791.10","804.35","789.25","800.60","793.50","794.30","794.88","951.75","558.50","1,07,314","8,53,01,815.00","7,088"
"10-Jul-2025","EQ","826.00","826.65","797.10","823.00","799.90","800.60","804.51","951.75","558.50","3,15,600","25,39,02,758.60","13,778"
"09-Jul-2025","EQ","815.75","825.00","813.45","815.00","821.00","823.00","820.65","951.75","558.50","5,96,214","48,92,82,632.60","18,619"
"08-Jul-2025","EQ","820.00","822.00","811.30","820.30","815.75","815.00","817.76","951.75","558.50","2,61,036","21,34,63,845.70","17,547"
"07-Jul-2025","EQ","815.00","822.00","812.00","817.30","820.00","820.30","817.73","951.75","558.50","1,93,965","15,86,10,978.05","10,389"
"04-Jul-2025","EQ","817.00","821.00","810.20","815.10","819.25","817.30","816.50","951.75","558.50","3,35,965","27,43,15,197.75","17,957"
"03-Jul-2025","EQ","812.05","817.90","809.65","809.25","814.00","815.10","814.45","951.75","558.50","3,33,733","27,18,09,936.45","17,837"
"02-Jul-2025","EQ","794.25","812.00","794.25","791.35","811.00","809.25","805.84","951.75","558.50","4,39,489","35,41,57,860.25","20,498"
"01-Jul-2025","EQ","793.20","797.80","786.20","792.90","792.50","791.35","790.46","951.75","558.50","1,54,061","12,17,79,500.80","11,644"
"30-Jun-2025","EQ","793.25","798.55","786.00","789.30","792.60","792.90","791.17","951.75","558.50","1,80,131","14,25,13,745.90","15,359"
"27-Jun-2025","EQ","794.00","807.55","785.00","790.50","789.95","789.30","796.38","951.75","558.50","4,32,438","34,43,83,839.45","31,703"
"26-Jun-2025","EQ","792.00","796.00","780.00","784.30","791.00","790.50","788.51","951.75","558.50","2,14,509","16,91,42,075.50","13,254"
"25-Jun-2025","EQ","795.55","799.00","782.05","789.35","784.10","784.30","791.08","951.75","558.50","1,73,442","13,72,05,829.35","9,982"
"24-Jun-2025","EQ","767.00","792.00","765.00","763.30","791.00","789.35","783.33","951.75","558.50","3,68,881","28,89,57,364.50","29,524"
"23-Jun-2025","EQ","757.10","772.50","754.80","764.45","764.40","763.30","765.91","951.75","558.50","91,174","6,98,31,514.10","7,993"
"20-Jun-2025","EQ","777.05","781.45","760.00","777.05","765.00","764.45","765.78","951.75","558.50","5,25,429","40,23,61,228.20","28,670"
"19-Jun-2025","EQ","785.00","788.40","766.90","790.05","775.10","777.05","776.37","951.75","558.50","1,91,631","14,87,76,034.25","12,884"
"18-Jun-2025","EQ","794.30","801.45","783.00","793.35","787.55","790.05","795.61","951.75","558.50","2,96,023","23,55,18,414.10","14,171"
"17-Jun-2025","EQ","782.00","796.55","777.60","779.75","790.00","793.35","790.28","951.75","558.50","3,45,617","27,31,33,141.40","16,377"
"16-Jun-2025","EQ","790.25","792.00","768.00","792.45","781.00","779.75","778.82","951.75","558.50","2,79,210","21,74,54,133.00","16,491"
"13-Jun-2025","EQ","787.10","801.30","773.60","796.70","792.00","792.45","792.54","951.75","558.50","1,60,545","12,72,37,895.45","10,434"
"12-Jun-2025","EQ","816.50","816.50","790.90","813.45","796.30","796.70","806.80","951.75","558.50","3,29,745","26,60,39,834.50","16,629"
"11-Jun-2025","EQ","810.90","817.75","800.55","811.95","810.00","813.45","807.93","951.75","558.50","3,17,340","25,63,88,370.75","14,321"
"10-Jun-2025","EQ","817.70","817.70","805.05","808.90","809.85","811.95","811.36","951.75","558.50","3,21,681","26,09,97,961.60","18,870"
"09-Jun-2025","EQ","789.40","812.20","787.00","782.55","809.00","808.90","805.18","951.75","558.50","5,84,647","47,07,45,241.70","34,886"
"06-Jun-2025","EQ","778.40","801.90","773.00","778.40","783.00","782.55","785.72","951.75","558.50","5,09,557","40,03,66,617.55","31,910"
"05-Jun-2025","EQ","789.40","790.45","777.00","782.45","778.00","778.40","782.81","951.75","558.50","1,04,247","8,16,05,573.00","6,846"
