ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","847.80","854.95","841.70","847.45","847.20","845.55","847.84","1,667.00","809.10","1,08,487","9,19,79,689.30","9,823"
"12-Aug-2025","EQ","858.30","879.50","837.85","849.25","847.80","847.45","855.65","1,667.00","809.10","1,71,391","14,66,51,521.15","21,422"
"11-Aug-2025","EQ","841.35","861.90","833.05","841.30","859.60","849.25","844.26","1,667.00","809.10","3,59,274","30,33,19,963.60","26,923"
"08-Aug-2025","EQ","851.00","879.45","836.15","855.80","838.85","841.30","852.37","1,691.00","809.10","2,86,762","24,44,27,277.55","21,429"
"07-Aug-2025","EQ","878.70","887.05","848.05","885.10","854.00","855.80","860.56","1,691.00","809.10","4,32,787","37,24,38,898.90","22,220"
"06-Aug-2025","EQ","905.90","913.95","881.60","905.30","885.00","885.10","889.28","1,691.00","809.10","77,949","6,93,18,633.85","7,592"
"05-Aug-2025","EQ","926.00","926.00","903.05","917.50","909.00","905.30","910.20","1,691.00","809.10","1,83,912","16,73,96,590.90","6,328"
"04-Aug-2025","EQ","934.40","934.40","908.05","925.95","917.30","917.50","914.41","1,691.00","809.10","1,23,643","11,30,59,950.80","9,433"
"01-Aug-2025","EQ","926.00","947.00","924.00","930.60","927.90","925.95","931.82","1,771.00","809.10","1,21,391","11,31,14,556.35","6,995"
"31-Jul-2025","EQ","942.00","955.30","926.00","954.80","932.95","930.60","938.76","1,771.00","809.10","40,421","3,79,45,708.60","5,175"
"30-Jul-2025","EQ","929.00","957.70","929.00","928.15","948.00","954.80","935.38","1,771.00","809.10","2,96,427","27,72,71,981.55","16,287"
"29-Jul-2025","EQ","930.50","949.40","921.15","934.10","927.15","928.15","929.49","1,771.00","809.10","1,02,872","9,56,18,742.60","12,910"
"28-Jul-2025","EQ","957.60","960.10","925.00","959.15","930.10","934.10","935.76","1,771.00","809.10","4,86,847","45,55,69,863.35","8,506"
"25-Jul-2025","EQ","975.05","979.35","952.10","982.55","958.70","959.15","961.97","1,771.00","809.10","66,280","6,37,59,298.85","6,947"
"24-Jul-2025","EQ","977.15","986.60","972.55","977.15","979.70","982.55","980.64","1,771.00","809.10","39,455","3,86,91,000.05","4,259"
"23-Jul-2025","EQ","980.00","984.30","966.75","979.75","977.20","977.15","976.91","1,771.00","809.10","53,639","5,24,00,400.25","6,019"
"22-Jul-2025","EQ","987.50","998.40","978.00","992.15","978.00","979.75","984.82","1,771.00","809.10","61,613","6,06,77,828.10","7,304"
"21-Jul-2025","EQ","989.95","998.50","981.75","987.60","990.00","992.15","992.14","1,771.00","809.10","76,707","7,61,04,410.15","6,421"
"18-Jul-2025","EQ","1,004.60","1,004.60","981.10","994.70","985.60","987.60","992.27","1,771.00","809.10","77,720","7,71,19,446.35","6,868"
"17-Jul-2025","EQ","999.50","1,003.20","992.70","999.65","994.25","994.70","998.18","1,771.00","809.10","2,94,914","29,43,75,793.65","6,641"
"16-Jul-2025","EQ","996.40","1,004.40","986.45","985.50","999.50","999.65","997.97","1,771.00","809.10","1,08,812","10,85,90,945.75","7,109"
