ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,330.00","2,378.50","2,250.30","2,336.80","2,363.80","2,348.60","2,325.02","2,378.50","817.50","4,04,527","94,05,32,268.90","44,130"
"12-Aug-2025","EQ","2,214.80","2,350.00","2,206.60","2,213.00","2,325.00","2,336.80","2,300.95","2,350.00","817.50","5,41,775","1,24,65,95,094.20","45,266"
"11-Aug-2025","EQ","2,164.10","2,234.30","2,145.00","2,168.60","2,220.00","2,213.00","2,197.57","2,300.00","817.50","3,35,174","73,65,67,170.70","33,228"
"08-Aug-2025","EQ","2,114.40","2,188.90","2,092.60","2,104.40","2,163.00","2,168.60","2,164.47","2,300.00","817.50","3,23,681","70,05,97,252.30","35,818"
"07-Aug-2025","EQ","2,085.00","2,117.90","2,035.40","2,116.90","2,114.00","2,104.40","2,074.74","2,300.00","817.50","4,69,900","97,49,20,909.00","50,799"
"06-Aug-2025","EQ","2,245.00","2,266.00","2,100.00","2,259.60","2,103.90","2,116.90","2,174.73","2,300.00","817.50","3,97,362","86,41,56,001.70","32,565"
"05-Aug-2025","EQ","2,248.00","2,300.00","2,228.00","2,241.80","2,249.00","2,259.60","2,262.03","2,300.00","817.50","4,59,997","1,04,05,29,075.10","42,826"
"04-Aug-2025","EQ","2,179.90","2,253.90","2,157.90","2,176.40","2,243.00","2,241.80","2,216.65","2,253.90","817.50","4,55,878","1,01,05,21,389.60","48,296"
"01-Aug-2025","EQ","2,188.20","2,188.20","2,131.00","2,186.50","2,168.10","2,176.40","2,160.30","2,219.00","817.50","4,99,890","1,07,99,13,729.00","41,787"
"31-Jul-2025","EQ","2,070.00","2,219.00","2,031.00","2,090.90","2,182.10","2,186.50","2,175.54","2,219.00","817.50","12,63,896","2,74,96,53,086.70","89,265"
"30-Jul-2025","EQ","2,074.00","2,100.00","2,053.00","2,084.70","2,090.90","2,090.90","2,078.38","2,140.90","817.50","3,50,663","72,88,11,056.20","26,983"
"29-Jul-2025","EQ","2,059.10","2,110.00","2,041.20","2,066.90","2,074.00","2,084.70","2,084.47","2,140.90","817.50","10,51,561","2,19,19,47,536.50","63,474"
"28-Jul-2025","EQ","1,879.80","2,140.90","1,832.80","1,894.70","2,051.00","2,066.90","2,043.48","2,140.90","817.50","53,60,294","10,95,36,58,940.80","3,11,192"
"25-Jul-2025","EQ","1,944.90","1,944.90","1,875.10","1,965.60","1,879.80","1,894.70","1,907.07","2,000.00","815.20","1,69,443","32,31,39,291.70","19,261"
"24-Jul-2025","EQ","1,965.00","1,982.00","1,924.00","1,962.70","1,949.20","1,965.60","1,957.88","2,000.00","815.20","1,58,681","31,06,78,090.00","17,814"
"23-Jul-2025","EQ","1,901.00","1,979.40","1,890.00","1,910.70","1,959.00","1,962.70","1,940.37","2,000.00","815.20","3,03,696","58,92,83,315.40","28,460"
"22-Jul-2025","EQ","1,921.00","1,969.00","1,896.20","1,921.80","1,908.20","1,910.70","1,937.12","2,000.00","815.20","4,13,750","80,14,82,388.30","44,248"
"21-Jul-2025","EQ","1,881.30","1,930.00","1,861.10","1,897.80","1,917.20","1,921.80","1,906.78","2,000.00","815.20","2,21,589","42,25,21,282.60","23,411"
"18-Jul-2025","EQ","1,922.00","1,938.80","1,881.00","1,922.10","1,893.80","1,897.80","1,904.69","2,000.00","815.20","1,37,165","26,12,56,316.20","23,156"
"17-Jul-2025","EQ","1,917.00","1,933.40","1,868.70","1,914.60","1,926.00","1,922.10","1,913.07","2,000.00","815.20","3,90,580","74,72,06,752.50","45,712"
"16-Jul-2025","EQ","1,904.50","1,939.90","1,904.00","1,904.50","1,924.00","1,914.60","1,919.65","2,000.00","815.20","2,15,369","41,34,33,939.20","32,627"
"15-Jul-2025","EQ","1,987.50","1,990.70","1,890.00","1,987.30","1,910.00","1,904.50","1,919.39","2,000.00","815.20","4,32,561","83,02,51,367.80","44,814"
"14-Jul-2025","EQ","1,905.00","2,000.00","1,865.10","1,899.70","1,989.50","1,987.30","1,955.14","2,000.00","815.20","11,54,448","2,25,71,06,564.40","92,910"
"11-Jul-2025","EQ","1,838.00","1,918.00","1,827.10","1,837.60","1,896.90","1,899.70","1,885.79","1,918.00","815.20","9,11,306","1,71,85,27,313.00","75,077"
"10-Jul-2025","EQ","1,764.90","1,849.90","1,764.90","1,764.80","1,838.00","1,837.60","1,815.51","1,889.00","815.20","5,43,789","98,72,53,630.00","44,303"
