ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","866.65","874.65","857.00","866.65","857.00","863.40","864.82","936.80","525.00","72,849","6,30,01,513.05","5,001"
"11-Aug-2025","EQ","870.00","873.95","847.20","864.35","862.00","866.65","863.25","936.80","525.00","2,47,719","21,38,43,508.75","22,684"
"08-Aug-2025","EQ","862.65","871.55","837.00","862.65","870.00","864.35","853.50","936.80","525.00","1,41,355","12,06,47,030.60","9,956"
"07-Aug-2025","EQ","858.20","869.80","841.65","862.50","869.00","862.65","854.03","936.80","525.00","1,32,519","11,31,75,281.85","12,042"
"06-Aug-2025","EQ","855.00","869.35","821.20","912.20","864.90","862.50","853.06","936.80","525.00","9,24,861","78,89,60,438.45","56,679"
"05-Aug-2025","EQ","936.75","936.75","906.70","927.60","912.00","912.20","919.72","936.80","525.00","2,72,924","25,10,12,862.25","17,635"
"04-Aug-2025","EQ","906.35","936.80","898.55","894.10","930.00","927.60","923.57","936.80","525.00","13,71,677","1,26,68,44,699.50","59,712"
"01-Aug-2025","EQ","857.10","905.00","848.00","852.85","892.50","894.10","882.87","915.00","525.00","8,34,157","73,64,50,060.60","54,692"
"31-Jul-2025","EQ","845.75","868.00","838.45","845.75","856.00","852.85","857.51","915.00","525.00","2,70,449","23,19,12,367.25","15,012"
"30-Jul-2025","EQ","864.90","864.90","841.45","857.35","848.75","845.75","851.04","915.00","525.00","1,90,580","16,21,91,886.30","10,899"
"29-Jul-2025","EQ","843.05","879.00","834.15","842.70","870.75","857.35","850.36","915.00","525.00","82,411","7,00,78,698.15","9,581"
"28-Jul-2025","EQ","842.00","848.95","827.55","841.00","839.50","842.70","841.22","915.00","525.00","86,099","7,24,28,392.75","10,819"
"25-Jul-2025","EQ","854.00","855.95","822.60","844.25","844.00","841.00","836.93","915.00","525.00","1,12,633","9,42,66,271.55","8,961"
"24-Jul-2025","EQ","856.90","860.35","831.00","856.90","844.00","844.25","844.39","915.00","525.00","2,32,077","19,59,63,676.40","20,480"
"23-Jul-2025","EQ","869.90","869.90","844.05","859.35","864.00","856.90","853.15","915.00","525.00","94,683","8,07,78,514.00","14,736"
"22-Jul-2025","EQ","877.50","907.00","839.00","867.85","857.70","859.35","871.77","915.00","525.00","6,00,962","52,38,98,013.80","40,064"
"21-Jul-2025","EQ","871.60","872.80","862.00","871.60","872.80","867.85","866.85","915.00","525.00","51,640","4,47,64,114.15","5,997"
"18-Jul-2025","EQ","897.00","897.00","868.00","888.60","868.00","871.60","876.82","915.00","525.00","86,117","7,55,09,326.95","11,924"
"17-Jul-2025","EQ","881.35","891.10","878.00","881.35","888.00","888.60","886.80","915.00","525.00","51,373","4,55,57,407.95","9,797"
"16-Jul-2025","EQ","898.30","902.65","873.00","888.30","878.30","881.35","888.67","915.00","525.00","1,86,683","16,58,99,431.80","25,452"
"15-Jul-2025","EQ","884.70","899.95","871.40","876.85","885.25","888.30","886.96","915.00","525.00","1,21,631","10,78,81,640.70","16,171"
"14-Jul-2025","EQ","885.05","891.80","857.55","888.05","867.00","876.85","875.96","915.00","525.00","2,12,303","18,59,68,331.50","30,485"
"11-Jul-2025","EQ","881.20","912.85","870.05","881.20","883.00","888.05","894.64","915.00","525.00","3,39,289","30,35,42,429.15","26,289"
"10-Jul-2025","EQ","897.95","902.50","875.00","890.15","880.00","881.20","890.58","915.00","525.00","2,23,568","19,91,06,019.40","34,118"
"09-Jul-2025","EQ","896.70","899.00","872.00","893.40","890.00","890.15","890.91","915.00","525.00","84,338","7,51,37,363.75","11,643"
"08-Jul-2025","EQ","898.95","914.50","884.75","891.60","893.00","893.40","894.98","915.00","525.00","1,77,737","15,90,70,371.55","14,625"
"07-Jul-2025","EQ","885.50","899.00","874.10","884.40","887.00","891.60","890.67","915.00","525.00","1,41,707","12,62,14,751.30","15,012"
"04-Jul-2025","EQ","882.05","899.70","878.95","884.95","880.10","884.40","887.24","915.00","525.00","2,79,418","24,79,09,862.20","17,401"
"03-Jul-2025","EQ","860.00","892.40","851.05","855.65","885.00","884.95","873.73","915.00","525.00","7,30,539","63,82,93,548.15","30,870"
"02-Jul-2025","EQ","835.05","865.00","814.70","838.05","865.00","855.65","841.46","915.00","525.00","3,84,987","32,39,51,689.65","23,548"
"01-Jul-2025","EQ","843.00","846.85","830.00","849.55","831.50","838.05","836.10","915.00","525.00","2,59,817","21,72,31,722.60","24,567"
"30-Jun-2025","EQ","855.20","867.60","841.70","849.70","850.00","849.55","850.35","915.00","525.00","3,82,147","32,49,58,243.80","22,299"
"27-Jun-2025","EQ","838.00","854.00","834.25","837.60","852.00","849.70","849.36","915.00","525.00","3,43,733","29,19,53,354.95","24,845"
"26-Jun-2025","EQ","850.00","855.00","833.40","846.75","837.65","837.60","842.96","915.00","525.00","1,64,138","13,83,61,682.60","15,175"
"25-Jun-2025","EQ","854.40","858.00","838.40","850.35","849.25","846.75","847.50","915.00","525.00","2,15,533","18,26,64,017.85","12,302"
"24-Jun-2025","EQ","834.00","858.00","809.25","820.20","848.25","850.35","840.24","915.00","525.00","6,68,177","56,14,31,864.35","30,447"
"23-Jun-2025","EQ","787.00","825.35","779.95","786.25","816.85","820.20","809.89","915.00","525.00","8,71,996","70,62,20,497.50","42,214"
"20-Jun-2025","EQ","801.20","805.00","779.50","796.05","784.10","786.25","787.21","915.00","525.00","2,27,298","17,89,30,182.10","15,760"
"19-Jun-2025","EQ","801.00","813.55","781.05","797.75","791.00","796.05","797.06","915.00","525.00","1,87,714","14,96,18,492.10","14,412"
"18-Jun-2025","EQ","811.00","811.00","786.20","806.90","800.00","797.75","797.64","915.00","525.00","2,11,630","16,88,04,615.10","17,520"
"17-Jun-2025","EQ","808.70","819.45","802.30","810.10","805.80","806.90","810.91","915.00","525.00","1,29,902","10,53,38,844.30","8,000"
"16-Jun-2025","EQ","840.45","840.45","801.90","833.70","809.50","810.10","813.98","915.00","525.00","3,01,182","24,51,56,602.85","15,091"
"13-Jun-2025","EQ","800.00","841.05","799.95","830.60","832.00","833.70","825.81","915.00","525.00","2,01,301","16,62,35,562.65","12,461"
"12-Jun-2025","EQ","859.55","859.55","824.50","852.00","828.70","830.60","836.55","915.00","525.00","3,12,093","26,10,82,285.50","15,673"
"11-Jun-2025","EQ","860.00","863.95","839.40","853.55","849.60","852.00","852.21","915.00","525.00","1,99,292","16,98,38,548.75","14,254"
"10-Jun-2025","EQ","880.95","880.95","845.05","872.75","855.40","853.55","859.49","915.00","525.00","3,00,387","25,81,79,057.70","15,849"
"09-Jun-2025","EQ","878.00","887.10","869.25","875.55","871.00","872.75","877.48","915.00","525.00","2,33,545","20,49,32,040.05","12,340"
"06-Jun-2025","EQ","900.15","902.00","867.00","897.60","873.20","875.55","880.65","915.00","525.00","3,84,344","33,84,74,051.30","20,170"
"05-Jun-2025","EQ","894.25","909.00","891.30","889.60","895.70","897.60","899.66","915.00","525.00","3,83,212","34,47,60,152.20","26,686"
