ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","165.31","166.29","163.50","164.81","163.90","164.32","164.52","212.49","119.00","14,45,649","23,78,32,251.72","15,155"
"12-Aug-2025","EQ","162.00","166.34","162.00","161.99","164.84","164.81","164.83","212.49","119.00","20,47,337","33,74,68,229.59","14,811"
"11-Aug-2025","EQ","163.19","163.69","160.22","163.19","161.80","161.99","161.79","212.49","119.00","17,49,800","28,31,04,541.86","19,933"
"08-Aug-2025","EQ","166.15","166.24","162.01","165.84","162.01","163.19","163.88","212.49","119.00","26,42,597","43,30,58,881.58","24,112"
"07-Aug-2025","EQ","161.40","170.27","160.50","161.52","165.85","165.84","167.06","212.49","119.00","1,81,87,448","3,03,83,13,514.44","1,38,298"
"06-Aug-2025","EQ","164.27","165.44","161.23","164.27","161.25","161.52","162.86","212.49","119.00","27,95,400","45,52,70,386.64","32,741"
"05-Aug-2025","EQ","164.20","167.07","162.50","163.80","164.20","164.27","165.22","212.49","119.00","22,11,894","36,54,45,906.37","30,223"
"04-Aug-2025","EQ","166.13","166.86","162.51","165.53","163.90","163.80","163.84","212.49","119.00","24,79,637","40,62,72,758.93","25,534"
"01-Aug-2025","EQ","169.00","169.51","164.69","169.51","166.49","165.53","167.23","212.49","119.00","47,02,449","78,63,87,203.58","46,404"
"31-Jul-2025","EQ","173.50","177.99","167.46","176.61","168.55","169.51","172.12","212.49","119.00","60,59,279","1,04,29,24,545.33","53,391"
"30-Jul-2025","EQ","175.50","181.25","175.50","177.03","176.55","176.61","178.84","212.49","119.00","55,04,223","98,43,68,438.09","51,595"
"29-Jul-2025","EQ","173.10","178.15","172.58","173.99","177.48","177.03","176.02","212.49","119.00","22,93,605","40,37,21,525.46","28,244"
"28-Jul-2025","EQ","172.80","175.54","172.16","173.11","174.00","173.99","174.18","212.49","119.00","13,22,070","23,02,77,808.36","24,492"
"25-Jul-2025","EQ","175.00","177.80","172.81","175.14","173.40","173.11","174.85","212.49","119.00","18,64,488","32,60,13,478.62","17,824"
"24-Jul-2025","EQ","178.35","179.61","175.00","178.14","175.21","175.14","177.18","212.49","119.00","24,93,889","44,18,73,445.37","25,632"
"23-Jul-2025","EQ","178.70","179.15","177.58","177.93","178.13","178.14","178.37","212.49","119.00","17,97,046","32,05,44,824.74","18,425"
"22-Jul-2025","EQ","179.50","179.70","177.51","178.82","178.20","177.93","178.52","212.49","119.00","16,00,438","28,57,14,850.79","10,663"
"21-Jul-2025","EQ","178.65","179.84","177.00","178.74","178.90","178.82","178.68","212.49","119.00","23,59,409","42,15,86,205.22","17,133"
"18-Jul-2025","EQ","180.30","181.35","178.47","180.70","178.65","178.74","179.80","212.49","119.00","19,41,089","34,90,13,202.92","22,974"
"17-Jul-2025","EQ","181.30","182.29","180.00","181.30","180.20","180.70","181.18","212.49","119.00","16,21,237","29,37,33,681.74","13,289"
"16-Jul-2025","EQ","180.99","181.79","179.90","181.85","181.09","181.30","180.73","212.49","119.00","27,52,130","49,74,02,511.16","22,250"
"15-Jul-2025","EQ","181.00","183.00","180.01","180.07","181.42","181.85","181.62","212.49","119.00","39,50,851","71,75,44,212.89","31,183"
"14-Jul-2025","EQ","174.81","181.20","174.22","174.81","180.12","180.07","179.26","212.49","119.00","43,30,662","77,63,05,450.34","50,698"
"11-Jul-2025","EQ","177.85","179.56","173.93","178.44","175.00","174.81","176.10","212.49","119.00","23,93,526","42,15,05,639.72","26,241"
"10-Jul-2025","EQ","181.30","182.00","177.71","180.76","179.10","178.44","179.54","212.49","119.00","27,51,879","49,40,78,360.78","26,715"
"09-Jul-2025","EQ","180.59","181.83","178.61","180.39","180.75","180.76","180.54","212.49","119.00","36,19,410","65,34,61,005.77","27,184"
"08-Jul-2025","EQ","181.50","182.75","179.50","180.53","180.30","180.39","180.77","212.49","119.00","51,71,858","93,49,32,910.43","31,247"
"07-Jul-2025","EQ","178.45","181.89","177.26","178.60","180.25","180.53","180.63","212.49","119.00","41,09,906","74,23,81,840.39","44,890"
"04-Jul-2025","EQ","178.08","179.88","177.28","178.08","178.50","178.60","178.64","212.49","119.00","29,46,549","52,63,72,350.35","25,244"
"03-Jul-2025","EQ","177.50","179.45","175.41","177.09","177.90","178.08","177.86","212.49","119.00","40,25,291","71,59,19,049.00","36,068"
"02-Jul-2025","EQ","178.16","178.78","173.81","176.45","176.90","177.09","176.43","212.49","119.00","72,54,641","1,27,99,62,413.91","39,522"
