ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","538.00","538.75","525.60","536.65","528.00","527.30","529.51","742.20","443.20","10,23,204","54,17,92,144.15","31,118"
"12-Aug-2025","EQ","522.10","539.00","519.50","522.25","535.00","536.65","531.48","742.20","443.20","15,16,323","80,58,90,645.85","37,712"
"11-Aug-2025","EQ","529.75","533.90","516.50","530.55","522.00","522.25","522.97","742.20","443.20","14,82,566","77,53,43,420.40","43,105"
"08-Aug-2025","EQ","560.75","562.00","528.30","561.65","529.70","530.55","536.01","742.20","443.20","30,13,769","1,61,54,23,105.65","61,276"
"07-Aug-2025","EQ","567.00","571.00","555.25","569.50","560.80","561.65","561.45","742.20","443.20","17,71,601","99,46,60,670.05","49,697"
"06-Aug-2025","EQ","570.95","571.40","560.00","567.50","567.70","569.50","566.82","742.20","443.20","31,78,115","1,80,14,17,248.80","66,619"
"05-Aug-2025","EQ","531.00","569.80","531.00","532.15","566.00","567.50","558.78","742.20","443.20","1,15,07,207","6,42,99,91,813.10","1,52,283"
"04-Aug-2025","EQ","523.05","536.00","512.00","518.30","533.10","532.15","526.89","742.20","443.20","26,94,734","1,41,98,29,874.75","53,903"
"01-Aug-2025","EQ","533.00","551.55","515.05","514.90","521.30","518.30","532.54","742.20","443.20","1,42,04,888","7,56,46,74,014.80","1,95,568"
"31-Jul-2025","EQ","535.00","536.00","503.00","538.20","517.80","514.90","519.61","742.20","443.20","74,93,748","3,89,38,16,215.80","77,856"
"30-Jul-2025","EQ","535.00","548.95","533.20","532.70","538.00","538.20","539.82","742.20","443.20","26,35,551","1,42,27,11,979.10","43,817"
"29-Jul-2025","EQ","528.85","534.95","524.90","529.90","533.30","532.70","530.20","742.20","443.20","11,42,201","60,55,91,167.20","24,942"
"28-Jul-2025","EQ","538.95","542.40","527.15","538.00","528.55","529.90","533.22","742.20","443.20","15,36,615","81,93,55,625.95","30,885"
"25-Jul-2025","EQ","555.00","555.30","535.85","554.45","538.10","538.00","541.78","742.20","443.20","14,28,649","77,40,20,561.80","34,051"
"24-Jul-2025","EQ","561.55","569.75","552.50","558.90","552.50","554.45","561.20","742.20","443.20","18,32,619","1,02,84,58,951.50","39,666"
"23-Jul-2025","EQ","550.20","561.25","550.05","550.20","558.50","558.90","557.46","742.20","443.20","15,34,408","85,53,72,858.40","40,459"
"22-Jul-2025","EQ","552.50","554.95","548.05","551.70","550.00","550.20","550.83","742.20","443.20","7,24,125","39,88,69,624.65","17,778"
"21-Jul-2025","EQ","548.60","554.65","544.50","548.65","553.00","551.70","550.86","742.20","443.20","8,72,849","48,08,19,763.90","25,229"
"18-Jul-2025","EQ","555.00","557.00","546.50","554.90","548.25","548.65","550.14","742.20","443.20","11,56,709","63,63,53,882.00","24,152"
