ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","789.25","806.00","782.10","789.15","801.00","802.50","796.18","806.00","389.00","6,72,418","53,53,64,266.40","18,047"
"12-Aug-2025","EQ","768.00","798.70","766.15","765.45","786.10","789.15","786.95","798.70","389.00","8,27,808","65,14,43,277.35","20,167"
"11-Aug-2025","EQ","742.90","768.60","735.65","740.75","764.00","765.45","754.83","789.00","389.00","9,19,601","69,41,43,008.15","19,530"
"08-Aug-2025","EQ","740.50","754.25","731.20","739.45","736.35","740.75","740.99","789.00","378.30","4,68,063","34,68,28,895.05","11,820"
"07-Aug-2025","EQ","738.95","742.95","729.75","739.30","740.00","739.45","736.95","789.00","378.30","3,70,292","27,28,87,352.75","8,402"
"06-Aug-2025","EQ","754.00","756.70","736.50","752.80","740.00","739.30","742.71","789.00","378.30","4,56,810","33,92,79,136.40","8,269"
"05-Aug-2025","EQ","753.70","756.35","744.00","752.30","752.15","752.80","750.63","789.00","378.30","4,06,365","30,50,31,285.40","10,618"
"04-Aug-2025","EQ","760.00","764.00","750.55","752.80","754.00","752.30","756.56","789.00","378.30","5,46,712","41,36,19,469.70","15,303"
"01-Aug-2025","EQ","761.90","765.00","751.00","762.20","751.45","752.80","759.91","789.00","378.30","5,83,249","44,32,17,297.85","14,377"
"31-Jul-2025","EQ","740.50","784.50","737.45","744.15","760.00","762.20","768.58","789.00","378.30","10,82,664","83,21,15,076.35","25,238"
"30-Jul-2025","EQ","741.65","745.45","735.40","739.80","744.50","744.15","741.93","789.00","378.30","3,38,319","25,10,09,965.60","7,575"
"29-Jul-2025","EQ","735.50","742.35","719.95","736.80","739.50","739.80","735.49","789.00","378.30","8,13,459","59,82,93,737.80","13,763"
"28-Jul-2025","EQ","751.90","753.75","731.05","752.10","732.00","736.80","740.68","789.00","378.30","5,05,529","37,44,34,394.25","12,080"
"25-Jul-2025","EQ","761.85","761.85","749.00","762.20","749.25","752.10","752.94","789.00","358.10","4,31,473","32,48,71,635.20","7,127"
"24-Jul-2025","EQ","762.50","766.50","755.45","761.30","760.50","762.20","758.24","789.00","358.10","14,00,116","1,06,16,30,263.25","13,178"
"23-Jul-2025","EQ","766.50","768.95","745.15","763.90","760.50","761.30","756.80","789.00","358.10","18,08,094","1,36,83,61,216.70","23,947"
"22-Jul-2025","EQ","789.00","789.00","758.40","761.25","762.55","763.90","769.85","789.00","358.10","16,82,291","1,29,51,16,593.65","33,942"
"21-Jul-2025","EQ","754.60","765.80","747.60","753.05","760.00","761.25","758.29","765.80","358.10","10,53,504","79,88,65,089.60","17,214"
"18-Jul-2025","EQ","759.80","762.80","745.50","756.30","752.85","753.05","754.44","762.80","358.10","5,23,765","39,51,50,528.65","12,426"
"17-Jul-2025","EQ","752.85","762.00","741.00","747.10","753.00","756.30","753.46","762.00","358.10","9,78,271","73,70,87,137.90","19,575"
"16-Jul-2025","EQ","706.40","751.65","706.00","705.20","745.00","747.10","736.46","751.65","358.10","12,32,372","90,75,88,809.75","31,178"
"15-Jul-2025","EQ","694.20","721.00","694.20","690.75","704.00","705.20","710.12","740.00","358.10","5,24,747","37,26,31,522.85","14,849"
