ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,855.00","1,888.00","1,844.40","1,855.30","1,880.10","1,873.20","1,868.56","2,231.60","1,357.35","1,35,159","25,25,52,901.80","15,775"
"12-Aug-2025","EQ","1,829.50","1,865.30","1,815.00","1,845.10","1,860.00","1,855.30","1,839.93","2,231.60","1,357.35","1,01,271","18,63,32,053.30","16,961"
"11-Aug-2025","EQ","1,845.00","1,868.00","1,825.50","1,853.40","1,848.00","1,845.10","1,848.29","2,231.60","1,357.35","96,247","17,78,91,981.80","12,388"
"08-Aug-2025","EQ","1,849.10","1,870.00","1,829.20","1,849.10","1,851.60","1,853.40","1,844.34","2,231.60","1,357.35","4,75,132","87,63,03,536.60","20,629"
"07-Aug-2025","EQ","1,796.50","1,854.00","1,793.50","1,794.60","1,847.90","1,849.10","1,824.55","2,231.60","1,357.35","79,547","14,51,37,191.10","11,375"
"06-Aug-2025","EQ","1,802.80","1,820.00","1,760.10","1,802.80","1,802.60","1,794.60","1,782.97","2,231.60","1,357.35","2,41,235","43,01,15,966.40","14,983"
"05-Aug-2025","EQ","1,835.40","1,846.30","1,781.50","1,821.60","1,804.90","1,802.80","1,817.26","2,231.60","1,357.35","1,29,962","23,61,74,966.50","16,322"
"04-Aug-2025","EQ","1,828.00","1,845.00","1,791.70","1,828.40","1,817.20","1,821.60","1,820.85","2,231.60","1,357.35","2,56,930","46,78,30,291.90","39,052"
"01-Aug-2025","EQ","1,887.70","1,904.90","1,820.00","1,887.70","1,828.00","1,828.40","1,850.12","2,231.60","1,357.35","1,40,674","26,02,63,147.00","21,436"
"31-Jul-2025","EQ","1,900.00","1,921.60","1,853.90","1,908.20","1,877.70","1,887.70","1,892.31","2,231.60","1,357.35","3,57,485","67,64,71,710.50","20,120"
"30-Jul-2025","EQ","1,912.50","1,923.00","1,876.40","1,912.50","1,915.00","1,908.20","1,892.63","2,231.60","1,357.35","3,31,743","62,78,66,881.90","23,504"
"29-Jul-2025","EQ","1,901.00","1,928.10","1,881.10","1,901.50","1,923.80","1,912.50","1,899.45","2,231.60","1,357.35","3,87,829","73,66,62,983.10","18,340"
"28-Jul-2025","EQ","1,971.00","1,971.00","1,880.80","1,994.90","1,901.60","1,901.50","1,931.62","2,231.60","1,357.35","2,75,837","53,28,12,462.60","33,765"
"25-Jul-2025","EQ","2,050.50","2,050.50","1,971.70","2,046.70","1,987.00","1,994.90","2,002.71","2,231.60","1,357.35","1,29,693","25,97,37,364.90","17,605"
"24-Jul-2025","EQ","2,082.90","2,092.60","2,037.40","2,071.80","2,050.50","2,046.70","2,059.21","2,231.60","1,357.35","1,31,589","27,09,69,645.30","22,861"
"23-Jul-2025","EQ","2,108.00","2,108.00","2,054.00","2,096.80","2,083.80","2,071.80","2,075.92","2,231.60","1,357.35","4,42,895","91,94,16,451.50","41,220"
