ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,549.00","1,549.00","1,513.50","1,529.40","1,532.90","1,533.00","1,530.51","1,970.00","1,033.25","28,926","4,42,71,604.70","3,396"
"12-Aug-2025","EQ","1,462.00","1,549.90","1,462.00","1,517.20","1,530.90","1,529.40","1,535.19","1,970.00","1,033.25","45,104","6,92,43,335.10","4,522"
"11-Aug-2025","EQ","1,504.60","1,526.80","1,486.50","1,504.40","1,510.70","1,517.20","1,505.30","1,970.00","1,033.25","45,705","6,87,99,839.20","4,546"
"08-Aug-2025","EQ","1,613.80","1,613.80","1,501.80","1,610.30","1,502.00","1,504.40","1,526.67","1,970.00","1,033.25","1,48,916","22,73,45,813.70","15,668"
"07-Aug-2025","EQ","1,520.00","1,614.80","1,520.00","1,548.70","1,614.80","1,610.30","1,578.37","1,970.00","1,033.25","55,182","8,70,97,548.20","7,247"
"06-Aug-2025","EQ","1,625.30","1,625.30","1,542.00","1,612.50","1,546.50","1,548.70","1,565.60","1,970.00","1,033.25","44,373","6,94,70,512.60","6,305"
"05-Aug-2025","EQ","1,648.00","1,654.40","1,606.00","1,646.20","1,606.10","1,612.50","1,624.80","1,970.00","1,033.25","67,722","11,00,34,492.50","6,087"
"04-Aug-2025","EQ","1,608.00","1,654.00","1,594.90","1,608.90","1,648.30","1,646.20","1,624.39","1,970.00","1,033.25","1,30,488","21,19,63,688.30","9,711"
"01-Aug-2025","EQ","1,656.70","1,656.70","1,605.20","1,656.70","1,613.00","1,608.90","1,629.14","1,970.00","1,033.25","53,975","8,79,32,947.00","4,967"
"31-Jul-2025","EQ","1,635.10","1,670.00","1,604.40","1,641.60","1,660.00","1,656.70","1,641.02","1,970.00","1,033.25","1,37,830","22,61,81,888.30","11,293"
"30-Jul-2025","EQ","1,614.00","1,645.50","1,604.90","1,613.00","1,636.80","1,641.60","1,630.97","1,970.00","1,033.25","63,187","10,30,56,001.60","6,116"
"29-Jul-2025","EQ","1,619.50","1,625.50","1,586.20","1,618.70","1,614.00","1,613.00","1,609.64","1,970.00","1,033.25","73,106","11,76,74,176.60","5,890"
"28-Jul-2025","EQ","1,584.00","1,635.00","1,568.00","1,585.00","1,610.50","1,618.70","1,609.55","1,970.00","1,033.25","1,09,622","17,64,41,945.10","7,831"
"25-Jul-2025","EQ","1,589.90","1,624.00","1,555.10","1,573.00","1,587.20","1,585.00","1,591.78","1,970.00","1,033.25","2,09,641","33,37,01,490.40","21,711"
"24-Jul-2025","EQ","1,743.10","1,744.70","1,546.60","1,742.20","1,573.80","1,573.00","1,611.37","1,970.00","1,033.25","6,60,930","1,06,50,01,892.60","47,207"
"23-Jul-2025","EQ","1,754.90","1,770.00","1,731.00","1,742.70","1,770.00","1,742.20","1,741.44","1,970.00","1,033.25","50,614","8,81,41,055.90","4,491"
