ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","435.95","442.00","434.00","435.80","436.50","435.90","436.42","616.50","410.55","3,63,922","15,88,21,997.50","13,801"
"12-Aug-2025","EQ","439.60","441.20","434.70","436.50","437.50","435.80","436.97","616.50","410.55","3,41,704","14,93,14,554.15","19,027"
"11-Aug-2025","EQ","444.00","448.35","435.50","444.15","436.00","436.50","440.88","616.50","410.55","4,25,158","18,74,43,863.65","12,960"
"08-Aug-2025","EQ","448.15","454.15","440.75","447.40","442.50","444.15","448.34","616.50","410.55","4,22,895","18,95,99,471.85","19,953"
"07-Aug-2025","EQ","433.00","449.55","428.55","435.60","448.05","447.40","440.28","616.50","410.55","4,04,399","17,80,46,939.95","18,312"
"06-Aug-2025","EQ","440.10","448.50","429.90","440.10","434.90","435.60","435.99","616.50","410.55","5,93,786","25,88,84,324.65","43,473"
"05-Aug-2025","EQ","450.00","451.00","439.00","448.15","440.90","440.10","444.65","616.50","410.55","7,20,041","32,01,65,394.30","30,432"
"04-Aug-2025","EQ","452.50","454.50","444.55","454.50","447.95","448.15","449.06","616.50","410.55","6,85,180","30,76,88,131.90","31,523"
"01-Aug-2025","EQ","458.00","462.55","451.00","458.30","452.50","454.50","457.39","616.50","410.55","4,54,495","20,78,79,530.30","35,885"
"31-Jul-2025","EQ","460.00","466.00","452.75","465.75","458.60","458.30","459.56","616.50","410.55","8,12,311","37,33,03,822.00","36,574"
"30-Jul-2025","EQ","476.60","482.85","462.95","476.30","465.00","465.75","470.43","616.50","410.55","5,16,469","24,29,64,980.05","30,180"
"29-Jul-2025","EQ","477.00","482.65","466.65","477.00","476.60","476.30","478.70","616.50","410.55","9,65,842","46,23,51,875.45","20,507"
"28-Jul-2025","EQ","484.10","490.95","472.00","488.50","477.10","477.00","479.25","616.50","410.55","2,31,395","11,08,95,180.20","15,252"
"25-Jul-2025","EQ","511.60","511.60","480.30","507.10","490.95","488.50","489.18","616.50","410.55","5,39,082","26,37,07,705.75","27,613"
"24-Jul-2025","EQ","501.55","510.75","478.50","501.55","509.75","507.10","494.92","616.50","410.55","7,45,804","36,91,12,889.50","38,374"
"23-Jul-2025","EQ","518.80","519.30","499.95","516.55","500.00","501.55","505.89","616.50","410.55","1,95,523","9,89,13,928.70","14,955"
"22-Jul-2025","EQ","534.50","537.00","508.85","534.50","518.80","516.55","525.48","616.50","410.55","3,85,673","20,26,63,472.25","19,634"
"21-Jul-2025","EQ","532.95","537.00","530.05","532.90","535.00","534.50","534.28","616.50","410.55","1,67,828","8,96,67,527.50","11,475"
"18-Jul-2025","EQ","535.60","536.70","526.65","533.50","533.00","532.90","531.77","616.50","410.55","5,88,173","31,27,75,022.70","20,233"
"17-Jul-2025","EQ","520.10","541.15","519.00","520.45","531.00","533.50","531.04","616.50","410.55","4,57,490","24,29,47,331.95","15,714"
"16-Jul-2025","EQ","522.00","525.70","518.00","521.05","520.30","520.45","521.57","616.50","410.55","2,43,665","12,70,88,820.50","12,116"
"15-Jul-2025","EQ","515.30","523.20","515.30","518.50","520.00","521.05","520.18","616.50","410.55","2,33,826","12,16,32,477.75","8,839"
"14-Jul-2025","EQ","519.45","521.00","510.75","519.45","518.05","518.50","517.77","616.50","410.55","1,86,187","9,64,02,266.15","14,796"
"11-Jul-2025","EQ","514.10","521.00","512.75","518.80","519.50","519.45","518.44","616.50","410.55","2,01,015","10,42,13,220.85","11,059"
"10-Jul-2025","EQ","520.30","524.00","513.25","520.30","518.00","518.80","518.26","616.50","410.55","6,17,249","31,98,93,363.45","30,004"
"09-Jul-2025","EQ","517.70","523.10","514.00","517.75","519.00","520.30","518.33","616.50","410.55","1,66,490","8,62,97,412.40","11,874"
"08-Jul-2025","EQ","525.00","527.30","514.00","520.15","517.80","517.75","519.26","616.50","410.55","2,01,188","10,44,69,646.75","12,443"
"07-Jul-2025","EQ","515.00","525.00","512.75","514.50","519.00","520.15","520.24","616.50","410.55","4,38,316","22,80,29,769.85","17,673"
"04-Jul-2025","EQ","506.00","516.90","506.00","506.10","514.50","514.50","513.52","616.50","410.55","2,60,405","13,37,21,908.05","11,146"
"03-Jul-2025","EQ","508.00","513.15","505.00","506.20","506.00","506.10","506.49","616.50","410.55","3,03,595","15,37,67,234.55","13,850"
"02-Jul-2025","EQ","515.40","518.25","504.25","511.10","507.00","506.20","512.08","616.50","410.55","2,81,218","14,40,05,653.65","20,840"
"01-Jul-2025","EQ","506.00","519.85","503.40","500.50","511.50","511.10","513.10","616.50","410.55","5,34,079","27,40,38,572.45","22,677"
"30-Jun-2025","EQ","500.50","503.95","497.10","495.05","500.95","500.50","500.03","616.50","410.55","1,97,171","9,85,90,450.05","10,924"
"27-Jun-2025","EQ","497.00","501.70","489.95","492.20","495.00","495.05","494.82","616.50","410.55","1,82,779","9,04,42,084.15","9,579"
