ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,680.00","1,724.00","1,665.10","1,667.20","1,690.00","1,683.10","1,687.30","2,545.00","1,180.20","10,62,304","1,79,24,20,469.50","54,918"
"12-Aug-2025","EQ","1,679.00","1,680.10","1,647.30","1,660.00","1,663.00","1,667.20","1,662.60","2,545.00","1,180.20","5,24,016","87,12,27,848.50","32,526"
"11-Aug-2025","EQ","1,649.10","1,735.00","1,627.80","1,641.00","1,662.00","1,660.00","1,682.29","2,545.00","1,180.20","15,00,416","2,52,41,31,289.30","87,191"
"08-Aug-2025","EQ","1,692.80","1,704.90","1,630.00","1,692.70","1,641.00","1,641.00","1,661.29","2,545.00","1,180.20","6,07,511","1,00,92,53,975.50","41,673"
"07-Aug-2025","EQ","1,695.00","1,713.60","1,660.10","1,707.10","1,700.00","1,692.70","1,686.13","2,545.00","1,180.20","6,76,296","1,14,03,20,041.00","44,230"
"06-Aug-2025","EQ","1,745.00","1,746.90","1,701.70","1,733.70","1,704.00","1,707.10","1,716.56","2,545.00","1,180.20","4,82,772","82,87,05,544.80","34,698"
"05-Aug-2025","EQ","1,744.10","1,760.90","1,727.00","1,741.90","1,730.90","1,733.70","1,740.68","2,545.00","1,180.20","4,68,455","81,54,31,174.90","29,005"
"04-Aug-2025","EQ","1,717.40","1,755.80","1,709.50","1,718.70","1,742.10","1,741.90","1,737.72","2,545.00","1,180.20","5,45,030","94,71,11,545.90","31,035"
"01-Aug-2025","EQ","1,767.00","1,772.90","1,710.00","1,770.80","1,715.00","1,718.70","1,739.04","2,715.80","1,180.20","6,22,282","1,08,21,72,729.30","44,546"
"31-Jul-2025","EQ","1,750.00","1,804.80","1,741.60","1,786.20","1,770.00","1,770.80","1,781.96","2,715.80","1,180.20","9,67,856","1,72,46,83,482.80","48,944"
"30-Jul-2025","EQ","1,778.00","1,793.00","1,758.10","1,765.50","1,787.40","1,786.20","1,775.41","2,715.80","1,180.20","6,14,104","1,09,02,86,887.20","31,391"
"29-Jul-2025","EQ","1,740.00","1,778.00","1,717.00","1,753.40","1,778.00","1,765.50","1,746.80","2,715.80","1,180.20","11,24,026","1,96,34,44,173.20","54,593"
"28-Jul-2025","EQ","1,800.00","1,819.90","1,743.20","1,808.40","1,753.50","1,753.40","1,777.22","2,715.80","1,180.20","9,75,392","1,73,34,84,156.20","55,305"
"25-Jul-2025","EQ","1,843.20","1,855.00","1,800.00","1,854.80","1,806.40","1,808.40","1,820.60","2,774.50","1,180.20","8,62,339","1,56,99,73,617.00","48,964"
"24-Jul-2025","EQ","1,867.50","1,869.00","1,840.30","1,870.70","1,855.60","1,854.80","1,852.53","2,774.50","1,180.20","7,15,445","1,32,53,80,999.10","36,912"
"23-Jul-2025","EQ","1,849.30","1,876.40","1,823.60","1,840.10","1,871.90","1,870.70","1,850.99","2,774.50","1,180.20","9,39,802","1,73,95,65,494.80","51,752"
"22-Jul-2025","EQ","1,882.00","1,912.00","1,835.00","1,876.30","1,844.90","1,840.10","1,859.51","2,774.50","1,180.20","11,25,190","2,09,22,97,686.90","53,674"
"21-Jul-2025","EQ","1,865.00","1,899.00","1,830.00","1,867.20","1,882.00","1,876.30","1,867.82","2,774.50","1,180.20","10,51,368","1,96,37,61,784.60","52,527"
"18-Jul-2025","EQ","1,919.90","1,934.00","1,856.70","1,912.60","1,863.20","1,867.20","1,879.03","2,848.00","1,180.20","12,85,301","2,41,51,22,682.40","64,667"
"17-Jul-2025","EQ","1,939.00","1,940.00","1,905.00","1,938.00","1,911.00","1,912.60","1,917.06","2,848.00","1,180.20","8,83,285","1,69,33,10,352.60","46,630"
"16-Jul-2025","EQ","1,924.10","1,943.00","1,912.30","1,924.10","1,940.20","1,938.00","1,929.08","2,848.00","1,180.20","6,96,644","1,34,38,79,145.60","31,655"
"15-Jul-2025","EQ","1,930.00","1,953.60","1,920.00","1,928.80","1,924.80","1,924.10","1,931.96","2,848.00","1,180.20","10,00,338","1,93,26,17,782.10","50,465"
"14-Jul-2025","EQ","1,975.00","1,976.20","1,920.00","1,982.80","1,929.00","1,928.80","1,931.55","2,848.00","1,180.20","12,61,712","2,43,70,61,232.30","67,612"
"11-Jul-2025","EQ","2,017.00","2,024.00","1,971.00","2,017.70","1,985.20","1,982.80","1,987.15","2,979.45","1,180.20","12,23,384","2,43,10,52,080.50","60,965"
"10-Jul-2025","EQ","2,041.00","2,041.20","2,007.00","2,036.30","2,019.10","2,017.70","2,021.63","2,979.45","1,180.20","7,96,413","1,61,00,51,553.10","36,653"
"09-Jul-2025","EQ","2,022.00","2,064.00","2,018.90","2,021.50","2,041.00","2,036.30","2,043.27","2,979.45","1,180.20","13,24,846","2,70,70,11,885.70","55,433"
"08-Jul-2025","EQ","2,053.50","2,065.60","2,010.00","2,051.70","2,022.00","2,021.50","2,030.07","2,979.45","1,180.20","10,58,542","2,14,89,15,869.80","48,415"
"07-Jul-2025","EQ","2,065.00","2,074.00","2,030.00","2,057.30","2,054.20","2,051.70","2,053.36","2,979.45","1,180.20","14,08,214","2,89,15,75,071.70","63,907"
"04-Jul-2025","EQ","2,031.00","2,073.90","2,031.00","2,015.40","2,056.00","2,057.30","2,056.46","2,979.45","1,180.20","19,72,155","4,05,56,58,696.10","76,526"
"03-Jul-2025","EQ","2,029.90","2,048.00","2,005.00","2,025.30","2,018.00","2,015.40","2,023.42","2,979.45","1,180.20","14,24,216","2,88,17,81,160.30","56,960"
"02-Jul-2025","EQ","2,055.40","2,059.90","2,005.00","2,045.20","2,028.00","2,025.30","2,024.85","2,979.45","1,180.20","15,03,047","3,04,34,44,957.00","64,643"
"01-Jul-2025","EQ","2,085.00","2,092.10","2,036.60","2,065.80","2,054.90","2,045.20","2,059.78","2,979.45","1,180.20","18,93,630","3,90,04,66,287.20","78,326"
"30-Jun-2025","EQ","2,064.50","2,093.60","2,045.80","2,044.20","2,071.00","2,065.80","2,065.87","2,979.45","1,180.20","24,14,088","4,98,71,86,010.80","96,100"
"27-Jun-2025","EQ","2,104.90","2,126.80","2,023.10","2,091.20","2,044.90","2,044.20","2,079.84","2,979.45","1,180.20","27,45,762","5,71,07,42,553.90","1,11,623"
"26-Jun-2025","EQ","2,143.30","2,182.00","2,044.10","2,134.00","2,100.00","2,091.20","2,106.11","2,979.45","1,180.20","30,50,446","6,42,45,60,768.60","1,25,496"
"25-Jun-2025","EQ","2,177.90","2,186.00","2,111.00","2,165.50","2,137.40","2,134.00","2,139.82","2,979.45","1,180.20","30,65,799","6,56,02,47,340.50","1,20,631"
"24-Jun-2025","EQ","2,254.00","2,278.00","2,154.00","2,231.10","2,177.10","2,165.50","2,191.88","2,979.45","1,180.20","44,73,394","9,80,51,41,050.20","1,60,384"
"23-Jun-2025","EQ","2,180.00","2,249.00","2,166.40","2,179.20","2,232.20","2,231.10","2,220.68","2,979.45","1,180.20","56,85,325","12,62,53,01,793.10","1,89,007"
"20-Jun-2025","EQ","2,090.00","2,210.00","2,080.00","2,085.70","2,201.00","2,179.20","2,131.44","2,979.45","1,180.20","51,95,062","11,07,29,70,121.60","1,77,183"
"19-Jun-2025","EQ","2,144.00","2,192.00","2,071.00","2,143.50","2,080.40","2,085.70","2,131.55","2,979.45","1,180.20","44,80,331","9,55,00,41,754.80","1,67,832"
"18-Jun-2025","EQ","2,194.80","2,209.00","2,135.20","2,192.20","2,142.00","2,143.50","2,170.37","2,979.45","1,180.20","34,17,182","7,41,65,51,147.00","1,14,921"
"17-Jun-2025","EQ","2,193.90","2,243.70","2,165.80","2,188.00","2,194.40","2,192.20","2,209.31","2,979.45","1,180.20","48,68,682","10,75,64,14,076.30","1,76,250"
"16-Jun-2025","EQ","2,172.30","2,218.00","2,106.00","2,161.60","2,189.00","2,188.00","2,174.86","2,979.45","1,180.20","56,37,883","12,26,16,19,900.10","2,16,191"
"13-Jun-2025","EQ","2,087.00","2,230.60","2,060.00","2,128.10","2,173.40","2,161.60","2,162.75","2,979.45","1,180.20","99,28,649","21,47,31,91,191.60","3,44,778"
"12-Jun-2025","EQ","2,200.00","2,250.00","2,112.10","2,194.80","2,128.00","2,128.10","2,192.64","2,979.45","1,180.20","56,43,346","12,37,38,53,626.60","2,12,045"
"11-Jun-2025","EQ","2,268.00","2,282.90","2,164.00","2,258.20","2,193.20","2,194.80","2,209.28","2,979.45","1,180.20","49,55,277","10,94,76,07,369.10","2,07,740"
"10-Jun-2025","EQ","2,315.00","2,330.00","2,241.00","2,301.30","2,261.00","2,258.20","2,273.44","2,979.45","1,180.20","53,06,794","12,06,46,82,464.60","1,79,699"
"09-Jun-2025","EQ","2,406.60","2,418.60","2,290.80","2,392.50","2,303.80","2,301.30","2,320.03","2,979.45","1,180.20","69,84,192","16,20,35,68,891.60","2,67,618"
"06-Jun-2025","EQ","2,421.00","2,545.00","2,363.60","2,350.80","2,376.00","2,392.50","2,445.84","2,979.45","1,180.20","1,85,34,152","45,33,15,81,043.10","6,47,858"
"05-Jun-2025","EQ","2,108.00","2,380.00","2,041.30","2,086.70","2,362.10","2,350.80","2,251.70","2,979.45","1,180.20","2,38,64,711","53,73,61,16,543.20","6,63,990"
"04-Jun-2025","EQ","2,055.00","2,175.00","2,052.20","2,034.70","2,087.00","2,086.70","2,114.15","2,979.45","1,180.20","1,32,08,301","27,92,43,85,142.70","4,09,437"
"03-Jun-2025","EQ","1,926.80","2,050.00","1,926.80","1,923.00","2,031.00","2,034.70","2,014.54","2,979.45","1,180.20","1,00,32,378","20,21,05,95,181.30","3,24,682"
"02-Jun-2025","EQ","1,943.60","1,949.90","1,901.00","1,947.10","1,923.00","1,923.00","1,926.81","2,979.45","1,180.20","16,08,601","3,09,94,70,972.10","69,265"
"30-May-2025","EQ","1,975.00","1,993.50","1,908.90","1,979.20","1,943.60","1,947.10","1,956.35","2,979.45","1,180.20","38,04,068","7,44,20,84,797.00","1,29,339"
"29-May-2025","EQ","1,963.70","2,010.00","1,953.00","1,952.50","1,985.00","1,979.20","1,978.89","2,979.45","1,180.20","34,42,627","6,81,25,77,555.70","1,08,772"
"28-May-2025","EQ","1,939.00","1,974.70","1,937.00","1,925.60","1,952.20","1,952.50","1,955.28","2,979.45","1,180.20","34,37,727","6,72,17,12,620.60","1,07,002"
"27-May-2025","EQ","1,887.90","1,953.00","1,885.20","1,884.60","1,923.60","1,925.60","1,927.16","2,979.45","1,180.20","41,39,318","7,97,71,29,609.70","1,20,847"
"26-May-2025","EQ","1,915.00","1,924.90","1,874.50","1,915.00","1,887.00","1,884.60","1,890.01","2,979.45","1,180.20","26,23,641","4,95,87,03,121.80","87,188"
"23-May-2025","EQ","1,923.00","1,955.00","1,900.00","1,903.80","1,912.90","1,915.00","1,927.28","2,979.45","1,180.20","55,03,083","10,60,59,61,562.20","1,55,045"
"22-May-2025","EQ","1,840.90","1,931.00","1,820.70","1,838.80","1,909.20","1,903.80","1,890.24","2,979.45","1,180.20","1,00,45,412","18,98,82,67,179.00","2,68,200"
"21-May-2025","EQ","1,817.60","1,851.00","1,757.90","1,817.60","1,844.00","1,838.80","1,823.43","2,979.45","1,180.20","92,93,058","16,94,52,04,253.20","2,46,351"
"20-May-2025","EQ","1,999.00","2,042.00","1,810.00","1,982.20","1,824.00","1,817.60","1,862.13","2,979.45","1,180.20","1,35,99,661","25,32,43,06,797.60","4,29,308"
"19-May-2025","EQ","2,090.00","2,195.00","1,955.00","2,035.60","1,982.00","1,982.20","2,054.92","2,979.45","1,180.20","1,97,75,890","40,63,78,22,243.70","6,46,217"
"16-May-2025","EQ","1,850.00","2,068.00","1,835.50","1,812.10","2,047.00","2,035.60","2,000.09","2,979.45","1,168.00","3,35,98,999","67,20,10,94,681.90","8,14,642"
"15-May-2025","EQ","1,726.00","1,832.00","1,720.40","1,699.40","1,823.00","1,812.10","1,783.47","2,979.45","1,168.00","2,01,87,233","36,00,32,56,665.80","4,83,784"
"14-May-2025","EQ","1,640.00","1,798.00","1,640.00","1,577.00","1,699.80","1,699.40","1,735.22","2,979.45","1,168.00","2,13,90,019","37,11,63,87,477.30","5,31,943"
"13-May-2025","EQ","1,535.40","1,592.50","1,535.00","1,520.80","1,578.90","1,577.00","1,572.05","2,979.45","1,168.00","32,42,545","5,09,74,27,234.40","1,05,550"
"12-May-2025","EQ","1,529.00","1,539.00","1,505.00","1,484.60","1,521.00","1,520.80","1,517.44","2,979.45","1,168.00","15,22,100","2,30,96,97,144.40","60,311"
"09-May-2025","EQ","1,426.20","1,492.00","1,417.90","1,443.40","1,488.00","1,484.60","1,465.29","2,979.45","1,168.00","32,64,692","4,78,37,27,707.30","1,21,071"
"08-May-2025","EQ","1,464.70","1,499.50","1,436.00","1,457.60","1,438.00","1,443.40","1,473.02","2,979.45","1,168.00","13,75,538","2,02,61,99,090.50","58,788"
"07-May-2025","EQ","1,470.00","1,535.00","1,443.40","1,482.70","1,463.80","1,457.60","1,479.15","2,979.45","1,168.00","32,00,758","4,73,43,98,339.10","1,26,393"
"06-May-2025","EQ","1,545.00","1,583.70","1,475.00","1,544.70","1,478.00","1,482.70","1,514.91","2,979.45","1,168.00","18,10,284","2,74,24,18,320.60","78,175"
"05-May-2025","EQ","1,540.50","1,556.00","1,508.30","1,530.20","1,544.00","1,544.70","1,536.77","2,979.45","1,168.00","20,55,329","3,15,85,75,329.80","78,908"
"02-May-2025","EQ","1,595.00","1,599.00","1,524.30","1,591.40","1,529.80","1,530.20","1,560.80","2,979.45","1,168.00","31,59,168","4,93,08,25,687.80","1,14,003"
"30-Apr-2025","EQ","1,673.90","1,717.00","1,575.00","1,652.40","1,585.00","1,591.40","1,628.70","2,979.45","1,168.00","56,02,923","9,12,54,53,827.20","1,79,266"
"29-Apr-2025","EQ","1,515.00","1,669.70","1,510.00","1,502.10","1,650.50","1,652.40","1,617.12","2,979.45","1,168.00","1,18,69,691","19,19,46,66,324.40","3,15,345"
"28-Apr-2025","EQ","1,415.50","1,518.00","1,403.90","1,415.50","1,501.80","1,502.10","1,494.28","2,979.45","1,168.00","45,68,287","6,82,62,87,506.00","1,50,321"
"25-Apr-2025","EQ","1,470.00","1,481.20","1,403.20","1,477.60","1,415.00","1,415.50","1,429.37","2,979.45","1,093.05","12,79,388","1,82,87,20,298.90","70,009"
"24-Apr-2025","EQ","1,485.40","1,529.00","1,472.00","1,485.70","1,476.90","1,477.60","1,496.34","2,979.45","1,093.05","13,93,914","2,08,57,73,745.50","57,792"
"23-Apr-2025","EQ","1,496.00","1,519.50","1,456.70","1,488.90","1,486.00","1,485.70","1,485.25","2,979.45","1,093.05","10,76,643","1,59,90,87,757.80","46,986"
"22-Apr-2025","EQ","1,494.90","1,508.90","1,472.60","1,487.20","1,487.70","1,488.90","1,492.55","2,979.45","1,093.05","11,74,127","1,75,24,40,755.30","47,450"
"21-Apr-2025","EQ","1,464.60","1,566.80","1,455.10","1,449.80","1,485.00","1,487.20","1,511.31","2,979.45","1,093.05","45,99,914","6,95,19,07,475.80","1,57,360"
"17-Apr-2025","EQ","1,449.80","1,479.90","1,435.00","1,446.70","1,450.00","1,449.80","1,454.31","2,979.45","1,024.20","8,88,593","1,29,22,91,973.90","39,757"
"16-Apr-2025","EQ","1,443.00","1,476.00","1,431.00","1,442.60","1,446.70","1,446.70","1,449.63","2,979.45","1,024.20","9,90,326","1,43,56,08,136.40","47,767"
"15-Apr-2025","EQ","1,420.00","1,484.00","1,416.30","1,401.00","1,442.00","1,442.60","1,452.77","2,979.45","1,024.20","19,14,695","2,78,16,02,011.10","80,657"
"11-Apr-2025","EQ","1,396.05","1,441.30","1,380.50","1,359.90","1,402.00","1,401.00","1,410.31","2,979.45","1,024.20","11,14,448","1,57,17,12,666.75","59,431"
"09-Apr-2025","EQ","1,380.00","1,398.00","1,332.50","1,379.05","1,360.05","1,359.90","1,358.82","2,979.45","1,024.20","10,11,126","1,37,39,38,850.95","53,697"
"08-Apr-2025","EQ","1,388.95","1,389.00","1,343.00","1,338.30","1,377.00","1,379.05","1,371.74","2,979.45","1,024.20","9,82,627","1,34,79,03,997.70","55,607"
"07-Apr-2025","EQ","1,234.95","1,345.00","1,224.55","1,390.75","1,344.10","1,338.30","1,309.30","2,979.45","1,024.20","12,32,611","1,61,38,51,492.65","80,593"
"04-Apr-2025","EQ","1,453.05","1,455.10","1,380.55","1,461.15","1,392.00","1,390.75","1,400.40","2,979.45","885.35","12,03,309","1,68,51,09,663.40","60,162"
"03-Apr-2025","EQ","1,397.00","1,466.95","1,391.15","1,411.55","1,465.00","1,461.15","1,440.81","2,979.45","885.35","13,34,533","1,92,28,04,477.10","59,025"
"02-Apr-2025","EQ","1,400.00","1,415.05","1,362.40","1,393.90","1,413.75","1,411.55","1,393.72","2,979.45","885.35","6,20,582","86,49,15,216.25","36,944"
"01-Apr-2025","EQ","1,407.60","1,435.00","1,382.00","1,407.90","1,397.00","1,393.90","1,403.35","2,979.45","885.35","8,32,732","1,16,86,18,065.05","37,150"
"28-Mar-2025","EQ","1,434.05","1,468.00","1,401.10","1,424.95","1,407.60","1,407.90","1,435.64","2,979.45","865.00","10,19,725","1,46,39,53,683.15","49,125"
"27-Mar-2025","EQ","1,445.00","1,475.00","1,419.40","1,451.85","1,430.00","1,424.95","1,447.76","2,979.45","865.00","13,30,906","1,92,68,32,135.70","56,525"
"26-Mar-2025","EQ","1,457.45","1,498.90","1,445.65","1,457.45","1,452.00","1,451.85","1,470.58","2,979.45","865.00","15,23,799","2,24,08,63,719.20","61,263"
"25-Mar-2025","EQ","1,500.00","1,515.05","1,448.00","1,485.05","1,453.35","1,457.45","1,478.38","2,979.45","865.00","11,97,136","1,76,98,17,644.00","51,465"
"24-Mar-2025","EQ","1,452.45","1,520.00","1,446.00","1,438.25","1,487.10","1,485.05","1,481.04","2,979.45","865.00","20,12,055","2,97,99,30,178.70","79,793"
"21-Mar-2025","EQ","1,455.10","1,474.70","1,415.05","1,450.50","1,440.00","1,438.25","1,448.59","2,979.45","864.25","13,54,114","1,96,15,54,058.10","50,787"
"20-Mar-2025","EQ","1,474.00","1,494.95","1,412.05","1,456.70","1,450.20","1,450.50","1,449.12","2,979.45","864.25","27,84,245","4,03,47,06,340.30","98,551"
"19-Mar-2025","EQ","1,350.00","1,474.95","1,342.35","1,340.90","1,459.80","1,456.70","1,439.22","2,979.45","864.25","41,34,078","5,94,98,56,857.90","1,26,754"
"18-Mar-2025","EQ","1,304.00","1,344.90","1,300.55","1,295.70","1,342.60","1,340.90","1,328.70","2,979.45","864.25","8,92,269","1,18,55,55,835.05","43,210"
"17-Mar-2025","EQ","1,305.10","1,314.00","1,283.25","1,291.65","1,296.25","1,295.70","1,295.41","2,979.45","864.25","6,53,089","84,60,19,006.00","41,605"
