ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","969.00","999.65","950.00","950.75","982.00","986.05","984.09","1,360.00","910.75","1,77,899","17,50,69,282.55","23,122"
"12-Aug-2025","EQ","940.10","954.90","935.45","941.55","950.00","950.75","947.86","1,360.00","910.75","89,141","8,44,93,543.80","18,338"
"11-Aug-2025","EQ","930.00","947.60","910.75","933.10","936.00","941.55","931.04","1,360.00","910.75","89,041","8,29,01,080.25","14,744"
"08-Aug-2025","EQ","942.00","948.25","925.00","932.85","925.00","933.10","932.51","1,360.00","915.75","68,143","6,35,44,346.25","12,988"
"07-Aug-2025","EQ","933.00","942.35","919.00","936.15","942.00","932.85","930.51","1,360.00","915.75","81,575","7,59,06,739.35","14,594"
"06-Aug-2025","EQ","958.00","959.40","933.00","961.60","936.40","936.15","940.39","1,360.00","915.75","68,437","6,43,57,692.20","12,887"
"05-Aug-2025","EQ","978.00","980.00","951.00","958.50","952.60","961.60","962.92","1,360.00","915.75","1,01,380","9,76,20,980.85","15,520"
"04-Aug-2025","EQ","981.00","990.75","955.50","979.35","958.50","958.50","966.71","1,360.00","915.75","68,683","6,63,96,576.70","9,634"
"01-Aug-2025","EQ","989.00","998.30","954.00","998.45","981.00","979.35","969.75","1,360.00","888.55","2,93,950","28,50,58,222.10","22,496"
"31-Jul-2025","EQ","994.95","1,005.00","981.60","997.40","995.00","998.45","986.39","1,360.00","888.55","4,10,439","40,48,54,483.00","31,626"
"30-Jul-2025","EQ","1,019.40","1,020.00","995.00","1,011.55","995.80","997.40","1,003.62","1,360.00","888.55","30,739","3,08,50,139.30","6,476"
"29-Jul-2025","EQ","995.45","1,020.00","983.50","995.45","1,002.00","1,011.55","998.13","1,360.00","888.55","94,992","9,48,14,277.70","13,853"
"28-Jul-2025","EQ","1,019.50","1,024.05","990.60","1,019.50","1,001.00","995.45","998.24","1,360.00","888.55","2,35,136","23,47,20,989.25","13,681"
"25-Jul-2025","EQ","1,025.05","1,033.55","1,012.95","1,035.80","1,016.00","1,019.50","1,025.27","1,360.00","815.05","95,952","9,83,76,653.95","13,113"
"24-Jul-2025","EQ","1,043.00","1,058.20","1,031.00","1,043.50","1,031.00","1,035.80","1,042.47","1,360.00","815.05","91,393","9,52,74,383.50","16,366"
"23-Jul-2025","EQ","1,065.10","1,066.00","1,029.10","1,064.90","1,036.50","1,043.50","1,050.13","1,360.00","815.05","1,35,331","14,21,15,268.10","15,978"
