ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,210.00","2,232.90","2,196.60","2,212.40","2,198.80","2,201.60","2,208.23","3,890.00","2,194.00","2,66,482","58,84,54,313.10","27,873"
"11-Aug-2025","EQ","2,207.90","2,220.10","2,197.10","2,207.40","2,213.00","2,212.40","2,210.43","3,890.00","2,194.00","3,38,195","74,75,54,787.50","21,871"
"08-Aug-2025","EQ","2,240.40","2,245.00","2,204.00","2,240.30","2,208.00","2,207.40","2,222.23","3,890.00","2,194.00","3,64,214","80,93,68,855.60","20,225"
"07-Aug-2025","EQ","2,241.10","2,246.20","2,217.10","2,241.00","2,243.00","2,240.30","2,234.50","3,890.00","2,194.00","1,60,148","35,78,50,985.20","12,596"
"06-Aug-2025","EQ","2,231.00","2,243.30","2,213.60","2,230.50","2,243.00","2,241.00","2,227.07","3,890.00","2,194.00","6,31,492","1,40,63,79,041.70","31,851"
"05-Aug-2025","EQ","2,257.80","2,268.50","2,227.40","2,254.20","2,231.80","2,230.50","2,238.00","3,890.00","2,194.00","3,69,067","82,59,72,735.10","25,256"
"04-Aug-2025","EQ","2,258.00","2,263.40","2,235.10","2,258.00","2,257.80","2,254.20","2,253.59","3,890.00","2,194.00","3,83,404","86,40,36,254.40","30,598"
"01-Aug-2025","EQ","2,248.00","2,286.50","2,240.70","2,245.30","2,258.00","2,258.00","2,259.99","3,890.00","2,194.00","6,05,397","1,36,81,88,165.40","35,626"
"31-Jul-2025","EQ","2,220.00","2,260.00","2,212.30","2,237.10","2,241.30","2,245.30","2,241.42","3,890.00","2,194.00","6,71,856","1,50,59,10,561.30","60,998"
"30-Jul-2025","EQ","2,222.00","2,240.00","2,206.80","2,215.00","2,238.00","2,237.10","2,225.25","3,890.00","2,194.00","8,75,237","1,94,76,23,384.90","44,423"
"29-Jul-2025","EQ","2,207.90","2,222.90","2,194.00","2,205.80","2,216.90","2,215.00","2,211.60","3,890.00","2,194.00","10,47,287","2,31,61,82,766.10","59,161"
"28-Jul-2025","EQ","2,216.00","2,250.90","2,200.00","2,215.90","2,208.00","2,205.80","2,219.65","3,890.00","2,200.00","9,34,936","2,07,52,34,512.50","41,007"
"25-Jul-2025","EQ","2,260.10","2,261.80","2,212.00","2,259.50","2,216.00","2,215.90","2,229.32","3,890.00","2,212.00","6,95,695","1,55,09,28,473.00","64,185"
"24-Jul-2025","EQ","2,281.10","2,289.80","2,256.30","2,285.30","2,258.00","2,259.50","2,266.73","3,890.00","2,256.30","11,56,360","2,62,11,52,852.10","49,808"
"23-Jul-2025","EQ","2,350.00","2,359.10","2,271.00","2,379.50","2,286.00","2,285.30","2,297.20","3,890.00","2,271.00","21,51,512","4,94,24,52,552.50","1,20,090"
"22-Jul-2025","EQ","2,396.50","2,410.00","2,352.00","2,392.00","2,375.90","2,379.50","2,379.37","3,890.00","2,311.50","10,95,174","2,60,58,24,931.50","59,582"
"21-Jul-2025","EQ","2,394.20","2,410.00","2,385.20","2,394.20","2,389.80","2,392.00","2,397.93","3,890.00","2,311.50","3,38,704","81,21,88,440.30","19,907"
"18-Jul-2025","EQ","2,403.00","2,405.00","2,370.00","2,398.00","2,395.60","2,394.20","2,387.20","3,890.00","2,311.50","6,20,121","1,48,03,53,949.80","28,709"
"17-Jul-2025","EQ","2,380.40","2,403.00","2,377.20","2,380.40","2,396.00","2,398.00","2,386.21","3,890.00","2,311.50","4,58,153","1,09,32,47,248.20","20,707"
"16-Jul-2025","EQ","2,409.90","2,411.00","2,378.00","2,402.90","2,379.00","2,380.40","2,389.52","3,890.00","2,311.50","5,09,306","1,21,69,96,520.80","28,915"
"15-Jul-2025","EQ","2,384.00","2,412.00","2,384.00","2,378.10","2,404.00","2,402.90","2,401.99","3,890.00","2,311.50","5,77,248","1,38,65,46,752.50","34,131"
"14-Jul-2025","EQ","2,388.70","2,394.20","2,356.50","2,376.10","2,384.50","2,378.10","2,375.43","3,890.00","2,311.50","7,29,605","1,73,31,28,087.70","40,897"
"11-Jul-2025","EQ","2,411.30","2,435.00","2,370.10","2,411.30","2,376.00","2,376.10","2,398.34","3,890.00","2,311.50","8,04,235","1,92,88,31,266.70","46,092"
"10-Jul-2025","EQ","2,438.00","2,443.50","2,407.20","2,438.60","2,409.00","2,411.30","2,418.19","3,890.00","2,311.50","3,50,043","84,64,68,879.90","25,801"
"09-Jul-2025","EQ","2,443.30","2,467.80","2,433.00","2,451.00","2,434.00","2,438.60","2,448.75","3,890.00","2,311.50","5,79,978","1,42,02,20,872.10","37,734"
"08-Jul-2025","EQ","2,468.00","2,468.00","2,425.00","2,465.40","2,450.00","2,451.00","2,441.05","3,890.00","2,311.50","4,39,515","1,07,28,77,224.60","31,116"
"07-Jul-2025","EQ","2,446.00","2,491.90","2,441.10","2,446.70","2,468.00","2,465.40","2,475.34","3,890.00","2,311.50","3,79,303","93,89,03,362.50","32,558"
"04-Jul-2025","EQ","2,456.50","2,456.50","2,426.50","2,445.30","2,447.50","2,446.70","2,443.25","3,890.00","2,311.50","2,48,938","60,82,17,031.30","21,105"
"03-Jul-2025","EQ","2,440.10","2,468.50","2,423.00","2,434.60","2,444.80","2,445.30","2,446.33","3,890.00","2,311.50","5,04,145","1,23,33,05,807.50","48,510"
"02-Jul-2025","EQ","2,417.90","2,461.10","2,395.00","2,409.70","2,433.00","2,434.60","2,427.20","3,890.00","2,311.50","7,14,558","1,73,43,76,198.60","37,931"
"01-Jul-2025","EQ","2,416.90","2,432.00","2,395.00","2,407.10","2,405.70","2,409.70","2,408.56","3,890.00","2,311.50","4,60,578","1,10,93,29,234.50","37,627"
"30-Jun-2025","EQ","2,382.20","2,417.70","2,381.00","2,379.30","2,410.90","2,407.10","2,406.67","3,890.00","2,311.50","3,28,578","79,07,79,636.60","25,634"
"27-Jun-2025","EQ","2,385.20","2,395.40","2,374.50","2,375.70","2,390.50","2,379.30","2,382.47","3,890.00","2,311.50","9,05,150","2,15,64,90,493.10","47,236"
"26-Jun-2025","EQ","2,410.00","2,414.90","2,353.10","2,419.80","2,384.00","2,375.70","2,369.98","3,890.00","2,311.50","12,00,717","2,84,56,81,086.80","74,370"
"25-Jun-2025","EQ","2,438.80","2,449.00","2,415.00","2,424.80","2,423.90","2,419.80","2,429.66","3,890.00","2,311.50","2,39,813","58,26,63,617.90","17,926"
"24-Jun-2025","EQ","2,420.00","2,445.00","2,410.10","2,409.80","2,427.90","2,424.80","2,433.90","3,890.00","2,311.50","3,25,700","79,27,19,762.70","25,530"
"23-Jun-2025","EQ","2,398.00","2,434.90","2,386.40","2,402.30","2,407.00","2,409.80","2,414.85","3,890.00","2,311.50","4,20,574","1,01,56,22,320.00","34,273"
"20-Jun-2025","EQ","2,392.30","2,412.40","2,380.00","2,399.70","2,398.80","2,402.30","2,402.49","3,890.00","2,311.50","3,94,282","94,72,58,749.90","25,698"
"19-Jun-2025","EQ","2,403.60","2,408.00","2,378.00","2,398.40","2,396.00","2,399.70","2,396.09","3,890.00","2,311.50","2,77,544","66,50,19,109.50","14,467"
"18-Jun-2025","EQ","2,382.00","2,409.00","2,364.10","2,382.00","2,395.00","2,398.40","2,397.71","3,890.00","2,311.50","3,00,348","72,01,48,195.10","30,992"
"17-Jun-2025","EQ","2,385.40","2,391.40","2,356.00","2,385.40","2,382.80","2,382.00","2,374.86","3,890.00","2,311.50","4,41,232","1,04,78,64,509.00","22,176"
"16-Jun-2025","EQ","2,371.20","2,388.20","2,356.60","2,371.20","2,385.80","2,385.40","2,372.79","3,890.00","2,311.50","2,72,139","64,57,27,344.00","23,765"
"13-Jun-2025","EQ","2,387.70","2,387.70","2,346.30","2,406.40","2,372.90","2,371.20","2,364.95","3,890.00","2,311.50","4,55,362","1,07,69,10,242.40","38,387"
"12-Jun-2025","EQ","2,443.70","2,443.70","2,400.00","2,432.10","2,401.90","2,406.40","2,414.60","3,890.00","2,311.50","5,82,682","1,40,69,41,518.00","39,308"
"11-Jun-2025","EQ","2,458.90","2,458.90","2,429.10","2,449.90","2,435.00","2,432.10","2,435.85","3,890.00","2,311.50","5,90,039","1,43,72,44,542.60","37,673"
"10-Jun-2025","EQ","2,460.30","2,461.90","2,439.00","2,451.00","2,450.00","2,449.90","2,449.85","3,890.00","2,311.50","3,93,905","96,50,08,221.70","19,280"
"09-Jun-2025","EQ","2,444.00","2,454.60","2,428.00","2,432.50","2,451.40","2,451.00","2,438.91","3,890.00","2,311.50","2,31,846","56,54,51,340.10","15,150"
"06-Jun-2025","EQ","2,457.50","2,464.70","2,428.00","2,453.20","2,436.90","2,432.50","2,436.67","3,890.00","2,311.50","3,85,685","93,97,87,336.30","25,854"
"05-Jun-2025","EQ","2,485.00","2,486.40","2,448.20","2,482.10","2,454.80","2,453.20","2,460.38","3,890.00","2,311.50","3,87,297","95,28,95,980.30","24,800"
"04-Jun-2025","EQ","2,490.00","2,490.00","2,460.20","2,475.20","2,480.00","2,482.10","2,479.58","3,890.00","2,311.50","3,31,408","82,17,51,184.30","40,065"
"03-Jun-2025","EQ","2,475.10","2,479.90","2,445.30","2,474.30","2,476.00","2,475.20","2,468.17","3,890.00","2,311.50","6,06,721","1,49,74,93,100.50","63,322"
"02-Jun-2025","EQ","2,455.90","2,494.00","2,455.60","2,455.90","2,468.00","2,474.30","2,477.07","3,890.00","2,311.50","6,80,858","1,68,65,34,511.80","56,736"
"30-May-2025","EQ","2,486.90","2,494.80","2,449.00","2,486.90","2,455.00","2,455.90","2,465.23","3,890.00","2,311.50","8,69,858","2,14,43,99,770.80","45,060"
"29-May-2025","EQ","2,506.80","2,509.00","2,475.00","2,506.80","2,486.00","2,486.90","2,488.38","3,890.00","2,311.50","5,30,352","1,31,97,18,489.80","43,001"
"28-May-2025","EQ","2,495.00","2,516.50","2,470.00","2,513.10","2,507.90","2,506.80","2,496.16","3,890.00","2,311.50","7,42,342","1,85,30,03,240.90","42,967"
"27-May-2025","EQ","2,510.30","2,519.00","2,489.70","2,510.30","2,511.50","2,513.10","2,506.60","3,890.00","2,311.50","6,04,552","1,51,53,71,123.10","27,843"
"26-May-2025","EQ","2,489.90","2,514.00","2,482.00","2,479.40","2,510.40","2,510.30","2,499.26","3,890.00","2,311.50","6,38,832","1,59,66,08,108.00","34,666"
"23-May-2025","EQ","2,487.10","2,499.70","2,469.00","2,487.10","2,482.00","2,479.40","2,482.04","3,890.00","2,311.50","6,16,422","1,52,99,83,908.10","38,258"
"22-May-2025","EQ","2,599.10","2,599.10","2,481.70","2,659.30","2,486.50","2,487.10","2,519.21","3,890.00","2,311.50","23,92,352","6,02,68,46,226.30","1,39,520"
"21-May-2025","EQ","2,647.50","2,676.90","2,631.50","2,629.40","2,660.00","2,659.30","2,656.13","3,890.00","2,311.50","3,37,502","89,64,50,774.60","26,048"
"20-May-2025","EQ","2,718.00","2,718.00","2,625.50","2,711.50","2,640.00","2,629.40","2,664.58","3,890.00","2,311.50","4,03,620","1,07,54,77,281.80","39,112"
"19-May-2025","EQ","2,700.00","2,747.40","2,674.00","2,689.70","2,711.40","2,711.50","2,715.31","3,890.00","2,311.50","3,24,331","88,06,60,564.20","33,056"
"16-May-2025","EQ","2,661.00","2,698.00","2,617.50","2,655.40","2,689.20","2,689.70","2,675.48","3,890.00","2,311.50","4,55,396","1,21,84,04,399.40","38,194"
"15-May-2025","EQ","2,607.80","2,660.00","2,595.50","2,607.80","2,660.00","2,655.40","2,632.84","3,890.00","2,311.50","2,83,082","74,53,10,476.70","27,291"
"14-May-2025","EQ","2,597.20","2,615.00","2,570.10","2,598.90","2,615.00","2,607.80","2,593.65","3,890.00","2,311.50","3,00,928","78,05,02,471.80","31,882"
"13-May-2025","EQ","2,611.60","2,634.70","2,591.90","2,611.60","2,599.90","2,598.90","2,606.83","3,890.00","2,311.50","2,26,099","58,94,01,622.90","35,639"
"12-May-2025","EQ","2,582.00","2,625.40","2,577.00","2,550.50","2,606.90","2,611.60","2,603.74","3,890.00","2,311.50","3,33,871","86,93,12,721.20","23,060"
"09-May-2025","EQ","2,500.00","2,554.80","2,494.70","2,550.60","2,550.60","2,550.50","2,527.17","3,890.00","2,311.50","2,54,167","64,23,22,847.30","40,557"
"08-May-2025","EQ","2,634.70","2,639.90","2,529.50","2,634.80","2,544.40","2,550.60","2,567.54","3,890.00","2,311.50","5,55,347","1,42,58,77,072.30","52,427"
"07-May-2025","EQ","2,606.00","2,646.80","2,573.00","2,621.40","2,636.00","2,634.80","2,616.53","3,890.00","2,311.50","4,38,715","1,14,79,12,144.40","34,678"
"06-May-2025","EQ","2,610.00","2,639.00","2,591.00","2,621.00","2,625.00","2,621.40","2,615.32","3,890.00","2,311.50","3,45,419","90,33,79,524.90","31,889"
"05-May-2025","EQ","2,549.00","2,629.00","2,549.00","2,543.40","2,625.00","2,621.00","2,586.62","3,890.00","2,311.50","4,79,629","1,24,06,18,863.60","36,400"
"02-May-2025","EQ","2,570.00","2,579.80","2,531.00","2,587.40","2,540.50","2,543.40","2,551.30","3,890.00","2,311.50","6,35,347","1,62,09,59,828.00","41,336"
"30-Apr-2025","EQ","2,644.20","2,653.30","2,574.10","2,644.20","2,577.30","2,587.40","2,603.84","3,890.00","2,311.50","5,70,830","1,48,63,50,472.90","34,997"
"29-Apr-2025","EQ","2,682.00","2,698.00","2,638.60","2,694.50","2,648.60","2,644.20","2,668.49","3,890.00","2,311.50","5,56,023","1,48,37,44,477.30","57,574"
"28-Apr-2025","EQ","2,668.00","2,702.50","2,637.30","2,671.40","2,698.00","2,694.50","2,681.12","3,890.00","2,311.50","3,91,090","1,04,85,58,828.40","32,812"
"25-Apr-2025","EQ","2,732.00","2,735.90","2,650.50","2,732.00","2,665.00","2,671.40","2,683.34","3,890.00","2,311.50","4,37,084","1,17,28,43,758.10","42,097"
"24-Apr-2025","EQ","2,675.80","2,744.00","2,662.60","2,688.60","2,730.00","2,732.00","2,706.00","3,890.00","2,311.50","7,12,805","1,92,88,50,524.50","65,603"
"23-Apr-2025","EQ","2,659.00","2,714.00","2,651.00","2,658.80","2,671.40","2,688.60","2,681.07","3,890.00","2,311.50","7,13,125","1,91,19,41,549.90","52,485"
"22-Apr-2025","EQ","2,546.00","2,674.20","2,534.10","2,544.00","2,661.00","2,658.80","2,629.99","3,890.00","2,311.50","7,47,000","1,96,46,03,720.20","63,446"
"21-Apr-2025","EQ","2,575.00","2,587.80","2,539.00","2,570.50","2,545.00","2,544.00","2,561.41","3,890.00","2,311.50","2,77,896","71,18,05,592.50","28,766"
"17-Apr-2025","EQ","2,577.00","2,601.10","2,531.20","2,551.60","2,567.00","2,570.50","2,573.55","3,890.00","2,311.50","4,13,204","1,06,33,99,789.40","34,123"
"16-Apr-2025","EQ","2,515.00","2,557.00","2,510.30","2,513.70","2,534.90","2,551.60","2,544.85","3,890.00","2,311.50","2,75,642","70,14,67,263.00","25,757"
"15-Apr-2025","EQ","2,540.00","2,540.00","2,472.10","2,491.65","2,514.00","2,513.70","2,503.12","3,890.00","2,311.50","5,44,832","1,36,37,80,733.00","47,121"
"11-Apr-2025","EQ","2,509.25","2,523.95","2,471.40","2,508.10","2,492.00","2,491.65","2,493.46","3,890.00","2,311.50","5,28,021","1,31,65,97,163.90","39,735"
"09-Apr-2025","EQ","2,450.10","2,519.00","2,442.95","2,439.90","2,506.00","2,508.10","2,491.15","3,890.00","2,311.50","5,89,111","1,46,75,63,800.20","52,139"
"08-Apr-2025","EQ","2,404.85","2,450.00","2,400.00","2,388.25","2,442.95","2,439.90","2,432.42","3,890.00","2,311.50","3,19,178","77,63,74,446.90","28,155"
"07-Apr-2025","EQ","2,318.05","2,402.70","2,311.50","2,423.35","2,389.45","2,388.25","2,377.57","3,890.00","2,311.50","6,47,807","1,54,02,06,466.50","39,357"
"04-Apr-2025","EQ","2,400.00","2,444.80","2,390.85","2,409.85","2,428.00","2,423.35","2,422.80","3,890.00","2,325.80","3,49,346","84,63,94,095.40","28,697"
"03-Apr-2025","EQ","2,360.00","2,413.85","2,340.00","2,364.60","2,407.00","2,409.85","2,379.11","3,890.00","2,325.80","3,45,546","82,20,90,999.75","27,836"
"02-Apr-2025","EQ","2,350.00","2,370.05","2,325.80","2,350.50","2,368.00","2,364.60","2,351.74","3,890.00","2,325.80","3,49,700","82,24,03,759.70","38,065"
"01-Apr-2025","EQ","2,389.80","2,411.70","2,346.80","2,389.80","2,350.00","2,350.50","2,367.74","3,890.00","2,341.40","3,30,923","78,35,38,929.40","36,236"
"28-Mar-2025","EQ","2,409.85","2,442.00","2,370.10","2,394.30","2,399.00","2,389.80","2,403.61","3,890.00","2,341.40","7,13,552","1,71,51,00,246.60","50,803"
"27-Mar-2025","EQ","2,390.35","2,409.00","2,356.00","2,392.85","2,406.30","2,394.30","2,380.87","3,890.00","2,341.40","8,03,990","1,91,41,98,505.10","44,035"
"26-Mar-2025","EQ","2,389.45","2,405.00","2,362.20","2,378.40","2,394.00","2,392.85","2,388.13","3,890.00","2,341.40","5,08,577","1,21,45,47,079.55","47,414"
"25-Mar-2025","EQ","2,375.25","2,414.95","2,341.40","2,426.30","2,390.00","2,378.40","2,361.42","3,890.00","2,341.40","13,54,361","3,19,82,20,037.90","83,876"
"24-Mar-2025","EQ","2,416.70","2,438.45","2,392.65","2,401.10","2,429.85","2,426.30","2,419.78","3,890.00","2,351.00","4,64,577","1,12,41,75,381.40","38,259"
"21-Mar-2025","EQ","2,418.30","2,426.50","2,385.00","2,418.30","2,402.00","2,401.10","2,399.08","3,890.00","2,351.00","10,30,473","2,47,21,89,097.95","45,834"
"20-Mar-2025","EQ","2,420.00","2,444.00","2,412.55","2,413.85","2,423.00","2,418.30","2,425.02","3,890.00","2,351.00","2,08,116","50,46,85,048.50","30,707"
"19-Mar-2025","EQ","2,435.00","2,437.85","2,376.80","2,431.30","2,415.00","2,413.85","2,399.58","3,890.00","2,351.00","4,23,270","1,01,56,70,970.60","43,523"
