ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","210.00","214.79","210.00","208.68","210.90","210.73","211.92","232.55","142.91","15,05,234","31,89,82,983.58","15,790"
"12-Aug-2025","EQ","209.00","210.88","207.76","209.09","208.17","208.68","208.79","232.55","142.91","10,66,090","22,25,90,263.77","21,036"
"11-Aug-2025","EQ","211.87","213.12","207.51","210.14","208.10","209.09","209.05","232.55","142.91","10,98,369","22,96,12,177.19","26,497"
"08-Aug-2025","EQ","215.59","216.90","208.05","215.59","213.00","210.14","212.32","232.55","142.91","9,83,893","20,88,96,803.35","20,427"
"07-Aug-2025","EQ","212.51","216.50","212.25","214.69","215.51","215.59","214.75","232.55","142.91","6,65,918","14,30,05,405.60","26,684"
"06-Aug-2025","EQ","216.10","217.10","213.65","217.24","215.00","214.69","215.11","232.55","142.91","36,18,450","77,83,50,800.75","64,025"
"05-Aug-2025","EQ","218.14","219.90","215.00","216.98","215.11","217.24","218.34","232.55","142.91","24,65,787","53,83,79,350.59","63,789"
"04-Aug-2025","EQ","214.95","217.59","212.52","213.87","217.06","216.98","215.45","232.55","142.91","20,84,346","44,90,67,643.94","38,470"
"01-Aug-2025","EQ","216.40","224.50","211.27","214.28","214.95","213.87","218.30","232.55","142.91","77,23,901","1,68,61,28,401.91","1,14,680"
"31-Jul-2025","EQ","204.99","215.35","202.44","207.04","213.60","214.28","212.19","232.55","142.91","21,45,952","45,53,50,279.93","28,550"
"30-Jul-2025","EQ","200.30","209.26","200.30","204.33","206.35","207.04","207.33","232.55","142.91","16,03,871","33,25,32,829.43","32,625"
"29-Jul-2025","EQ","205.09","206.90","202.44","204.70","205.92","204.33","204.52","232.55","142.91","7,67,549","15,69,79,510.30","21,723"
"28-Jul-2025","EQ","208.10","209.32","203.90","209.08","205.74","204.70","206.79","232.55","142.91","15,03,953","31,09,99,057.58","34,215"
"25-Jul-2025","EQ","208.59","210.79","206.82","209.30","207.39","209.08","209.39","232.55","142.91","12,15,874","25,45,86,232.00","21,069"
"24-Jul-2025","EQ","213.99","215.00","208.20","213.99","209.70","209.30","210.25","232.55","142.91","15,83,721","33,29,83,279.28","38,812"
"23-Jul-2025","EQ","211.32","214.70","209.13","211.32","214.19","213.99","212.27","232.55","142.91","7,42,553","15,76,20,323.72","24,834"
"22-Jul-2025","EQ","213.00","214.20","210.00","212.26","211.26","211.32","211.78","232.55","142.91","12,89,356","27,30,65,033.88","21,805"
"21-Jul-2025","EQ","212.50","213.25","210.20","212.49","213.00","212.26","211.80","232.55","142.91","8,36,297","17,71,26,393.67","33,992"
"18-Jul-2025","EQ","216.45","218.03","211.30","216.45","212.66","212.49","214.14","232.55","142.91","8,01,641","17,16,67,235.26","15,439"
"17-Jul-2025","EQ","219.00","219.90","215.15","218.03","216.46","216.45","216.85","232.55","142.91","11,50,584","24,95,09,413.94","26,698"
"16-Jul-2025","EQ","219.09","219.34","216.03","218.04","218.15","218.03","217.75","232.55","142.91","10,68,130","23,25,83,293.60","23,198"
"15-Jul-2025","EQ","214.03","218.94","213.84","213.86","218.62","218.04","217.21","232.55","142.91","14,00,701","30,42,51,932.39","30,654"
"14-Jul-2025","EQ","209.80","216.07","208.31","210.13","214.04","213.86","213.77","232.55","142.91","14,37,063","30,71,96,031.00","41,393"
"11-Jul-2025","EQ","214.00","216.39","209.17","214.17","209.87","210.13","211.96","232.55","142.91","13,30,721","28,20,61,431.53","29,680"
"10-Jul-2025","EQ","218.38","221.36","213.50","218.38","214.50","214.17","216.30","232.55","142.91","13,12,324","28,38,57,746.13","28,582"
"09-Jul-2025","EQ","215.00","220.00","213.58","215.23","218.25","218.38","216.87","232.55","142.91","14,59,732","31,65,73,950.83","36,218"
"08-Jul-2025","EQ","218.40","220.00","213.45","218.86","214.89","215.23","215.41","232.55","142.91","21,33,687","45,96,25,273.23","50,545"
"07-Jul-2025","EQ","216.35","220.00","213.65","217.27","218.40","218.86","217.92","232.55","142.91","16,35,466","35,63,97,971.86","36,928"
"04-Jul-2025","EQ","216.88","220.99","211.90","216.89","216.82","217.27","216.36","232.55","142.91","21,16,720","45,79,66,993.58","37,531"
"03-Jul-2025","EQ","222.00","223.48","216.10","221.44","216.53","216.89","218.78","232.55","142.91","28,45,297","62,25,02,611.67","44,824"
"02-Jul-2025","EQ","226.10","232.55","219.50","230.51","223.30","221.44","226.00","232.55","142.91","66,49,580","1,50,28,22,988.00","80,458"
"01-Jul-2025","EQ","215.00","232.36","214.00","218.71","228.90","230.51","224.85","232.36","142.91","83,73,774","1,88,28,71,567.61","1,13,658"
"30-Jun-2025","EQ","208.50","221.00","205.10","205.81","217.50","218.71","214.77","221.00","142.91","72,14,554","1,54,94,71,256.46","76,077"
"27-Jun-2025","EQ","206.80","206.80","202.42","205.13","204.92","205.81","204.84","208.40","142.91","16,77,328","34,35,82,846.87","34,056"
"26-Jun-2025","EQ","200.00","205.75","198.73","199.02","204.80","205.13","203.54","208.40","142.91","35,40,311","72,05,94,490.14","79,447"
"25-Jun-2025","EQ","193.10","199.89","192.99","193.55","199.25","199.02","196.86","208.40","142.91","24,05,490","47,35,41,286.12","31,566"
"24-Jun-2025","EQ","194.50","194.75","192.95","191.63","193.10","193.55","193.96","208.40","142.91","17,66,274","34,25,84,194.42","17,722"
"23-Jun-2025","EQ","189.49","192.97","187.05","190.83","191.70","191.63","190.09","208.40","142.91","20,72,910","39,40,38,783.11","60,153"
"20-Jun-2025","EQ","190.31","193.20","190.00","191.58","190.70","190.83","191.28","208.40","142.91","7,87,518","15,06,37,816.75","15,595"
"19-Jun-2025","EQ","192.80","195.18","189.05","193.49","191.50","191.58","191.97","208.40","142.91","8,57,016","16,45,24,075.57","24,977"
"18-Jun-2025","EQ","192.58","195.00","192.33","192.82","193.50","193.49","193.55","208.40","142.91","13,86,119","26,82,83,885.77","20,244"
"17-Jun-2025","EQ","195.45","198.17","191.28","195.28","192.50","192.82","194.16","208.40","142.91","12,70,318","24,66,43,220.12","25,138"
"16-Jun-2025","EQ","196.90","196.90","192.00","196.20","194.80","195.28","194.21","208.40","142.91","12,46,280","24,20,39,906.36","32,492"
"13-Jun-2025","EQ","188.31","197.00","188.31","195.18","196.00","196.20","194.17","208.40","142.91","11,50,536","22,33,94,936.05","27,391"
"12-Jun-2025","EQ","200.88","202.92","194.50","199.94","195.50","195.18","197.77","208.40","142.91","11,57,653","22,89,51,329.61","19,797"
"11-Jun-2025","EQ","206.27","206.50","199.50","206.27","200.00","199.94","201.68","208.40","142.91","14,68,060","29,60,81,179.45","27,028"
"10-Jun-2025","EQ","205.05","208.40","205.05","204.67","206.00","206.27","206.82","208.40","142.91","19,87,644","41,10,80,361.27","28,863"
"09-Jun-2025","EQ","204.00","205.00","201.00","201.17","204.65","204.67","203.53","205.00","142.91","28,54,330","58,09,52,932.46","40,426"
"06-Jun-2025","EQ","199.99","202.12","198.00","198.71","202.00","201.17","200.19","204.00","130.40","13,36,958","26,76,45,481.05","24,938"
"05-Jun-2025","EQ","196.85","199.50","195.81","197.76","197.85","198.71","198.14","204.00","130.40","13,04,782","25,85,33,722.78","36,720"
"04-Jun-2025","EQ","203.99","203.99","197.11","202.28","197.56","197.76","199.71","204.00","130.40","13,55,968","27,07,95,196.88","32,869"
"03-Jun-2025","EQ","199.50","204.00","197.70","198.64","201.20","202.28","202.01","204.00","130.40","61,16,892","1,23,56,64,332.39","1,11,502"
"02-Jun-2025","EQ","195.00","199.60","193.32","195.70","197.64","198.64","197.59","199.60","130.40","44,06,952","87,07,50,549.50","49,424"
"30-May-2025","EQ","194.30","197.00","192.40","194.34","195.00","195.70","194.96","197.80","130.40","22,63,850","44,13,71,292.42","41,400"
"29-May-2025","EQ","194.40","195.90","192.61","194.17","193.70","194.34","194.34","197.80","130.40","12,57,276","24,43,43,364.49","39,666"
"28-May-2025","EQ","194.00","195.71","192.89","193.40","193.50","194.17","194.32","197.80","130.40","11,60,951","22,55,94,738.95","29,428"
"27-May-2025","EQ","196.09","196.95","192.09","196.14","193.69","193.40","193.30","197.80","130.40","24,07,714","46,54,16,669.52","47,574"
"26-May-2025","EQ","197.40","197.80","194.77","196.20","196.25","196.14","196.47","197.80","130.40","14,92,469","29,32,21,492.08","35,616"
"23-May-2025","EQ","195.20","197.20","193.32","195.30","196.95","196.20","195.73","197.57","130.40","18,44,515","36,10,32,063.83","26,989"
"22-May-2025","EQ","197.08","197.39","193.51","197.08","194.58","195.30","195.72","197.57","130.40","16,63,196","32,55,22,990.43","25,399"
"21-May-2025","EQ","194.00","197.57","192.72","193.48","197.57","197.08","196.32","197.57","130.40","30,02,061","58,93,60,303.98","35,941"
"20-May-2025","EQ","191.80","194.20","190.55","190.16","194.00","193.48","192.68","196.25","130.40","16,38,285","31,56,60,767.24","25,449"
"19-May-2025","EQ","193.58","194.70","189.00","193.58","189.30","190.16","191.00","196.25","130.40","13,63,642","26,04,58,161.72","21,194"
"16-May-2025","EQ","192.26","194.05","191.85","192.25","194.05","193.58","192.98","196.25","130.40","12,63,758","24,38,74,933.61","18,627"
"15-May-2025","EQ","194.37","194.45","190.80","194.37","192.11","192.25","192.04","196.25","130.40","13,67,255","26,25,63,556.44","33,322"
"14-May-2025","EQ","193.00","196.25","191.00","190.74","194.00","194.37","194.18","196.25","130.40","47,55,278","92,33,93,279.45","40,136"
"13-May-2025","EQ","183.91","191.00","180.75","183.91","190.62","190.74","188.18","191.00","130.40","49,60,370","93,34,52,176.27","43,906"
"12-May-2025","EQ","181.55","185.00","179.55","177.65","184.00","183.91","182.54","187.90","130.40","18,91,007","34,51,75,591.44","20,960"
"09-May-2025","EQ","173.50","179.35","173.50","180.01","177.99","177.65","177.05","187.90","130.40","13,21,525","23,39,77,172.26","35,889"
"08-May-2025","EQ","180.22","184.99","178.51","181.43","179.25","180.01","182.27","187.90","130.40","28,03,682","51,10,14,599.23","38,196"
"07-May-2025","EQ","176.60","182.25","176.41","181.22","181.00","181.43","180.52","187.90","130.40","19,35,727","34,94,34,185.50","30,800"
"06-May-2025","EQ","182.57","183.99","180.15","182.57","180.50","181.22","182.02","187.90","130.40","24,72,430","45,00,38,337.37","31,407"
"05-May-2025","EQ","180.53","183.00","176.17","173.48","182.00","182.57","180.34","187.90","130.40","61,46,411","1,10,84,32,547.43","66,043"
"02-May-2025","EQ","175.35","179.00","172.01","176.56","173.99","173.48","173.74","187.90","130.40","12,82,131","22,27,60,759.97","46,093"
"30-Apr-2025","EQ","180.30","181.21","174.51","180.50","175.35","176.56","176.78","187.90","130.40","16,95,485","29,97,21,010.32","46,622"
"29-Apr-2025","EQ","179.50","182.80","178.00","178.51","180.30","180.50","180.55","187.90","130.40","18,28,960","33,02,22,148.95","23,179"
"28-Apr-2025","EQ","176.04","180.42","176.04","177.39","178.65","178.51","178.49","187.90","130.40","8,20,380","14,64,29,995.82","18,359"
"25-Apr-2025","EQ","181.00","182.56","174.11","181.13","175.35","177.39","177.02","187.90","130.40","16,71,829","29,59,52,124.33","41,295"
"24-Apr-2025","EQ","176.89","182.57","176.02","176.89","181.02","181.13","179.76","187.90","130.40","23,90,435","42,97,14,146.53","39,985"
"23-Apr-2025","EQ","183.54","184.39","175.80","183.54","176.99","176.89","178.51","187.90","130.40","22,15,625","39,55,15,685.48","39,530"
