ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","3,794.50","3,808.50","3,750.30","3,792.30","3,750.50","3,759.90","3,776.56","3,929.00","2,580.00","5,66,377","2,13,89,57,885.10","53,842"
"11-Aug-2025","EQ","3,806.90","3,822.40","3,760.00","3,806.90","3,787.00","3,792.30","3,787.98","3,929.00","2,580.00","6,58,493","2,49,43,56,864.90","54,156"
"08-Aug-2025","EQ","3,780.00","3,900.10","3,658.00","3,674.00","3,791.00","3,806.90","3,806.02","3,929.00","2,580.00","36,20,871","13,78,11,13,787.50","3,13,901"
"07-Aug-2025","EQ","3,634.20","3,715.00","3,572.90","3,635.70","3,707.60","3,674.00","3,633.36","3,929.00","2,580.00","5,45,750","1,98,29,06,053.80","62,932"
"06-Aug-2025","EQ","3,638.00","3,672.60","3,599.80","3,591.50","3,629.80","3,635.70","3,627.40","3,929.00","2,580.00","8,99,245","3,26,19,22,880.50","1,21,476"
"05-Aug-2025","EQ","3,566.00","3,604.20","3,494.20","3,566.80","3,600.00","3,591.50","3,551.73","3,929.00","2,580.00","6,34,486","2,25,35,24,448.80","90,157"
"04-Aug-2025","EQ","3,568.70","3,580.00","3,510.10","3,568.70","3,565.00","3,566.80","3,560.62","3,929.00","2,580.00","5,07,506","1,80,70,35,007.80","47,130"
"01-Aug-2025","EQ","3,559.90","3,617.20","3,539.50","3,555.50","3,559.20","3,568.70","3,583.54","3,929.00","2,580.00","4,59,708","1,64,73,79,975.60","70,032"
"31-Jul-2025","EQ","3,525.00","3,596.90","3,502.00","3,581.90","3,561.60","3,555.50","3,557.20","3,929.00","2,580.00","6,10,344","2,17,11,12,703.30","72,958"
"30-Jul-2025","EQ","3,539.00","3,590.00","3,488.30","3,535.20","3,579.00","3,581.90","3,552.38","3,929.00","2,580.00","4,79,098","1,70,19,39,346.50","58,095"
"29-Jul-2025","EQ","3,514.70","3,568.70","3,514.70","3,529.40","3,527.40","3,535.20","3,544.96","3,929.00","2,580.00","5,61,592","1,99,08,19,119.80","56,698"
"28-Jul-2025","EQ","3,535.90","3,574.00","3,481.50","3,535.10","3,540.00","3,529.40","3,521.95","3,929.00","2,580.00","3,70,703","1,30,55,97,523.10","33,475"
"25-Jul-2025","EQ","3,563.10","3,579.10","3,520.00","3,563.70","3,520.00","3,535.10","3,549.21","3,929.00","2,580.00","3,95,036","1,40,20,64,254.00","44,284"
"24-Jul-2025","EQ","3,616.40","3,633.00","3,555.00","3,616.40","3,555.80","3,563.70","3,602.82","3,929.00","2,580.00","4,33,746","1,56,27,07,678.70","48,757"
"23-Jul-2025","EQ","3,588.40","3,625.10","3,548.10","3,587.40","3,605.00","3,616.40","3,603.23","3,929.00","2,580.00","6,30,663","2,27,24,23,244.90","51,588"
"22-Jul-2025","EQ","3,628.00","3,628.00","3,555.60","3,617.90","3,585.40","3,587.40","3,589.05","3,929.00","2,580.00","3,52,113","1,26,37,49,481.80","41,471"
